Web Search interest: carlo+la+vecchia
Worldwide 2004 - present

Interest over time
Week,carlo+la+vecchia
2005-04-17 - 2005-04-23,78
2005-04-24 - 2005-04-30,79
2005-05-01 - 2005-05-07,80
2005-05-08 - 2005-05-14,80
2005-05-15 - 2005-05-21,81
2005-05-22 - 2005-05-28,80
2005-05-29 - 2005-06-04,80
2005-06-05 - 2005-06-11,76
2005-06-12 - 2005-06-18,76
2005-06-19 - 2005-06-25,75
2005-06-26 - 2005-07-02,70
2005-07-03 - 2005-07-09,68
2005-07-10 - 2005-07-16,66
2005-07-17 - 2005-07-23,66
2005-07-24 - 2005-07-30,64
2005-07-31 - 2005-08-06,64
2005-08-07 - 2005-08-13,65
2005-08-14 - 2005-08-20,67
2005-08-21 - 2005-08-27,73
2005-08-28 - 2005-09-03,78
2005-09-04 - 2005-09-10,78
2005-09-11 - 2005-09-17,74
2005-09-18 - 2005-09-24,77
2005-09-25 - 2005-10-01,79
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,80
2005-10-16 - 2005-10-22,80
2005-10-23 - 2005-10-29,80
2005-10-30 - 2005-11-05,77
2005-11-06 - 2005-11-12,79
2005-11-13 - 2005-11-19,79
2005-11-20 - 2005-11-26,81
2005-11-27 - 2005-12-03,75
2005-12-04 - 2005-12-10,70
2005-12-11 - 2005-12-17,68
2005-12-18 - 2005-12-24,62
2005-12-25 - 2005-12-31,61
2006-01-01 - 2006-01-07,62
2006-01-08 - 2006-01-14,69
2006-01-15 - 2006-01-21,71
2006-01-22 - 2006-01-28,73
2006-01-29 - 2006-02-04,74
2006-02-05 - 2006-02-11,73
2006-02-12 - 2006-02-18,74
2006-02-19 - 2006-02-25,75
2006-02-26 - 2006-03-04,74
2006-03-05 - 2006-03-11,79
2006-03-12 - 2006-03-18,79
2006-03-19 - 2006-03-25,78
2006-03-26 - 2006-04-01,81
2006-04-02 - 2006-04-08,80
2006-04-09 - 2006-04-15,71
2006-04-16 - 2006-04-22,79
2006-04-23 - 2006-04-29,82
2006-04-30 - 2006-05-06,82
2006-05-07 - 2006-05-13,84
2006-05-14 - 2006-05-20,83
2006-05-21 - 2006-05-27,83
2006-05-28 - 2006-06-03,84
2006-06-04 - 2006-06-10,81
2006-06-11 - 2006-06-17,80
2006-06-18 - 2006-06-24,77
2006-06-25 - 2006-07-01,70
2006-07-02 - 2006-07-08,70
2006-07-09 - 2006-07-15,68
2006-07-16 - 2006-07-22,67
2006-07-23 - 2006-07-29,64
2006-07-30 - 2006-08-05,64
2006-08-06 - 2006-08-12,66
2006-08-13 - 2006-08-19,66
2006-08-20 - 2006-08-26,72
2006-08-27 - 2006-09-02,74
2006-09-03 - 2006-09-09,76
2006-09-10 - 2006-09-16,74
2006-09-17 - 2006-09-23,75
2006-09-24 - 2006-09-30,78
2006-10-01 - 2006-10-07,79
2006-10-08 - 2006-10-14,77
2006-10-15 - 2006-10-21,77
2006-10-22 - 2006-10-28,79
2006-10-29 - 2006-11-04,74
2006-11-05 - 2006-11-11,77
2006-11-12 - 2006-11-18,79
2006-11-19 - 2006-11-25,79
2006-11-26 - 2006-12-02,75
2006-12-03 - 2006-12-09,72
2006-12-10 - 2006-12-16,70
2006-12-17 - 2006-12-23,66
2006-12-24 - 2006-12-30,62
2006-12-31 - 2007-01-06,64
2007-01-07 - 2007-01-13,71
2007-01-14 - 2007-01-20,72
2007-01-21 - 2007-01-27,73
2007-01-28 - 2007-02-03,73
2007-02-04 - 2007-02-10,73
2007-02-11 - 2007-02-17,76
2007-02-18 - 2007-02-24,78
2007-02-25 - 2007-03-03,76
2007-03-04 - 2007-03-10,79
2007-03-11 - 2007-03-17,78
2007-03-18 - 2007-03-24,80
2007-03-25 - 2007-03-31,79
2007-04-01 - 2007-04-07,68
2007-04-08 - 2007-04-14,75
2007-04-15 - 2007-04-21,78
2007-04-22 - 2007-04-28,79
2007-04-29 - 2007-05-05,80
2007-05-06 - 2007-05-12,85
2007-05-13 - 2007-05-19,83
2007-05-20 - 2007-05-26,82
2007-05-27 - 2007-06-02,86
2007-06-03 - 2007-06-09,82
2007-06-10 - 2007-06-16,81
2007-06-17 - 2007-06-23,79
2007-06-24 - 2007-06-30,74
2007-07-01 - 2007-07-07,75
2007-07-08 - 2007-07-14,74
2007-07-15 - 2007-07-21,73
2007-07-22 - 2007-07-28,72
2007-07-29 - 2007-08-04,72
2007-08-05 - 2007-08-11,72
2007-08-12 - 2007-08-18,72
2007-08-19 - 2007-08-25,77
2007-08-26 - 2007-09-01,81
2007-09-02 - 2007-09-08,81
2007-09-09 - 2007-09-15,81
2007-09-16 - 2007-09-22,81
2007-09-23 - 2007-09-29,84
2007-09-30 - 2007-10-06,83
2007-10-07 - 2007-10-13,83
2007-10-14 - 2007-10-20,83
2007-10-21 - 2007-10-27,83
2007-10-28 - 2007-11-03,79
2007-11-04 - 2007-11-10,81
2007-11-11 - 2007-11-17,84
2007-11-18 - 2007-11-24,89
2007-11-25 - 2007-12-01,85
2007-12-02 - 2007-12-08,84
2007-12-09 - 2007-12-15,75
2007-12-16 - 2007-12-22,70
2007-12-23 - 2007-12-29,66
2007-12-30 - 2008-01-05,68
2008-01-06 - 2008-01-12,75
2008-01-13 - 2008-01-19,77
2008-01-20 - 2008-01-26,79
2008-01-27 - 2008-02-02,78
2008-02-03 - 2008-02-09,80
2008-02-10 - 2008-02-16,83
2008-02-17 - 2008-02-23,83
2008-02-24 - 2008-03-01,81
2008-03-02 - 2008-03-08,83
2008-03-09 - 2008-03-15,84
2008-03-16 - 2008-03-22,74
2008-03-23 - 2008-03-29,81
2008-03-30 - 2008-04-05,85
2008-04-06 - 2008-04-12,84
2008-04-13 - 2008-04-19,87
2008-04-20 - 2008-04-26,87
2008-04-27 - 2008-05-03,82
2008-05-04 - 2008-05-10,87
2008-05-11 - 2008-05-17,86
2008-05-18 - 2008-05-24,89
2008-05-25 - 2008-05-31,89
2008-06-01 - 2008-06-07,87
2008-06-08 - 2008-06-14,87
2008-06-15 - 2008-06-21,84
2008-06-22 - 2008-06-28,80
2008-06-29 - 2008-07-05,79
2008-07-06 - 2008-07-12,78
2008-07-13 - 2008-07-19,76
2008-07-20 - 2008-07-26,76
2008-07-27 - 2008-08-02,76
2008-08-03 - 2008-08-09,75
2008-08-10 - 2008-08-16,75
2008-08-17 - 2008-08-23,80
2008-08-24 - 2008-08-30,85
2008-08-31 - 2008-09-06,87
2008-09-07 - 2008-09-13,86
2008-09-14 - 2008-09-20,84
2008-09-21 - 2008-09-27,88
2008-09-28 - 2008-10-04,90
2008-10-05 - 2008-10-11,87
2008-10-12 - 2008-10-18,89
2008-10-19 - 2008-10-25,88
2008-10-26 - 2008-11-01,87
2008-11-02 - 2008-11-08,86
2008-11-09 - 2008-11-15,88
2008-11-16 - 2008-11-22,86
2008-11-23 - 2008-11-29,88
2008-11-30 - 2008-12-06,84
2008-12-07 - 2008-12-13,82
2008-12-14 - 2008-12-20,75
2008-12-21 - 2008-12-27,70
2008-12-28 - 2009-01-03,72
2009-01-04 - 2009-01-10,77
2009-01-11 - 2009-01-17,82
2009-01-18 - 2009-01-24,82
2009-01-25 - 2009-01-31,83
2009-02-01 - 2009-02-07,83
2009-02-08 - 2009-02-14,86
2009-02-15 - 2009-02-21,84
2009-02-22 - 2009-02-28,84
2009-03-01 - 2009-03-07,88
2009-03-08 - 2009-03-14,90
2009-03-15 - 2009-03-21,88
2009-03-22 - 2009-03-28,91
2009-03-29 - 2009-04-04,89
2009-04-05 - 2009-04-11,81
2009-04-12 - 2009-04-18,90
2009-04-19 - 2009-04-25,93
2009-04-26 - 2009-05-02,91
2009-05-03 - 2009-05-09,91
2009-05-10 - 2009-05-16,92
2009-05-17 - 2009-05-23,93
2009-05-24 - 2009-05-30,94
2009-05-31 - 2009-06-06,91
2009-06-07 - 2009-06-13,92
2009-06-14 - 2009-06-20,90
2009-06-21 - 2009-06-27,87
2009-06-28 - 2009-07-04,86
2009-07-05 - 2009-07-11,83
2009-07-12 - 2009-07-18,83
2009-07-19 - 2009-07-25,83
2009-07-26 - 2009-08-01,82
2009-08-02 - 2009-08-08,83
2009-08-09 - 2009-08-15,83
2009-08-16 - 2009-08-22,84
2009-08-23 - 2009-08-29,90
2009-08-30 - 2009-09-05,94
2009-09-06 - 2009-09-12,93
2009-09-13 - 2009-09-19,91
2009-09-20 - 2009-09-26,95
2009-09-27 - 2009-10-03,95
2009-10-04 - 2009-10-10,94
2009-10-11 - 2009-10-17,93
2009-10-18 - 2009-10-24,93
2009-10-25 - 2009-10-31,90
2009-11-01 - 2009-11-07,91
2009-11-08 - 2009-11-14,93
2009-11-15 - 2009-11-21,91
2009-11-22 - 2009-11-28,93
2009-11-29 - 2009-12-05,88
2009-12-06 - 2009-12-12,83
2009-12-13 - 2009-12-19,82
2009-12-20 - 2009-12-26,75
2009-12-27 - 2010-01-02,77
2010-01-03 - 2010-01-09,80
2010-01-10 - 2010-01-16,85
2010-01-17 - 2010-01-23,85
2010-01-24 - 2010-01-30,88
2010-01-31 - 2010-02-06,88
2010-02-07 - 2010-02-13,92
2010-02-14 - 2010-02-20,91
2010-02-21 - 2010-02-27,91
2010-02-28 - 2010-03-06,92
2010-03-07 - 2010-03-13,98
2010-03-14 - 2010-03-20,95
2010-03-21 - 2010-03-27,96
2010-03-28 - 2010-04-03,86
2010-04-04 - 2010-04-10,95
2010-04-11 - 2010-04-17,98
2010-04-18 - 2010-04-24,97
2010-04-25 - 2010-05-01,97
2010-05-02 - 2010-05-08,100
2010-05-09 - 2010-05-15,98
2010-05-16 - 2010-05-22,98
2010-05-23 - 2010-05-29,99
2010-05-30 - 2010-06-05,100
2010-06-06 - 2010-06-12,98
2010-06-13 - 2010-06-19,96
2010-06-20 - 2010-06-26,91
2010-06-27 - 2010-07-03,90
2010-07-04 - 2010-07-10,87
2010-07-11 - 2010-07-17,87
2010-07-18 - 2010-07-24,84
2010-07-25 - 2010-07-31,84
2010-08-01 - 2010-08-07,84
2010-08-08 - 2010-08-14,83
2010-08-15 - 2010-08-21,84
2010-08-22 - 2010-08-28,90
2010-08-29 - 2010-09-04,93
2010-09-05 - 2010-09-11,95
2010-09-12 - 2010-09-18,90
2010-09-19 - 2010-09-25,93
2010-09-26 - 2010-10-02,93
2010-10-03 - 2010-10-09,95
2010-10-10 - 2010-10-16,93
2010-10-17 - 2010-10-23,93
2010-10-24 - 2010-10-30,93
2010-10-31 - 2010-11-06,92
2010-11-07 - 2010-11-13,94
2010-11-14 - 2010-11-20,95
2010-11-21 - 2010-11-27,95
2010-11-28 - 2010-12-04,90
2010-12-05 - 2010-12-11,87
2010-12-12 - 2010-12-18,84
2010-12-19 - 2010-12-25,79
2010-12-26 - 2011-01-01,80
2011-01-02 - 2011-01-08,82
2011-01-09 - 2011-01-15,88
2011-01-16 - 2011-01-22,89
2011-01-23 - 2011-01-29,90
2011-01-30 - 2011-02-05,93
2011-02-06 - 2011-02-12,93
2011-02-13 - 2011-02-19,93
2011-02-20 - 2011-02-26,92
2011-02-27 - 2011-03-05,91
2011-03-06 - 2011-03-12,94
2011-03-13 - 2011-03-19,94
2011-03-20 - 2011-03-26,96
2011-03-27 - 2011-04-02,96
2011-04-03 - 2011-04-09,95
2011-04-10 - 2011-04-16,96
2011-04-17 - 2011-04-23,88
2011-04-24 - 2011-04-30,94
2011-05-01 - 2011-05-07,97
2011-05-08 - 2011-05-14,98
2011-05-15 - 2011-05-21,99
2011-05-22 - 2011-05-28,99
2011-05-29 - 2011-06-04,100
2011-06-05 - 2011-06-11,97
2011-06-12 - 2011-06-18,94
2011-06-19 - 2011-06-25,94
2011-06-26 - 2011-07-02,91
2011-07-03 - 2011-07-09,91
2011-07-10 - 2011-07-16,89
2011-07-17 - 2011-07-23,89
2011-07-24 - 2011-07-30,89
2011-07-31 - 2011-08-06,88
2011-08-07 - 2011-08-13,87
2011-08-14 - 2011-08-20,86
2011-08-21 - 2011-08-27,92
2011-08-28 - 2011-09-03,96
2011-09-04 - 2011-09-10,94
2011-09-11 - 2011-09-17,93
2011-09-18 - 2011-09-24,95
2011-09-25 - 2011-10-01,96
2011-10-02 - 2011-10-08,97
2011-10-09 - 2011-10-15,93
2011-10-16 - 2011-10-22,95
2011-10-23 - 2011-10-29,96
2011-10-30 - 2011-11-05,93
2011-11-06 - 2011-11-12,96
2011-11-13 - 2011-11-19,95
2011-11-20 - 2011-11-26,94
2011-11-27 - 2011-12-03,91
2011-12-04 - 2011-12-10,87
2011-12-11 - 2011-12-17,86
2011-12-18 - 2011-12-24,81
2011-12-25 - 2011-12-31,80
2012-01-01 - 2012-01-07,83
2012-01-08 - 2012-01-14,87
2012-01-15 - 2012-01-21,89
2012-01-22 - 2012-01-28,89
2012-01-29 - 2012-02-04,89
2012-02-05 - 2012-02-11,90
2012-02-12 - 2012-02-18,90
2012-02-19 - 2012-02-25,89
2012-02-26 - 2012-03-03,92
2012-03-04 - 2012-03-10,96
2012-03-11 - 2012-03-17,91
2012-03-18 - 2012-03-24,92
2012-03-25 - 2012-03-31,91
2012-04-01 - 2012-04-07,83
2012-04-08 - 2012-04-14,91
2012-04-15 - 2012-04-21,93
2012-04-22 - 2012-04-28,93
2012-04-29 - 2012-05-05,90
2012-05-06 - 2012-05-12,96
2012-05-13 - 2012-05-19,94
2012-05-20 - 2012-05-26,94
2012-05-27 - 2012-06-02,93
2012-06-03 - 2012-06-09,92
2012-06-10 - 2012-06-16,91
2012-06-17 - 2012-06-23,88
2012-06-24 - 2012-06-30,87
2012-07-01 - 2012-07-07,86
2012-07-08 - 2012-07-14,85
2012-07-15 - 2012-07-21,83
2012-07-22 - 2012-07-28,85
2012-07-29 - 2012-08-04,84
2012-08-05 - 2012-08-11,82
2012-08-12 - 2012-08-18,86
2012-08-19 - 2012-08-25,90
2012-08-26 - 2012-09-01,92
2012-09-02 - 2012-09-08,92
2012-09-09 - 2012-09-15,91
2012-09-16 - 2012-09-22,91
2012-09-23 - 2012-09-29,94
2012-09-30 - 2012-10-06,92
2012-10-07 - 2012-10-13,90
2012-10-14 - 2012-10-20,91
2012-10-21 - 2012-10-27,92
2012-10-28 - 2012-11-03,87
2012-11-04 - 2012-11-10,90
2012-11-11 - 2012-11-17,90
2012-11-18 - 2012-11-24,90
2012-11-25 - 2012-12-01,89
2012-12-02 - 2012-12-08,85
2012-12-09 - 2012-12-15,86
2012-12-16 - 2012-12-22,81
2012-12-23 - 2012-12-29,76
2012-12-30 - 2013-01-05,77
2013-01-06 - 2013-01-12,82
2013-01-13 - 2013-01-19,85
2013-01-20 - 2013-01-26,86
2013-01-27 - 2013-02-02,87
2013-02-03 - 2013-02-09,87
2013-02-10 - 2013-02-16,89
2013-02-17 - 2013-02-23,88
2013-02-24 - 2013-03-02,89
2013-03-03 - 2013-03-09,94
2013-03-10 - 2013-03-16,94
2013-03-17 - 2013-03-23,91
2013-03-24 - 2013-03-30,85
2013-03-31 - 2013-04-06,90
2013-04-07 - 2013-04-13,92
2013-04-14 - 2013-04-20,93
2013-04-21 - 2013-04-27,93
2013-04-28 - 2013-05-04,92
2013-05-05 - 2013-05-11,93
2013-05-12 - 2013-05-18,92
2013-05-19 - 2013-05-25,93
2013-05-26 - 2013-06-01,95
2013-06-02 - 2013-06-08,92
2013-06-09 - 2013-06-15,89
2013-06-16 - 2013-06-22,88
2013-06-23 - 2013-06-29,88
2013-06-30 - 2013-07-06,87
2013-07-07 - 2013-07-13,85
2013-07-14 - 2013-07-20,85
2013-07-21 - 2013-07-27,84
2013-07-28 - 2013-08-03,85
2013-08-04 - 2013-08-10,85
2013-08-11 - 2013-08-17,83
2013-08-18 - 2013-08-24,87
2013-08-25 - 2013-08-31,90
2013-09-01 - 2013-09-07,92
2013-09-08 - 2013-09-14,90
2013-09-15 - 2013-09-21,91
2013-09-22 - 2013-09-28,93
2013-09-29 - 2013-10-05,93
2013-10-06 - 2013-10-12,93
2013-10-13 - 2013-10-19,93
2013-10-20 - 2013-10-26,93
2013-10-27 - 2013-11-02,91
2013-11-03 - 2013-11-09,90
2013-11-10 - 2013-11-16,92
2013-11-17 - 2013-11-23,90
2013-11-24 - 2013-11-30,89
2013-12-01 - 2013-12-07,88
2013-12-08 - 2013-12-14,85
2013-12-15 - 2013-12-21,81
2013-12-22 - 2013-12-28,79
2013-12-29 - 2014-01-04,80
2014-01-05 - 2014-01-11,85
2014-01-12 - 2014-01-18,88
2014-01-19 - 2014-01-25,88
2014-01-26 - 2014-02-01,92
2014-02-02 - 2014-02-08,92
2014-02-09 - 2014-02-15,94
2014-02-16 - 2014-02-22,92
2014-02-23 - 2014-03-01,91
2014-03-02 - 2014-03-08,95
2014-03-09 - 2014-03-15,96
2014-03-16 - 2014-03-22,94
2014-03-23 - 2014-03-29,95
2014-03-30 - 2014-04-05,94
2014-04-06 - 2014-04-12,94
2014-04-13 - 2014-04-19,87
2014-04-20 - 2014-04-26,93
2014-04-27 - 2014-05-03,94
2014-05-04 - 2014-05-10,96
2014-05-11 - 2014-05-17,95
2014-05-18 - 2014-05-24,98
2014-05-25 - 2014-05-31,98
2014-06-01 - 2014-06-07,96
2014-06-08 - 2014-06-14,95
2014-06-15 - 2014-06-21,94
2014-06-22 - 2014-06-28,91
2014-06-29 - 2014-07-05,89
2014-07-06 - 2014-07-12,90
2014-07-13 - 2014-07-19,88
2014-07-20 - 2014-07-26,90
2014-07-27 - 2014-08-02,90
2014-08-03 - 2014-08-09,87
2014-08-10 - 2014-08-16,87
2014-08-17 - 2014-08-23,91
2014-08-24 - 2014-08-30,93
2014-08-31 - 2014-09-06,94
2014-09-07 - 2014-09-13,93
2014-09-14 - 2014-09-20,91
2014-09-21 - 2014-09-27,94
2014-09-28 - 2014-10-04,96
2014-10-05 - 2014-10-11,95
2014-10-12 - 2014-10-18,94
2014-10-19 - 2014-10-25,94
2014-10-26 - 2014-11-01,94
2014-11-02 - 2014-11-08,95
2014-11-09 - 2014-11-15,95
2014-11-16 - 2014-11-22,92
2014-11-23 - 2014-11-29,94
2014-11-30 - 2014-12-06,89
2014-12-07 - 2014-12-13,87
2014-12-14 - 2014-12-20,83
2014-12-21 - 2014-12-27,77
2014-12-28 - 2015-01-03,81
2015-01-04 - 2015-01-10,84
2015-01-11 - 2015-01-17,87
2015-01-18 - 2015-01-24,89
2015-01-25 - 2015-01-31,91
2015-02-01 - 2015-02-07,91
2015-02-08 - 2015-02-14,91
2015-02-15 - 2015-02-21,92
2015-02-22 - 2015-02-28,93
2015-03-01 - 2015-03-07,94
2015-03-08 - 2015-03-14,97
2015-03-15 - 2015-03-21,93
2015-03-22 - 2015-03-28,94
2015-03-29 - 2015-04-04,85
2015-04-05 - 2015-04-11,94
2015-04-12 - 2015-04-18,94
2015-04-19 - 2015-04-25,95
2015-04-26 - 2015-05-02,95
2015-05-03 - 2015-05-09,97
2015-05-10 - 2015-05-16,96
2015-05-17 - 2015-05-23,95
2015-05-24 - 2015-05-30,96
2015-05-31 - 2015-06-06,94
2015-06-07 - 2015-06-13,93
2015-06-14 - 2015-06-20,91
2015-06-21 - 2015-06-27,90
2015-06-28 - 2015-07-04,89
2015-07-05 - 2015-07-11,87
2015-07-12 - 2015-07-18,87
2015-07-19 - 2015-07-25,87
2015-07-26 - 2015-08-01,86
2015-08-02 - 2015-08-08,86
2015-08-09 - 2015-08-15,88
2015-08-16 - 2015-08-22,87
2015-08-23 - 2015-08-29,93
2015-08-30 - 2015-09-05,92
2015-09-06 - 2015-09-12,93
2015-09-13 - 2015-09-19,90
2015-09-20 - 2015-09-26,95
2015-09-27 - 2015-10-03,94
2015-10-04 - 2015-10-10,94
2015-10-11 - 2015-10-17,93
2015-10-18 - 2015-10-24,95
2015-10-25 - 2015-10-31,94
2015-11-01 - 2015-11-07,91
2015-11-08 - 2015-11-14,96
2015-11-15 - 2015-11-21,92
2015-11-22 - 2015-11-28,92
2015-11-29 - 2015-12-05,86
2015-12-06 - 2015-12-12,85
2015-12-13 - 2015-12-19,85
2015-12-20 - 2015-12-26,80
2015-12-27 - 2016-01-02,82
2016-01-03 - 2016-01-09,86
2016-01-10 - 2016-01-16,87
2016-01-17 - 2016-01-23,90
2016-01-24 - 2016-01-30,91
2016-01-31 - 2016-02-06,88
2016-02-07 - 2016-02-13,92
2016-02-14 - 2016-02-20,93
2016-02-21 - 2016-02-27,92
2016-02-28 - 2016-03-05,92
2016-03-06 - 2016-03-12,98
2016-03-13 - 2016-03-19,91
2016-03-20 - 2016-03-26,85
2016-03-27 - 2016-04-02,91
2016-04-03 - 2016-04-09,93
2016-04-10 - 2016-04-16,94
2016-04-17 - 2016-04-23,96
2016-04-24 - 2016-04-30,93
2016-05-01 - 2016-05-07,94
2016-05-08 - 2016-05-14,96
2016-05-15 - 2016-05-21,94
2016-05-22 - 2016-05-28,95
2016-05-29 - 2016-06-04,94
2016-06-05 - 2016-06-11,92
2016-06-12 - 2016-06-18,91
2016-06-19 - 2016-06-25,88
2016-06-26 - 2016-07-02,86


Top regions for carlo+la+vecchia
Region,carlo+la+vecchia
Honduras,100
Nicaragua,98
Dominican Republic,93
El Salvador,92
Ecuador,91
Guatemala,89
Argentina,88
Panama,87
Colombia,86
Venezuela,83
Peru,81
Mexico,78
Réunion,77
Paraguay,73
Chile,72
Spain,68
Uruguay,67
Costa Rica,66
Bolivia,60
France,51
Puerto Rico,47
Italy,32
Romania,30
Morocco,23
Algeria,22
Belgium,22
Tunisia,21
Vietnam,14
Switzerland,14
Canada,9
United States,6
United Kingdom,4
Portugal,3
Germany,3
Netherlands,3
Sweden,2
Australia,2
Brazil,2
India,1
Poland,1
Japan,1
Turkey,1


Top cities for carlo+la+vecchia
City,carlo+la+vecchia
Córdoba (Argentina),100
Guatemala City (Guatemala),90
Rosario (Argentina),89
Cali (Colombia),89
Maracaibo (Venezuela),84
Medellín (Colombia),83
Caracas (Venezuela),82
Buenos Aires (Argentina),80
Bogotá (Colombia),80
Mexico City (Mexico),75
Seville (Spain),75
Guadalajara (Mexico),73
Monterrey (Mexico),71
Santiago (Chile),70
Barcelona (Spain),69



Top searches for carlo+la+vecchia
facebook,100
youtube,60
google,45
videos,40
la caixa,35
la banque postale,35
la nacion,30
juegos,30
hotmail,30
la redoute,30
la voz,30
tiempo,25
la poste,20
you,20
yahoo,20
wikipedia,20
la repubblica,20
la liga,15
meteo,15
la republica,15
el mundo,15
la centrale,15
la familia,15
rue la la,15
la biblia,15
peliculas,15
la provincia,10
el tiempo,10
la prensa,10
traductor,10
la pagina,10
la capital,10
le bon coin,10
la red,10
la verdad,10
marca,10
la stampa,10
la segunda,10
monte carlo,10
la quinta,10
la vanguardia,10
la fitness,10
la cuarta,10
you tube,10
la tercera,10
la gaceta,10
la razon,10
el pais,10
maps,10
orange,5



Rising searches for carlo+la+vecchia
facebook,Breakout
la banque postale,Breakout
wikipedia,Breakout
youtube,Breakout
google,+1,150%
hotmail,+450%
you,+350%
videos,+250%
yahoo,+180%
tiempo,+160%



