Web Search interest: david+forbes+hendry
Worldwide 2004 - present

Interest over time
Week,david+forbes+hendry
2006-10-15 - 2006-10-21,28
2006-10-22 - 2006-10-28,28
2006-10-29 - 2006-11-04,28
2006-11-05 - 2006-11-11,29
2006-11-12 - 2006-11-18,28
2006-11-19 - 2006-11-25,27
2006-11-26 - 2006-12-02,27
2006-12-03 - 2006-12-09,28
2006-12-10 - 2006-12-16,29
2006-12-17 - 2006-12-23,27
2006-12-24 - 2006-12-30,25
2006-12-31 - 2007-01-06,27
2007-01-07 - 2007-01-13,28
2007-01-14 - 2007-01-20,27
2007-01-21 - 2007-01-27,26
2007-01-28 - 2007-02-03,26
2007-02-04 - 2007-02-10,26
2007-02-11 - 2007-02-17,25
2007-02-18 - 2007-02-24,26
2007-02-25 - 2007-03-03,26
2007-03-04 - 2007-03-10,27
2007-03-11 - 2007-03-17,26
2007-03-18 - 2007-03-24,25
2007-03-25 - 2007-03-31,26
2007-04-01 - 2007-04-07,25
2007-04-08 - 2007-04-14,26
2007-04-15 - 2007-04-21,26
2007-04-22 - 2007-04-28,28
2007-04-29 - 2007-05-05,28
2007-05-06 - 2007-05-12,27
2007-05-13 - 2007-05-19,27
2007-05-20 - 2007-05-26,25
2007-05-27 - 2007-06-02,25
2007-06-03 - 2007-06-09,26
2007-06-10 - 2007-06-16,26
2007-06-17 - 2007-06-23,26
2007-06-24 - 2007-06-30,26
2007-07-01 - 2007-07-07,25
2007-07-08 - 2007-07-14,28
2007-07-15 - 2007-07-21,28
2007-07-22 - 2007-07-28,27
2007-07-29 - 2007-08-04,25
2007-08-05 - 2007-08-11,26
2007-08-12 - 2007-08-18,26
2007-08-19 - 2007-08-25,26
2007-08-26 - 2007-09-01,25
2007-09-02 - 2007-09-08,25
2007-09-09 - 2007-09-15,26
2007-09-16 - 2007-09-22,25
2007-09-23 - 2007-09-29,26
2007-09-30 - 2007-10-06,26
2007-10-07 - 2007-10-13,26
2007-10-14 - 2007-10-20,26
2007-10-21 - 2007-10-27,26
2007-10-28 - 2007-11-03,26
2007-11-04 - 2007-11-10,26
2007-11-11 - 2007-11-17,26
2007-11-18 - 2007-11-24,26
2007-11-25 - 2007-12-01,28
2007-12-02 - 2007-12-08,28
2007-12-09 - 2007-12-15,27
2007-12-16 - 2007-12-22,27
2007-12-23 - 2007-12-29,24
2007-12-30 - 2008-01-05,26
2008-01-06 - 2008-01-12,26
2008-01-13 - 2008-01-19,25
2008-01-20 - 2008-01-26,25
2008-01-27 - 2008-02-02,25
2008-02-03 - 2008-02-09,26
2008-02-10 - 2008-02-16,26
2008-02-17 - 2008-02-23,25
2008-02-24 - 2008-03-01,27
2008-03-02 - 2008-03-08,29
2008-03-09 - 2008-03-15,28
2008-03-16 - 2008-03-22,26
2008-03-23 - 2008-03-29,26
2008-03-30 - 2008-04-05,26
2008-04-06 - 2008-04-12,26
2008-04-13 - 2008-04-19,26
2008-04-20 - 2008-04-26,26
2008-04-27 - 2008-05-03,27
2008-05-04 - 2008-05-10,26
2008-05-11 - 2008-05-17,27
2008-05-18 - 2008-05-24,32
2008-05-25 - 2008-05-31,27
2008-06-01 - 2008-06-07,27
2008-06-08 - 2008-06-14,27
2008-06-15 - 2008-06-21,26
2008-06-22 - 2008-06-28,27
2008-06-29 - 2008-07-05,26
2008-07-06 - 2008-07-12,26
2008-07-13 - 2008-07-19,26
2008-07-20 - 2008-07-26,25
2008-07-27 - 2008-08-02,25
2008-08-03 - 2008-08-09,26
2008-08-10 - 2008-08-16,25
2008-08-17 - 2008-08-23,26
2008-08-24 - 2008-08-30,26
2008-08-31 - 2008-09-06,25
2008-09-07 - 2008-09-13,25
2008-09-14 - 2008-09-20,29
2008-09-21 - 2008-09-27,30
2008-09-28 - 2008-10-04,26
2008-10-05 - 2008-10-11,25
2008-10-12 - 2008-10-18,25
2008-10-19 - 2008-10-25,26
2008-10-26 - 2008-11-01,26
2008-11-02 - 2008-11-08,26
2008-11-09 - 2008-11-15,26
2008-11-16 - 2008-11-22,26
2008-11-23 - 2008-11-29,25
2008-11-30 - 2008-12-06,26
2008-12-07 - 2008-12-13,27
2008-12-14 - 2008-12-20,26
2008-12-21 - 2008-12-27,24
2008-12-28 - 2009-01-03,25
2009-01-04 - 2009-01-10,25
2009-01-11 - 2009-01-17,26
2009-01-18 - 2009-01-24,25
2009-01-25 - 2009-01-31,26
2009-02-01 - 2009-02-07,26
2009-02-08 - 2009-02-14,27
2009-02-15 - 2009-02-21,25
2009-02-22 - 2009-02-28,26
2009-03-01 - 2009-03-07,25
2009-03-08 - 2009-03-14,26
2009-03-15 - 2009-03-21,25
2009-03-22 - 2009-03-28,25
2009-03-29 - 2009-04-04,25
2009-04-05 - 2009-04-11,24
2009-04-12 - 2009-04-18,24
2009-04-19 - 2009-04-25,26
2009-04-26 - 2009-05-02,26
2009-05-03 - 2009-05-09,25
2009-05-10 - 2009-05-16,25
2009-05-17 - 2009-05-23,24
2009-05-24 - 2009-05-30,24
2009-05-31 - 2009-06-06,36
2009-06-07 - 2009-06-13,36
2009-06-14 - 2009-06-20,27
2009-06-21 - 2009-06-27,25
2009-06-28 - 2009-07-04,24
2009-07-05 - 2009-07-11,24
2009-07-12 - 2009-07-18,25
2009-07-19 - 2009-07-25,25
2009-07-26 - 2009-08-01,25
2009-08-02 - 2009-08-08,25
2009-08-09 - 2009-08-15,26
2009-08-16 - 2009-08-22,26
2009-08-23 - 2009-08-29,26
2009-08-30 - 2009-09-05,26
2009-09-06 - 2009-09-12,26
2009-09-13 - 2009-09-19,26
2009-09-20 - 2009-09-26,27
2009-09-27 - 2009-10-03,28
2009-10-04 - 2009-10-10,29
2009-10-11 - 2009-10-17,27
2009-10-18 - 2009-10-24,26
2009-10-25 - 2009-10-31,26
2009-11-01 - 2009-11-07,28
2009-11-08 - 2009-11-14,28
2009-11-15 - 2009-11-21,26
2009-11-22 - 2009-11-28,24
2009-11-29 - 2009-12-05,25
2009-12-06 - 2009-12-12,26
2009-12-13 - 2009-12-19,26
2009-12-20 - 2009-12-26,25
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,25
2010-01-10 - 2010-01-16,25
2010-01-17 - 2010-01-23,25
2010-01-24 - 2010-01-30,25
2010-01-31 - 2010-02-06,26
2010-02-07 - 2010-02-13,25
2010-02-14 - 2010-02-20,25
2010-02-21 - 2010-02-27,25
2010-02-28 - 2010-03-06,26
2010-03-07 - 2010-03-13,26
2010-03-14 - 2010-03-20,27
2010-03-21 - 2010-03-27,26
2010-03-28 - 2010-04-03,26
2010-04-04 - 2010-04-10,27
2010-04-11 - 2010-04-17,26
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,27
2010-05-02 - 2010-05-08,28
2010-05-09 - 2010-05-15,30
2010-05-16 - 2010-05-22,28
2010-05-23 - 2010-05-29,27
2010-05-30 - 2010-06-05,26
2010-06-06 - 2010-06-12,27
2010-06-13 - 2010-06-19,27
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,29
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,26
2010-08-01 - 2010-08-07,26
2010-08-08 - 2010-08-14,26
2010-08-15 - 2010-08-21,26
2010-08-22 - 2010-08-28,26
2010-08-29 - 2010-09-04,25
2010-09-05 - 2010-09-11,25
2010-09-12 - 2010-09-18,25
2010-09-19 - 2010-09-25,26
2010-09-26 - 2010-10-02,26
2010-10-03 - 2010-10-09,26
2010-10-10 - 2010-10-16,26
2010-10-17 - 2010-10-23,25
2010-10-24 - 2010-10-30,24
2010-10-31 - 2010-11-06,26
2010-11-07 - 2010-11-13,26
2010-11-14 - 2010-11-20,26
2010-11-21 - 2010-11-27,23
2010-11-28 - 2010-12-04,24
2010-12-05 - 2010-12-11,25
2010-12-12 - 2010-12-18,25
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,25
2011-01-09 - 2011-01-15,25
2011-01-16 - 2011-01-22,24
2011-01-23 - 2011-01-29,24
2011-01-30 - 2011-02-05,24
2011-02-06 - 2011-02-12,24
2011-02-13 - 2011-02-19,24
2011-02-20 - 2011-02-26,23
2011-02-27 - 2011-03-05,24
2011-03-06 - 2011-03-12,24
2011-03-13 - 2011-03-19,23
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,23
2011-04-03 - 2011-04-09,23
2011-04-10 - 2011-04-16,24
2011-04-17 - 2011-04-23,24
2011-04-24 - 2011-04-30,26
2011-05-01 - 2011-05-07,24
2011-05-08 - 2011-05-14,24
2011-05-15 - 2011-05-21,24
2011-05-22 - 2011-05-28,24
2011-05-29 - 2011-06-04,23
2011-06-05 - 2011-06-11,23
2011-06-12 - 2011-06-18,24
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,25
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,25
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,24
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,24
2011-08-28 - 2011-09-03,25
2011-09-04 - 2011-09-10,25
2011-09-11 - 2011-09-17,25
2011-09-18 - 2011-09-24,25
2011-09-25 - 2011-10-01,24
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,25
2011-10-16 - 2011-10-22,24
2011-10-23 - 2011-10-29,25
2011-10-30 - 2011-11-05,25
2011-11-06 - 2011-11-12,25
2011-11-13 - 2011-11-19,25
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,24
2011-12-04 - 2011-12-10,25
2011-12-11 - 2011-12-17,26
2011-12-18 - 2011-12-24,25
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,26
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,25
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,26
2012-02-12 - 2012-02-18,25
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,24
2012-03-04 - 2012-03-10,24
2012-03-11 - 2012-03-17,22
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,23
2012-04-01 - 2012-04-07,23
2012-04-08 - 2012-04-14,23
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,24
2012-04-29 - 2012-05-05,23
2012-05-06 - 2012-05-12,23
2012-05-13 - 2012-05-19,23
2012-05-20 - 2012-05-26,23
2012-05-27 - 2012-06-02,22
2012-06-03 - 2012-06-09,23
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,23
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,23
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,23
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,23
2012-09-30 - 2012-10-06,23
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,22
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,24
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,23
2012-12-16 - 2012-12-22,22
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,23
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,23
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,21
2013-04-14 - 2013-04-20,21
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,23
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,22
2013-07-07 - 2013-07-13,22
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,22
2013-08-04 - 2013-08-10,22
2013-08-11 - 2013-08-17,21
2013-08-18 - 2013-08-24,22
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,23
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,21
2013-10-20 - 2013-10-26,21
2013-10-27 - 2013-11-02,23
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,21
2013-12-01 - 2013-12-07,22
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,22
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,22
2014-02-09 - 2014-02-15,21
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,21
2014-03-02 - 2014-03-08,21
2014-03-09 - 2014-03-15,21
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,21
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,22
2014-05-11 - 2014-05-17,21
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,27
2014-07-13 - 2014-07-19,23
2014-07-20 - 2014-07-26,22
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,21
2014-11-23 - 2014-11-29,21
2014-11-30 - 2014-12-06,21
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,20
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,20
2015-02-08 - 2015-02-14,21
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,22
2015-03-08 - 2015-03-14,21
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,20
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,22
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,24
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,25
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,21
2015-06-14 - 2015-06-20,20
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,21
2015-08-02 - 2015-08-08,20
2015-08-09 - 2015-08-15,20
2015-08-16 - 2015-08-22,20
2015-08-23 - 2015-08-29,20
2015-08-30 - 2015-09-05,20
2015-09-06 - 2015-09-12,21
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,23
2015-09-27 - 2015-10-03,20
2015-10-04 - 2015-10-10,20
2015-10-11 - 2015-10-17,19
2015-10-18 - 2015-10-24,21
2015-10-25 - 2015-10-31,20
2015-11-01 - 2015-11-07,20
2015-11-08 - 2015-11-14,20
2015-11-15 - 2015-11-21,21
2015-11-22 - 2015-11-28,20
2015-11-29 - 2015-12-05,21
2015-12-06 - 2015-12-12,21
2015-12-13 - 2015-12-19,21
2015-12-20 - 2015-12-26,20
2015-12-27 - 2016-01-02,21
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,100
2016-01-17 - 2016-01-23,30
2016-01-24 - 2016-01-30,24
2016-01-31 - 2016-02-06,22
2016-02-07 - 2016-02-13,22
2016-02-14 - 2016-02-20,22
2016-02-21 - 2016-02-27,21
2016-02-28 - 2016-03-05,21
2016-03-06 - 2016-03-12,19
2016-03-13 - 2016-03-19,19
2016-03-20 - 2016-03-26,21
2016-03-27 - 2016-04-02,20
2016-04-03 - 2016-04-09,21
2016-04-10 - 2016-04-16,24
2016-04-17 - 2016-04-23,21
2016-04-24 - 2016-04-30,20
2016-05-01 - 2016-05-07,20
2016-05-08 - 2016-05-14,19
2016-05-15 - 2016-05-21,21
2016-05-22 - 2016-05-28,20
2016-05-29 - 2016-06-04,20
2016-06-05 - 2016-06-11,22
2016-06-12 - 2016-06-18,20
2016-06-19 - 2016-06-25,22
2016-06-26 - 2016-07-02,21


Top regions for david+forbes+hendry
Region,david+forbes+hendry
Australia,100
Panama,97
United Kingdom,89
Ireland,75
United States,73
New Zealand,69
Canada,65
Spain,54
South Africa,53
Czech Republic,52
Kenya,50
Nigeria,47
Dominican Republic,42
Guatemala,42
Singapore,42
Switzerland,39
Sweden,39
France,38
Argentina,38
Portugal,37
Philippines,37
Belgium,37
Austria,37
Mexico,37
Costa Rica,36
Ecuador,35
Norway,35
Colombia,34
Germany,31
Chile,31
Slovenia,30
Denmark,30
Peru,30
Venezuela,30
Hong Kong,28
Bolivia,28
Netherlands,28
Croatia,27
Slovakia,27
Italy,27
Hungary,25
Israel,24
Romania,23
United Arab Emirates,23
Serbia,22
Finland,21
Malaysia,21
Brazil,20
Indonesia,20
Poland,17
Greece,17
Morocco,16
India,16
Bulgaria,16
Pakistan,12
South Korea,11
Turkey,9
Taiwan,7
Ukraine,7
Russia,6
Vietnam,6
Thailand,6
Japan,3


Top cities for david+forbes+hendry
City,david+forbes+hendry
Sydney (Australia),100
Melbourne (Australia),89
New York (United States),82
Washington (United States),80
London (United Kingdom),75
San Francisco (United States),69
Los Angeles (United States),68
Dublin (Ireland),65
Toronto (Canada),64
Seattle (United States),64
Chicago (United States),61
Atlanta (United States),58
Houston (United States),57
Dallas (United States),57
Montreal (Canada),50



Top searches for david+forbes+hendry
david guetta,100
david bowie,70
david beckham,55
david jones,30
david bisbal,20
david letterman,15
david james,15
david cameron,15
david villa,15
craig david,15
david tennant,10
david lloyd,10
david lee,10
david luiz,10
king david,10
david yurman,10
david lynch,10
david archuleta,10
david gilmour,10
david foster,10
david copperfield,10
david cook,10
david icke,10
david hasselhoff,10
larry david,10
david garrett,10
harry and david,10
david blaine,5
camp david,5
david haye,5
david jason,5
david guetta titanium,5
david attenborough,5
david gray,5
forbes list,5
david price,5
david wilson,5
pamela david,5
david duchovny,5
david silva,5
david carradine,5
david cross,5
david schwimmer,5
star of david,5
david zepeda,5
david henrie,5
david mitchell,5
david ortiz,5
david boreanaz,5
david spade,5



Rising searches for david+forbes+hendry
david archuleta,Breakout
david luiz,Breakout
david tennant,+2,900%
david guetta,+2,700%
david villa,+1,300%
david cameron,+850%
david gilmour,+130%
david foster,+120%
david jones,+80%
david yurman,+50%



