Web Search interest: software
Worldwide 2004 - present

Interest over time
Week,software
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,29
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,29
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,29
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,30
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,30
2012-08-05 - 2012-08-11,29
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,30
2012-09-16 - 2012-09-22,31
2012-09-23 - 2012-09-29,31
2012-09-30 - 2012-10-06,30
2012-10-07 - 2012-10-13,29
2012-10-14 - 2012-10-20,28
2012-10-21 - 2012-10-27,28
2012-10-28 - 2012-11-03,28
2012-11-04 - 2012-11-10,27
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,27
2012-12-02 - 2012-12-08,27
2012-12-09 - 2012-12-15,27
2012-12-16 - 2012-12-22,26
2012-12-23 - 2012-12-29,27
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,27
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,27
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,27
2013-03-17 - 2013-03-23,27
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,26
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,24
2013-05-12 - 2013-05-18,25
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,24
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,25
2013-06-16 - 2013-06-22,24
2013-06-23 - 2013-06-29,24
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,24
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,25
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,24
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,23
2014-04-06 - 2014-04-12,23
2014-04-13 - 2014-04-19,22
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,22
2014-05-11 - 2014-05-17,22
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,22
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,21
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,21
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,22
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,21
2014-11-30 - 2014-12-06,21
2014-12-07 - 2014-12-13,21
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,21
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,22
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,21
2015-03-08 - 2015-03-14,21
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,20
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,20
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,20
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,19
2015-06-21 - 2015-06-27,19
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,19
2015-08-02 - 2015-08-08,19
2015-08-09 - 2015-08-15,19
2015-08-16 - 2015-08-22,20
2015-08-23 - 2015-08-29,20
2015-08-30 - 2015-09-05,19
2015-09-06 - 2015-09-12,19
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,20
2015-09-27 - 2015-10-03,20
2015-10-04 - 2015-10-10,20
2015-10-11 - 2015-10-17,19
2015-10-18 - 2015-10-24,19
2015-10-25 - 2015-10-31,19
2015-11-01 - 2015-11-07,19
2015-11-08 - 2015-11-14,18
2015-11-15 - 2015-11-21,18
2015-11-22 - 2015-11-28,18
2015-11-29 - 2015-12-05,18
2015-12-06 - 2015-12-12,18
2015-12-13 - 2015-12-19,18
2015-12-20 - 2015-12-26,17
2015-12-27 - 2016-01-02,16
2016-01-03 - 2016-01-09,19
2016-01-10 - 2016-01-16,19
2016-01-17 - 2016-01-23,19
2016-01-24 - 2016-01-30,19
2016-01-31 - 2016-02-06,19
2016-02-07 - 2016-02-13,19
2016-02-14 - 2016-02-20,18
2016-02-21 - 2016-02-27,19
2016-02-28 - 2016-03-05,18
2016-03-06 - 2016-03-12,18
2016-03-13 - 2016-03-19,18
2016-03-20 - 2016-03-26,18
2016-03-27 - 2016-04-02,18
2016-04-03 - 2016-04-09,18
2016-04-10 - 2016-04-16,18
2016-04-17 - 2016-04-23,18
2016-04-24 - 2016-04-30,18
2016-05-01 - 2016-05-07,17
2016-05-08 - 2016-05-14,17
2016-05-15 - 2016-05-21,18
2016-05-22 - 2016-05-28,17
2016-05-29 - 2016-06-04,17
2016-06-05 - 2016-06-11,17
2016-06-12 - 2016-06-18,17
2016-06-19 - 2016-06-25,17
2016-06-26 - 2016-07-02,13


Top regions for software
Region,software
Bangladesh,100
Nepal,86
Sri Lanka,84
Pakistan,81
India,80
Ghana,72
South Africa,43
Nigeria,43
Kenya,42
United Arab Emirates,39
Malaysia,36
Indonesia,34
Qatar,33
Singapore,31
Philippines,30
New Zealand,27
Australia,26
United States,25
Germany,23
United Kingdom,23
Netherlands,23
Canada,22
Ireland,21
Portugal,21
Austria,21
Bolivia,21
Dominican Republic,20
Costa Rica,20
Guatemala,20
Hong Kong,20
Ecuador,19
Italy,19
Switzerland,19
Venezuela,18
Mexico,17
Colombia,17
Czech Republic,17
Norway,15
Belgium,15
Iran,14
Peru,14
Romania,13
Greece,13
Chile,13
Denmark,13
Croatia,13
Slovakia,12
Serbia,12
Saudi Arabia,12
Spain,11
Bulgaria,11
Egypt,11
Israel,11
Argentina,10
Brazil,10
Finland,10
Sweden,10
Hungary,9
South Korea,6
Thailand,6
China,5
Poland,5
Taiwan,4
Vietnam,4
France,3
Ukraine,3
Russia,3
Turkey,2
Japan,2


Top cities for software
City,software
Kolkata (India),100
Dhaka (Bangladesh),82
Chennai (India),78
Bangalore (India),74
Hyderabad (India),67
Karachi (Pakistan),65
Lahore (Pakistan),61
Ahmedabad (India),61
New Delhi (India),57
Mumbai (India),55
Howrah (India),48
Pune (India),47
Kuala Lumpur (Malaysia),26
Singapore (Singapore),25
Amsterdam (Netherlands),22



Top searches for software
free software,100
download software,100
download,95
pc software,20
mac software,15
software update,15
nokia software,15
nokia,15
mobile software,15
computer software,10
design software,10
samsung software,10
hp software,10
hp,10
microsoft,10
dvd software,10
android software,10
torrent software,5
blackberry software,5
blackberry,5
antivirus software,5
iphone software,5
recovery software,5
software engineering,5
hardware,5
video editing software,5
adobe,5
software testing,5
application software,5
free mobile software,5
java,5
java software,5
apple software,5
open source software,5
descargar software,5
recording software,5
dj software,5
webcam software,5
software engineer,5
backup software,5
photoshop,5
accounting software,5
free antivirus software,5
ipod software,5
bluetooth software,5
photo editing software,5
motorola,5
database software,0
que es software,0
hacking software,0



Rising searches for software
android software,Breakout
mobile software,+250%
samsung software,+250%
software update,+250%
mac software,+100%
hp,+90%
hp software,+90%
download,+60%
download software,+60%
nokia,+60%



