Web Search interest: computer+science
Worldwide 2004 - present

Interest over time
Week,computer+science
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,33
2012-04-15 - 2012-04-21,35
2012-04-22 - 2012-04-28,36
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,35
2012-05-13 - 2012-05-19,35
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,34
2012-06-10 - 2012-06-16,35
2012-06-17 - 2012-06-23,35
2012-06-24 - 2012-06-30,33
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,33
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,38
2012-09-09 - 2012-09-15,39
2012-09-16 - 2012-09-22,39
2012-09-23 - 2012-09-29,38
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,36
2012-10-14 - 2012-10-20,35
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,34
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,35
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,33
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,35
2013-02-10 - 2013-02-16,35
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,35
2013-03-17 - 2013-03-23,34
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,33
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,32
2013-05-12 - 2013-05-18,33
2013-05-19 - 2013-05-25,32
2013-05-26 - 2013-06-01,30
2013-06-02 - 2013-06-08,32
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,31
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,34
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,36
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,33
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,34
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,31
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,34
2014-02-16 - 2014-02-22,34
2014-02-23 - 2014-03-01,35
2014-03-02 - 2014-03-08,34
2014-03-09 - 2014-03-15,33
2014-03-16 - 2014-03-22,32
2014-03-23 - 2014-03-29,32
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,32
2014-04-13 - 2014-04-19,31
2014-04-20 - 2014-04-26,31
2014-04-27 - 2014-05-03,31
2014-05-04 - 2014-05-10,32
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,31
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,31
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,29
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,29
2014-07-20 - 2014-07-26,29
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,30
2014-08-17 - 2014-08-23,33
2014-08-24 - 2014-08-30,33
2014-08-31 - 2014-09-06,34
2014-09-07 - 2014-09-13,35
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,34
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,32
2014-10-26 - 2014-11-01,32
2014-11-02 - 2014-11-08,34
2014-11-09 - 2014-11-15,34
2014-11-16 - 2014-11-22,34
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,33
2014-12-07 - 2014-12-13,33
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,28
2015-01-04 - 2015-01-10,32
2015-01-11 - 2015-01-17,34
2015-01-18 - 2015-01-24,33
2015-01-25 - 2015-01-31,33
2015-02-01 - 2015-02-07,33
2015-02-08 - 2015-02-14,32
2015-02-15 - 2015-02-21,32
2015-02-22 - 2015-02-28,33
2015-03-01 - 2015-03-07,32
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,31
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,29
2015-04-12 - 2015-04-18,30
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,30
2015-05-10 - 2015-05-16,31
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,31
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,30
2015-06-21 - 2015-06-27,30
2015-06-28 - 2015-07-04,28
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,28
2015-07-26 - 2015-08-01,29
2015-08-02 - 2015-08-08,30
2015-08-09 - 2015-08-15,30
2015-08-16 - 2015-08-22,32
2015-08-23 - 2015-08-29,32
2015-08-30 - 2015-09-05,33
2015-09-06 - 2015-09-12,34
2015-09-13 - 2015-09-19,33
2015-09-20 - 2015-09-26,33
2015-09-27 - 2015-10-03,33
2015-10-04 - 2015-10-10,33
2015-10-11 - 2015-10-17,32
2015-10-18 - 2015-10-24,31
2015-10-25 - 2015-10-31,31
2015-11-01 - 2015-11-07,32
2015-11-08 - 2015-11-14,32
2015-11-15 - 2015-11-21,32
2015-11-22 - 2015-11-28,30
2015-11-29 - 2015-12-05,32
2015-12-06 - 2015-12-12,32
2015-12-13 - 2015-12-19,31
2015-12-20 - 2015-12-26,27
2015-12-27 - 2016-01-02,28
2016-01-03 - 2016-01-09,33
2016-01-10 - 2016-01-16,33
2016-01-17 - 2016-01-23,33
2016-01-24 - 2016-01-30,33
2016-01-31 - 2016-02-06,32
2016-02-07 - 2016-02-13,32
2016-02-14 - 2016-02-20,30
2016-02-21 - 2016-02-27,32
2016-02-28 - 2016-03-05,32
2016-03-06 - 2016-03-12,31
2016-03-13 - 2016-03-19,30
2016-03-20 - 2016-03-26,28
2016-03-27 - 2016-04-02,29
2016-04-03 - 2016-04-09,29
2016-04-10 - 2016-04-16,29
2016-04-17 - 2016-04-23,29
2016-04-24 - 2016-04-30,30
2016-05-01 - 2016-05-07,29
2016-05-08 - 2016-05-14,30
2016-05-15 - 2016-05-21,31
2016-05-22 - 2016-05-28,29
2016-05-29 - 2016-06-04,28
2016-06-05 - 2016-06-11,28
2016-06-12 - 2016-06-18,30
2016-06-19 - 2016-06-25,29
2016-06-26 - 2016-07-02,25


Top regions for computer+science
Region,computer+science
Nigeria,100
Nepal,96
Philippines,88
Ghana,86
Kenya,70
India,66
Bangladesh,64
Pakistan,60
Sri Lanka,56
United States,54
South Africa,49
Singapore,49
Canada,49
New Zealand,48
Australia,47
United Kingdom,39
Ireland,35
United Arab Emirates,32
Malaysia,30
Hong Kong,30
Denmark,26
Netherlands,24
Germany,18
Switzerland,18
Italy,18
Austria,16
Belgium,16
Sweden,14
Norway,14
South Korea,13
Iran,13
Morocco,12
Egypt,12
Israel,12
Czech Republic,10
Romania,10
Indonesia,10
Greece,9
Hungary,9
Saudi Arabia,9
Finland,9
Thailand,8
Turkey,8
Portugal,8
France,8
China,7
Vietnam,7
Taiwan,7
Spain,5
Poland,4
Mexico,3
Brazil,3
Japan,3
Russia,2
Argentina,2


Top cities for computer+science
City,computer+science
Manila (Philippines),100
Makati City (Philippines),91
Quezon City (Philippines),83
Chennai (India),71
New Delhi (India),65
Bangalore (India),62
Hyderabad (India),57
Toronto (Canada),55
Seattle (United States),54
Mumbai (India),53
Houston (United States),51
Singapore (Singapore),51
Pune (India),51
Washington (United States),50
Chicago (United States),48



Top searches for computer+science
my computer,100
computer science,50
what is computer,40
science museum,35
computer games,35
computer software,30
science center,25
what is science,25
science fair,25
computers,25
mac computer,25
science projects,25
apple,20
science fiction,20
apple computer,20
desktop computer,20
itunes,20
science journal,20
dell computer,20
computer repair,20
dell,20
political science,15
hp,15
hp computer,15
computer monitor,15
museum of science,15
social science,15
computer virus,15
life science,15
computer store,15
computer engineering,15
science news,15
vatan computer,15
science fair projects,15
computer hardware,10
computer parts,10
science for kids,10
science experiments,10
environmental science,10
computer world,10
computer desk,10
earth science,10
science direct,10
science world,10
computer security,10
web of science,10
computer shop,10
computer history,10
computer mouse,10
computer graphics,10



Rising searches for computer+science
itunes,+2,950%
my computer,+200%
what is science,+200%
mac computer,+180%
what is computer,+120%
computer repair,+90%
hp computer,+70%
computer science,+60%
hp,+60%
desktop computer,+50%



