Web Search interest: light
Worldwide 2004 - present

Interest over time
Week,light
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,70
2005-12-11 - 2005-12-17,68
2005-12-18 - 2005-12-24,65
2005-12-25 - 2005-12-31,61
2006-01-01 - 2006-01-07,61
2006-01-08 - 2006-01-14,61
2006-01-15 - 2006-01-21,60
2006-01-22 - 2006-01-28,59
2006-01-29 - 2006-02-04,60
2006-02-05 - 2006-02-11,59
2006-02-12 - 2006-02-18,58
2006-02-19 - 2006-02-25,59
2006-02-26 - 2006-03-04,61
2006-03-05 - 2006-03-11,58
2006-03-12 - 2006-03-18,56
2006-03-19 - 2006-03-25,59
2006-03-26 - 2006-04-01,60
2006-04-02 - 2006-04-08,58
2006-04-09 - 2006-04-15,55
2006-04-16 - 2006-04-22,57
2006-04-23 - 2006-04-29,57
2006-04-30 - 2006-05-06,58
2006-05-07 - 2006-05-13,55
2006-05-14 - 2006-05-20,54
2006-05-21 - 2006-05-27,55
2006-05-28 - 2006-06-03,53
2006-06-04 - 2006-06-10,55
2006-06-11 - 2006-06-17,54
2006-06-18 - 2006-06-24,54
2006-06-25 - 2006-07-01,52
2006-07-02 - 2006-07-08,52
2006-07-09 - 2006-07-15,54
2006-07-16 - 2006-07-22,55
2006-07-23 - 2006-07-29,55
2006-07-30 - 2006-08-05,56
2006-08-06 - 2006-08-12,56
2006-08-13 - 2006-08-19,56
2006-08-20 - 2006-08-26,55
2006-08-27 - 2006-09-02,55
2006-09-03 - 2006-09-09,54
2006-09-10 - 2006-09-16,57
2006-09-17 - 2006-09-23,57
2006-09-24 - 2006-09-30,57
2006-10-01 - 2006-10-07,58
2006-10-08 - 2006-10-14,58
2006-10-15 - 2006-10-21,60
2006-10-22 - 2006-10-28,63
2006-10-29 - 2006-11-04,62
2006-11-05 - 2006-11-11,59
2006-11-12 - 2006-11-18,62
2006-11-19 - 2006-11-25,58
2006-11-26 - 2006-12-02,65
2006-12-03 - 2006-12-09,65
2006-12-10 - 2006-12-16,64
2006-12-17 - 2006-12-23,60
2006-12-24 - 2006-12-30,56
2006-12-31 - 2007-01-06,57
2007-01-07 - 2007-01-13,56
2007-01-14 - 2007-01-20,55
2007-01-21 - 2007-01-27,57
2007-01-28 - 2007-02-03,58
2007-02-04 - 2007-02-10,55
2007-02-11 - 2007-02-17,55
2007-02-18 - 2007-02-24,56
2007-02-25 - 2007-03-03,56
2007-03-04 - 2007-03-10,57
2007-03-11 - 2007-03-17,56
2007-03-18 - 2007-03-24,54
2007-03-25 - 2007-03-31,53
2007-04-01 - 2007-04-07,52
2007-04-08 - 2007-04-14,52
2007-04-15 - 2007-04-21,52
2007-04-22 - 2007-04-28,55
2007-04-29 - 2007-05-05,54
2007-05-06 - 2007-05-12,53
2007-05-13 - 2007-05-19,54
2007-05-20 - 2007-05-26,53
2007-05-27 - 2007-06-02,52
2007-06-03 - 2007-06-09,53
2007-06-10 - 2007-06-16,52
2007-06-17 - 2007-06-23,52
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,52
2007-07-08 - 2007-07-14,54
2007-07-15 - 2007-07-21,54
2007-07-22 - 2007-07-28,54
2007-07-29 - 2007-08-04,53
2007-08-05 - 2007-08-11,54
2007-08-12 - 2007-08-18,55
2007-08-19 - 2007-08-25,53
2007-08-26 - 2007-09-01,54
2007-09-02 - 2007-09-08,53
2007-09-09 - 2007-09-15,55
2007-09-16 - 2007-09-22,56
2007-09-23 - 2007-09-29,56
2007-09-30 - 2007-10-06,58
2007-10-07 - 2007-10-13,59
2007-10-14 - 2007-10-20,59
2007-10-21 - 2007-10-27,61
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,59
2007-11-18 - 2007-11-24,59
2007-11-25 - 2007-12-01,62
2007-12-02 - 2007-12-08,62
2007-12-09 - 2007-12-15,63
2007-12-16 - 2007-12-22,60
2007-12-23 - 2007-12-29,55
2007-12-30 - 2008-01-05,59
2008-01-06 - 2008-01-12,57
2008-01-13 - 2008-01-19,57
2008-01-20 - 2008-01-26,56
2008-01-27 - 2008-02-02,57
2008-02-03 - 2008-02-09,58
2008-02-10 - 2008-02-16,56
2008-02-17 - 2008-02-23,57
2008-02-24 - 2008-03-01,57
2008-03-02 - 2008-03-08,58
2008-03-09 - 2008-03-15,56
2008-03-16 - 2008-03-22,54
2008-03-23 - 2008-03-29,55
2008-03-30 - 2008-04-05,60
2008-04-06 - 2008-04-12,57
2008-04-13 - 2008-04-19,57
2008-04-20 - 2008-04-26,56
2008-04-27 - 2008-05-03,56
2008-05-04 - 2008-05-10,55
2008-05-11 - 2008-05-17,54
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,53
2008-06-08 - 2008-06-14,52
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,53
2008-06-29 - 2008-07-05,53
2008-07-06 - 2008-07-12,54
2008-07-13 - 2008-07-19,55
2008-07-20 - 2008-07-26,55
2008-07-27 - 2008-08-02,54
2008-08-03 - 2008-08-09,55
2008-08-10 - 2008-08-16,54
2008-08-17 - 2008-08-23,53
2008-08-24 - 2008-08-30,53
2008-08-31 - 2008-09-06,53
2008-09-07 - 2008-09-13,57
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,57
2008-09-28 - 2008-10-04,58
2008-10-05 - 2008-10-11,57
2008-10-12 - 2008-10-18,59
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,60
2008-11-02 - 2008-11-08,59
2008-11-09 - 2008-11-15,61
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,60
2008-11-30 - 2008-12-06,64
2008-12-07 - 2008-12-13,64
2008-12-14 - 2008-12-20,60
2008-12-21 - 2008-12-27,59
2008-12-28 - 2009-01-03,59
2009-01-04 - 2009-01-10,58
2009-01-11 - 2009-01-17,58
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,58
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,56
2009-02-15 - 2009-02-21,56
2009-02-22 - 2009-02-28,57
2009-03-01 - 2009-03-07,58
2009-03-08 - 2009-03-14,58
2009-03-15 - 2009-03-21,56
2009-03-22 - 2009-03-28,57
2009-03-29 - 2009-04-04,60
2009-04-05 - 2009-04-11,56
2009-04-12 - 2009-04-18,55
2009-04-19 - 2009-04-25,56
2009-04-26 - 2009-05-02,56
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,53
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,55
2009-06-14 - 2009-06-20,52
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,52
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,55
2009-07-26 - 2009-08-01,56
2009-08-02 - 2009-08-08,56
2009-08-09 - 2009-08-15,56
2009-08-16 - 2009-08-22,56
2009-08-23 - 2009-08-29,56
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,57
2009-09-13 - 2009-09-19,60
2009-09-20 - 2009-09-26,58
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,59
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,59
2009-10-25 - 2009-10-31,62
2009-11-01 - 2009-11-07,60
2009-11-08 - 2009-11-14,60
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,59
2009-11-29 - 2009-12-05,63
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,60
2009-12-20 - 2009-12-26,56
2009-12-27 - 2010-01-02,56
2010-01-03 - 2010-01-09,55
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,57
2010-01-31 - 2010-02-06,56
2010-02-07 - 2010-02-13,56
2010-02-14 - 2010-02-20,54
2010-02-21 - 2010-02-27,55
2010-02-28 - 2010-03-06,57
2010-03-07 - 2010-03-13,58
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,55
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,56
2010-04-25 - 2010-05-01,56
2010-05-02 - 2010-05-08,55
2010-05-09 - 2010-05-15,56
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,54
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,54
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,57
2010-07-25 - 2010-07-31,57
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,56
2010-08-15 - 2010-08-21,59
2010-08-22 - 2010-08-28,58
2010-08-29 - 2010-09-04,56
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,62
2010-10-03 - 2010-10-09,61
2010-10-10 - 2010-10-16,60
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,63
2010-10-31 - 2010-11-06,64
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,63
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,68
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,61
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,61
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,61
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,61
2011-04-03 - 2011-04-09,60
2011-04-10 - 2011-04-16,61
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,58
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,58
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,59
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,57
2011-07-10 - 2011-07-16,58
2011-07-17 - 2011-07-23,58
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,59
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,59
2011-08-21 - 2011-08-27,58
2011-08-28 - 2011-09-03,60
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,65
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,63
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,66
2011-10-30 - 2011-11-05,69
2011-11-06 - 2011-11-12,66
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,67
2011-11-27 - 2011-12-03,69
2011-12-04 - 2011-12-10,72
2011-12-11 - 2011-12-17,68
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,65
2012-01-01 - 2012-01-07,64
2012-01-08 - 2012-01-14,62
2012-01-15 - 2012-01-21,63
2012-01-22 - 2012-01-28,64
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,64
2012-02-12 - 2012-02-18,62
2012-02-19 - 2012-02-25,63
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,61
2012-04-01 - 2012-04-07,61
2012-04-08 - 2012-04-14,60
2012-04-15 - 2012-04-21,65
2012-04-22 - 2012-04-28,64
2012-04-29 - 2012-05-05,64
2012-05-06 - 2012-05-12,62
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,61
2012-05-27 - 2012-06-02,60
2012-06-03 - 2012-06-09,61
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,60
2012-06-24 - 2012-06-30,62
2012-07-01 - 2012-07-07,62
2012-07-08 - 2012-07-14,63
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,63
2012-07-29 - 2012-08-04,63
2012-08-05 - 2012-08-11,63
2012-08-12 - 2012-08-18,65
2012-08-19 - 2012-08-25,67
2012-08-26 - 2012-09-01,66
2012-09-02 - 2012-09-08,64
2012-09-09 - 2012-09-15,66
2012-09-16 - 2012-09-22,68
2012-09-23 - 2012-09-29,68
2012-09-30 - 2012-10-06,66
2012-10-07 - 2012-10-13,66
2012-10-14 - 2012-10-20,67
2012-10-21 - 2012-10-27,66
2012-10-28 - 2012-11-03,68
2012-11-04 - 2012-11-10,67
2012-11-11 - 2012-11-17,68
2012-11-18 - 2012-11-24,68
2012-11-25 - 2012-12-01,72
2012-12-02 - 2012-12-08,73
2012-12-09 - 2012-12-15,71
2012-12-16 - 2012-12-22,68
2012-12-23 - 2012-12-29,65
2012-12-30 - 2013-01-05,67
2013-01-06 - 2013-01-12,66
2013-01-13 - 2013-01-19,65
2013-01-20 - 2013-01-26,65
2013-01-27 - 2013-02-02,65
2013-02-03 - 2013-02-09,68
2013-02-10 - 2013-02-16,65
2013-02-17 - 2013-02-23,67
2013-02-24 - 2013-03-02,65
2013-03-03 - 2013-03-09,67
2013-03-10 - 2013-03-16,67
2013-03-17 - 2013-03-23,66
2013-03-24 - 2013-03-30,66
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,65
2013-04-14 - 2013-04-20,65
2013-04-21 - 2013-04-27,65
2013-04-28 - 2013-05-04,66
2013-05-05 - 2013-05-11,65
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,66
2013-06-02 - 2013-06-08,66
2013-06-09 - 2013-06-15,65
2013-06-16 - 2013-06-22,64
2013-06-23 - 2013-06-29,64
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,64
2013-07-14 - 2013-07-20,65
2013-07-21 - 2013-07-27,66
2013-07-28 - 2013-08-03,67
2013-08-04 - 2013-08-10,66
2013-08-11 - 2013-08-17,66
2013-08-18 - 2013-08-24,66
2013-08-25 - 2013-08-31,65
2013-09-01 - 2013-09-07,66
2013-09-08 - 2013-09-14,67
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,68
2013-10-06 - 2013-10-12,68
2013-10-13 - 2013-10-19,70
2013-10-20 - 2013-10-26,69
2013-10-27 - 2013-11-02,71
2013-11-03 - 2013-11-09,71
2013-11-10 - 2013-11-16,72
2013-11-17 - 2013-11-23,76
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,78
2013-12-08 - 2013-12-14,75
2013-12-15 - 2013-12-21,74
2013-12-22 - 2013-12-28,72
2013-12-29 - 2014-01-04,72
2014-01-05 - 2014-01-11,72
2014-01-12 - 2014-01-18,70
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,70
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,71
2014-02-16 - 2014-02-22,69
2014-02-23 - 2014-03-01,69
2014-03-02 - 2014-03-08,71
2014-03-09 - 2014-03-15,70
2014-03-16 - 2014-03-22,68
2014-03-23 - 2014-03-29,69
2014-03-30 - 2014-04-05,70
2014-04-06 - 2014-04-12,69
2014-04-13 - 2014-04-19,72
2014-04-20 - 2014-04-26,69
2014-04-27 - 2014-05-03,74
2014-05-04 - 2014-05-10,71
2014-05-11 - 2014-05-17,69
2014-05-18 - 2014-05-24,69
2014-05-25 - 2014-05-31,69
2014-06-01 - 2014-06-07,69
2014-06-08 - 2014-06-14,66
2014-06-15 - 2014-06-21,64
2014-06-22 - 2014-06-28,67
2014-06-29 - 2014-07-05,68
2014-07-06 - 2014-07-12,70
2014-07-13 - 2014-07-19,67
2014-07-20 - 2014-07-26,70
2014-07-27 - 2014-08-02,68
2014-08-03 - 2014-08-09,70
2014-08-10 - 2014-08-16,68
2014-08-17 - 2014-08-23,69
2014-08-24 - 2014-08-30,70
2014-08-31 - 2014-09-06,69
2014-09-07 - 2014-09-13,71
2014-09-14 - 2014-09-20,72
2014-09-21 - 2014-09-27,72
2014-09-28 - 2014-10-04,74
2014-10-05 - 2014-10-11,74
2014-10-12 - 2014-10-18,73
2014-10-19 - 2014-10-25,74
2014-10-26 - 2014-11-01,75
2014-11-02 - 2014-11-08,76
2014-11-09 - 2014-11-15,76
2014-11-16 - 2014-11-22,78
2014-11-23 - 2014-11-29,77
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,86
2014-12-14 - 2014-12-20,80
2014-12-21 - 2014-12-27,79
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,77
2015-01-11 - 2015-01-17,77
2015-01-18 - 2015-01-24,78
2015-01-25 - 2015-01-31,100
2015-02-01 - 2015-02-07,95
2015-02-08 - 2015-02-14,86
2015-02-15 - 2015-02-21,83
2015-02-22 - 2015-02-28,81
2015-03-01 - 2015-03-07,82
2015-03-08 - 2015-03-14,80
2015-03-15 - 2015-03-21,77
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,77
2015-04-05 - 2015-04-11,76
2015-04-12 - 2015-04-18,74
2015-04-19 - 2015-04-25,74
2015-04-26 - 2015-05-02,75
2015-05-03 - 2015-05-09,73
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,72
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,75
2015-06-07 - 2015-06-13,72
2015-06-14 - 2015-06-20,72
2015-06-21 - 2015-06-27,72
2015-06-28 - 2015-07-04,72
2015-07-05 - 2015-07-11,74
2015-07-12 - 2015-07-18,73
2015-07-19 - 2015-07-25,76
2015-07-26 - 2015-08-01,74
2015-08-02 - 2015-08-08,83
2015-08-09 - 2015-08-15,75
2015-08-16 - 2015-08-22,77
2015-08-23 - 2015-08-29,75
2015-08-30 - 2015-09-05,75
2015-09-06 - 2015-09-12,75
2015-09-13 - 2015-09-19,76
2015-09-20 - 2015-09-26,75
2015-09-27 - 2015-10-03,78
2015-10-04 - 2015-10-10,79
2015-10-11 - 2015-10-17,78
2015-10-18 - 2015-10-24,79
2015-10-25 - 2015-10-31,81
2015-11-01 - 2015-11-07,82
2015-11-08 - 2015-11-14,86
2015-11-15 - 2015-11-21,83
2015-11-22 - 2015-11-28,84
2015-11-29 - 2015-12-05,92
2015-12-06 - 2015-12-12,92
2015-12-13 - 2015-12-19,90
2015-12-20 - 2015-12-26,87
2015-12-27 - 2016-01-02,85
2016-01-03 - 2016-01-09,82
2016-01-10 - 2016-01-16,82
2016-01-17 - 2016-01-23,81
2016-01-24 - 2016-01-30,80
2016-01-31 - 2016-02-06,79
2016-02-07 - 2016-02-13,86
2016-02-14 - 2016-02-20,83
2016-02-21 - 2016-02-27,81
2016-02-28 - 2016-03-05,81
2016-03-06 - 2016-03-12,80
2016-03-13 - 2016-03-19,77
2016-03-20 - 2016-03-26,79
2016-03-27 - 2016-04-02,80
2016-04-03 - 2016-04-09,78
2016-04-10 - 2016-04-16,77
2016-04-17 - 2016-04-23,75
2016-04-24 - 2016-04-30,76
2016-05-01 - 2016-05-07,75
2016-05-08 - 2016-05-14,74
2016-05-15 - 2016-05-21,76
2016-05-22 - 2016-05-28,76
2016-05-29 - 2016-06-04,74
2016-06-05 - 2016-06-11,72
2016-06-12 - 2016-06-18,73
2016-06-19 - 2016-06-25,73
2016-06-26 - 2016-07-02,74
2016-07-03 - 2016-07-09,93


Top regions for light
Region,light
United States,100
Australia,87
United Kingdom,85
Singapore,79
Canada,79
Philippines,73
New Zealand,73
Ireland,67
South Africa,60
Nigeria,45
United Arab Emirates,43
Hong Kong,42
Malaysia,42
India,39
Pakistan,38
Norway,36
Netherlands,31
Sweden,30
Denmark,30
Belgium,26
Finland,25
Czech Republic,24
Portugal,23
Brazil,23
Switzerland,23
Greece,22
Germany,22
Austria,21
Croatia,20
Indonesia,20
Italy,20
Romania,19
Hungary,19
South Korea,19
Slovakia,18
Israel,17
Bulgaria,17
Poland,16
Chile,16
Argentina,16
France,15
Mexico,14
Thailand,14
Spain,14
Taiwan,13
Russia,13
Egypt,12
Ukraine,12
Saudi Arabia,11
Vietnam,9
Colombia,9
Venezuela,9
Peru,8
China,8
Japan,7
Turkey,6


Top cities for light
City,light
Seattle (United States),100
Denver (United States),94
Sydney (Australia),81
Houston (United States),80
San Francisco (United States),80
Melbourne (Australia),79
Dallas (United States),79
Philadelphia (United States),78
Los Angeles (United States),78
Atlanta (United States),78
Washington (United States),77
Chicago (United States),77
New York (United States),71
Singapore (Singapore),65
Toronto (Canada),62



Top searches for light
the light,100
red light,30
led light,25
lights,20
light up,20
light bulb,20
in light of,20
blue light,20
dying light,10
light bulbs,10
black light,10
light box,10
green light,10
light dark,10
light switch,10
light speed,10
white light,10
light brown,10
night light,10
speed of light,5
light rail,5
bud light,5
check engine light,5
cooking light,5
flash light,5
first light,5
red light district,5
light fixtures,5
traffic light,5
light year,5
led lights,5
light brown hair,5
metro last light,5
light bright,5
fluorescent light,5
light room,5
uv light,5
light headed,5
coors light,5
dark and light,5
pokemon light platinum,0
amsterdam,0
spot light,0
light the night,0
light it up,0
crystal light,0
light spectrum,0
led light bulbs,0
light my fire,0
light therapy,0



Rising searches for light
dying light,+1,400%
light brown,+350%
light box,+170%
led light,+150%
light up,+100%
blue light,+70%
green light,+60%
light dark,+60%
white light,+60%
black light,+50%



