Web Search interest: hausdorff+dimension
Worldwide 2004 - present

Interest over time
Week,hausdorff+dimension
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,60
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,60
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,61
2012-04-29 - 2012-05-05,60
2012-05-06 - 2012-05-12,60
2012-05-13 - 2012-05-19,58
2012-05-20 - 2012-05-26,59
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,60
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,60
2012-06-24 - 2012-06-30,59
2012-07-01 - 2012-07-07,57
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,58
2012-07-22 - 2012-07-28,57
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,56
2012-08-19 - 2012-08-25,59
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,60
2012-09-09 - 2012-09-15,61
2012-09-16 - 2012-09-22,62
2012-09-23 - 2012-09-29,62
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,61
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,61
2012-12-02 - 2012-12-08,61
2012-12-09 - 2012-12-15,60
2012-12-16 - 2012-12-22,55
2012-12-23 - 2012-12-29,49
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,56
2013-01-13 - 2013-01-19,58
2013-01-20 - 2013-01-26,58
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,58
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,60
2013-02-24 - 2013-03-02,59
2013-03-03 - 2013-03-09,60
2013-03-10 - 2013-03-16,62
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,59
2013-03-31 - 2013-04-06,61
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,61
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,60
2013-05-12 - 2013-05-18,61
2013-05-19 - 2013-05-25,60
2013-05-26 - 2013-06-01,58
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,57
2013-06-16 - 2013-06-22,57
2013-06-23 - 2013-06-29,57
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,54
2013-07-14 - 2013-07-20,54
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,55
2013-08-25 - 2013-08-31,56
2013-09-01 - 2013-09-07,57
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,59
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,59
2013-10-27 - 2013-11-02,57
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,59
2013-11-17 - 2013-11-23,60
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,58
2013-12-08 - 2013-12-14,57
2013-12-15 - 2013-12-21,53
2013-12-22 - 2013-12-28,47
2013-12-29 - 2014-01-04,49
2014-01-05 - 2014-01-11,55
2014-01-12 - 2014-01-18,57
2014-01-19 - 2014-01-25,57
2014-01-26 - 2014-02-01,57
2014-02-02 - 2014-02-08,58
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,58
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,59
2014-03-23 - 2014-03-29,58
2014-03-30 - 2014-04-05,59
2014-04-06 - 2014-04-12,59
2014-04-13 - 2014-04-19,59
2014-04-20 - 2014-04-26,57
2014-04-27 - 2014-05-03,57
2014-05-04 - 2014-05-10,59
2014-05-11 - 2014-05-17,58
2014-05-18 - 2014-05-24,58
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,54
2014-06-15 - 2014-06-21,55
2014-06-22 - 2014-06-28,56
2014-06-29 - 2014-07-05,54
2014-07-06 - 2014-07-12,55
2014-07-13 - 2014-07-19,53
2014-07-20 - 2014-07-26,55
2014-07-27 - 2014-08-02,53
2014-08-03 - 2014-08-09,55
2014-08-10 - 2014-08-16,52
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,57
2014-09-07 - 2014-09-13,60
2014-09-14 - 2014-09-20,59
2014-09-21 - 2014-09-27,58
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,59
2014-10-19 - 2014-10-25,58
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,60
2014-11-09 - 2014-11-15,66
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,60
2014-11-30 - 2014-12-06,60
2014-12-07 - 2014-12-13,59
2014-12-14 - 2014-12-20,55
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,52
2015-01-11 - 2015-01-17,56
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,59
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,58
2015-02-15 - 2015-02-21,58
2015-02-22 - 2015-02-28,59
2015-03-01 - 2015-03-07,58
2015-03-08 - 2015-03-14,60
2015-03-15 - 2015-03-21,60
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,59
2015-04-05 - 2015-04-11,59
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,59
2015-04-26 - 2015-05-02,59
2015-05-03 - 2015-05-09,58
2015-05-10 - 2015-05-16,58
2015-05-17 - 2015-05-23,57
2015-05-24 - 2015-05-30,57
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,55
2015-06-21 - 2015-06-27,56
2015-06-28 - 2015-07-04,54
2015-07-05 - 2015-07-11,56
2015-07-12 - 2015-07-18,54
2015-07-19 - 2015-07-25,56
2015-07-26 - 2015-08-01,56
2015-08-02 - 2015-08-08,53
2015-08-09 - 2015-08-15,53
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,56
2015-08-30 - 2015-09-05,57
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,59
2015-09-20 - 2015-09-26,59
2015-09-27 - 2015-10-03,63
2015-10-04 - 2015-10-10,67
2015-10-11 - 2015-10-17,70
2015-10-18 - 2015-10-24,88
2015-10-25 - 2015-10-31,87
2015-11-01 - 2015-11-07,75
2015-11-08 - 2015-11-14,67
2015-11-15 - 2015-11-21,65
2015-11-22 - 2015-11-28,64
2015-11-29 - 2015-12-05,63
2015-12-06 - 2015-12-12,62
2015-12-13 - 2015-12-19,65
2015-12-20 - 2015-12-26,60
2015-12-27 - 2016-01-02,59
2016-01-03 - 2016-01-09,64
2016-01-10 - 2016-01-16,73
2016-01-17 - 2016-01-23,70
2016-01-24 - 2016-01-30,68
2016-01-31 - 2016-02-06,67
2016-02-07 - 2016-02-13,66
2016-02-14 - 2016-02-20,66
2016-02-21 - 2016-02-27,66
2016-02-28 - 2016-03-05,66
2016-03-06 - 2016-03-12,66
2016-03-13 - 2016-03-19,63
2016-03-20 - 2016-03-26,63
2016-03-27 - 2016-04-02,66
2016-04-03 - 2016-04-09,62
2016-04-10 - 2016-04-16,62
2016-04-17 - 2016-04-23,62
2016-04-24 - 2016-04-30,61
2016-05-01 - 2016-05-07,59
2016-05-08 - 2016-05-14,60
2016-05-15 - 2016-05-21,60
2016-05-22 - 2016-05-28,59
2016-05-29 - 2016-06-04,58
2016-06-05 - 2016-06-11,58
2016-06-12 - 2016-06-18,58
2016-06-19 - 2016-06-25,55
2016-06-26 - 2016-07-02,50


Top regions for hausdorff+dimension
Region,hausdorff+dimension
France,100
Singapore,71
Tunisia,55
Philippines,54
Belgium,52
Switzerland,42
Malaysia,39
South Africa,38
Venezuela,38
Canada,38
Dominican Republic,38
Hong Kong,38
Colombia,35
Peru,34
Mexico,33
Nigeria,32
Chile,31
Morocco,30
Ecuador,29
United States,29
Australia,29
United Arab Emirates,28
New Zealand,28
Argentina,26
India,25
Algeria,24
Sweden,22
United Kingdom,22
Denmark,21
Ireland,21
Pakistan,20
Spain,18
Austria,18
Netherlands,17
Thailand,16
South Korea,16
Norway,15
Germany,15
Romania,14
Indonesia,14
Italy,13
Greece,12
Taiwan,11
Israel,10
Japan,9
Iran,8
Egypt,7
Saudi Arabia,7
Poland,6
Brazil,6
Vietnam,5
Turkey,5
Russia,3


Top cities for hausdorff+dimension
City,hausdorff+dimension
Toulouse (France),100
Lyon (France),94
Nantes (France),90
Bordeaux (France),88
Paris (France),85
Lille (France),81
Rennes (France),80
Marseille (France),74
Singapore (Singapore),63
Montreal (Canada),57
Brussels (Belgium),45
Caracas (Venezuela),32
Bangalore (India),31
Bogotá (Colombia),29
Mexico City (Mexico),27



Top searches for hausdorff+dimension
dell dimension,100
dell,100
dimensions,55
dimension data,30
what is dimension,20
dimension 4,20
next dimension,15
new dimension,15
dimension pneu,15
pneu,15
dimension 2400,15
4th dimension,15
dell drivers,10
dimension 5,10
5th dimension,10
dimension x,10
dell dimension 2400,10
dimension 3000,10
paranormal activity,10
fourth dimension,10
dell dimension 3000,10
fifth dimension,10
the ghost dimension,10
dimension w,10
another dimension,10
dimension peliculas,10
saint seiya,5
dimension 4600,5
dimension definition,5
phineas and ferb,5
dell dimension 4600,5
dimension pro,5
cuarta dimension,5
dimension lit,5
mahjong dimension,5
dimension plus,5
dimension a4,5
dimension desconocida,5
third dimension,5
dimension e520,5
dimension 3100,5
dell dimension 5150,5
lego dimension,5
dell dimension 8400,5
the fourth dimension,5
phineas y ferb,5
pokemon battle dimension,5
dimension a3,5
the 5th dimension,5
dimension 8200,5



Rising searches for hausdorff+dimension
paranormal activity,Breakout
the ghost dimension,Breakout
dimension peliculas,+3,400%
saint seiya,+2,800%
dimension w,+850%
pneu,+450%
dimension pneu,+400%
dimension 5,+140%
what is dimension,+100%
another dimension,+80%



