Web Search interest: Edinburgh
Worldwide 2004 - present

Interest over time
Week,Edinburgh
2010-11-07 - 2010-11-13,50
2010-11-14 - 2010-11-20,50
2010-11-21 - 2010-11-27,52
2010-11-28 - 2010-12-04,62
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,49
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,51
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,51
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,50
2011-02-27 - 2011-03-05,49
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,47
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,50
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,48
2011-05-01 - 2011-05-07,50
2011-05-08 - 2011-05-14,51
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,50
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,52
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,52
2011-07-31 - 2011-08-06,58
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,59
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,52
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,51
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,48
2011-11-20 - 2011-11-26,49
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,45
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,51
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,49
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,46
2012-03-25 - 2012-03-31,46
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,49
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,50
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,49
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,52
2012-08-05 - 2012-08-11,54
2012-08-12 - 2012-08-18,58
2012-08-19 - 2012-08-25,57
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,50
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,50
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,46
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,47
2013-01-13 - 2013-01-19,48
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,47
2013-02-03 - 2013-02-09,46
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,46
2013-02-24 - 2013-03-02,44
2013-03-03 - 2013-03-09,46
2013-03-10 - 2013-03-16,46
2013-03-17 - 2013-03-23,47
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,45
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,46
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,46
2013-05-05 - 2013-05-11,45
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,45
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,43
2013-06-09 - 2013-06-15,45
2013-06-16 - 2013-06-22,44
2013-06-23 - 2013-06-29,46
2013-06-30 - 2013-07-06,46
2013-07-07 - 2013-07-13,42
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,49
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,47
2013-10-06 - 2013-10-12,47
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,47
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,45
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,40
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,47
2014-01-12 - 2014-01-18,55
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,46
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,43
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,44
2014-03-30 - 2014-04-05,44
2014-04-06 - 2014-04-12,45
2014-04-13 - 2014-04-19,44
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,47
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,44
2014-05-18 - 2014-05-24,46
2014-05-25 - 2014-05-31,46
2014-06-01 - 2014-06-07,49
2014-06-08 - 2014-06-14,45
2014-06-15 - 2014-06-21,43
2014-06-22 - 2014-06-28,45
2014-06-29 - 2014-07-05,46
2014-07-06 - 2014-07-12,46
2014-07-13 - 2014-07-19,49
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,52
2014-08-03 - 2014-08-09,54
2014-08-10 - 2014-08-16,53
2014-08-17 - 2014-08-23,52
2014-08-24 - 2014-08-30,47
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,46
2014-09-14 - 2014-09-20,51
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,47
2014-10-05 - 2014-10-11,45
2014-10-12 - 2014-10-18,44
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,45
2014-11-02 - 2014-11-08,44
2014-11-09 - 2014-11-15,42
2014-11-16 - 2014-11-22,44
2014-11-23 - 2014-11-29,43
2014-11-30 - 2014-12-06,41
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,40
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,46
2015-01-04 - 2015-01-10,45
2015-01-11 - 2015-01-17,45
2015-01-18 - 2015-01-24,44
2015-01-25 - 2015-01-31,44
2015-02-01 - 2015-02-07,42
2015-02-08 - 2015-02-14,43
2015-02-15 - 2015-02-21,44
2015-02-22 - 2015-02-28,43
2015-03-01 - 2015-03-07,43
2015-03-08 - 2015-03-14,43
2015-03-15 - 2015-03-21,43
2015-03-22 - 2015-03-28,43
2015-03-29 - 2015-04-04,45
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,41
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,44
2015-05-03 - 2015-05-09,44
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,44
2015-05-24 - 2015-05-30,44
2015-05-31 - 2015-06-06,45
2015-06-07 - 2015-06-13,43
2015-06-14 - 2015-06-20,45
2015-06-21 - 2015-06-27,45
2015-06-28 - 2015-07-04,45
2015-07-05 - 2015-07-11,44
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,48
2015-07-26 - 2015-08-01,47
2015-08-02 - 2015-08-08,50
2015-08-09 - 2015-08-15,54
2015-08-16 - 2015-08-22,52
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,46
2015-09-06 - 2015-09-12,46
2015-09-13 - 2015-09-19,44
2015-09-20 - 2015-09-26,45
2015-09-27 - 2015-10-03,44
2015-10-04 - 2015-10-10,44
2015-10-11 - 2015-10-17,44
2015-10-18 - 2015-10-24,43
2015-10-25 - 2015-10-31,45
2015-11-01 - 2015-11-07,44
2015-11-08 - 2015-11-14,44
2015-11-15 - 2015-11-21,42
2015-11-22 - 2015-11-28,42
2015-11-29 - 2015-12-05,44
2015-12-06 - 2015-12-12,42
2015-12-13 - 2015-12-19,41
2015-12-20 - 2015-12-26,38
2015-12-27 - 2016-01-02,47
2016-01-03 - 2016-01-09,45
2016-01-10 - 2016-01-16,44
2016-01-17 - 2016-01-23,44
2016-01-24 - 2016-01-30,46
2016-01-31 - 2016-02-06,43
2016-02-07 - 2016-02-13,44
2016-02-14 - 2016-02-20,42
2016-02-21 - 2016-02-27,43
2016-02-28 - 2016-03-05,42
2016-03-06 - 2016-03-12,42
2016-03-13 - 2016-03-19,42
2016-03-20 - 2016-03-26,43
2016-03-27 - 2016-04-02,44
2016-04-03 - 2016-04-09,42
2016-04-10 - 2016-04-16,43
2016-04-17 - 2016-04-23,42
2016-04-24 - 2016-04-30,44
2016-05-01 - 2016-05-07,44
2016-05-08 - 2016-05-14,41
2016-05-15 - 2016-05-21,43
2016-05-22 - 2016-05-28,44
2016-05-29 - 2016-06-04,44
2016-06-05 - 2016-06-11,42
2016-06-12 - 2016-06-18,43
2016-06-19 - 2016-06-25,44
2016-06-26 - 2016-07-02,45
2016-07-03 - 2016-07-09,51


Top regions for Edinburgh
Region,Edinburgh
United Kingdom,100
Ireland,20
Norway,5
New Zealand,5
Switzerland,4
Spain,4
Australia,4
Hong Kong,3
Greece,3
Singapore,3
Sweden,3
Netherlands,3
Denmark,3
United Arab Emirates,3
Italy,3
Germany,2
Belgium,2
Austria,2
Canada,2
Finland,2
South Africa,2
France,2
Portugal,2
Poland,1
United States,1
Malaysia,1
China,1
India,1
Argentina,1
Russia,1


Top cities for Edinburgh
City,Edinburgh
Edinburgh (United Kingdom),100
Livingston (United Kingdom),50
Inverness (United Kingdom),19
Dundee (United Kingdom),19
Glasgow (United Kingdom),18
Aberdeen (United Kingdom),16
Belfast (United Kingdom),5
Nazeing (United Kingdom),4
Newcastle upon Tyne (United Kingdom),4
Manchester (United Kingdom),4
Brentford (United Kingdom),4
London (United Kingdom),4
Thames Ditton (United Kingdom),3
Birmingham (United Kingdom),3
Leeds (United Kingdom),2



Top searches for Edinburgh
edinburgh,100
scotland,5
edinburgh scotland,5
edinburgh university,5
hotel edinburgh,5
glasgow,5
edinburgh weather,5
gumtree,5
gumtree edinburgh,5
edinburgh hotels,0
edimburgo,0
flights to edinburgh,0
university of edinburgh,0
edinburgh jobs,0
edinburgh castle,0
edinburgh airport,0
london to edinburgh,0
edinburgh map,0
edinburgh zoo,0
flights from edinburgh,0
edinburgh college,0
hotels in edinburgh,0
edinburgh playhouse,0
cinema edinburgh,0
edinburgh restaurants,0
edinburgh council,0
edimbourg,0
edinburg,0
bbc weather edinburgh,0
jobs in edinburgh,0
premier inn,0
premier inn edinburgh,0
edinburgh napier,0
weather in edinburgh,0
edinburgh christmas,0
travelodge,0
edinburgh uni,0
travelodge edinburgh,0
edinburgh library,0
holiday inn edinburgh,0
weather forecast edinburgh,0
john lewis edinburgh,0
train times,0
map of edinburgh,0
cineworld edinburgh,0
espc,0
espc edinburgh,0



Rising searches for Edinburgh
gumtree,Breakout
gumtree edinburgh,Breakout
edinburgh weather,+300%
edinburgh zoo,+70%
edimbourg,+60%
edinburgh jobs,+40%



