Web Search interest: brain
Worldwide 2004 - present

Interest over time
Week,brain
2006-01-29 - 2006-02-04,82
2006-02-05 - 2006-02-11,81
2006-02-12 - 2006-02-18,79
2006-02-19 - 2006-02-25,78
2006-02-26 - 2006-03-04,82
2006-03-05 - 2006-03-11,82
2006-03-12 - 2006-03-18,81
2006-03-19 - 2006-03-25,80
2006-03-26 - 2006-04-01,80
2006-04-02 - 2006-04-08,82
2006-04-09 - 2006-04-15,79
2006-04-16 - 2006-04-22,79
2006-04-23 - 2006-04-29,83
2006-04-30 - 2006-05-06,83
2006-05-07 - 2006-05-13,82
2006-05-14 - 2006-05-20,79
2006-05-21 - 2006-05-27,76
2006-05-28 - 2006-06-03,70
2006-06-04 - 2006-06-10,72
2006-06-11 - 2006-06-17,73
2006-06-18 - 2006-06-24,70
2006-06-25 - 2006-07-01,69
2006-07-02 - 2006-07-08,66
2006-07-09 - 2006-07-15,68
2006-07-16 - 2006-07-22,67
2006-07-23 - 2006-07-29,68
2006-07-30 - 2006-08-05,65
2006-08-06 - 2006-08-12,64
2006-08-13 - 2006-08-19,67
2006-08-20 - 2006-08-26,65
2006-08-27 - 2006-09-02,65
2006-09-03 - 2006-09-09,68
2006-09-10 - 2006-09-16,75
2006-09-17 - 2006-09-23,76
2006-09-24 - 2006-09-30,78
2006-10-01 - 2006-10-07,78
2006-10-08 - 2006-10-14,77
2006-10-15 - 2006-10-21,79
2006-10-22 - 2006-10-28,78
2006-10-29 - 2006-11-04,77
2006-11-05 - 2006-11-11,78
2006-11-12 - 2006-11-18,80
2006-11-19 - 2006-11-25,73
2006-11-26 - 2006-12-02,85
2006-12-03 - 2006-12-09,87
2006-12-10 - 2006-12-16,83
2006-12-17 - 2006-12-23,73
2006-12-24 - 2006-12-30,63
2006-12-31 - 2007-01-06,71
2007-01-07 - 2007-01-13,75
2007-01-14 - 2007-01-20,73
2007-01-21 - 2007-01-27,77
2007-01-28 - 2007-02-03,79
2007-02-04 - 2007-02-10,76
2007-02-11 - 2007-02-17,73
2007-02-18 - 2007-02-24,77
2007-02-25 - 2007-03-03,76
2007-03-04 - 2007-03-10,77
2007-03-11 - 2007-03-17,75
2007-03-18 - 2007-03-24,74
2007-03-25 - 2007-03-31,73
2007-04-01 - 2007-04-07,70
2007-04-08 - 2007-04-14,72
2007-04-15 - 2007-04-21,71
2007-04-22 - 2007-04-28,74
2007-04-29 - 2007-05-05,77
2007-05-06 - 2007-05-12,74
2007-05-13 - 2007-05-19,75
2007-05-20 - 2007-05-26,70
2007-05-27 - 2007-06-02,66
2007-06-03 - 2007-06-09,68
2007-06-10 - 2007-06-16,67
2007-06-17 - 2007-06-23,65
2007-06-24 - 2007-06-30,65
2007-07-01 - 2007-07-07,63
2007-07-08 - 2007-07-14,66
2007-07-15 - 2007-07-21,69
2007-07-22 - 2007-07-28,68
2007-07-29 - 2007-08-04,66
2007-08-05 - 2007-08-11,65
2007-08-12 - 2007-08-18,67
2007-08-19 - 2007-08-25,68
2007-08-26 - 2007-09-01,69
2007-09-02 - 2007-09-08,71
2007-09-09 - 2007-09-15,76
2007-09-16 - 2007-09-22,77
2007-09-23 - 2007-09-29,79
2007-09-30 - 2007-10-06,82
2007-10-07 - 2007-10-13,84
2007-10-14 - 2007-10-20,87
2007-10-21 - 2007-10-27,83
2007-10-28 - 2007-11-03,83
2007-11-04 - 2007-11-10,82
2007-11-11 - 2007-11-17,83
2007-11-18 - 2007-11-24,87
2007-11-25 - 2007-12-01,98
2007-12-02 - 2007-12-08,100
2007-12-09 - 2007-12-15,92
2007-12-16 - 2007-12-22,84
2007-12-23 - 2007-12-29,67
2007-12-30 - 2008-01-05,73
2008-01-06 - 2008-01-12,77
2008-01-13 - 2008-01-19,78
2008-01-20 - 2008-01-26,75
2008-01-27 - 2008-02-02,79
2008-02-03 - 2008-02-09,80
2008-02-10 - 2008-02-16,78
2008-02-17 - 2008-02-23,78
2008-02-24 - 2008-03-01,82
2008-03-02 - 2008-03-08,83
2008-03-09 - 2008-03-15,84
2008-03-16 - 2008-03-22,77
2008-03-23 - 2008-03-29,77
2008-03-30 - 2008-04-05,80
2008-04-06 - 2008-04-12,78
2008-04-13 - 2008-04-19,79
2008-04-20 - 2008-04-26,78
2008-04-27 - 2008-05-03,82
2008-05-04 - 2008-05-10,79
2008-05-11 - 2008-05-17,77
2008-05-18 - 2008-05-24,85
2008-05-25 - 2008-05-31,73
2008-06-01 - 2008-06-07,76
2008-06-08 - 2008-06-14,71
2008-06-15 - 2008-06-21,69
2008-06-22 - 2008-06-28,67
2008-06-29 - 2008-07-05,62
2008-07-06 - 2008-07-12,65
2008-07-13 - 2008-07-19,66
2008-07-20 - 2008-07-26,66
2008-07-27 - 2008-08-02,66
2008-08-03 - 2008-08-09,65
2008-08-10 - 2008-08-16,64
2008-08-17 - 2008-08-23,67
2008-08-24 - 2008-08-30,68
2008-08-31 - 2008-09-06,67
2008-09-07 - 2008-09-13,76
2008-09-14 - 2008-09-20,78
2008-09-21 - 2008-09-27,77
2008-09-28 - 2008-10-04,76
2008-10-05 - 2008-10-11,76
2008-10-12 - 2008-10-18,78
2008-10-19 - 2008-10-25,79
2008-10-26 - 2008-11-01,78
2008-11-02 - 2008-11-08,80
2008-11-09 - 2008-11-15,82
2008-11-16 - 2008-11-22,84
2008-11-23 - 2008-11-29,77
2008-11-30 - 2008-12-06,84
2008-12-07 - 2008-12-13,84
2008-12-14 - 2008-12-20,79
2008-12-21 - 2008-12-27,62
2008-12-28 - 2009-01-03,63
2009-01-04 - 2009-01-10,72
2009-01-11 - 2009-01-17,73
2009-01-18 - 2009-01-24,72
2009-01-25 - 2009-01-31,74
2009-02-01 - 2009-02-07,75
2009-02-08 - 2009-02-14,76
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,79
2009-03-01 - 2009-03-07,77
2009-03-08 - 2009-03-14,77
2009-03-15 - 2009-03-21,83
2009-03-22 - 2009-03-28,79
2009-03-29 - 2009-04-04,78
2009-04-05 - 2009-04-11,73
2009-04-12 - 2009-04-18,73
2009-04-19 - 2009-04-25,76
2009-04-26 - 2009-05-02,78
2009-05-03 - 2009-05-09,76
2009-05-10 - 2009-05-16,75
2009-05-17 - 2009-05-23,75
2009-05-24 - 2009-05-30,72
2009-05-31 - 2009-06-06,72
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,67
2009-06-21 - 2009-06-27,65
2009-06-28 - 2009-07-04,62
2009-07-05 - 2009-07-11,66
2009-07-12 - 2009-07-18,67
2009-07-19 - 2009-07-25,65
2009-07-26 - 2009-08-01,66
2009-08-02 - 2009-08-08,64
2009-08-09 - 2009-08-15,64
2009-08-16 - 2009-08-22,63
2009-08-23 - 2009-08-29,69
2009-08-30 - 2009-09-05,68
2009-09-06 - 2009-09-12,71
2009-09-13 - 2009-09-19,76
2009-09-20 - 2009-09-26,77
2009-09-27 - 2009-10-03,76
2009-10-04 - 2009-10-10,76
2009-10-11 - 2009-10-17,77
2009-10-18 - 2009-10-24,76
2009-10-25 - 2009-10-31,78
2009-11-01 - 2009-11-07,77
2009-11-08 - 2009-11-14,78
2009-11-15 - 2009-11-21,80
2009-11-22 - 2009-11-28,69
2009-11-29 - 2009-12-05,77
2009-12-06 - 2009-12-12,81
2009-12-13 - 2009-12-19,75
2009-12-20 - 2009-12-26,59
2009-12-27 - 2010-01-02,60
2010-01-03 - 2010-01-09,69
2010-01-10 - 2010-01-16,71
2010-01-17 - 2010-01-23,71
2010-01-24 - 2010-01-30,74
2010-01-31 - 2010-02-06,76
2010-02-07 - 2010-02-13,73
2010-02-14 - 2010-02-20,71
2010-02-21 - 2010-02-27,74
2010-02-28 - 2010-03-06,75
2010-03-07 - 2010-03-13,76
2010-03-14 - 2010-03-20,73
2010-03-21 - 2010-03-27,75
2010-03-28 - 2010-04-03,70
2010-04-04 - 2010-04-10,70
2010-04-11 - 2010-04-17,71
2010-04-18 - 2010-04-24,83
2010-04-25 - 2010-05-01,94
2010-05-02 - 2010-05-08,75
2010-05-09 - 2010-05-15,73
2010-05-16 - 2010-05-22,72
2010-05-23 - 2010-05-29,70
2010-05-30 - 2010-06-05,65
2010-06-06 - 2010-06-12,65
2010-06-13 - 2010-06-19,61
2010-06-20 - 2010-06-26,59
2010-06-27 - 2010-07-03,58
2010-07-04 - 2010-07-10,57
2010-07-11 - 2010-07-17,61
2010-07-18 - 2010-07-24,62
2010-07-25 - 2010-07-31,59
2010-08-01 - 2010-08-07,61
2010-08-08 - 2010-08-14,59
2010-08-15 - 2010-08-21,61
2010-08-22 - 2010-08-28,62
2010-08-29 - 2010-09-04,63
2010-09-05 - 2010-09-11,66
2010-09-12 - 2010-09-18,71
2010-09-19 - 2010-09-25,72
2010-09-26 - 2010-10-02,72
2010-10-03 - 2010-10-09,73
2010-10-10 - 2010-10-16,72
2010-10-17 - 2010-10-23,73
2010-10-24 - 2010-10-30,73
2010-10-31 - 2010-11-06,73
2010-11-07 - 2010-11-13,72
2010-11-14 - 2010-11-20,76
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,75
2010-12-05 - 2010-12-11,76
2010-12-12 - 2010-12-18,68
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,74
2011-01-16 - 2011-01-22,75
2011-01-23 - 2011-01-29,76
2011-01-30 - 2011-02-05,78
2011-02-06 - 2011-02-12,79
2011-02-13 - 2011-02-19,76
2011-02-20 - 2011-02-26,76
2011-02-27 - 2011-03-05,78
2011-03-06 - 2011-03-12,77
2011-03-13 - 2011-03-19,73
2011-03-20 - 2011-03-26,76
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,77
2011-04-10 - 2011-04-16,78
2011-04-17 - 2011-04-23,77
2011-04-24 - 2011-04-30,76
2011-05-01 - 2011-05-07,76
2011-05-08 - 2011-05-14,77
2011-05-15 - 2011-05-21,76
2011-05-22 - 2011-05-28,72
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,67
2011-06-12 - 2011-06-18,66
2011-06-19 - 2011-06-25,65
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,58
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,62
2011-08-21 - 2011-08-27,61
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,69
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,72
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,76
2011-10-16 - 2011-10-22,76
2011-10-23 - 2011-10-29,74
2011-10-30 - 2011-11-05,73
2011-11-06 - 2011-11-12,74
2011-11-13 - 2011-11-19,76
2011-11-20 - 2011-11-26,65
2011-11-27 - 2011-12-03,73
2011-12-04 - 2011-12-10,74
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,54
2012-01-01 - 2012-01-07,64
2012-01-08 - 2012-01-14,70
2012-01-15 - 2012-01-21,68
2012-01-22 - 2012-01-28,72
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,73
2012-02-12 - 2012-02-18,71
2012-02-19 - 2012-02-25,72
2012-02-26 - 2012-03-03,73
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,68
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,69
2012-04-01 - 2012-04-07,65
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,73
2012-04-29 - 2012-05-05,73
2012-05-06 - 2012-05-12,68
2012-05-13 - 2012-05-19,68
2012-05-20 - 2012-05-26,65
2012-05-27 - 2012-06-02,67
2012-06-03 - 2012-06-09,67
2012-06-10 - 2012-06-16,62
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,58
2012-07-01 - 2012-07-07,55
2012-07-08 - 2012-07-14,65
2012-07-15 - 2012-07-21,62
2012-07-22 - 2012-07-28,59
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,57
2012-08-12 - 2012-08-18,60
2012-08-19 - 2012-08-25,63
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,70
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,72
2012-09-30 - 2012-10-06,71
2012-10-07 - 2012-10-13,70
2012-10-14 - 2012-10-20,70
2012-10-21 - 2012-10-27,70
2012-10-28 - 2012-11-03,65
2012-11-04 - 2012-11-10,66
2012-11-11 - 2012-11-17,68
2012-11-18 - 2012-11-24,63
2012-11-25 - 2012-12-01,70
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,50
2012-12-30 - 2013-01-05,57
2013-01-06 - 2013-01-12,69
2013-01-13 - 2013-01-19,66
2013-01-20 - 2013-01-26,66
2013-01-27 - 2013-02-02,70
2013-02-03 - 2013-02-09,70
2013-02-10 - 2013-02-16,69
2013-02-17 - 2013-02-23,69
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,70
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,64
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,69
2013-04-14 - 2013-04-20,69
2013-04-21 - 2013-04-27,72
2013-04-28 - 2013-05-04,72
2013-05-05 - 2013-05-11,70
2013-05-12 - 2013-05-18,68
2013-05-19 - 2013-05-25,64
2013-05-26 - 2013-06-01,60
2013-06-02 - 2013-06-08,63
2013-06-09 - 2013-06-15,60
2013-06-16 - 2013-06-22,59
2013-06-23 - 2013-06-29,57
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,56
2013-07-21 - 2013-07-27,57
2013-07-28 - 2013-08-03,61
2013-08-04 - 2013-08-10,57
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,60
2013-08-25 - 2013-08-31,62
2013-09-01 - 2013-09-07,62
2013-09-08 - 2013-09-14,66
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,69
2013-09-29 - 2013-10-05,71
2013-10-06 - 2013-10-12,73
2013-10-13 - 2013-10-19,71
2013-10-20 - 2013-10-26,71
2013-10-27 - 2013-11-02,69
2013-11-03 - 2013-11-09,70
2013-11-10 - 2013-11-16,74
2013-11-17 - 2013-11-23,74
2013-11-24 - 2013-11-30,66
2013-12-01 - 2013-12-07,71
2013-12-08 - 2013-12-14,68
2013-12-15 - 2013-12-21,63
2013-12-22 - 2013-12-28,52
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,69
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,72
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,70
2014-02-16 - 2014-02-22,71
2014-02-23 - 2014-03-01,78
2014-03-02 - 2014-03-08,71
2014-03-09 - 2014-03-15,69
2014-03-16 - 2014-03-22,70
2014-03-23 - 2014-03-29,69
2014-03-30 - 2014-04-05,67
2014-04-06 - 2014-04-12,68
2014-04-13 - 2014-04-19,67
2014-04-20 - 2014-04-26,68
2014-04-27 - 2014-05-03,70
2014-05-04 - 2014-05-10,67
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,65
2014-05-25 - 2014-05-31,60
2014-06-01 - 2014-06-07,62
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,56
2014-06-29 - 2014-07-05,55
2014-07-06 - 2014-07-12,59
2014-07-13 - 2014-07-19,62
2014-07-20 - 2014-07-26,62
2014-07-27 - 2014-08-02,62
2014-08-03 - 2014-08-09,60
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,61
2014-08-24 - 2014-08-30,64
2014-08-31 - 2014-09-06,66
2014-09-07 - 2014-09-13,70
2014-09-14 - 2014-09-20,71
2014-09-21 - 2014-09-27,69
2014-09-28 - 2014-10-04,72
2014-10-05 - 2014-10-11,76
2014-10-12 - 2014-10-18,71
2014-10-19 - 2014-10-25,71
2014-10-26 - 2014-11-01,73
2014-11-02 - 2014-11-08,77
2014-11-09 - 2014-11-15,73
2014-11-16 - 2014-11-22,72
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,70
2014-12-07 - 2014-12-13,70
2014-12-14 - 2014-12-20,63
2014-12-21 - 2014-12-27,50
2014-12-28 - 2015-01-03,53
2015-01-04 - 2015-01-10,62
2015-01-11 - 2015-01-17,68
2015-01-18 - 2015-01-24,69
2015-01-25 - 2015-01-31,70
2015-02-01 - 2015-02-07,72
2015-02-08 - 2015-02-14,71
2015-02-15 - 2015-02-21,69
2015-02-22 - 2015-02-28,73
2015-03-01 - 2015-03-07,72
2015-03-08 - 2015-03-14,72
2015-03-15 - 2015-03-21,70
2015-03-22 - 2015-03-28,71
2015-03-29 - 2015-04-04,66
2015-04-05 - 2015-04-11,68
2015-04-12 - 2015-04-18,68
2015-04-19 - 2015-04-25,72
2015-04-26 - 2015-05-02,70
2015-05-03 - 2015-05-09,68
2015-05-10 - 2015-05-16,68
2015-05-17 - 2015-05-23,68
2015-05-24 - 2015-05-30,64
2015-05-31 - 2015-06-06,69
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,59
2015-06-21 - 2015-06-27,60
2015-06-28 - 2015-07-04,57
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,62
2015-07-19 - 2015-07-25,66
2015-07-26 - 2015-08-01,64
2015-08-02 - 2015-08-08,63
2015-08-09 - 2015-08-15,64
2015-08-16 - 2015-08-22,66
2015-08-23 - 2015-08-29,66
2015-08-30 - 2015-09-05,71
2015-09-06 - 2015-09-12,70
2015-09-13 - 2015-09-19,75
2015-09-20 - 2015-09-26,75
2015-09-27 - 2015-10-03,74
2015-10-04 - 2015-10-10,75
2015-10-11 - 2015-10-17,78
2015-10-18 - 2015-10-24,77
2015-10-25 - 2015-10-31,79
2015-11-01 - 2015-11-07,80
2015-11-08 - 2015-11-14,75
2015-11-15 - 2015-11-21,74
2015-11-22 - 2015-11-28,65
2015-11-29 - 2015-12-05,73
2015-12-06 - 2015-12-12,74
2015-12-13 - 2015-12-19,70
2015-12-20 - 2015-12-26,58
2015-12-27 - 2016-01-02,58
2016-01-03 - 2016-01-09,70
2016-01-10 - 2016-01-16,71
2016-01-17 - 2016-01-23,71
2016-01-24 - 2016-01-30,77
2016-01-31 - 2016-02-06,78
2016-02-07 - 2016-02-13,79
2016-02-14 - 2016-02-20,76
2016-02-21 - 2016-02-27,78
2016-02-28 - 2016-03-05,75
2016-03-06 - 2016-03-12,75
2016-03-13 - 2016-03-19,73
2016-03-20 - 2016-03-26,71
2016-03-27 - 2016-04-02,72
2016-04-03 - 2016-04-09,76
2016-04-10 - 2016-04-16,78
2016-04-17 - 2016-04-23,77
2016-04-24 - 2016-04-30,76
2016-05-01 - 2016-05-07,74
2016-05-08 - 2016-05-14,73
2016-05-15 - 2016-05-21,75
2016-05-22 - 2016-05-28,75
2016-05-29 - 2016-06-04,69
2016-06-05 - 2016-06-11,66
2016-06-12 - 2016-06-18,64
2016-06-19 - 2016-06-25,67
2016-06-26 - 2016-07-02,63
2016-07-03 - 2016-07-09,67


Top regions for brain
Region,brain
United States,100
New Zealand,88
Australia,87
Philippines,82
Canada,80
South Africa,77
Singapore,66
Nigeria,65
Kenya,63
United Kingdom,61
Ireland,60
India,55
Pakistan,54
United Arab Emirates,42
Malaysia,39
Hong Kong,34
South Korea,25
Norway,23
Netherlands,22
Israel,21
Denmark,19
Sweden,19
Switzerland,19
Croatia,18
Greece,17
Finland,16
Thailand,16
Belgium,16
Austria,15
Portugal,15
Bulgaria,15
Egypt,15
Germany,14
Czech Republic,14
Romania,14
Indonesia,14
Saudi Arabia,14
Taiwan,13
Iran,12
Ukraine,12
Italy,12
Hungary,11
Spain,11
Chile,11
France,11
Mexico,9
Poland,8
Colombia,8
Argentina,7
China,7
Japan,6
Russia,5
Turkey,5
Brazil,5
Vietnam,5


Top cities for brain
City,brain
Philadelphia (United States),100
Boston (United States),98
San Diego (United States),96
Melbourne (Australia),89
Seattle (United States),88
Los Angeles (United States),88
Vancouver (Canada),86
Chicago (United States),86
Houston (United States),84
New York (United States),84
Atlanta (United States),82
San Francisco (United States),81
Washington (United States),81
Toronto (Canada),81
Dallas (United States),81



Top searches for brain
the brain,100
brain games,20
brain tumor,15
fun brain,10
brain teasers,10
human brain,10
brain cancer,10
brain injury,10
right brain,10
left brain,10
brain damage,10
brain pop,10
brain test,5
brain game,5
google brain,5
brain cells,5
brain parts,5
brain surgery,5
brain mri,5
the human brain,5
aneurysm,5
brain training,5
brain aneurysm,5
brain tumor symptoms,5
parts of brain,5
word brain,5
brain dead,5
brain development,5
brain food,5
no brain,5
brain teaser,5
brain tumour,5
brain stem,5
brain research,5
brain tumors,5
brain age,5
brain power,5
brain stroke,5
brain functions,5
brain anatomy,5
traumatic brain injury,5
brain death,5
brain drain,5
fun brain games,5
brain hemorrhage,0
free brain games,0
brain freeze,0
brain waves,0
brain fog,0
riddles,0



Rising searches for brain
google brain,+1,000%
brain training,+350%
brain pop,+250%
brain games,+200%
word brain,+130%
brain game,+110%
aneurysm,+80%
brain aneurysm,+80%
brain dead,+60%
fun brain,+60%



