Web Search interest: regulation
Worldwide 2004 - present

Interest over time
Week,regulation
2005-01-09 - 2005-01-15,82
2005-01-16 - 2005-01-22,81
2005-01-23 - 2005-01-29,85
2005-01-30 - 2005-02-05,86
2005-02-06 - 2005-02-12,89
2005-02-13 - 2005-02-19,86
2005-02-20 - 2005-02-26,86
2005-02-27 - 2005-03-05,94
2005-03-06 - 2005-03-12,91
2005-03-13 - 2005-03-19,90
2005-03-20 - 2005-03-26,85
2005-03-27 - 2005-04-02,78
2005-04-03 - 2005-04-09,85
2005-04-10 - 2005-04-16,90
2005-04-17 - 2005-04-23,85
2005-04-24 - 2005-04-30,89
2005-05-01 - 2005-05-07,86
2005-05-08 - 2005-05-14,88
2005-05-15 - 2005-05-21,83
2005-05-22 - 2005-05-28,80
2005-05-29 - 2005-06-04,74
2005-06-05 - 2005-06-11,76
2005-06-12 - 2005-06-18,84
2005-06-19 - 2005-06-25,85
2005-06-26 - 2005-07-02,75
2005-07-03 - 2005-07-09,71
2005-07-10 - 2005-07-16,78
2005-07-17 - 2005-07-23,75
2005-07-24 - 2005-07-30,74
2005-07-31 - 2005-08-06,75
2005-08-07 - 2005-08-13,75
2005-08-14 - 2005-08-20,71
2005-08-21 - 2005-08-27,69
2005-08-28 - 2005-09-03,68
2005-09-04 - 2005-09-10,69
2005-09-11 - 2005-09-17,75
2005-09-18 - 2005-09-24,79
2005-09-25 - 2005-10-01,76
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,83
2005-10-16 - 2005-10-22,82
2005-10-23 - 2005-10-29,78
2005-10-30 - 2005-11-05,80
2005-11-06 - 2005-11-12,78
2005-11-13 - 2005-11-19,81
2005-11-20 - 2005-11-26,75
2005-11-27 - 2005-12-03,81
2005-12-04 - 2005-12-10,78
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,59
2005-12-25 - 2005-12-31,45
2006-01-01 - 2006-01-07,61
2006-01-08 - 2006-01-14,72
2006-01-15 - 2006-01-21,70
2006-01-22 - 2006-01-28,73
2006-01-29 - 2006-02-04,74
2006-02-05 - 2006-02-11,75
2006-02-12 - 2006-02-18,71
2006-02-19 - 2006-02-25,75
2006-02-26 - 2006-03-04,77
2006-03-05 - 2006-03-11,75
2006-03-12 - 2006-03-18,77
2006-03-19 - 2006-03-25,78
2006-03-26 - 2006-04-01,78
2006-04-02 - 2006-04-08,76
2006-04-09 - 2006-04-15,73
2006-04-16 - 2006-04-22,73
2006-04-23 - 2006-04-29,76
2006-04-30 - 2006-05-06,76
2006-05-07 - 2006-05-13,76
2006-05-14 - 2006-05-20,72
2006-05-21 - 2006-05-27,70
2006-05-28 - 2006-06-03,65
2006-06-04 - 2006-06-10,66
2006-06-11 - 2006-06-17,70
2006-06-18 - 2006-06-24,67
2006-06-25 - 2006-07-01,66
2006-07-02 - 2006-07-08,61
2006-07-09 - 2006-07-15,67
2006-07-16 - 2006-07-22,68
2006-07-23 - 2006-07-29,66
2006-07-30 - 2006-08-05,62
2006-08-06 - 2006-08-12,63
2006-08-13 - 2006-08-19,64
2006-08-20 - 2006-08-26,63
2006-08-27 - 2006-09-02,60
2006-09-03 - 2006-09-09,60
2006-09-10 - 2006-09-16,64
2006-09-17 - 2006-09-23,65
2006-09-24 - 2006-09-30,66
2006-10-01 - 2006-10-07,66
2006-10-08 - 2006-10-14,69
2006-10-15 - 2006-10-21,69
2006-10-22 - 2006-10-28,66
2006-10-29 - 2006-11-04,65
2006-11-05 - 2006-11-11,68
2006-11-12 - 2006-11-18,67
2006-11-19 - 2006-11-25,58
2006-11-26 - 2006-12-02,67
2006-12-03 - 2006-12-09,65
2006-12-10 - 2006-12-16,63
2006-12-17 - 2006-12-23,49
2006-12-24 - 2006-12-30,37
2006-12-31 - 2007-01-06,51
2007-01-07 - 2007-01-13,62
2007-01-14 - 2007-01-20,62
2007-01-21 - 2007-01-27,63
2007-01-28 - 2007-02-03,63
2007-02-04 - 2007-02-10,62
2007-02-11 - 2007-02-17,62
2007-02-18 - 2007-02-24,62
2007-02-25 - 2007-03-03,64
2007-03-04 - 2007-03-10,65
2007-03-11 - 2007-03-17,65
2007-03-18 - 2007-03-24,63
2007-03-25 - 2007-03-31,65
2007-04-01 - 2007-04-07,61
2007-04-08 - 2007-04-14,63
2007-04-15 - 2007-04-21,66
2007-04-22 - 2007-04-28,66
2007-04-29 - 2007-05-05,64
2007-05-06 - 2007-05-12,64
2007-05-13 - 2007-05-19,66
2007-05-20 - 2007-05-26,63
2007-05-27 - 2007-06-02,57
2007-06-03 - 2007-06-09,63
2007-06-10 - 2007-06-16,62
2007-06-17 - 2007-06-23,59
2007-06-24 - 2007-06-30,58
2007-07-01 - 2007-07-07,56
2007-07-08 - 2007-07-14,59
2007-07-15 - 2007-07-21,59
2007-07-22 - 2007-07-28,59
2007-07-29 - 2007-08-04,57
2007-08-05 - 2007-08-11,57
2007-08-12 - 2007-08-18,58
2007-08-19 - 2007-08-25,55
2007-08-26 - 2007-09-01,59
2007-09-02 - 2007-09-08,54
2007-09-09 - 2007-09-15,60
2007-09-16 - 2007-09-22,60
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,58
2007-10-07 - 2007-10-13,62
2007-10-14 - 2007-10-20,61
2007-10-21 - 2007-10-27,62
2007-10-28 - 2007-11-03,62
2007-11-04 - 2007-11-10,63
2007-11-11 - 2007-11-17,60
2007-11-18 - 2007-11-24,59
2007-11-25 - 2007-12-01,66
2007-12-02 - 2007-12-08,64
2007-12-09 - 2007-12-15,58
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,30
2007-12-30 - 2008-01-05,44
2008-01-06 - 2008-01-12,56
2008-01-13 - 2008-01-19,56
2008-01-20 - 2008-01-26,56
2008-01-27 - 2008-02-02,58
2008-02-03 - 2008-02-09,57
2008-02-10 - 2008-02-16,56
2008-02-17 - 2008-02-23,59
2008-02-24 - 2008-03-01,61
2008-03-02 - 2008-03-08,60
2008-03-09 - 2008-03-15,59
2008-03-16 - 2008-03-22,59
2008-03-23 - 2008-03-29,56
2008-03-30 - 2008-04-05,62
2008-04-06 - 2008-04-12,60
2008-04-13 - 2008-04-19,63
2008-04-20 - 2008-04-26,64
2008-04-27 - 2008-05-03,64
2008-05-04 - 2008-05-10,60
2008-05-11 - 2008-05-17,60
2008-05-18 - 2008-05-24,57
2008-05-25 - 2008-05-31,54
2008-06-01 - 2008-06-07,55
2008-06-08 - 2008-06-14,56
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,55
2008-06-29 - 2008-07-05,50
2008-07-06 - 2008-07-12,53
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,55
2008-07-27 - 2008-08-02,52
2008-08-03 - 2008-08-09,51
2008-08-10 - 2008-08-16,52
2008-08-17 - 2008-08-23,52
2008-08-24 - 2008-08-30,50
2008-08-31 - 2008-09-06,48
2008-09-07 - 2008-09-13,54
2008-09-14 - 2008-09-20,59
2008-09-21 - 2008-09-27,62
2008-09-28 - 2008-10-04,60
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,57
2008-10-19 - 2008-10-25,59
2008-10-26 - 2008-11-01,57
2008-11-02 - 2008-11-08,56
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,59
2008-11-23 - 2008-11-29,51
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,54
2008-12-14 - 2008-12-20,50
2008-12-21 - 2008-12-27,31
2008-12-28 - 2009-01-03,32
2009-01-04 - 2009-01-10,52
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,52
2009-01-25 - 2009-01-31,53
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,55
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,57
2009-03-01 - 2009-03-07,58
2009-03-08 - 2009-03-14,56
2009-03-15 - 2009-03-21,59
2009-03-22 - 2009-03-28,58
2009-03-29 - 2009-04-04,57
2009-04-05 - 2009-04-11,56
2009-04-12 - 2009-04-18,55
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,56
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,55
2009-05-17 - 2009-05-23,52
2009-05-24 - 2009-05-30,49
2009-05-31 - 2009-06-06,51
2009-06-07 - 2009-06-13,52
2009-06-14 - 2009-06-20,51
2009-06-21 - 2009-06-27,50
2009-06-28 - 2009-07-04,46
2009-07-05 - 2009-07-11,49
2009-07-12 - 2009-07-18,49
2009-07-19 - 2009-07-25,50
2009-07-26 - 2009-08-01,50
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,49
2009-08-16 - 2009-08-22,48
2009-08-23 - 2009-08-29,48
2009-08-30 - 2009-09-05,47
2009-09-06 - 2009-09-12,49
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,52
2009-10-04 - 2009-10-10,54
2009-10-11 - 2009-10-17,52
2009-10-18 - 2009-10-24,54
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,53
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,54
2009-11-22 - 2009-11-28,47
2009-11-29 - 2009-12-05,53
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,31
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,45
2010-01-10 - 2010-01-16,48
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,52
2010-01-31 - 2010-02-06,53
2010-02-07 - 2010-02-13,50
2010-02-14 - 2010-02-20,49
2010-02-21 - 2010-02-27,53
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,52
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,51
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,54
2010-04-18 - 2010-04-24,57
2010-04-25 - 2010-05-01,57
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,53
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,45
2010-06-06 - 2010-06-12,49
2010-06-13 - 2010-06-19,47
2010-06-20 - 2010-06-26,49
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,44
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,46
2010-07-25 - 2010-07-31,45
2010-08-01 - 2010-08-07,44
2010-08-08 - 2010-08-14,43
2010-08-15 - 2010-08-21,44
2010-08-22 - 2010-08-28,44
2010-08-29 - 2010-09-04,43
2010-09-05 - 2010-09-11,44
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,47
2010-09-26 - 2010-10-02,48
2010-10-03 - 2010-10-09,48
2010-10-10 - 2010-10-16,48
2010-10-17 - 2010-10-23,49
2010-10-24 - 2010-10-30,48
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,50
2010-11-21 - 2010-11-27,43
2010-11-28 - 2010-12-04,48
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,41
2011-01-09 - 2011-01-15,44
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,44
2011-02-06 - 2011-02-12,47
2011-02-13 - 2011-02-19,47
2011-02-20 - 2011-02-26,46
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,47
2011-03-13 - 2011-03-19,46
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,49
2011-04-03 - 2011-04-09,50
2011-04-10 - 2011-04-16,48
2011-04-17 - 2011-04-23,46
2011-04-24 - 2011-04-30,44
2011-05-01 - 2011-05-07,46
2011-05-08 - 2011-05-14,48
2011-05-15 - 2011-05-21,46
2011-05-22 - 2011-05-28,45
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,44
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,40
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,41
2011-07-31 - 2011-08-06,39
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,38
2011-08-28 - 2011-09-03,37
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,42
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,45
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,45
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,45
2011-11-06 - 2011-11-12,42
2011-11-13 - 2011-11-19,46
2011-11-20 - 2011-11-26,40
2011-11-27 - 2011-12-03,45
2011-12-04 - 2011-12-10,45
2011-12-11 - 2011-12-17,42
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,35
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,42
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,43
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,43
2012-03-18 - 2012-03-24,44
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,40
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,42
2012-05-20 - 2012-05-26,41
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,38
2012-06-10 - 2012-06-16,40
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,39
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,37
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,38
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,36
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,37
2012-09-02 - 2012-09-08,38
2012-09-09 - 2012-09-15,41
2012-09-16 - 2012-09-22,41
2012-09-23 - 2012-09-29,41
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,37
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,20
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,40
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,42
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,41
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,37
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,35
2013-07-21 - 2013-07-27,35
2013-07-28 - 2013-08-03,34
2013-08-04 - 2013-08-10,33
2013-08-11 - 2013-08-17,33
2013-08-18 - 2013-08-24,34
2013-08-25 - 2013-08-31,34
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,38
2013-09-15 - 2013-09-21,40
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,40
2013-10-06 - 2013-10-12,41
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,41
2013-10-27 - 2013-11-02,41
2013-11-03 - 2013-11-09,42
2013-11-10 - 2013-11-16,42
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,37
2013-12-01 - 2013-12-07,41
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,20
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,38
2014-01-19 - 2014-01-25,38
2014-01-26 - 2014-02-01,39
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,40
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,42
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,43
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,41
2014-04-27 - 2014-05-03,42
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,40
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,37
2014-06-01 - 2014-06-07,40
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,38
2014-06-22 - 2014-06-28,37
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,36
2014-07-13 - 2014-07-19,36
2014-07-20 - 2014-07-26,36
2014-07-27 - 2014-08-02,35
2014-08-03 - 2014-08-09,35
2014-08-10 - 2014-08-16,33
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,35
2014-08-31 - 2014-09-06,35
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,40
2014-09-28 - 2014-10-04,40
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,42
2014-10-19 - 2014-10-25,41
2014-10-26 - 2014-11-01,42
2014-11-02 - 2014-11-08,44
2014-11-09 - 2014-11-15,44
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,42
2014-12-14 - 2014-12-20,36
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,36
2015-01-11 - 2015-01-17,37
2015-01-18 - 2015-01-24,39
2015-01-25 - 2015-01-31,40
2015-02-01 - 2015-02-07,40
2015-02-08 - 2015-02-14,40
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,43
2015-03-01 - 2015-03-07,41
2015-03-08 - 2015-03-14,43
2015-03-15 - 2015-03-21,41
2015-03-22 - 2015-03-28,40
2015-03-29 - 2015-04-04,38
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,43
2015-04-19 - 2015-04-25,43
2015-04-26 - 2015-05-02,43
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,41
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,36
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,38
2015-06-14 - 2015-06-20,37
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,35
2015-07-12 - 2015-07-18,34
2015-07-19 - 2015-07-25,34
2015-07-26 - 2015-08-01,33
2015-08-02 - 2015-08-08,34
2015-08-09 - 2015-08-15,33
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,34
2015-08-30 - 2015-09-05,35
2015-09-06 - 2015-09-12,36
2015-09-13 - 2015-09-19,38
2015-09-20 - 2015-09-26,38
2015-09-27 - 2015-10-03,39
2015-10-04 - 2015-10-10,40
2015-10-11 - 2015-10-17,41
2015-10-18 - 2015-10-24,41
2015-10-25 - 2015-10-31,42
2015-11-01 - 2015-11-07,43
2015-11-08 - 2015-11-14,40
2015-11-15 - 2015-11-21,42
2015-11-22 - 2015-11-28,37
2015-11-29 - 2015-12-05,40
2015-12-06 - 2015-12-12,42
2015-12-13 - 2015-12-19,38
2015-12-20 - 2015-12-26,23
2015-12-27 - 2016-01-02,22
2016-01-03 - 2016-01-09,37
2016-01-10 - 2016-01-16,37
2016-01-17 - 2016-01-23,38
2016-01-24 - 2016-01-30,39
2016-01-31 - 2016-02-06,39
2016-02-07 - 2016-02-13,38
2016-02-14 - 2016-02-20,38
2016-02-21 - 2016-02-27,41
2016-02-28 - 2016-03-05,42
2016-03-06 - 2016-03-12,42
2016-03-13 - 2016-03-19,40
2016-03-20 - 2016-03-26,37
2016-03-27 - 2016-04-02,38
2016-04-03 - 2016-04-09,41
2016-04-10 - 2016-04-16,42
2016-04-17 - 2016-04-23,43
2016-04-24 - 2016-04-30,42
2016-05-01 - 2016-05-07,41
2016-05-08 - 2016-05-14,42
2016-05-15 - 2016-05-21,41
2016-05-22 - 2016-05-28,40
2016-05-29 - 2016-06-04,38
2016-06-05 - 2016-06-11,38
2016-06-12 - 2016-06-18,38
2016-06-19 - 2016-06-25,36
2016-06-26 - 2016-07-02,24


Top regions for regulation
Region,regulation
Ethiopia,100
Luxembourg,90
Malta,77
Nigeria,67
Philippines,60
Kenya,57
Singapore,55
Hong Kong,51
Australia,51
South Africa,47
Ireland,47
United States,43
United Kingdom,43
India,40
Canada,38
South Korea,37
Malaysia,29
Bangladesh,29
New Zealand,28
United Arab Emirates,28
Belgium,26
Kuwait,25
Pakistan,22
Iraq,17
Switzerland,17
China,14
Taiwan,13
France,12
Netherlands,11
Denmark,11
Norway,11
Algeria,11
Israel,11
Germany,10
Czech Republic,10
Bulgaria,10
Greece,10
Morocco,9
Austria,9
Croatia,9
Sweden,8
Portugal,8
Iran,8
Finland,7
Indonesia,7
Hungary,7
Thailand,6
Romania,6
Saudi Arabia,6
Egypt,5
Italy,5
Japan,4
Spain,4
Poland,3
Vietnam,3
Russia,2
Mexico,2
Turkey,2
Brazil,1


Top cities for regulation
City,regulation
Washington (United States),100
Chennai (India),93
Makati City (Philippines),82
Singapore (Singapore),65
Boston (United States),60
Chicago (United States),60
London (United Kingdom),58
Dublin (Ireland),55
Sydney (Australia),54
Seoul (South Korea),54
New York (United States),53
Toronto (Canada),50
Brussels (Belgium),48
Melbourne (Australia),45
Mumbai (India),45



Top searches for regulation
regulation a,100
army regulation,65
what is regulation,50
financial regulation,30
government regulation,30
eu regulation,25
regulation definition,25
gene regulation,25
self regulation,15
building regulation,15
illinois professional regulation,15
temperature regulation,10
regulation d,10
anna university,10
regulation e,10
federal acquisition regulation,10
up regulation,10
solicitors regulation authority,10
voltage regulation,10
down regulation,5
regulation z,5
regulation b,5
define regulation,5
regulation s,5
emotion regulation,5
internet regulation,5
emotional regulation,5
line regulation,5
professional regulation commission,5
media regulation,5
transcriptional regulation,5
body temperature regulation,5
banking regulation act,5
regulation t,5
better regulation,5
army regulations,5
regulation london,5
cell cycle regulation,5
allosteric regulation,5
regulation s-k,5
reach regulation,5
regulation pool table,5
data protection regulation,5
building regulations,5
regulation o,5
load regulation,5
regulation m,5
zones of regulation,5
regulation r,5
regulation sign,5



Rising searches for regulation
anna university,Breakout
solicitors regulation authority,Breakout
emotional regulation,+400%
define regulation,+300%
emotion regulation,+200%
what is regulation,+200%
regulation a,+130%
up regulation,+100%
down regulation,+90%
self regulation,+90%



