Web Search interest: tropical+medicine
Worldwide 2004 - present

Interest over time
Week,tropical+medicine
2005-10-23 - 2005-10-29,82
2005-10-30 - 2005-11-05,73
2005-11-06 - 2005-11-12,73
2005-11-13 - 2005-11-19,76
2005-11-20 - 2005-11-26,65
2005-11-27 - 2005-12-03,73
2005-12-04 - 2005-12-10,69
2005-12-11 - 2005-12-17,63
2005-12-18 - 2005-12-24,59
2005-12-25 - 2005-12-31,60
2006-01-01 - 2006-01-07,71
2006-01-08 - 2006-01-14,72
2006-01-15 - 2006-01-21,72
2006-01-22 - 2006-01-28,72
2006-01-29 - 2006-02-04,72
2006-02-05 - 2006-02-11,72
2006-02-12 - 2006-02-18,69
2006-02-19 - 2006-02-25,70
2006-02-26 - 2006-03-04,71
2006-03-05 - 2006-03-11,70
2006-03-12 - 2006-03-18,71
2006-03-19 - 2006-03-25,72
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,68
2006-04-16 - 2006-04-22,68
2006-04-23 - 2006-04-29,72
2006-04-30 - 2006-05-06,71
2006-05-07 - 2006-05-13,68
2006-05-14 - 2006-05-20,68
2006-05-21 - 2006-05-27,65
2006-05-28 - 2006-06-03,65
2006-06-04 - 2006-06-10,66
2006-06-11 - 2006-06-17,68
2006-06-18 - 2006-06-24,64
2006-06-25 - 2006-07-01,62
2006-07-02 - 2006-07-08,60
2006-07-09 - 2006-07-15,64
2006-07-16 - 2006-07-22,67
2006-07-23 - 2006-07-29,66
2006-07-30 - 2006-08-05,76
2006-08-06 - 2006-08-12,66
2006-08-13 - 2006-08-19,66
2006-08-20 - 2006-08-26,69
2006-08-27 - 2006-09-02,74
2006-09-03 - 2006-09-09,67
2006-09-10 - 2006-09-16,68
2006-09-17 - 2006-09-23,67
2006-09-24 - 2006-09-30,67
2006-10-01 - 2006-10-07,68
2006-10-08 - 2006-10-14,65
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,66
2006-10-29 - 2006-11-04,64
2006-11-05 - 2006-11-11,63
2006-11-12 - 2006-11-18,65
2006-11-19 - 2006-11-25,56
2006-11-26 - 2006-12-02,63
2006-12-03 - 2006-12-09,61
2006-12-10 - 2006-12-16,58
2006-12-17 - 2006-12-23,54
2006-12-24 - 2006-12-30,52
2006-12-31 - 2007-01-06,62
2007-01-07 - 2007-01-13,64
2007-01-14 - 2007-01-20,62
2007-01-21 - 2007-01-27,64
2007-01-28 - 2007-02-03,66
2007-02-04 - 2007-02-10,62
2007-02-11 - 2007-02-17,62
2007-02-18 - 2007-02-24,64
2007-02-25 - 2007-03-03,63
2007-03-04 - 2007-03-10,63
2007-03-11 - 2007-03-17,63
2007-03-18 - 2007-03-24,62
2007-03-25 - 2007-03-31,63
2007-04-01 - 2007-04-07,59
2007-04-08 - 2007-04-14,62
2007-04-15 - 2007-04-21,61
2007-04-22 - 2007-04-28,63
2007-04-29 - 2007-05-05,64
2007-05-06 - 2007-05-12,64
2007-05-13 - 2007-05-19,65
2007-05-20 - 2007-05-26,63
2007-05-27 - 2007-06-02,63
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,62
2007-06-17 - 2007-06-23,61
2007-06-24 - 2007-06-30,60
2007-07-01 - 2007-07-07,60
2007-07-08 - 2007-07-14,64
2007-07-15 - 2007-07-21,64
2007-07-22 - 2007-07-28,66
2007-07-29 - 2007-08-04,67
2007-08-05 - 2007-08-11,65
2007-08-12 - 2007-08-18,77
2007-08-19 - 2007-08-25,69
2007-08-26 - 2007-09-01,67
2007-09-02 - 2007-09-08,66
2007-09-09 - 2007-09-15,71
2007-09-16 - 2007-09-22,70
2007-09-23 - 2007-09-29,75
2007-09-30 - 2007-10-06,65
2007-10-07 - 2007-10-13,64
2007-10-14 - 2007-10-20,63
2007-10-21 - 2007-10-27,59
2007-10-28 - 2007-11-03,67
2007-11-04 - 2007-11-10,59
2007-11-11 - 2007-11-17,59
2007-11-18 - 2007-11-24,51
2007-11-25 - 2007-12-01,58
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,55
2007-12-16 - 2007-12-22,50
2007-12-23 - 2007-12-29,47
2007-12-30 - 2008-01-05,54
2008-01-06 - 2008-01-12,59
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,60
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,60
2008-02-10 - 2008-02-16,59
2008-02-17 - 2008-02-23,59
2008-02-24 - 2008-03-01,58
2008-03-02 - 2008-03-08,59
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,57
2008-03-23 - 2008-03-29,58
2008-03-30 - 2008-04-05,58
2008-04-06 - 2008-04-12,58
2008-04-13 - 2008-04-19,58
2008-04-20 - 2008-04-26,57
2008-04-27 - 2008-05-03,58
2008-05-04 - 2008-05-10,56
2008-05-11 - 2008-05-17,57
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,54
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,55
2008-07-06 - 2008-07-12,58
2008-07-13 - 2008-07-19,58
2008-07-20 - 2008-07-26,62
2008-07-27 - 2008-08-02,56
2008-08-03 - 2008-08-09,59
2008-08-10 - 2008-08-16,61
2008-08-17 - 2008-08-23,82
2008-08-24 - 2008-08-30,71
2008-08-31 - 2008-09-06,73
2008-09-07 - 2008-09-13,65
2008-09-14 - 2008-09-20,60
2008-09-21 - 2008-09-27,60
2008-09-28 - 2008-10-04,58
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,59
2008-10-19 - 2008-10-25,56
2008-10-26 - 2008-11-01,54
2008-11-02 - 2008-11-08,55
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,54
2008-11-23 - 2008-11-29,47
2008-11-30 - 2008-12-06,53
2008-12-07 - 2008-12-13,53
2008-12-14 - 2008-12-20,49
2008-12-21 - 2008-12-27,43
2008-12-28 - 2009-01-03,48
2009-01-04 - 2009-01-10,56
2009-01-11 - 2009-01-17,57
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,60
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,55
2009-02-15 - 2009-02-21,55
2009-02-22 - 2009-02-28,55
2009-03-01 - 2009-03-07,54
2009-03-08 - 2009-03-14,56
2009-03-15 - 2009-03-21,56
2009-03-22 - 2009-03-28,56
2009-03-29 - 2009-04-04,56
2009-04-05 - 2009-04-11,55
2009-04-12 - 2009-04-18,53
2009-04-19 - 2009-04-25,54
2009-04-26 - 2009-05-02,56
2009-05-03 - 2009-05-09,54
2009-05-10 - 2009-05-16,52
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,52
2009-05-31 - 2009-06-06,53
2009-06-07 - 2009-06-13,52
2009-06-14 - 2009-06-20,52
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,49
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,53
2009-07-19 - 2009-07-25,54
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,54
2009-08-09 - 2009-08-15,59
2009-08-16 - 2009-08-22,61
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,57
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,55
2009-09-20 - 2009-09-26,55
2009-09-27 - 2009-10-03,56
2009-10-04 - 2009-10-10,58
2009-10-11 - 2009-10-17,56
2009-10-18 - 2009-10-24,56
2009-10-25 - 2009-10-31,53
2009-11-01 - 2009-11-07,55
2009-11-08 - 2009-11-14,56
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,46
2009-11-29 - 2009-12-05,50
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,41
2009-12-27 - 2010-01-02,46
2010-01-03 - 2010-01-09,52
2010-01-10 - 2010-01-16,54
2010-01-17 - 2010-01-23,53
2010-01-24 - 2010-01-30,54
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,52
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,53
2010-03-21 - 2010-03-27,53
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,51
2010-04-11 - 2010-04-17,51
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,53
2010-05-09 - 2010-05-15,52
2010-05-16 - 2010-05-22,51
2010-05-23 - 2010-05-29,51
2010-05-30 - 2010-06-05,52
2010-06-06 - 2010-06-12,49
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,50
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,52
2010-08-15 - 2010-08-21,53
2010-08-22 - 2010-08-28,54
2010-08-29 - 2010-09-04,56
2010-09-05 - 2010-09-11,55
2010-09-12 - 2010-09-18,55
2010-09-19 - 2010-09-25,57
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,53
2010-10-10 - 2010-10-16,53
2010-10-17 - 2010-10-23,53
2010-10-24 - 2010-10-30,52
2010-10-31 - 2010-11-06,53
2010-11-07 - 2010-11-13,51
2010-11-14 - 2010-11-20,51
2010-11-21 - 2010-11-27,44
2010-11-28 - 2010-12-04,48
2010-12-05 - 2010-12-11,48
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,45
2011-01-02 - 2011-01-08,53
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,52
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,52
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,49
2011-03-20 - 2011-03-26,52
2011-03-27 - 2011-04-02,51
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,50
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,51
2011-07-03 - 2011-07-09,50
2011-07-10 - 2011-07-16,50
2011-07-17 - 2011-07-23,52
2011-07-24 - 2011-07-30,57
2011-07-31 - 2011-08-06,63
2011-08-07 - 2011-08-13,51
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,58
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,53
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,50
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,49
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,51
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,51
2012-02-05 - 2012-02-11,50
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,51
2012-03-11 - 2012-03-17,51
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,50
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,50
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,62
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,51
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,55
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,70
2012-08-26 - 2012-09-01,67
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,54
2012-09-23 - 2012-09-29,55
2012-09-30 - 2012-10-06,53
2012-10-07 - 2012-10-13,52
2012-10-14 - 2012-10-20,52
2012-10-21 - 2012-10-27,56
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,47
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,45
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,48
2012-12-09 - 2012-12-15,47
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,42
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,52
2013-01-20 - 2013-01-26,51
2013-01-27 - 2013-02-02,52
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,50
2013-02-17 - 2013-02-23,52
2013-02-24 - 2013-03-02,52
2013-03-03 - 2013-03-09,52
2013-03-10 - 2013-03-16,52
2013-03-17 - 2013-03-23,52
2013-03-24 - 2013-03-30,50
2013-03-31 - 2013-04-06,50
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,52
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,53
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,52
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,50
2013-06-16 - 2013-06-22,53
2013-06-23 - 2013-06-29,52
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,60
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,53
2013-07-28 - 2013-08-03,56
2013-08-04 - 2013-08-10,51
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,55
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,60
2013-10-06 - 2013-10-12,54
2013-10-13 - 2013-10-19,53
2013-10-20 - 2013-10-26,51
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,52
2013-11-24 - 2013-11-30,45
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,48
2013-12-15 - 2013-12-21,47
2013-12-22 - 2013-12-28,44
2013-12-29 - 2014-01-04,48
2014-01-05 - 2014-01-11,53
2014-01-12 - 2014-01-18,53
2014-01-19 - 2014-01-25,52
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,51
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,54
2014-02-23 - 2014-03-01,54
2014-03-02 - 2014-03-08,53
2014-03-09 - 2014-03-15,52
2014-03-16 - 2014-03-22,53
2014-03-23 - 2014-03-29,53
2014-03-30 - 2014-04-05,52
2014-04-06 - 2014-04-12,54
2014-04-13 - 2014-04-19,53
2014-04-20 - 2014-04-26,53
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,53
2014-05-11 - 2014-05-17,51
2014-05-18 - 2014-05-24,51
2014-05-25 - 2014-05-31,50
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,50
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,50
2014-06-29 - 2014-07-05,56
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,52
2014-07-20 - 2014-07-26,54
2014-07-27 - 2014-08-02,54
2014-08-03 - 2014-08-09,55
2014-08-10 - 2014-08-16,53
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,54
2014-08-31 - 2014-09-06,53
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,57
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,54
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,53
2014-10-26 - 2014-11-01,53
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,53
2014-11-16 - 2014-11-22,51
2014-11-23 - 2014-11-29,46
2014-11-30 - 2014-12-06,52
2014-12-07 - 2014-12-13,51
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,44
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,55
2015-01-18 - 2015-01-24,52
2015-01-25 - 2015-01-31,53
2015-02-01 - 2015-02-07,53
2015-02-08 - 2015-02-14,53
2015-02-15 - 2015-02-21,54
2015-02-22 - 2015-02-28,55
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,57
2015-03-15 - 2015-03-21,56
2015-03-22 - 2015-03-28,54
2015-03-29 - 2015-04-04,54
2015-04-05 - 2015-04-11,54
2015-04-12 - 2015-04-18,54
2015-04-19 - 2015-04-25,53
2015-04-26 - 2015-05-02,54
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,55
2015-05-17 - 2015-05-23,52
2015-05-24 - 2015-05-30,53
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,54
2015-06-14 - 2015-06-20,64
2015-06-21 - 2015-06-27,53
2015-06-28 - 2015-07-04,52
2015-07-05 - 2015-07-11,54
2015-07-12 - 2015-07-18,54
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,54
2015-08-02 - 2015-08-08,56
2015-08-09 - 2015-08-15,57
2015-08-16 - 2015-08-22,63
2015-08-23 - 2015-08-29,80
2015-08-30 - 2015-09-05,62
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,57
2015-09-20 - 2015-09-26,58
2015-09-27 - 2015-10-03,62
2015-10-04 - 2015-10-10,58
2015-10-11 - 2015-10-17,56
2015-10-18 - 2015-10-24,56
2015-10-25 - 2015-10-31,55
2015-11-01 - 2015-11-07,55
2015-11-08 - 2015-11-14,54
2015-11-15 - 2015-11-21,55
2015-11-22 - 2015-11-28,49
2015-11-29 - 2015-12-05,54
2015-12-06 - 2015-12-12,54
2015-12-13 - 2015-12-19,53
2015-12-20 - 2015-12-26,48
2015-12-27 - 2016-01-02,53
2016-01-03 - 2016-01-09,59
2016-01-10 - 2016-01-16,58
2016-01-17 - 2016-01-23,59
2016-01-24 - 2016-01-30,59
2016-01-31 - 2016-02-06,59
2016-02-07 - 2016-02-13,58
2016-02-14 - 2016-02-20,57
2016-02-21 - 2016-02-27,59
2016-02-28 - 2016-03-05,58
2016-03-06 - 2016-03-12,58
2016-03-13 - 2016-03-19,59
2016-03-20 - 2016-03-26,56
2016-03-27 - 2016-04-02,57
2016-04-03 - 2016-04-09,58
2016-04-10 - 2016-04-16,57
2016-04-17 - 2016-04-23,57
2016-04-24 - 2016-04-30,58
2016-05-01 - 2016-05-07,56
2016-05-08 - 2016-05-14,56
2016-05-15 - 2016-05-21,57
2016-05-22 - 2016-05-28,58
2016-05-29 - 2016-06-04,58
2016-06-05 - 2016-06-11,67
2016-06-12 - 2016-06-18,56
2016-06-19 - 2016-06-25,57
2016-06-26 - 2016-07-02,49


Top regions for tropical+medicine
Region,tropical+medicine
Philippines,100
Ghana,91
United States,90
Canada,81
Puerto Rico,77
Nigeria,74
Kenya,74
India,68
Singapore,61
Pakistan,59
Australia,58
Bangladesh,54
Sri Lanka,52
South Africa,51
Dominican Republic,48
United Arab Emirates,47
United Kingdom,46
New Zealand,42
Ireland,41
Malaysia,35
Hong Kong,33
Costa Rica,31
Bolivia,30
Peru,26
Brazil,24
Mexico,20
Portugal,20
Germany,19
Ecuador,18
Croatia,17
Colombia,17
Saudi Arabia,16
Switzerland,15
South Korea,15
Spain,14
Chile,14
Czech Republic,14
Netherlands,14
Poland,13
Norway,13
Egypt,13
Venezuela,12
Greece,12
Israel,12
Belgium,12
Argentina,12
Italy,12
Sweden,12
Denmark,11
Iran,11
Austria,9
Taiwan,9
Romania,9
Thailand,8
Finland,8
France,8
Indonesia,7
Turkey,4
Vietnam,3
Japan,3
Russia,3


Top cities for tropical+medicine
City,tropical+medicine
Medicine Hat (Canada),100
Calgary (Canada),2
Miami (United States),2
Philadelphia (United States),1
Boston (United States),1
Atlanta (United States),1
Seattle (United States),1
Washington (United States),1
Houston (United States),1
Howrah (India),1
Dallas (United States),1
Chicago (United States),1
New York (United States),1
San Francisco (United States),1
New Delhi (India),1



Top searches for tropical+medicine
family medicine,100
internal medicine,90
sports medicine,65
medicine hat,55
tropical island,55
tropical fish,45
tropical storm,40
chinese medicine,30
cold medicine,30
tropical smoothie,30
emergency medicine,25
cough medicine,25
tropical rainforest,20
alternative medicine,20
herbal medicine,20
nuclear medicine,20
tropical beach,20
allergy medicine,15
ayurvedic medicine,15
pollo tropical,15
homeopathic medicine,15
medicine ball,15
tropical weather,15
veterinary medicine,15
osteopathic medicine,15
institute of medicine,10
tropical plants,10
blood pressure medicine,10
medicine lyrics,10
medicine cabinet,10
medicine man,10
tropical islands,10
sleep medicine,10
radio tropical,10
integrative medicine,10
bad medicine,10
musica tropical,10
tropical world,10
holistic medicine,10
tropical fm,10
e medicine,10
tropical fruit,10
tropical island berlin,10
clima tropical,5
medicine cabinets,5
tropical park,5
penn medicine,5
medicine shoppe,5
tormenta tropical,5
tropical house,5



Rising searches for tropical+medicine
tropical smoothie,+1,050%
pollo tropical,+650%
cough medicine,+250%
allergy medicine,+170%
ayurvedic medicine,+170%
family medicine,+160%
cold medicine,+140%
homeopathic medicine,+100%
medicine ball,+90%
tropical island,+90%



