Web Search interest: free software
Worldwide 2004 - present

Interest over time
Week,free software
2006-04-09 - 2006-04-15,64
2006-04-16 - 2006-04-22,64
2006-04-23 - 2006-04-29,60
2006-04-30 - 2006-05-06,61
2006-05-07 - 2006-05-13,59
2006-05-14 - 2006-05-20,59
2006-05-21 - 2006-05-27,61
2006-05-28 - 2006-06-03,59
2006-06-04 - 2006-06-10,60
2006-06-11 - 2006-06-17,61
2006-06-18 - 2006-06-24,62
2006-06-25 - 2006-07-01,59
2006-07-02 - 2006-07-08,60
2006-07-09 - 2006-07-15,61
2006-07-16 - 2006-07-22,61
2006-07-23 - 2006-07-29,62
2006-07-30 - 2006-08-05,63
2006-08-06 - 2006-08-12,64
2006-08-13 - 2006-08-19,64
2006-08-20 - 2006-08-26,66
2006-08-27 - 2006-09-02,62
2006-09-03 - 2006-09-09,62
2006-09-10 - 2006-09-16,61
2006-09-17 - 2006-09-23,61
2006-09-24 - 2006-09-30,60
2006-10-01 - 2006-10-07,59
2006-10-08 - 2006-10-14,62
2006-10-15 - 2006-10-21,60
2006-10-22 - 2006-10-28,59
2006-10-29 - 2006-11-04,59
2006-11-05 - 2006-11-11,59
2006-11-12 - 2006-11-18,62
2006-11-19 - 2006-11-25,59
2006-11-26 - 2006-12-02,61
2006-12-03 - 2006-12-09,60
2006-12-10 - 2006-12-16,59
2006-12-17 - 2006-12-23,61
2006-12-24 - 2006-12-30,73
2006-12-31 - 2007-01-06,69
2007-01-07 - 2007-01-13,63
2007-01-14 - 2007-01-20,61
2007-01-21 - 2007-01-27,63
2007-01-28 - 2007-02-03,62
2007-02-04 - 2007-02-10,60
2007-02-11 - 2007-02-17,62
2007-02-18 - 2007-02-24,63
2007-02-25 - 2007-03-03,61
2007-03-04 - 2007-03-10,58
2007-03-11 - 2007-03-17,58
2007-03-18 - 2007-03-24,59
2007-03-25 - 2007-03-31,57
2007-04-01 - 2007-04-07,59
2007-04-08 - 2007-04-14,59
2007-04-15 - 2007-04-21,56
2007-04-22 - 2007-04-28,56
2007-04-29 - 2007-05-05,55
2007-05-06 - 2007-05-12,55
2007-05-13 - 2007-05-19,56
2007-05-20 - 2007-05-26,55
2007-05-27 - 2007-06-02,56
2007-06-03 - 2007-06-09,55
2007-06-10 - 2007-06-16,56
2007-06-17 - 2007-06-23,56
2007-06-24 - 2007-06-30,54
2007-07-01 - 2007-07-07,59
2007-07-08 - 2007-07-14,59
2007-07-15 - 2007-07-21,59
2007-07-22 - 2007-07-28,58
2007-07-29 - 2007-08-04,59
2007-08-05 - 2007-08-11,58
2007-08-12 - 2007-08-18,60
2007-08-19 - 2007-08-25,59
2007-08-26 - 2007-09-01,57
2007-09-02 - 2007-09-08,56
2007-09-09 - 2007-09-15,56
2007-09-16 - 2007-09-22,57
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,55
2007-10-07 - 2007-10-13,55
2007-10-14 - 2007-10-20,53
2007-10-21 - 2007-10-27,54
2007-10-28 - 2007-11-03,55
2007-11-04 - 2007-11-10,52
2007-11-11 - 2007-11-17,52
2007-11-18 - 2007-11-24,53
2007-11-25 - 2007-12-01,54
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,53
2007-12-16 - 2007-12-22,56
2007-12-23 - 2007-12-29,67
2007-12-30 - 2008-01-05,64
2008-01-06 - 2008-01-12,56
2008-01-13 - 2008-01-19,58
2008-01-20 - 2008-01-26,57
2008-01-27 - 2008-02-02,57
2008-02-03 - 2008-02-09,57
2008-02-10 - 2008-02-16,56
2008-02-17 - 2008-02-23,58
2008-02-24 - 2008-03-01,57
2008-03-02 - 2008-03-08,55
2008-03-09 - 2008-03-15,55
2008-03-16 - 2008-03-22,56
2008-03-23 - 2008-03-29,56
2008-03-30 - 2008-04-05,55
2008-04-06 - 2008-04-12,54
2008-04-13 - 2008-04-19,52
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,51
2008-05-04 - 2008-05-10,50
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,51
2008-05-25 - 2008-05-31,52
2008-06-01 - 2008-06-07,51
2008-06-08 - 2008-06-14,52
2008-06-15 - 2008-06-21,53
2008-06-22 - 2008-06-28,54
2008-06-29 - 2008-07-05,54
2008-07-06 - 2008-07-12,54
2008-07-13 - 2008-07-19,56
2008-07-20 - 2008-07-26,56
2008-07-27 - 2008-08-02,56
2008-08-03 - 2008-08-09,56
2008-08-10 - 2008-08-16,57
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,56
2008-08-31 - 2008-09-06,57
2008-09-07 - 2008-09-13,55
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,54
2008-09-28 - 2008-10-04,53
2008-10-05 - 2008-10-11,53
2008-10-12 - 2008-10-18,54
2008-10-19 - 2008-10-25,53
2008-10-26 - 2008-11-01,52
2008-11-02 - 2008-11-08,53
2008-11-09 - 2008-11-15,55
2008-11-16 - 2008-11-22,57
2008-11-23 - 2008-11-29,58
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,58
2008-12-14 - 2008-12-20,57
2008-12-21 - 2008-12-27,65
2008-12-28 - 2009-01-03,65
2009-01-04 - 2009-01-10,60
2009-01-11 - 2009-01-17,58
2009-01-18 - 2009-01-24,58
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,57
2009-02-08 - 2009-02-14,56
2009-02-15 - 2009-02-21,58
2009-02-22 - 2009-02-28,56
2009-03-01 - 2009-03-07,58
2009-03-08 - 2009-03-14,57
2009-03-15 - 2009-03-21,57
2009-03-22 - 2009-03-28,56
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,63
2009-04-12 - 2009-04-18,61
2009-04-19 - 2009-04-25,57
2009-04-26 - 2009-05-02,57
2009-05-03 - 2009-05-09,57
2009-05-10 - 2009-05-16,57
2009-05-17 - 2009-05-23,57
2009-05-24 - 2009-05-30,57
2009-05-31 - 2009-06-06,58
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,59
2009-06-21 - 2009-06-27,59
2009-06-28 - 2009-07-04,61
2009-07-05 - 2009-07-11,62
2009-07-12 - 2009-07-18,63
2009-07-19 - 2009-07-25,63
2009-07-26 - 2009-08-01,63
2009-08-02 - 2009-08-08,64
2009-08-09 - 2009-08-15,65
2009-08-16 - 2009-08-22,65
2009-08-23 - 2009-08-29,63
2009-08-30 - 2009-09-05,63
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,62
2009-09-20 - 2009-09-26,62
2009-09-27 - 2009-10-03,62
2009-10-04 - 2009-10-10,61
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,63
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,65
2009-11-15 - 2009-11-21,63
2009-11-22 - 2009-11-28,65
2009-11-29 - 2009-12-05,65
2009-12-06 - 2009-12-12,63
2009-12-13 - 2009-12-19,66
2009-12-20 - 2009-12-26,73
2009-12-27 - 2010-01-02,80
2010-01-03 - 2010-01-09,68
2010-01-10 - 2010-01-16,67
2010-01-17 - 2010-01-23,68
2010-01-24 - 2010-01-30,70
2010-01-31 - 2010-02-06,70
2010-02-07 - 2010-02-13,69
2010-02-14 - 2010-02-20,71
2010-02-21 - 2010-02-27,69
2010-02-28 - 2010-03-06,68
2010-03-07 - 2010-03-13,68
2010-03-14 - 2010-03-20,67
2010-03-21 - 2010-03-27,68
2010-03-28 - 2010-04-03,70
2010-04-04 - 2010-04-10,66
2010-04-11 - 2010-04-17,65
2010-04-18 - 2010-04-24,63
2010-04-25 - 2010-05-01,63
2010-05-02 - 2010-05-08,63
2010-05-09 - 2010-05-15,61
2010-05-16 - 2010-05-22,61
2010-05-23 - 2010-05-29,60
2010-05-30 - 2010-06-05,60
2010-06-06 - 2010-06-12,61
2010-06-13 - 2010-06-19,62
2010-06-20 - 2010-06-26,63
2010-06-27 - 2010-07-03,64
2010-07-04 - 2010-07-10,64
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,62
2010-08-01 - 2010-08-07,64
2010-08-08 - 2010-08-14,64
2010-08-15 - 2010-08-21,64
2010-08-22 - 2010-08-28,62
2010-08-29 - 2010-09-04,60
2010-09-05 - 2010-09-11,60
2010-09-12 - 2010-09-18,57
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,59
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,58
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,56
2010-11-21 - 2010-11-27,57
2010-11-28 - 2010-12-04,56
2010-12-05 - 2010-12-11,58
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,61
2010-12-26 - 2011-01-01,64
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,57
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,55
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,55
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,51
2011-03-20 - 2011-03-26,53
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,52
2011-05-01 - 2011-05-07,50
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,52
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,55
2011-06-19 - 2011-06-25,55
2011-06-26 - 2011-07-02,56
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,57
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,57
2011-07-31 - 2011-08-06,58
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,58
2011-08-21 - 2011-08-27,55
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,55
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,52
2011-11-06 - 2011-11-12,51
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,52
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,57
2012-01-01 - 2012-01-07,55
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,54
2012-01-29 - 2012-02-04,53
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,53
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,50
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,49
2012-03-25 - 2012-03-31,50
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,50
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,48
2012-05-06 - 2012-05-12,46
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,47
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,48
2012-07-15 - 2012-07-21,50
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,47
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,48
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,49
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,47
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,47
2012-09-30 - 2012-10-06,46
2012-10-07 - 2012-10-13,45
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,43
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,41
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,45
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,42
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,42
2013-02-24 - 2013-03-02,41
2013-03-03 - 2013-03-09,41
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,38
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,35
2013-06-09 - 2013-06-15,35
2013-06-16 - 2013-06-22,36
2013-06-23 - 2013-06-29,36
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,37
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,37
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,37
2013-08-25 - 2013-08-31,36
2013-09-01 - 2013-09-07,37
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,33
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,33
2013-11-17 - 2013-11-23,33
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,32
2013-12-08 - 2013-12-14,32
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,35
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,32
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,33
2014-02-02 - 2014-02-08,33
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,32
2014-03-02 - 2014-03-08,31
2014-03-09 - 2014-03-15,32
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,31
2014-03-30 - 2014-04-05,30
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,30
2014-04-20 - 2014-04-26,29
2014-04-27 - 2014-05-03,27
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,28
2014-05-25 - 2014-05-31,28
2014-06-01 - 2014-06-07,28
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,28
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,29
2014-08-10 - 2014-08-16,28
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,28
2014-09-07 - 2014-09-13,28
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,27
2014-10-19 - 2014-10-25,25
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,27
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,26
2015-01-11 - 2015-01-17,25
2015-01-18 - 2015-01-24,26
2015-01-25 - 2015-01-31,26
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,25
2015-03-22 - 2015-03-28,25
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,24
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,22
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,22
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,22
2015-08-02 - 2015-08-08,23
2015-08-09 - 2015-08-15,23
2015-08-16 - 2015-08-22,23
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,22
2015-09-06 - 2015-09-12,22
2015-09-13 - 2015-09-19,21
2015-09-20 - 2015-09-26,22
2015-09-27 - 2015-10-03,21
2015-10-04 - 2015-10-10,21
2015-10-11 - 2015-10-17,21
2015-10-18 - 2015-10-24,20
2015-10-25 - 2015-10-31,20
2015-11-01 - 2015-11-07,20
2015-11-08 - 2015-11-14,19
2015-11-15 - 2015-11-21,20
2015-11-22 - 2015-11-28,20
2015-11-29 - 2015-12-05,19
2015-12-06 - 2015-12-12,20
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,20
2015-12-27 - 2016-01-02,20
2016-01-03 - 2016-01-09,21
2016-01-10 - 2016-01-16,20
2016-01-17 - 2016-01-23,20
2016-01-24 - 2016-01-30,21
2016-01-31 - 2016-02-06,21
2016-02-07 - 2016-02-13,20
2016-02-14 - 2016-02-20,20
2016-02-21 - 2016-02-27,20
2016-02-28 - 2016-03-05,19
2016-03-06 - 2016-03-12,19
2016-03-13 - 2016-03-19,19
2016-03-20 - 2016-03-26,19
2016-03-27 - 2016-04-02,19
2016-04-03 - 2016-04-09,19
2016-04-10 - 2016-04-16,18
2016-04-17 - 2016-04-23,18
2016-04-24 - 2016-04-30,19
2016-05-01 - 2016-05-07,18
2016-05-08 - 2016-05-14,18
2016-05-15 - 2016-05-21,18
2016-05-22 - 2016-05-28,18
2016-05-29 - 2016-06-04,18
2016-06-05 - 2016-06-11,17
2016-06-12 - 2016-06-18,17
2016-06-19 - 2016-06-25,17
2016-06-26 - 2016-07-02,17
2016-07-03 - 2016-07-09,19


Top regions for free software
Region,free software
Bangladesh,100
Sri Lanka,93
Pakistan,90
Ethiopia,84
Nepal,80
Myanmar (Burma),73
India,69
Ghana,54
Uganda,46
Jamaica,36
Tanzania,33
United Arab Emirates,32
Cambodia,32
Nigeria,30
South Africa,29
Qatar,27
Kenya,27
Malaysia,26
Oman,24
Philippines,22
Indonesia,19
Lebanon,17
Singapore,16
Kuwait,15
New Zealand,14
Australia,12
United Kingdom,11
United States,10
Canada,10
Ireland,10
Iran,9
Saudi Arabia,9
Hong Kong,8
Serbia,7
Greece,7
Portugal,7
Croatia,6
Norway,6
Netherlands,6
Romania,5
Egypt,5
Italy,5
Belgium,5
Slovakia,5
Bulgaria,4
Israel,4
Denmark,4
Austria,4
Switzerland,4
Czech Republic,4
Finland,3
Sweden,3
Germany,3
Hungary,3
Thailand,2
Mexico,2
Colombia,2
Chile,1
Spain,1
China,1
Vietnam,1
Argentina,1
Brazil,1
Poland,1
France,1
Turkey,1


Top cities for free software
City,free software
Colombo (Sri Lanka),100
Kolkata (India),92
Dhaka (Bangladesh),68
Karachi (Pakistan),58
Islamabad (Pakistan),56
Lahore (Pakistan),56
Chennai (India),53
Ahmedabad (India),46
Bangalore (India),45
Hyderabad (India),44
New Delhi (India),40
Mumbai (India),36
Chandigarh (India),35
Howrah (India),31
Pune (India),30



Top searches for free software
download,100
software download,100
free editing software,10
best free software,10
free mobile software,10
mobile software,10
free photo software,5
free antivirus software,5
antivirus software,5
antivirus,5
free antivirus,5
free dvd software,5
free mac software,5
free design software,5
free games,5
video editing software,5
free software downloads,5
torrent download,5
free photoshop,5
free burning software,5
photo editing,5
free photo editing,5
photo editing software,5
free virus software,0
free recording software,0
free dj software,0
free office software,0
dj software,0
data recovery software,0
java software,0
free security software,0
animation software,0
free animation software,0
free video converter,0
accounting software,0
free accounting software,0
free webcam software,0
movie maker,0
dvd burning software,0
youtube downloader,0
free backup software,0
avg free,0



Rising searches for free software
video editing software,+500%
best free software,+300%
free mobile software,+300%
mobile software,+300%
free editing software,+250%
download,+140%
free photo software,+130%
software download,+130%
free mac software,+110%
free design software,+40%



