Web Search interest: tuberculosis
Worldwide 2004 - present

Interest over time
Week,tuberculosis
2006-04-23 - 2006-04-29,47
2006-04-30 - 2006-05-06,44
2006-05-07 - 2006-05-13,45
2006-05-14 - 2006-05-20,40
2006-05-21 - 2006-05-27,39
2006-05-28 - 2006-06-03,37
2006-06-04 - 2006-06-10,41
2006-06-11 - 2006-06-17,36
2006-06-18 - 2006-06-24,34
2006-06-25 - 2006-07-01,32
2006-07-02 - 2006-07-08,30
2006-07-09 - 2006-07-15,32
2006-07-16 - 2006-07-22,31
2006-07-23 - 2006-07-29,30
2006-07-30 - 2006-08-05,27
2006-08-06 - 2006-08-12,31
2006-08-13 - 2006-08-19,30
2006-08-20 - 2006-08-26,31
2006-08-27 - 2006-09-02,33
2006-09-03 - 2006-09-09,34
2006-09-10 - 2006-09-16,37
2006-09-17 - 2006-09-23,39
2006-09-24 - 2006-09-30,38
2006-10-01 - 2006-10-07,36
2006-10-08 - 2006-10-14,39
2006-10-15 - 2006-10-21,37
2006-10-22 - 2006-10-28,39
2006-10-29 - 2006-11-04,39
2006-11-05 - 2006-11-11,38
2006-11-12 - 2006-11-18,38
2006-11-19 - 2006-11-25,36
2006-11-26 - 2006-12-02,35
2006-12-03 - 2006-12-09,32
2006-12-10 - 2006-12-16,32
2006-12-17 - 2006-12-23,22
2006-12-24 - 2006-12-30,20
2006-12-31 - 2007-01-06,21
2007-01-07 - 2007-01-13,30
2007-01-14 - 2007-01-20,29
2007-01-21 - 2007-01-27,34
2007-01-28 - 2007-02-03,34
2007-02-04 - 2007-02-10,35
2007-02-11 - 2007-02-17,33
2007-02-18 - 2007-02-24,36
2007-02-25 - 2007-03-03,37
2007-03-04 - 2007-03-10,37
2007-03-11 - 2007-03-17,40
2007-03-18 - 2007-03-24,41
2007-03-25 - 2007-03-31,39
2007-04-01 - 2007-04-07,33
2007-04-08 - 2007-04-14,37
2007-04-15 - 2007-04-21,39
2007-04-22 - 2007-04-28,38
2007-04-29 - 2007-05-05,38
2007-05-06 - 2007-05-12,39
2007-05-13 - 2007-05-19,38
2007-05-20 - 2007-05-26,37
2007-05-27 - 2007-06-02,100
2007-06-03 - 2007-06-09,55
2007-06-10 - 2007-06-16,41
2007-06-17 - 2007-06-23,34
2007-06-24 - 2007-06-30,35
2007-07-01 - 2007-07-07,30
2007-07-08 - 2007-07-14,33
2007-07-15 - 2007-07-21,30
2007-07-22 - 2007-07-28,28
2007-07-29 - 2007-08-04,29
2007-08-05 - 2007-08-11,28
2007-08-12 - 2007-08-18,30
2007-08-19 - 2007-08-25,29
2007-08-26 - 2007-09-01,32
2007-09-02 - 2007-09-08,32
2007-09-09 - 2007-09-15,32
2007-09-16 - 2007-09-22,32
2007-09-23 - 2007-09-29,35
2007-09-30 - 2007-10-06,35
2007-10-07 - 2007-10-13,35
2007-10-14 - 2007-10-20,36
2007-10-21 - 2007-10-27,37
2007-10-28 - 2007-11-03,36
2007-11-04 - 2007-11-10,35
2007-11-11 - 2007-11-17,36
2007-11-18 - 2007-11-24,33
2007-11-25 - 2007-12-01,38
2007-12-02 - 2007-12-08,34
2007-12-09 - 2007-12-15,30
2007-12-16 - 2007-12-22,24
2007-12-23 - 2007-12-29,18
2007-12-30 - 2008-01-05,24
2008-01-06 - 2008-01-12,30
2008-01-13 - 2008-01-19,30
2008-01-20 - 2008-01-26,30
2008-01-27 - 2008-02-02,32
2008-02-03 - 2008-02-09,31
2008-02-10 - 2008-02-16,33
2008-02-17 - 2008-02-23,34
2008-02-24 - 2008-03-01,37
2008-03-02 - 2008-03-08,35
2008-03-09 - 2008-03-15,36
2008-03-16 - 2008-03-22,31
2008-03-23 - 2008-03-29,40
2008-03-30 - 2008-04-05,38
2008-04-06 - 2008-04-12,38
2008-04-13 - 2008-04-19,37
2008-04-20 - 2008-04-26,36
2008-04-27 - 2008-05-03,34
2008-05-04 - 2008-05-10,35
2008-05-11 - 2008-05-17,32
2008-05-18 - 2008-05-24,34
2008-05-25 - 2008-05-31,32
2008-06-01 - 2008-06-07,32
2008-06-08 - 2008-06-14,29
2008-06-15 - 2008-06-21,30
2008-06-22 - 2008-06-28,29
2008-06-29 - 2008-07-05,26
2008-07-06 - 2008-07-12,28
2008-07-13 - 2008-07-19,27
2008-07-20 - 2008-07-26,26
2008-07-27 - 2008-08-02,25
2008-08-03 - 2008-08-09,26
2008-08-10 - 2008-08-16,26
2008-08-17 - 2008-08-23,27
2008-08-24 - 2008-08-30,29
2008-08-31 - 2008-09-06,29
2008-09-07 - 2008-09-13,31
2008-09-14 - 2008-09-20,31
2008-09-21 - 2008-09-27,32
2008-09-28 - 2008-10-04,33
2008-10-05 - 2008-10-11,32
2008-10-12 - 2008-10-18,35
2008-10-19 - 2008-10-25,35
2008-10-26 - 2008-11-01,33
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,36
2008-11-16 - 2008-11-22,37
2008-11-23 - 2008-11-29,32
2008-11-30 - 2008-12-06,32
2008-12-07 - 2008-12-13,29
2008-12-14 - 2008-12-20,26
2008-12-21 - 2008-12-27,17
2008-12-28 - 2009-01-03,19
2009-01-04 - 2009-01-10,25
2009-01-11 - 2009-01-17,28
2009-01-18 - 2009-01-24,30
2009-01-25 - 2009-01-31,29
2009-02-01 - 2009-02-07,30
2009-02-08 - 2009-02-14,31
2009-02-15 - 2009-02-21,33
2009-02-22 - 2009-02-28,33
2009-03-01 - 2009-03-07,33
2009-03-08 - 2009-03-14,37
2009-03-15 - 2009-03-21,38
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,37
2009-04-05 - 2009-04-11,31
2009-04-12 - 2009-04-18,36
2009-04-19 - 2009-04-25,37
2009-04-26 - 2009-05-02,34
2009-05-03 - 2009-05-09,34
2009-05-10 - 2009-05-16,34
2009-05-17 - 2009-05-23,35
2009-05-24 - 2009-05-30,33
2009-05-31 - 2009-06-06,33
2009-06-07 - 2009-06-13,30
2009-06-14 - 2009-06-20,30
2009-06-21 - 2009-06-27,29
2009-06-28 - 2009-07-04,27
2009-07-05 - 2009-07-11,26
2009-07-12 - 2009-07-18,25
2009-07-19 - 2009-07-25,25
2009-07-26 - 2009-08-01,26
2009-08-02 - 2009-08-08,27
2009-08-09 - 2009-08-15,28
2009-08-16 - 2009-08-22,28
2009-08-23 - 2009-08-29,28
2009-08-30 - 2009-09-05,29
2009-09-06 - 2009-09-12,29
2009-09-13 - 2009-09-19,31
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,30
2009-10-04 - 2009-10-10,31
2009-10-11 - 2009-10-17,32
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,32
2009-11-15 - 2009-11-21,31
2009-11-22 - 2009-11-28,29
2009-11-29 - 2009-12-05,29
2009-12-06 - 2009-12-12,28
2009-12-13 - 2009-12-19,24
2009-12-20 - 2009-12-26,16
2009-12-27 - 2010-01-02,20
2010-01-03 - 2010-01-09,22
2010-01-10 - 2010-01-16,25
2010-01-17 - 2010-01-23,26
2010-01-24 - 2010-01-30,26
2010-01-31 - 2010-02-06,28
2010-02-07 - 2010-02-13,28
2010-02-14 - 2010-02-20,31
2010-02-21 - 2010-02-27,30
2010-02-28 - 2010-03-06,32
2010-03-07 - 2010-03-13,33
2010-03-14 - 2010-03-20,34
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,30
2010-04-11 - 2010-04-17,32
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,32
2010-05-02 - 2010-05-08,32
2010-05-09 - 2010-05-15,31
2010-05-16 - 2010-05-22,31
2010-05-23 - 2010-05-29,30
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,29
2010-06-13 - 2010-06-19,26
2010-06-20 - 2010-06-26,25
2010-06-27 - 2010-07-03,26
2010-07-04 - 2010-07-10,24
2010-07-11 - 2010-07-17,25
2010-07-18 - 2010-07-24,25
2010-07-25 - 2010-07-31,24
2010-08-01 - 2010-08-07,25
2010-08-08 - 2010-08-14,26
2010-08-15 - 2010-08-21,28
2010-08-22 - 2010-08-28,26
2010-08-29 - 2010-09-04,27
2010-09-05 - 2010-09-11,33
2010-09-12 - 2010-09-18,40
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,38
2010-10-10 - 2010-10-16,36
2010-10-17 - 2010-10-23,38
2010-10-24 - 2010-10-30,37
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,36
2010-11-14 - 2010-11-20,38
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,34
2010-12-05 - 2010-12-11,34
2010-12-12 - 2010-12-18,31
2010-12-19 - 2010-12-25,26
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,29
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,36
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,39
2011-04-17 - 2011-04-23,32
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,38
2011-05-08 - 2011-05-14,40
2011-05-15 - 2011-05-21,40
2011-05-22 - 2011-05-28,39
2011-05-29 - 2011-06-04,39
2011-06-05 - 2011-06-11,38
2011-06-12 - 2011-06-18,37
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,36
2011-07-03 - 2011-07-09,35
2011-07-10 - 2011-07-16,35
2011-07-17 - 2011-07-23,35
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,36
2011-08-21 - 2011-08-27,38
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,45
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,44
2011-10-09 - 2011-10-15,50
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,45
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,39
2011-12-11 - 2011-12-17,37
2011-12-18 - 2011-12-24,31
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,34
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,42
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,38
2012-02-12 - 2012-02-18,37
2012-02-19 - 2012-02-25,38
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,39
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,28
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,33
2012-04-29 - 2012-05-05,31
2012-05-06 - 2012-05-12,32
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,30
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,28
2012-06-24 - 2012-06-30,27
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,26
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,29
2012-09-09 - 2012-09-15,30
2012-09-16 - 2012-09-22,31
2012-09-23 - 2012-09-29,31
2012-09-30 - 2012-10-06,30
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,31
2012-10-21 - 2012-10-27,30
2012-10-28 - 2012-11-03,27
2012-11-04 - 2012-11-10,28
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,28
2012-11-25 - 2012-12-01,29
2012-12-02 - 2012-12-08,28
2012-12-09 - 2012-12-15,26
2012-12-16 - 2012-12-22,22
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,26
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,28
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,32
2013-03-03 - 2013-03-09,32
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,34
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,32
2013-04-28 - 2013-05-04,30
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,30
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,31
2013-06-09 - 2013-06-15,30
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,27
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,28
2013-09-15 - 2013-09-21,29
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,30
2013-10-06 - 2013-10-12,31
2013-10-13 - 2013-10-19,30
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,32
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,25
2014-01-12 - 2014-01-18,27
2014-01-19 - 2014-01-25,27
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,30
2014-03-02 - 2014-03-08,30
2014-03-09 - 2014-03-15,32
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,33
2014-04-06 - 2014-04-12,31
2014-04-13 - 2014-04-19,27
2014-04-20 - 2014-04-26,29
2014-04-27 - 2014-05-03,29
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,29
2014-05-18 - 2014-05-24,31
2014-05-25 - 2014-05-31,30
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,27
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,28
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,29
2014-09-14 - 2014-09-20,31
2014-09-21 - 2014-09-27,33
2014-09-28 - 2014-10-04,34
2014-10-05 - 2014-10-11,34
2014-10-12 - 2014-10-18,35
2014-10-19 - 2014-10-25,34
2014-10-26 - 2014-11-01,34
2014-11-02 - 2014-11-08,33
2014-11-09 - 2014-11-15,32
2014-11-16 - 2014-11-22,31
2014-11-23 - 2014-11-29,27
2014-11-30 - 2014-12-06,28
2014-12-07 - 2014-12-13,27
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,27
2015-01-18 - 2015-01-24,28
2015-01-25 - 2015-01-31,29
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,33
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,32
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,36
2015-03-22 - 2015-03-28,42
2015-03-29 - 2015-04-04,28
2015-04-05 - 2015-04-11,31
2015-04-12 - 2015-04-18,33
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,30
2015-05-10 - 2015-05-16,31
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,30
2015-06-07 - 2015-06-13,32
2015-06-14 - 2015-06-20,28
2015-06-21 - 2015-06-27,28
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,26
2015-08-02 - 2015-08-08,27
2015-08-09 - 2015-08-15,26
2015-08-16 - 2015-08-22,27
2015-08-23 - 2015-08-29,28
2015-08-30 - 2015-09-05,29
2015-09-06 - 2015-09-12,29
2015-09-13 - 2015-09-19,28
2015-09-20 - 2015-09-26,29
2015-09-27 - 2015-10-03,29
2015-10-04 - 2015-10-10,31
2015-10-11 - 2015-10-17,31
2015-10-18 - 2015-10-24,32
2015-10-25 - 2015-10-31,32
2015-11-01 - 2015-11-07,30
2015-11-08 - 2015-11-14,29
2015-11-15 - 2015-11-21,30
2015-11-22 - 2015-11-28,27
2015-11-29 - 2015-12-05,28
2015-12-06 - 2015-12-12,27
2015-12-13 - 2015-12-19,26
2015-12-20 - 2015-12-26,19
2015-12-27 - 2016-01-02,19
2016-01-03 - 2016-01-09,26
2016-01-10 - 2016-01-16,28
2016-01-17 - 2016-01-23,29
2016-01-24 - 2016-01-30,29
2016-01-31 - 2016-02-06,28
2016-02-07 - 2016-02-13,29
2016-02-14 - 2016-02-20,30
2016-02-21 - 2016-02-27,31
2016-02-28 - 2016-03-05,31
2016-03-06 - 2016-03-12,32
2016-03-13 - 2016-03-19,32
2016-03-20 - 2016-03-26,31
2016-03-27 - 2016-04-02,31
2016-04-03 - 2016-04-09,31
2016-04-10 - 2016-04-16,33
2016-04-17 - 2016-04-23,32
2016-04-24 - 2016-04-30,31
2016-05-01 - 2016-05-07,30
2016-05-08 - 2016-05-14,30
2016-05-15 - 2016-05-21,44
2016-05-22 - 2016-05-28,33
2016-05-29 - 2016-06-04,31
2016-06-05 - 2016-06-11,30
2016-06-12 - 2016-06-18,28
2016-06-19 - 2016-06-25,27
2016-06-26 - 2016-07-02,27
2016-07-03 - 2016-07-09,24


Top regions for tuberculosis
Region,tuberculosis
Peru,100
Bolivia,89
Nepal,88
Philippines,80
Ethiopia,80
Honduras,75
Nicaragua,74
Paraguay,74
Guatemala,71
Dominican Republic,66
Ecuador,63
El Salvador,61
Mexico,58
Colombia,56
Panama,53
Nigeria,51
Kenya,50
Ghana,48
Puerto Rico,42
Chile,38
Costa Rica,37
Venezuela,36
South Africa,36
Argentina,33
India,32
Uruguay,31
Spain,26
Singapore,24
Bangladesh,24
Malaysia,22
United States,22
Pakistan,21
Sri Lanka,21
United Arab Emirates,18
New Zealand,16
Canada,16
Australia,16
Hong Kong,13
South Korea,12
United Kingdom,12
Indonesia,10
Ireland,9
Saudi Arabia,7
Taiwan,5
Egypt,5
Thailand,5
Norway,5
Switzerland,5
Portugal,5
Greece,4
Iran,4
Israel,4
Sweden,3
Netherlands,3
China,3
Romania,3
Belgium,3
Ukraine,2
Germany,2
Brazil,2
Vietnam,2
Poland,2
Italy,1
Japan,1
France,1
Russia,1
Turkey,1


Top cities for tuberculosis
City,tuberculosis
Makati City (Philippines),100
Manila (Philippines),99
Quezon City (Philippines),94
Guatemala City (Guatemala),86
Cali (Colombia),80
Medellín (Colombia),76
Guadalajara (Mexico),69
Monterrey (Mexico),69
Mexico City (Mexico),63
Bogotá (Colombia),58
Caracas (Venezuela),49
Santiago (Chile),44
Buenos Aires (Argentina),43
Chennai (India),41
Bangalore (India),40



Top searches for tuberculosis
la tuberculosis,100
tb,55
tuberculosis symptoms,55
mycobacterium tuberculosis,45
mycobacterium,45
tuberculosis test,35
what is tuberculosis,30
tuberculosis treatment,30
tuberculosis pulmonar,30
sintomas tuberculosis,30
que es tuberculosis,25
symptoms of tuberculosis,25
tuberculosis disease,20
sintomas de tuberculosis,20
tratamiento tuberculosis,15
pulmonary tuberculosis,15
you tuberculosis,15
tuberculosis pdf,15
tuberculosis causes,15
treatment of tuberculosis,10
tuberculosis bacteria,10
tratamiento de tuberculosis,10
who tuberculosis,10
tuberculosis vaccine,10
tb test,10
treatment for tuberculosis,10
enfermedad tuberculosis,10
tuberculosis definition,10
causes of tuberculosis,5
vacuna tuberculosis,5
tuberculosis diagnosis,5
neumonia,5
latent tuberculosis,5
tuberculosis history,5
tuberculosis skin test,5
tb symptoms,5
signs of tuberculosis,5
tuberculosis prevention,5
tuberculosis contagious,5
tuberculosis ppt,5
tuberculosis journal,5
cause of tuberculosis,5
what is tb,5
what causes tuberculosis,5
colera,5
diagnosis of tuberculosis,5



Rising searches for tuberculosis
tuberculosis pdf,+350%
you tuberculosis,+250%
sintomas de tuberculosis,+180%
sintomas tuberculosis,+180%
what is tuberculosis,+100%
que es tuberculosis,+80%
symptoms of tuberculosis,+60%
tuberculosis causes,+50%
tuberculosis symptoms,+50%
tuberculosis pulmonar,+40%



