Web Search interest: intellectual property
Worldwide 2004 - present

Interest over time
Week,intellectual property
2008-01-06 - 2008-01-12,40
2008-01-13 - 2008-01-19,41
2008-01-20 - 2008-01-26,39
2008-01-27 - 2008-02-02,41
2008-02-03 - 2008-02-09,42
2008-02-10 - 2008-02-16,41
2008-02-17 - 2008-02-23,42
2008-02-24 - 2008-03-01,44
2008-03-02 - 2008-03-08,42
2008-03-09 - 2008-03-15,42
2008-03-16 - 2008-03-22,40
2008-03-23 - 2008-03-29,41
2008-03-30 - 2008-04-05,44
2008-04-06 - 2008-04-12,42
2008-04-13 - 2008-04-19,45
2008-04-20 - 2008-04-26,44
2008-04-27 - 2008-05-03,41
2008-05-04 - 2008-05-10,39
2008-05-11 - 2008-05-17,38
2008-05-18 - 2008-05-24,35
2008-05-25 - 2008-05-31,33
2008-06-01 - 2008-06-07,36
2008-06-08 - 2008-06-14,38
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,36
2008-06-29 - 2008-07-05,33
2008-07-06 - 2008-07-12,35
2008-07-13 - 2008-07-19,36
2008-07-20 - 2008-07-26,40
2008-07-27 - 2008-08-02,33
2008-08-03 - 2008-08-09,34
2008-08-10 - 2008-08-16,31
2008-08-17 - 2008-08-23,31
2008-08-24 - 2008-08-30,35
2008-08-31 - 2008-09-06,37
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,39
2008-09-21 - 2008-09-27,38
2008-09-28 - 2008-10-04,34
2008-10-05 - 2008-10-11,38
2008-10-12 - 2008-10-18,40
2008-10-19 - 2008-10-25,37
2008-10-26 - 2008-11-01,35
2008-11-02 - 2008-11-08,35
2008-11-09 - 2008-11-15,37
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,32
2008-11-30 - 2008-12-06,37
2008-12-07 - 2008-12-13,37
2008-12-14 - 2008-12-20,31
2008-12-21 - 2008-12-27,21
2008-12-28 - 2009-01-03,20
2009-01-04 - 2009-01-10,31
2009-01-11 - 2009-01-17,35
2009-01-18 - 2009-01-24,33
2009-01-25 - 2009-01-31,34
2009-02-01 - 2009-02-07,35
2009-02-08 - 2009-02-14,33
2009-02-15 - 2009-02-21,34
2009-02-22 - 2009-02-28,36
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,38
2009-03-15 - 2009-03-21,36
2009-03-22 - 2009-03-28,37
2009-03-29 - 2009-04-04,35
2009-04-05 - 2009-04-11,35
2009-04-12 - 2009-04-18,35
2009-04-19 - 2009-04-25,38
2009-04-26 - 2009-05-02,37
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,35
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,34
2009-06-07 - 2009-06-13,32
2009-06-14 - 2009-06-20,33
2009-06-21 - 2009-06-27,30
2009-06-28 - 2009-07-04,29
2009-07-05 - 2009-07-11,28
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,30
2009-07-26 - 2009-08-01,29
2009-08-02 - 2009-08-08,31
2009-08-09 - 2009-08-15,31
2009-08-16 - 2009-08-22,29
2009-08-23 - 2009-08-29,33
2009-08-30 - 2009-09-05,32
2009-09-06 - 2009-09-12,31
2009-09-13 - 2009-09-19,34
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,33
2009-10-04 - 2009-10-10,35
2009-10-11 - 2009-10-17,37
2009-10-18 - 2009-10-24,34
2009-10-25 - 2009-10-31,34
2009-11-01 - 2009-11-07,33
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,31
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,33
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,19
2009-12-27 - 2010-01-02,18
2010-01-03 - 2010-01-09,29
2010-01-10 - 2010-01-16,30
2010-01-17 - 2010-01-23,34
2010-01-24 - 2010-01-30,33
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,31
2010-02-14 - 2010-02-20,33
2010-02-21 - 2010-02-27,34
2010-02-28 - 2010-03-06,34
2010-03-07 - 2010-03-13,35
2010-03-14 - 2010-03-20,35
2010-03-21 - 2010-03-27,36
2010-03-28 - 2010-04-03,32
2010-04-04 - 2010-04-10,32
2010-04-11 - 2010-04-17,35
2010-04-18 - 2010-04-24,35
2010-04-25 - 2010-05-01,35
2010-05-02 - 2010-05-08,33
2010-05-09 - 2010-05-15,33
2010-05-16 - 2010-05-22,30
2010-05-23 - 2010-05-29,29
2010-05-30 - 2010-06-05,30
2010-06-06 - 2010-06-12,30
2010-06-13 - 2010-06-19,28
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,28
2010-07-04 - 2010-07-10,25
2010-07-11 - 2010-07-17,26
2010-07-18 - 2010-07-24,29
2010-07-25 - 2010-07-31,26
2010-08-01 - 2010-08-07,27
2010-08-08 - 2010-08-14,27
2010-08-15 - 2010-08-21,27
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,26
2010-09-05 - 2010-09-11,28
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,33
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,32
2010-10-10 - 2010-10-16,32
2010-10-17 - 2010-10-23,31
2010-10-24 - 2010-10-30,30
2010-10-31 - 2010-11-06,31
2010-11-07 - 2010-11-13,30
2010-11-14 - 2010-11-20,30
2010-11-21 - 2010-11-27,27
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,30
2010-12-12 - 2010-12-18,27
2010-12-19 - 2010-12-25,19
2010-12-26 - 2011-01-01,16
2011-01-02 - 2011-01-08,24
2011-01-09 - 2011-01-15,28
2011-01-16 - 2011-01-22,30
2011-01-23 - 2011-01-29,29
2011-01-30 - 2011-02-05,29
2011-02-06 - 2011-02-12,30
2011-02-13 - 2011-02-19,31
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,31
2011-03-06 - 2011-03-12,31
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,31
2011-03-27 - 2011-04-02,31
2011-04-03 - 2011-04-09,30
2011-04-10 - 2011-04-16,31
2011-04-17 - 2011-04-23,28
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,28
2011-05-08 - 2011-05-14,27
2011-05-15 - 2011-05-21,29
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,26
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,24
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,26
2011-07-17 - 2011-07-23,25
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,26
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,25
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,29
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,29
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,29
2011-10-30 - 2011-11-05,29
2011-11-06 - 2011-11-12,29
2011-11-13 - 2011-11-19,31
2011-11-20 - 2011-11-26,26
2011-11-27 - 2011-12-03,29
2011-12-04 - 2011-12-10,28
2011-12-11 - 2011-12-17,26
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,21
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,31
2012-01-22 - 2012-01-28,29
2012-01-29 - 2012-02-04,29
2012-02-05 - 2012-02-11,29
2012-02-12 - 2012-02-18,30
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,28
2012-03-11 - 2012-03-17,27
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,26
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,29
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,29
2012-05-06 - 2012-05-12,28
2012-05-13 - 2012-05-19,27
2012-05-20 - 2012-05-26,26
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,25
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,25
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,25
2012-07-15 - 2012-07-21,25
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,23
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,25
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,27
2012-10-28 - 2012-11-03,26
2012-11-04 - 2012-11-10,25
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,26
2012-12-09 - 2012-12-15,25
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,13
2012-12-30 - 2013-01-05,15
2013-01-06 - 2013-01-12,22
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,25
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,26
2013-03-03 - 2013-03-09,26
2013-03-10 - 2013-03-16,28
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,24
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,26
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,23
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,21
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,21
2013-09-01 - 2013-09-07,21
2013-09-08 - 2013-09-14,23
2013-09-15 - 2013-09-21,23
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,23
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,23
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,21
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,20
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,14
2014-01-05 - 2014-01-11,20
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,23
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,25
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,24
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,23
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,24
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,23
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,23
2014-06-08 - 2014-06-14,22
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,20
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,24
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,24
2014-11-02 - 2014-11-08,25
2014-11-09 - 2014-11-15,24
2014-11-16 - 2014-11-22,24
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,27
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,21
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,23
2015-02-22 - 2015-02-28,23
2015-03-01 - 2015-03-07,24
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,25
2015-03-22 - 2015-03-28,25
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,24
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,20
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,20
2015-08-02 - 2015-08-08,18
2015-08-09 - 2015-08-15,19
2015-08-16 - 2015-08-22,20
2015-08-23 - 2015-08-29,20
2015-08-30 - 2015-09-05,21
2015-09-06 - 2015-09-12,21
2015-09-13 - 2015-09-19,22
2015-09-20 - 2015-09-26,22
2015-09-27 - 2015-10-03,23
2015-10-04 - 2015-10-10,23
2015-10-11 - 2015-10-17,24
2015-10-18 - 2015-10-24,23
2015-10-25 - 2015-10-31,22
2015-11-01 - 2015-11-07,23
2015-11-08 - 2015-11-14,21
2015-11-15 - 2015-11-21,23
2015-11-22 - 2015-11-28,20
2015-11-29 - 2015-12-05,22
2015-12-06 - 2015-12-12,22
2015-12-13 - 2015-12-19,20
2015-12-20 - 2015-12-26,13
2015-12-27 - 2016-01-02,12
2016-01-03 - 2016-01-09,19
2016-01-10 - 2016-01-16,20
2016-01-17 - 2016-01-23,22
2016-01-24 - 2016-01-30,22
2016-01-31 - 2016-02-06,22
2016-02-07 - 2016-02-13,22
2016-02-14 - 2016-02-20,21
2016-02-21 - 2016-02-27,22
2016-02-28 - 2016-03-05,23
2016-03-06 - 2016-03-12,24
2016-03-13 - 2016-03-19,22
2016-03-20 - 2016-03-26,20
2016-03-27 - 2016-04-02,21
2016-04-03 - 2016-04-09,23
2016-04-10 - 2016-04-16,24
2016-04-17 - 2016-04-23,25
2016-04-24 - 2016-04-30,24
2016-05-01 - 2016-05-07,21
2016-05-08 - 2016-05-14,22
2016-05-15 - 2016-05-21,22
2016-05-22 - 2016-05-28,21
2016-05-29 - 2016-06-04,20
2016-06-05 - 2016-06-11,20
2016-06-12 - 2016-06-18,19
2016-06-19 - 2016-06-25,18
2016-06-26 - 2016-07-02,18
2016-07-03 - 2016-07-09,11


Top regions for intellectual property
Region,intellectual property
Jamaica,100
Kenya,68
Singapore,55
Philippines,52
Hong Kong,51
South Africa,42
New Zealand,40
Sri Lanka,39
Australia,34
India,31
Nigeria,29
Malaysia,27
United Kingdom,26
United States,23
Ireland,20
Canada,20
United Arab Emirates,18
South Korea,17
Pakistan,15
Switzerland,14
China,11
Taiwan,9
Belgium,9
Netherlands,8
Finland,7
Sweden,7
Israel,6
Denmark,6
Thailand,5
Iran,5
Austria,5
Germany,5
Greece,4
Egypt,4
Saudi Arabia,3
Japan,3
Vietnam,3
Italy,3
Indonesia,3
Ukraine,3
France,3
Spain,2
Russia,2
Poland,2
Mexico,1
Turkey,1
Brazil,1


Top cities for intellectual property
City,intellectual property
Makati City (Philippines),100
Ottawa (Canada),93
Nairobi (Kenya),92
Singapore (Singapore),83
Washington (United States),81
Manila (Philippines),79
Quezon City (Philippines),64
Auckland (New Zealand),63
Boston (United States),55
Chennai (India),50
Bangalore (India),50
Mumbai (India),49
Hyderabad (India),49
New Delhi (India),48
San Diego (United States),47



Top searches for intellectual property
intellectual property rights,100
property rights,100
intellectual property law,90
ip intellectual property,35
intellectual property patent,35
intellectual property office,35
copyright intellectual property,35
definition intellectual property,20
intellectual property protection,20
international intellectual property,15
intellectual property india,15
intellectual property act,15
intellectual property agreement,15
intellectual property right,15
intellectual property uk,10
intellectual property management,10
intellectual property laws,10
software intellectual property,10
intellectual property attorney,10
intellectual property organization,10
intellectual property lawyer,10
intellectual property jobs,10
china intellectual property,10
intellectual property policy,10
ipr,10
patent law,10
protect intellectual property,10
intellectual property issues,10
intellectual property code,10
intellectual meaning,5
intellectual property meaning,5
intellectual property infringement,5
infringement,5
copyright law,5
intellectual property contract,5
ip law,5
define intellectual property,5
intelectual property,5
intellectual property australia,5
wipo,5
intellectual property licensing,5
intellectual property lawyers,5
intellectual property group,5
intellectual property services,5
facebook intellectual property,5
intellectual property cases,5
intellectual property theft,5
intellectual property examples,5
intellectual property news,5
intellectual property department,5



Rising searches for intellectual property
definition intellectual property,+120%
intellectual property india,+80%
intellectual property act,+60%
ip intellectual property,+60%
intellectual property agreement,+50%
intellectual property laws,+50%
intellectual property office,+40%
intellectual property rights,+40%
intellectual property uk,+40%
property rights,+40%



