Web Search interest: theoretical+chemistry
Worldwide 2004 - present

Interest over time
Week,theoretical+chemistry
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,48
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,42
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,50
2011-12-11 - 2011-12-17,48
2011-12-18 - 2011-12-24,34
2011-12-25 - 2011-12-31,28
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,47
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,51
2012-01-29 - 2012-02-04,49
2012-02-05 - 2012-02-11,48
2012-02-12 - 2012-02-18,46
2012-02-19 - 2012-02-25,46
2012-02-26 - 2012-03-03,48
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,45
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,42
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,40
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,48
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,35
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,34
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,33
2012-07-29 - 2012-08-04,31
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,35
2012-08-19 - 2012-08-25,40
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,54
2012-09-23 - 2012-09-29,54
2012-09-30 - 2012-10-06,52
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,48
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,46
2012-11-11 - 2012-11-17,47
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,49
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,46
2013-01-13 - 2013-01-19,48
2013-01-20 - 2013-01-26,47
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,45
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,49
2013-03-10 - 2013-03-16,46
2013-03-17 - 2013-03-23,45
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,47
2013-05-19 - 2013-05-25,47
2013-05-26 - 2013-06-01,42
2013-06-02 - 2013-06-08,53
2013-06-09 - 2013-06-15,47
2013-06-16 - 2013-06-22,43
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,32
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,46
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,55
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,57
2013-09-29 - 2013-10-05,56
2013-10-06 - 2013-10-12,56
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,50
2013-11-10 - 2013-11-16,50
2013-11-17 - 2013-11-23,52
2013-11-24 - 2013-11-30,41
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,50
2013-12-15 - 2013-12-21,42
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,30
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,50
2014-02-02 - 2014-02-08,50
2014-02-09 - 2014-02-15,49
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,52
2014-03-02 - 2014-03-08,51
2014-03-09 - 2014-03-15,51
2014-03-16 - 2014-03-22,48
2014-03-23 - 2014-03-29,49
2014-03-30 - 2014-04-05,48
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,50
2014-04-27 - 2014-05-03,53
2014-05-04 - 2014-05-10,55
2014-05-11 - 2014-05-17,53
2014-05-18 - 2014-05-24,49
2014-05-25 - 2014-05-31,44
2014-06-01 - 2014-06-07,49
2014-06-08 - 2014-06-14,45
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,37
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,32
2014-07-20 - 2014-07-26,32
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,33
2014-08-10 - 2014-08-16,35
2014-08-17 - 2014-08-23,41
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,52
2014-09-07 - 2014-09-13,57
2014-09-14 - 2014-09-20,56
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,53
2014-10-05 - 2014-10-11,55
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,51
2014-10-26 - 2014-11-01,50
2014-11-02 - 2014-11-08,51
2014-11-09 - 2014-11-15,52
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,51
2014-12-07 - 2014-12-13,52
2014-12-14 - 2014-12-20,45
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,28
2015-01-04 - 2015-01-10,44
2015-01-11 - 2015-01-17,49
2015-01-18 - 2015-01-24,50
2015-01-25 - 2015-01-31,52
2015-02-01 - 2015-02-07,51
2015-02-08 - 2015-02-14,51
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,51
2015-03-01 - 2015-03-07,51
2015-03-08 - 2015-03-14,52
2015-03-15 - 2015-03-21,48
2015-03-22 - 2015-03-28,48
2015-03-29 - 2015-04-04,44
2015-04-05 - 2015-04-11,45
2015-04-12 - 2015-04-18,51
2015-04-19 - 2015-04-25,52
2015-04-26 - 2015-05-02,54
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,54
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,44
2015-05-31 - 2015-06-06,49
2015-06-07 - 2015-06-13,46
2015-06-14 - 2015-06-20,41
2015-06-21 - 2015-06-27,37
2015-06-28 - 2015-07-04,32
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,32
2015-07-26 - 2015-08-01,31
2015-08-02 - 2015-08-08,32
2015-08-09 - 2015-08-15,35
2015-08-16 - 2015-08-22,40
2015-08-23 - 2015-08-29,47
2015-08-30 - 2015-09-05,50
2015-09-06 - 2015-09-12,53
2015-09-13 - 2015-09-19,57
2015-09-20 - 2015-09-26,53
2015-09-27 - 2015-10-03,55
2015-10-04 - 2015-10-10,56
2015-10-11 - 2015-10-17,52
2015-10-18 - 2015-10-24,52
2015-10-25 - 2015-10-31,51
2015-11-01 - 2015-11-07,52
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,52
2015-11-22 - 2015-11-28,41
2015-11-29 - 2015-12-05,50
2015-12-06 - 2015-12-12,53
2015-12-13 - 2015-12-19,47
2015-12-20 - 2015-12-26,28
2015-12-27 - 2016-01-02,27
2016-01-03 - 2016-01-09,45
2016-01-10 - 2016-01-16,49
2016-01-17 - 2016-01-23,50
2016-01-24 - 2016-01-30,52
2016-01-31 - 2016-02-06,52
2016-02-07 - 2016-02-13,50
2016-02-14 - 2016-02-20,47
2016-02-21 - 2016-02-27,52
2016-02-28 - 2016-03-05,52
2016-03-06 - 2016-03-12,53
2016-03-13 - 2016-03-19,48
2016-03-20 - 2016-03-26,44
2016-03-27 - 2016-04-02,45
2016-04-03 - 2016-04-09,48
2016-04-10 - 2016-04-16,51
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,53
2016-05-01 - 2016-05-07,54
2016-05-08 - 2016-05-14,52
2016-05-15 - 2016-05-21,54
2016-05-22 - 2016-05-28,45
2016-05-29 - 2016-06-04,43
2016-06-05 - 2016-06-11,43
2016-06-12 - 2016-06-18,45
2016-06-19 - 2016-06-25,39
2016-06-26 - 2016-07-02,31


Top regions for theoretical+chemistry
Region,theoretical+chemistry
Nigeria,100
Ethiopia,97
Philippines,71
Pakistan,68
Jamaica,68
India,56
Kenya,52
Ghana,49
Tanzania,47
Sri Lanka,45
Singapore,37
Bangladesh,35
United States,34
United Kingdom,31
Malaysia,29
Canada,26
South Africa,26
Australia,24
United Arab Emirates,22
Hong Kong,22
New Zealand,22
Ireland,19
South Korea,18
Iran,15
Egypt,10
Saudi Arabia,8
Taiwan,7
Israel,7
Norway,7
Switzerland,7
Greece,6
Denmark,6
Czech Republic,6
Sweden,6
Netherlands,6
Portugal,5
Finland,5
Indonesia,5
Belgium,5
Thailand,4
Romania,4
Japan,4
Germany,4
Italy,3
Spain,3
Poland,3
Mexico,3
Turkey,2
France,2
Vietnam,2
Colombia,2
Russia,2
Brazil,2
Argentina,1


Top cities for theoretical+chemistry
City,theoretical+chemistry
Lagos (Nigeria),100
Manila (Philippines),97
Makati City (Philippines),72
Karachi (Pakistan),71
Quezon City (Philippines),68
Lahore (Pakistan),65
Howrah (India),62
Hyderabad (India),60
New Delhi (India),60
Chennai (India),57
Bangalore (India),49
Pune (India),46
Mumbai (India),45
Singapore (Singapore),42
Philadelphia (United States),39



Top searches for theoretical+chemistry
organic chemistry,100
what is chemistry,70
science,55
physics,45
chemistry definition,40
journal of chemistry,40
physical chemistry,30
chemistry lab,25
chemistry book,25
mastering chemistry,25
as chemistry,20
chemistry jobs,20
aqa,20
aqa chemistry,20
periodic table,20
analytical chemistry,20
chemistry notes,20
chemistry periodic table,20
ap chemistry,20
definition of chemistry,20
chemistry past papers,15
inorganic chemistry,15
a level chemistry,15
chemistry review,15
general chemistry,15
gcse chemistry,15
medicinal chemistry,15
ocr chemistry,15
chemistry books,15
food chemistry,15
define chemistry,10
theoretical framework,10
theoretical yield,10
chemistry experiments,10
chemistry project,10
green chemistry,10
chemistry projects,10
chemistry jokes,10
edexcel,10
basic chemistry,10
edexcel chemistry,10
chemistry equations,10
mole chemistry,10
chemistry revision,10
chemistry help,10
theoretical physics,10
environmental chemistry,10
moles,5
clinical chemistry,5
chemistry of materials,5



Rising searches for theoretical+chemistry
mastering chemistry,Breakout
chemistry past papers,+500%
aqa,+300%
aqa chemistry,+300%
what is chemistry,+190%
chemistry definition,+160%
definition of chemistry,+160%
chemistry book,+110%
ap chemistry,+60%
as chemistry,+60%



