Web Search interest: simulation
Worldwide 2004 - present

Interest over time
Week,simulation
2005-01-16 - 2005-01-22,80
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,82
2005-02-06 - 2005-02-12,83
2005-02-13 - 2005-02-19,83
2005-02-20 - 2005-02-26,85
2005-02-27 - 2005-03-05,84
2005-03-06 - 2005-03-12,84
2005-03-13 - 2005-03-19,88
2005-03-20 - 2005-03-26,87
2005-03-27 - 2005-04-02,90
2005-04-03 - 2005-04-09,84
2005-04-10 - 2005-04-16,82
2005-04-17 - 2005-04-23,81
2005-04-24 - 2005-04-30,79
2005-05-01 - 2005-05-07,76
2005-05-08 - 2005-05-14,76
2005-05-15 - 2005-05-21,75
2005-05-22 - 2005-05-28,71
2005-05-29 - 2005-06-04,74
2005-06-05 - 2005-06-11,75
2005-06-12 - 2005-06-18,71
2005-06-19 - 2005-06-25,69
2005-06-26 - 2005-07-02,67
2005-07-03 - 2005-07-09,71
2005-07-10 - 2005-07-16,66
2005-07-17 - 2005-07-23,67
2005-07-24 - 2005-07-30,65
2005-07-31 - 2005-08-06,64
2005-08-07 - 2005-08-13,64
2005-08-14 - 2005-08-20,65
2005-08-21 - 2005-08-27,65
2005-08-28 - 2005-09-03,71
2005-09-04 - 2005-09-10,66
2005-09-11 - 2005-09-17,68
2005-09-18 - 2005-09-24,69
2005-09-25 - 2005-10-01,69
2005-10-02 - 2005-10-08,71
2005-10-09 - 2005-10-15,70
2005-10-16 - 2005-10-22,69
2005-10-23 - 2005-10-29,71
2005-10-30 - 2005-11-05,70
2005-11-06 - 2005-11-12,68
2005-11-13 - 2005-11-19,71
2005-11-20 - 2005-11-26,69
2005-11-27 - 2005-12-03,68
2005-12-04 - 2005-12-10,67
2005-12-11 - 2005-12-17,66
2005-12-18 - 2005-12-24,63
2005-12-25 - 2005-12-31,56
2006-01-01 - 2006-01-07,63
2006-01-08 - 2006-01-14,64
2006-01-15 - 2006-01-21,67
2006-01-22 - 2006-01-28,65
2006-01-29 - 2006-02-04,68
2006-02-05 - 2006-02-11,70
2006-02-12 - 2006-02-18,70
2006-02-19 - 2006-02-25,69
2006-02-26 - 2006-03-04,69
2006-03-05 - 2006-03-11,69
2006-03-12 - 2006-03-18,71
2006-03-19 - 2006-03-25,71
2006-03-26 - 2006-04-01,68
2006-04-02 - 2006-04-08,68
2006-04-09 - 2006-04-15,70
2006-04-16 - 2006-04-22,68
2006-04-23 - 2006-04-29,68
2006-04-30 - 2006-05-06,68
2006-05-07 - 2006-05-13,70
2006-05-14 - 2006-05-20,71
2006-05-21 - 2006-05-27,69
2006-05-28 - 2006-06-03,66
2006-06-04 - 2006-06-10,63
2006-06-11 - 2006-06-17,64
2006-06-18 - 2006-06-24,62
2006-06-25 - 2006-07-01,60
2006-07-02 - 2006-07-08,60
2006-07-09 - 2006-07-15,60
2006-07-16 - 2006-07-22,59
2006-07-23 - 2006-07-29,61
2006-07-30 - 2006-08-05,58
2006-08-06 - 2006-08-12,56
2006-08-13 - 2006-08-19,55
2006-08-20 - 2006-08-26,62
2006-08-27 - 2006-09-02,62
2006-09-03 - 2006-09-09,60
2006-09-10 - 2006-09-16,62
2006-09-17 - 2006-09-23,62
2006-09-24 - 2006-09-30,62
2006-10-01 - 2006-10-07,63
2006-10-08 - 2006-10-14,65
2006-10-15 - 2006-10-21,66
2006-10-22 - 2006-10-28,64
2006-10-29 - 2006-11-04,64
2006-11-05 - 2006-11-11,63
2006-11-12 - 2006-11-18,63
2006-11-19 - 2006-11-25,66
2006-11-26 - 2006-12-02,62
2006-12-03 - 2006-12-09,63
2006-12-10 - 2006-12-16,60
2006-12-17 - 2006-12-23,60
2006-12-24 - 2006-12-30,56
2006-12-31 - 2007-01-06,61
2007-01-07 - 2007-01-13,63
2007-01-14 - 2007-01-20,62
2007-01-21 - 2007-01-27,62
2007-01-28 - 2007-02-03,66
2007-02-04 - 2007-02-10,63
2007-02-11 - 2007-02-17,63
2007-02-18 - 2007-02-24,66
2007-02-25 - 2007-03-03,63
2007-03-04 - 2007-03-10,65
2007-03-11 - 2007-03-17,63
2007-03-18 - 2007-03-24,66
2007-03-25 - 2007-03-31,65
2007-04-01 - 2007-04-07,66
2007-04-08 - 2007-04-14,63
2007-04-15 - 2007-04-21,63
2007-04-22 - 2007-04-28,65
2007-04-29 - 2007-05-05,68
2007-05-06 - 2007-05-12,69
2007-05-13 - 2007-05-19,70
2007-05-20 - 2007-05-26,69
2007-05-27 - 2007-06-02,71
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,64
2007-06-17 - 2007-06-23,66
2007-06-24 - 2007-06-30,66
2007-07-01 - 2007-07-07,64
2007-07-08 - 2007-07-14,61
2007-07-15 - 2007-07-21,59
2007-07-22 - 2007-07-28,60
2007-07-29 - 2007-08-04,58
2007-08-05 - 2007-08-11,59
2007-08-12 - 2007-08-18,56
2007-08-19 - 2007-08-25,60
2007-08-26 - 2007-09-01,60
2007-09-02 - 2007-09-08,58
2007-09-09 - 2007-09-15,61
2007-09-16 - 2007-09-22,60
2007-09-23 - 2007-09-29,61
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,63
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,62
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,62
2007-11-11 - 2007-11-17,63
2007-11-18 - 2007-11-24,62
2007-11-25 - 2007-12-01,62
2007-12-02 - 2007-12-08,61
2007-12-09 - 2007-12-15,61
2007-12-16 - 2007-12-22,57
2007-12-23 - 2007-12-29,55
2007-12-30 - 2008-01-05,59
2008-01-06 - 2008-01-12,60
2008-01-13 - 2008-01-19,61
2008-01-20 - 2008-01-26,62
2008-01-27 - 2008-02-02,63
2008-02-03 - 2008-02-09,61
2008-02-10 - 2008-02-16,63
2008-02-17 - 2008-02-23,61
2008-02-24 - 2008-03-01,62
2008-03-02 - 2008-03-08,62
2008-03-09 - 2008-03-15,63
2008-03-16 - 2008-03-22,63
2008-03-23 - 2008-03-29,62
2008-03-30 - 2008-04-05,60
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,63
2008-04-20 - 2008-04-26,64
2008-04-27 - 2008-05-03,64
2008-05-04 - 2008-05-10,61
2008-05-11 - 2008-05-17,64
2008-05-18 - 2008-05-24,66
2008-05-25 - 2008-05-31,71
2008-06-01 - 2008-06-07,62
2008-06-08 - 2008-06-14,61
2008-06-15 - 2008-06-21,59
2008-06-22 - 2008-06-28,57
2008-06-29 - 2008-07-05,57
2008-07-06 - 2008-07-12,54
2008-07-13 - 2008-07-19,54
2008-07-20 - 2008-07-26,52
2008-07-27 - 2008-08-02,53
2008-08-03 - 2008-08-09,51
2008-08-10 - 2008-08-16,51
2008-08-17 - 2008-08-23,52
2008-08-24 - 2008-08-30,54
2008-08-31 - 2008-09-06,56
2008-09-07 - 2008-09-13,56
2008-09-14 - 2008-09-20,57
2008-09-21 - 2008-09-27,56
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,55
2008-10-12 - 2008-10-18,56
2008-10-19 - 2008-10-25,56
2008-10-26 - 2008-11-01,57
2008-11-02 - 2008-11-08,56
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,56
2008-11-23 - 2008-11-29,57
2008-11-30 - 2008-12-06,56
2008-12-07 - 2008-12-13,54
2008-12-14 - 2008-12-20,53
2008-12-21 - 2008-12-27,50
2008-12-28 - 2009-01-03,50
2009-01-04 - 2009-01-10,53
2009-01-11 - 2009-01-17,56
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,57
2009-02-01 - 2009-02-07,58
2009-02-08 - 2009-02-14,58
2009-02-15 - 2009-02-21,61
2009-02-22 - 2009-02-28,59
2009-03-01 - 2009-03-07,61
2009-03-08 - 2009-03-14,58
2009-03-15 - 2009-03-21,60
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,62
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,63
2009-04-26 - 2009-05-02,69
2009-05-03 - 2009-05-09,66
2009-05-10 - 2009-05-16,73
2009-05-17 - 2009-05-23,71
2009-05-24 - 2009-05-30,78
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,64
2009-06-14 - 2009-06-20,60
2009-06-21 - 2009-06-27,59
2009-06-28 - 2009-07-04,54
2009-07-05 - 2009-07-11,54
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,55
2009-07-26 - 2009-08-01,56
2009-08-02 - 2009-08-08,53
2009-08-09 - 2009-08-15,53
2009-08-16 - 2009-08-22,54
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,58
2009-09-06 - 2009-09-12,56
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,56
2009-09-27 - 2009-10-03,55
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,57
2009-10-25 - 2009-10-31,57
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,56
2009-11-15 - 2009-11-21,56
2009-11-22 - 2009-11-28,57
2009-11-29 - 2009-12-05,55
2009-12-06 - 2009-12-12,53
2009-12-13 - 2009-12-19,51
2009-12-20 - 2009-12-26,47
2009-12-27 - 2010-01-02,48
2010-01-03 - 2010-01-09,53
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,58
2010-01-24 - 2010-01-30,57
2010-01-31 - 2010-02-06,59
2010-02-07 - 2010-02-13,59
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,60
2010-02-28 - 2010-03-06,59
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,59
2010-03-21 - 2010-03-27,58
2010-03-28 - 2010-04-03,58
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,56
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,64
2010-05-02 - 2010-05-08,68
2010-05-09 - 2010-05-15,64
2010-05-16 - 2010-05-22,62
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,62
2010-06-06 - 2010-06-12,60
2010-06-13 - 2010-06-19,57
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,52
2010-07-04 - 2010-07-10,47
2010-07-11 - 2010-07-17,47
2010-07-18 - 2010-07-24,47
2010-07-25 - 2010-07-31,47
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,49
2010-09-05 - 2010-09-11,50
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,50
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,52
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,51
2010-10-24 - 2010-10-30,51
2010-10-31 - 2010-11-06,50
2010-11-07 - 2010-11-13,50
2010-11-14 - 2010-11-20,50
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,47
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,40
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,51
2011-01-23 - 2011-01-29,51
2011-01-30 - 2011-02-05,50
2011-02-06 - 2011-02-12,48
2011-02-13 - 2011-02-19,49
2011-02-20 - 2011-02-26,48
2011-02-27 - 2011-03-05,49
2011-03-06 - 2011-03-12,48
2011-03-13 - 2011-03-19,49
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,55
2011-05-08 - 2011-05-14,54
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,47
2011-06-19 - 2011-06-25,46
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,42
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,41
2011-07-24 - 2011-07-30,40
2011-07-31 - 2011-08-06,39
2011-08-07 - 2011-08-13,39
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,42
2011-08-28 - 2011-09-03,41
2011-09-04 - 2011-09-10,42
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,43
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,43
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,42
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,34
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,42
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,43
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,44
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,42
2012-03-25 - 2012-03-31,42
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,41
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,48
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,41
2012-07-01 - 2012-07-07,40
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,39
2012-07-22 - 2012-07-28,38
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,37
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,40
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,43
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,39
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,38
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,44
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,45
2013-02-10 - 2013-02-16,43
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,41
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,45
2013-04-21 - 2013-04-27,51
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,45
2013-05-12 - 2013-05-18,52
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,44
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,38
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,34
2013-07-07 - 2013-07-13,35
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,36
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,34
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,40
2013-09-15 - 2013-09-21,40
2013-09-22 - 2013-09-28,40
2013-09-29 - 2013-10-05,40
2013-10-06 - 2013-10-12,39
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,40
2013-10-27 - 2013-11-02,39
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,41
2013-11-24 - 2013-11-30,38
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,39
2014-01-12 - 2014-01-18,40
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,40
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,40
2014-03-02 - 2014-03-08,40
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,48
2014-04-20 - 2014-04-26,51
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,48
2014-05-11 - 2014-05-17,59
2014-05-18 - 2014-05-24,55
2014-05-25 - 2014-05-31,43
2014-06-01 - 2014-06-07,42
2014-06-08 - 2014-06-14,39
2014-06-15 - 2014-06-21,37
2014-06-22 - 2014-06-28,37
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,36
2014-07-13 - 2014-07-19,34
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,34
2014-08-03 - 2014-08-09,34
2014-08-10 - 2014-08-16,32
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,38
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,39
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,39
2014-09-28 - 2014-10-04,39
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,38
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,39
2014-11-16 - 2014-11-22,40
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,39
2014-12-07 - 2014-12-13,39
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,29
2014-12-28 - 2015-01-03,31
2015-01-04 - 2015-01-10,36
2015-01-11 - 2015-01-17,38
2015-01-18 - 2015-01-24,40
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,41
2015-02-08 - 2015-02-14,41
2015-02-15 - 2015-02-21,40
2015-02-22 - 2015-02-28,41
2015-03-01 - 2015-03-07,41
2015-03-08 - 2015-03-14,41
2015-03-15 - 2015-03-21,41
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,40
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,50
2015-04-19 - 2015-04-25,53
2015-04-26 - 2015-05-02,51
2015-05-03 - 2015-05-09,50
2015-05-10 - 2015-05-16,52
2015-05-17 - 2015-05-23,51
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,42
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,37
2015-06-21 - 2015-06-27,36
2015-06-28 - 2015-07-04,32
2015-07-05 - 2015-07-11,33
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,33
2015-07-26 - 2015-08-01,32
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,30
2015-08-16 - 2015-08-22,32
2015-08-23 - 2015-08-29,34
2015-08-30 - 2015-09-05,36
2015-09-06 - 2015-09-12,36
2015-09-13 - 2015-09-19,37
2015-09-20 - 2015-09-26,36
2015-09-27 - 2015-10-03,36
2015-10-04 - 2015-10-10,36
2015-10-11 - 2015-10-17,36
2015-10-18 - 2015-10-24,36
2015-10-25 - 2015-10-31,37
2015-11-01 - 2015-11-07,37
2015-11-08 - 2015-11-14,37
2015-11-15 - 2015-11-21,36
2015-11-22 - 2015-11-28,34
2015-11-29 - 2015-12-05,36
2015-12-06 - 2015-12-12,36
2015-12-13 - 2015-12-19,33
2015-12-20 - 2015-12-26,31
2015-12-27 - 2016-01-02,30
2016-01-03 - 2016-01-09,39
2016-01-10 - 2016-01-16,39
2016-01-17 - 2016-01-23,41
2016-01-24 - 2016-01-30,41
2016-01-31 - 2016-02-06,40
2016-02-07 - 2016-02-13,40
2016-02-14 - 2016-02-20,38
2016-02-21 - 2016-02-27,40
2016-02-28 - 2016-03-05,41
2016-03-06 - 2016-03-12,40
2016-03-13 - 2016-03-19,39
2016-03-20 - 2016-03-26,37
2016-03-27 - 2016-04-02,38
2016-04-03 - 2016-04-09,42
2016-04-10 - 2016-04-16,49
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,50
2016-05-01 - 2016-05-07,45
2016-05-08 - 2016-05-14,53
2016-05-15 - 2016-05-21,48
2016-05-22 - 2016-05-28,43
2016-05-29 - 2016-06-04,43
2016-06-05 - 2016-06-11,39
2016-06-12 - 2016-06-18,36
2016-06-19 - 2016-06-25,34
2016-06-26 - 2016-07-02,28


Top regions for simulation
Region,simulation
Réunion,100
France,99
Martinique,92
Belgium,35
Luxembourg,32
Morocco,27
Tunisia,26
Algeria,20
Singapore,18
South Korea,18
Iran,16
Switzerland,15
India,15
Kenya,14
Philippines,14
Canada,13
Nigeria,13
Germany,13
Malaysia,12
Hong Kong,11
Bangladesh,11
Pakistan,11
United States,11
Austria,10
South Africa,10
Australia,10
New Zealand,10
United Kingdom,9
China,9
United Arab Emirates,8
Taiwan,8
Ireland,8
Greece,8
Croatia,7
Norway,7
Portugal,7
Israel,7
Serbia,7
Sweden,6
Denmark,6
Netherlands,6
Finland,6
Czech Republic,6
Egypt,6
Romania,5
Indonesia,5
Slovakia,5
Hungary,4
Thailand,4
Italy,3
Saudi Arabia,3
Spain,3
Poland,3
Turkey,3
Colombia,3
Chile,2
Mexico,2
Vietnam,2
Brazil,2
Japan,2
Russia,2
Argentina,2


Top cities for simulation
City,simulation
Rouen (France),100
Lille (France),98
Caen (France),97
Toulouse (France),95
Nantes (France),95
Dijon (France),94
Nancy (France),91
Bordeaux (France),91
Montpellier (France),91
Rennes (France),90
Lyon (France),90
Marseille (France),89
Courbevoie (France),85
Strasbourg (France),77
Paris (France),77



Top searches for simulation
simulation games,100
simulation pret,80
simulation credit,65
simulation game,50
apl,50
simulation apl,50
caf,45
simulation caf,45
impot,40
impot simulation,40
simulation pret immobilier,40
simulation impots,40
pret immobilier,40
impots,40
simulation software,35
jeux simulation,35
monte carlo simulation,25
monte carlo,25
online simulation games,25
jeux de simulation,25
simulation credit immobilier,25
credit immobilier,25
free simulation games,20
jeu simulation,20
simulation de credit,15
simulation de pret,15
simulation caf apl,15
computer simulation,15
simulation crédit,15
flight simulation,15
jeu de simulation,15
what is simulation,15
simulation rsa,10
rsa,10
pc simulation games,10
solidworks simulation,10
simulation prêt,10
business simulation,10
simulation emprunt,10
best simulation games,10
simulation pole emploi,10
simulation credit auto,5
simulation bourse,5
physics simulation,5
simulation chomage,5
life simulation games,5
simulation salaire,5
simulation theory,5



Rising searches for simulation
caf,+1,900%
simulation caf,+1,900%
apl,+1,800%
simulation apl,+1,550%
impot,+550%
impot simulation,+550%
simulation impots,+400%
pret immobilier,+300%
simulation pret immobilier,+300%
simulation pret,+250%



