Web Search interest: Electrical resistivity and conductivity
Worldwide 2004 - present

Interest over time
Week,Electrical resistivity and conductivity
2005-02-20 - 2005-02-26,78
2005-02-27 - 2005-03-05,84
2005-03-06 - 2005-03-12,87
2005-03-13 - 2005-03-19,84
2005-03-20 - 2005-03-26,76
2005-03-27 - 2005-04-02,65
2005-04-03 - 2005-04-09,65
2005-04-10 - 2005-04-16,73
2005-04-17 - 2005-04-23,88
2005-04-24 - 2005-04-30,77
2005-05-01 - 2005-05-07,79
2005-05-08 - 2005-05-14,85
2005-05-15 - 2005-05-21,73
2005-05-22 - 2005-05-28,66
2005-05-29 - 2005-06-04,63
2005-06-05 - 2005-06-11,64
2005-06-12 - 2005-06-18,66
2005-06-19 - 2005-06-25,64
2005-06-26 - 2005-07-02,62
2005-07-03 - 2005-07-09,53
2005-07-10 - 2005-07-16,61
2005-07-17 - 2005-07-23,57
2005-07-24 - 2005-07-30,53
2005-07-31 - 2005-08-06,53
2005-08-07 - 2005-08-13,55
2005-08-14 - 2005-08-20,51
2005-08-21 - 2005-08-27,48
2005-08-28 - 2005-09-03,62
2005-09-04 - 2005-09-10,65
2005-09-11 - 2005-09-17,59
2005-09-18 - 2005-09-24,61
2005-09-25 - 2005-10-01,68
2005-10-02 - 2005-10-08,72
2005-10-09 - 2005-10-15,74
2005-10-16 - 2005-10-22,71
2005-10-23 - 2005-10-29,70
2005-10-30 - 2005-11-05,65
2005-11-06 - 2005-11-12,68
2005-11-13 - 2005-11-19,74
2005-11-20 - 2005-11-26,70
2005-11-27 - 2005-12-03,64
2005-12-04 - 2005-12-10,67
2005-12-11 - 2005-12-17,61
2005-12-18 - 2005-12-24,51
2005-12-25 - 2005-12-31,28
2006-01-01 - 2006-01-07,46
2006-01-08 - 2006-01-14,62
2006-01-15 - 2006-01-21,62
2006-01-22 - 2006-01-28,55
2006-01-29 - 2006-02-04,64
2006-02-05 - 2006-02-11,67
2006-02-12 - 2006-02-18,66
2006-02-19 - 2006-02-25,65
2006-02-26 - 2006-03-04,72
2006-03-05 - 2006-03-11,68
2006-03-12 - 2006-03-18,67
2006-03-19 - 2006-03-25,71
2006-03-26 - 2006-04-01,70
2006-04-02 - 2006-04-08,68
2006-04-09 - 2006-04-15,58
2006-04-16 - 2006-04-22,66
2006-04-23 - 2006-04-29,65
2006-04-30 - 2006-05-06,60
2006-05-07 - 2006-05-13,65
2006-05-14 - 2006-05-20,60
2006-05-21 - 2006-05-27,56
2006-05-28 - 2006-06-03,54
2006-06-04 - 2006-06-10,58
2006-06-11 - 2006-06-17,53
2006-06-18 - 2006-06-24,51
2006-06-25 - 2006-07-01,45
2006-07-02 - 2006-07-08,43
2006-07-09 - 2006-07-15,47
2006-07-16 - 2006-07-22,43
2006-07-23 - 2006-07-29,40
2006-07-30 - 2006-08-05,39
2006-08-06 - 2006-08-12,38
2006-08-13 - 2006-08-19,36
2006-08-20 - 2006-08-26,41
2006-08-27 - 2006-09-02,45
2006-09-03 - 2006-09-09,48
2006-09-10 - 2006-09-16,54
2006-09-17 - 2006-09-23,57
2006-09-24 - 2006-09-30,54
2006-10-01 - 2006-10-07,51
2006-10-08 - 2006-10-14,59
2006-10-15 - 2006-10-21,55
2006-10-22 - 2006-10-28,53
2006-10-29 - 2006-11-04,60
2006-11-05 - 2006-11-11,58
2006-11-12 - 2006-11-18,63
2006-11-19 - 2006-11-25,57
2006-11-26 - 2006-12-02,58
2006-12-03 - 2006-12-09,56
2006-12-10 - 2006-12-16,56
2006-12-17 - 2006-12-23,45
2006-12-24 - 2006-12-30,26
2006-12-31 - 2007-01-06,34
2007-01-07 - 2007-01-13,39
2007-01-14 - 2007-01-20,49
2007-01-21 - 2007-01-27,54
2007-01-28 - 2007-02-03,57
2007-02-04 - 2007-02-10,55
2007-02-11 - 2007-02-17,47
2007-02-18 - 2007-02-24,51
2007-02-25 - 2007-03-03,56
2007-03-04 - 2007-03-10,55
2007-03-11 - 2007-03-17,56
2007-03-18 - 2007-03-24,58
2007-03-25 - 2007-03-31,55
2007-04-01 - 2007-04-07,45
2007-04-08 - 2007-04-14,52
2007-04-15 - 2007-04-21,51
2007-04-22 - 2007-04-28,48
2007-04-29 - 2007-05-05,49
2007-05-06 - 2007-05-12,51
2007-05-13 - 2007-05-19,52
2007-05-20 - 2007-05-26,54
2007-05-27 - 2007-06-02,47
2007-06-03 - 2007-06-09,46
2007-06-10 - 2007-06-16,48
2007-06-17 - 2007-06-23,45
2007-06-24 - 2007-06-30,39
2007-07-01 - 2007-07-07,41
2007-07-08 - 2007-07-14,42
2007-07-15 - 2007-07-21,39
2007-07-22 - 2007-07-28,38
2007-07-29 - 2007-08-04,38
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,36
2007-08-19 - 2007-08-25,38
2007-08-26 - 2007-09-01,41
2007-09-02 - 2007-09-08,39
2007-09-09 - 2007-09-15,44
2007-09-16 - 2007-09-22,49
2007-09-23 - 2007-09-29,49
2007-09-30 - 2007-10-06,46
2007-10-07 - 2007-10-13,52
2007-10-14 - 2007-10-20,56
2007-10-21 - 2007-10-27,49
2007-10-28 - 2007-11-03,47
2007-11-04 - 2007-11-10,53
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,49
2007-11-25 - 2007-12-01,55
2007-12-02 - 2007-12-08,49
2007-12-09 - 2007-12-15,49
2007-12-16 - 2007-12-22,36
2007-12-23 - 2007-12-29,24
2007-12-30 - 2008-01-05,27
2008-01-06 - 2008-01-12,41
2008-01-13 - 2008-01-19,43
2008-01-20 - 2008-01-26,49
2008-01-27 - 2008-02-02,47
2008-02-03 - 2008-02-09,45
2008-02-10 - 2008-02-16,51
2008-02-17 - 2008-02-23,51
2008-02-24 - 2008-03-01,53
2008-03-02 - 2008-03-08,54
2008-03-09 - 2008-03-15,52
2008-03-16 - 2008-03-22,46
2008-03-23 - 2008-03-29,49
2008-03-30 - 2008-04-05,48
2008-04-06 - 2008-04-12,49
2008-04-13 - 2008-04-19,48
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,46
2008-05-04 - 2008-05-10,47
2008-05-11 - 2008-05-17,47
2008-05-18 - 2008-05-24,45
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,43
2008-06-08 - 2008-06-14,44
2008-06-15 - 2008-06-21,42
2008-06-22 - 2008-06-28,41
2008-06-29 - 2008-07-05,33
2008-07-06 - 2008-07-12,36
2008-07-13 - 2008-07-19,36
2008-07-20 - 2008-07-26,36
2008-07-27 - 2008-08-02,30
2008-08-03 - 2008-08-09,33
2008-08-10 - 2008-08-16,29
2008-08-17 - 2008-08-23,33
2008-08-24 - 2008-08-30,37
2008-08-31 - 2008-09-06,36
2008-09-07 - 2008-09-13,39
2008-09-14 - 2008-09-20,43
2008-09-21 - 2008-09-27,41
2008-09-28 - 2008-10-04,45
2008-10-05 - 2008-10-11,47
2008-10-12 - 2008-10-18,46
2008-10-19 - 2008-10-25,53
2008-10-26 - 2008-11-01,45
2008-11-02 - 2008-11-08,46
2008-11-09 - 2008-11-15,45
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,43
2008-11-30 - 2008-12-06,48
2008-12-07 - 2008-12-13,45
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,20
2008-12-28 - 2009-01-03,21
2009-01-04 - 2009-01-10,34
2009-01-11 - 2009-01-17,41
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,41
2009-02-01 - 2009-02-07,46
2009-02-08 - 2009-02-14,44
2009-02-15 - 2009-02-21,46
2009-02-22 - 2009-02-28,49
2009-03-01 - 2009-03-07,49
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,51
2009-03-22 - 2009-03-28,48
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,39
2009-04-12 - 2009-04-18,41
2009-04-19 - 2009-04-25,48
2009-04-26 - 2009-05-02,44
2009-05-03 - 2009-05-09,44
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,44
2009-05-24 - 2009-05-30,42
2009-05-31 - 2009-06-06,41
2009-06-07 - 2009-06-13,39
2009-06-14 - 2009-06-20,40
2009-06-21 - 2009-06-27,35
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,32
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,32
2009-07-26 - 2009-08-01,34
2009-08-02 - 2009-08-08,30
2009-08-09 - 2009-08-15,29
2009-08-16 - 2009-08-22,31
2009-08-23 - 2009-08-29,30
2009-08-30 - 2009-09-05,35
2009-09-06 - 2009-09-12,37
2009-09-13 - 2009-09-19,42
2009-09-20 - 2009-09-26,41
2009-09-27 - 2009-10-03,42
2009-10-04 - 2009-10-10,45
2009-10-11 - 2009-10-17,45
2009-10-18 - 2009-10-24,45
2009-10-25 - 2009-10-31,44
2009-11-01 - 2009-11-07,45
2009-11-08 - 2009-11-14,45
2009-11-15 - 2009-11-21,46
2009-11-22 - 2009-11-28,39
2009-11-29 - 2009-12-05,45
2009-12-06 - 2009-12-12,43
2009-12-13 - 2009-12-19,38
2009-12-20 - 2009-12-26,25
2009-12-27 - 2010-01-02,18
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,38
2010-01-17 - 2010-01-23,38
2010-01-24 - 2010-01-30,37
2010-01-31 - 2010-02-06,43
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,48
2010-02-28 - 2010-03-06,46
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,44
2010-03-21 - 2010-03-27,47
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,40
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,47
2010-04-25 - 2010-05-01,46
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,42
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,39
2010-06-06 - 2010-06-12,40
2010-06-13 - 2010-06-19,34
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,29
2010-08-08 - 2010-08-14,27
2010-08-15 - 2010-08-21,28
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,37
2010-09-19 - 2010-09-25,38
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,41
2010-10-10 - 2010-10-16,42
2010-10-17 - 2010-10-23,42
2010-10-24 - 2010-10-30,42
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,41
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,41
2010-11-28 - 2010-12-04,42
2010-12-05 - 2010-12-11,43
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,25
2010-12-26 - 2011-01-01,17
2011-01-02 - 2011-01-08,30
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,38
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,39
2011-02-06 - 2011-02-12,42
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,41
2011-02-27 - 2011-03-05,44
2011-03-06 - 2011-03-12,41
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,44
2011-04-03 - 2011-04-09,42
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,35
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,40
2011-05-08 - 2011-05-14,43
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,40
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,37
2011-06-12 - 2011-06-18,33
2011-06-19 - 2011-06-25,34
2011-06-26 - 2011-07-02,32
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,27
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,26
2011-08-14 - 2011-08-20,26
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,30
2011-09-04 - 2011-09-10,32
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,38
2011-09-25 - 2011-10-01,40
2011-10-02 - 2011-10-08,40
2011-10-09 - 2011-10-15,43
2011-10-16 - 2011-10-22,40
2011-10-23 - 2011-10-29,39
2011-10-30 - 2011-11-05,38
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,42
2011-11-20 - 2011-11-26,39
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,39
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,26
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,34
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,36
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,42
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,38
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,40
2012-04-01 - 2012-04-07,35
2012-04-08 - 2012-04-14,36
2012-04-15 - 2012-04-21,41
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,37
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,40
2012-05-20 - 2012-05-26,38
2012-05-27 - 2012-06-02,35
2012-06-03 - 2012-06-09,34
2012-06-10 - 2012-06-16,34
2012-06-17 - 2012-06-23,32
2012-06-24 - 2012-06-30,31
2012-07-01 - 2012-07-07,27
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,23
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,27
2012-09-02 - 2012-09-08,31
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,39
2012-09-23 - 2012-09-29,38
2012-09-30 - 2012-10-06,40
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,40
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,35
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,38
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,29
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,33
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,39
2013-04-21 - 2013-04-27,41
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,38
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,34
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,31
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,23
2013-08-11 - 2013-08-17,22
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,26
2013-09-01 - 2013-09-07,29
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,40
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,41
2013-10-27 - 2013-11-02,36
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,41
2013-11-17 - 2013-11-23,41
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,30
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,33
2014-01-26 - 2014-02-01,33
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,39
2014-02-23 - 2014-03-01,42
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,39
2014-03-23 - 2014-03-29,40
2014-03-30 - 2014-04-05,41
2014-04-06 - 2014-04-12,39
2014-04-13 - 2014-04-19,33
2014-04-20 - 2014-04-26,36
2014-04-27 - 2014-05-03,37
2014-05-04 - 2014-05-10,37
2014-05-11 - 2014-05-17,37
2014-05-18 - 2014-05-24,39
2014-05-25 - 2014-05-31,36
2014-06-01 - 2014-06-07,33
2014-06-08 - 2014-06-14,32
2014-06-15 - 2014-06-21,30
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,25
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,23
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,28
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,33
2014-09-14 - 2014-09-20,38
2014-09-21 - 2014-09-27,40
2014-09-28 - 2014-10-04,40
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,40
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,42
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,39
2014-12-07 - 2014-12-13,39
2014-12-14 - 2014-12-20,32
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,35
2015-01-25 - 2015-01-31,34
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,40
2015-02-15 - 2015-02-21,39
2015-02-22 - 2015-02-28,40
2015-03-01 - 2015-03-07,41
2015-03-08 - 2015-03-14,41
2015-03-15 - 2015-03-21,40
2015-03-22 - 2015-03-28,38
2015-03-29 - 2015-04-04,33
2015-04-05 - 2015-04-11,36
2015-04-12 - 2015-04-18,40
2015-04-19 - 2015-04-25,40
2015-04-26 - 2015-05-02,39
2015-05-03 - 2015-05-09,39
2015-05-10 - 2015-05-16,38
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,35
2015-05-31 - 2015-06-06,36
2015-06-07 - 2015-06-13,35
2015-06-14 - 2015-06-20,32
2015-06-21 - 2015-06-27,29
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,23
2015-08-09 - 2015-08-15,25
2015-08-16 - 2015-08-22,26
2015-08-23 - 2015-08-29,26
2015-08-30 - 2015-09-05,30
2015-09-06 - 2015-09-12,33
2015-09-13 - 2015-09-19,36
2015-09-20 - 2015-09-26,36
2015-09-27 - 2015-10-03,38
2015-10-04 - 2015-10-10,40
2015-10-11 - 2015-10-17,39
2015-10-18 - 2015-10-24,38
2015-10-25 - 2015-10-31,38
2015-11-01 - 2015-11-07,40
2015-11-08 - 2015-11-14,39
2015-11-15 - 2015-11-21,40
2015-11-22 - 2015-11-28,36
2015-11-29 - 2015-12-05,39
2015-12-06 - 2015-12-12,38
2015-12-13 - 2015-12-19,33
2015-12-20 - 2015-12-26,22
2015-12-27 - 2016-01-02,17
2016-01-03 - 2016-01-09,28
2016-01-10 - 2016-01-16,31
2016-01-17 - 2016-01-23,35
2016-01-24 - 2016-01-30,35
2016-01-31 - 2016-02-06,37
2016-02-07 - 2016-02-13,37
2016-02-14 - 2016-02-20,38
2016-02-21 - 2016-02-27,41
2016-02-28 - 2016-03-05,41
2016-03-06 - 2016-03-12,40
2016-03-13 - 2016-03-19,38
2016-03-20 - 2016-03-26,33
2016-03-27 - 2016-04-02,35
2016-04-03 - 2016-04-09,40
2016-04-10 - 2016-04-16,43
2016-04-17 - 2016-04-23,41
2016-04-24 - 2016-04-30,40
2016-05-01 - 2016-05-07,37
2016-05-08 - 2016-05-14,39
2016-05-15 - 2016-05-21,37
2016-05-22 - 2016-05-28,36
2016-05-29 - 2016-06-04,34
2016-06-05 - 2016-06-11,34
2016-06-12 - 2016-06-18,31
2016-06-19 - 2016-06-25,29
2016-06-26 - 2016-07-02,27
2016-07-03 - 2016-07-09,21


Top regions for Electrical resistivity and conductivity
Region,Electrical resistivity and conductivity
Nigeria,100
South Korea,81
Singapore,70
El Salvador,57
Kenya,49
India,46
Malaysia,39
Pakistan,39
Ecuador,38
Russia,38
China,37
Philippines,37
Bolivia,37
South Africa,34
Taiwan,32
Belarus,32
Kazakhstan,32
Australia,32
Hong Kong,31
United Arab Emirates,31
New Zealand,31
Colombia,31
United Kingdom,29
United States,28
Canada,27
Switzerland,25
Mexico,25
Peru,24
Venezuela,24
Ukraine,24
Czech Republic,24
Ireland,22
Iran,21
Chile,21
Japan,21
Norway,20
Algeria,19
Germany,19
Denmark,19
Portugal,18
Italy,18
Poland,17
Belgium,17
Israel,17
Sweden,17
Netherlands,17
Spain,17
Romania,16
Egypt,14
France,14
Brazil,14
Austria,14
Finland,13
Saudi Arabia,13
Argentina,13
Morocco,12
Vietnam,11
Thailand,9
Greece,8
Indonesia,8
Turkey,7


Top cities for Electrical resistivity and conductivity
City,Electrical resistivity and conductivity
Seoul (South Korea),100
Singapore (Singapore),87
Beijing (China),64
Chennai (India),63
Bangalore (India),54
Mumbai (India),50
New Delhi (India),49
Houston (United States),46
Moscow (Russia),44
Bogotá (Colombia),39
Pune (India),38
Kuala Lumpur (Malaysia),37
Mexico City (Mexico),37
Kiev (Ukraine),35
Toronto (Canada),27



Top searches for Electrical resistivity and conductivity
conductivity,100
resistivity,100
electrical conductivity,45
resistividad,25
resistance resistivity,15
copper resistivity,10
electrical resistivity,10
удельное сопротивление,10
resistividade,10
copper conductivity,10
抵抗率,10
resistivity of copper,10
spezifischer widerstand,10
what is resistivity,5
thermal conductivity,5
conductivity of water,5
electric conductivity,5
resistividad electrica,5
metal conductivity,5
résistivité,5
resistance and resistivity,5
resistività,5
电阻率,5
conductivity of metals,5
conductivity of copper,5
water resistivity,5
specific resistance,5
aluminum conductivity,5
steel conductivity,5
resistivity formula,5
resistividad cobre,5
conductividad,5
conductive epoxy,5
resistivity equation,5
resistivity meter,5
resistencia electrica,5
soil conductivity,5
silver conductivity,0
resistivity unit,0
gold conductivity,0
que es resistividad,0
aluminum resistivity,0
resistivité,0
resistencia y resistividad,0
electrical conduction,0
resistivity units,0
resistivity definition,0
resistividad del cobre,0
resistivity of water,0
volume resistivity,0



Rising searches for Electrical resistivity and conductivity
удельное сопротивление,+1,450%
what is resistivity,+300%
resistividade,+170%
conductivity of water,+140%
resistivity of copper,+110%
resistance resistivity,+70%
resistividad,+70%
copper conductivity,+50%
conductivity,+40%
copper resistivity,+40%



