Web Search interest: temporal+logic+of+actions
Worldwide 2004 - present

Interest over time
Week,temporal+logic+of+actions
2011-10-30 - 2011-11-05,67
2011-11-06 - 2011-11-12,67
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,63
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,68
2011-12-11 - 2011-12-17,65
2011-12-18 - 2011-12-24,59
2011-12-25 - 2011-12-31,58
2012-01-01 - 2012-01-07,64
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,65
2012-01-22 - 2012-01-28,66
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,65
2012-02-12 - 2012-02-18,67
2012-02-19 - 2012-02-25,67
2012-02-26 - 2012-03-03,67
2012-03-04 - 2012-03-10,65
2012-03-11 - 2012-03-17,64
2012-03-18 - 2012-03-24,65
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,65
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,66
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,66
2012-05-20 - 2012-05-26,64
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,64
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,64
2012-07-01 - 2012-07-07,63
2012-07-08 - 2012-07-14,63
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,64
2012-07-29 - 2012-08-04,62
2012-08-05 - 2012-08-11,62
2012-08-12 - 2012-08-18,64
2012-08-19 - 2012-08-25,64
2012-08-26 - 2012-09-01,65
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,69
2012-09-16 - 2012-09-22,70
2012-09-23 - 2012-09-29,70
2012-09-30 - 2012-10-06,68
2012-10-07 - 2012-10-13,67
2012-10-14 - 2012-10-20,68
2012-10-21 - 2012-10-27,67
2012-10-28 - 2012-11-03,66
2012-11-04 - 2012-11-10,66
2012-11-11 - 2012-11-17,66
2012-11-18 - 2012-11-24,63
2012-11-25 - 2012-12-01,67
2012-12-02 - 2012-12-08,67
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,64
2012-12-23 - 2012-12-29,58
2012-12-30 - 2013-01-05,63
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,65
2013-01-20 - 2013-01-26,65
2013-01-27 - 2013-02-02,67
2013-02-03 - 2013-02-09,67
2013-02-10 - 2013-02-16,67
2013-02-17 - 2013-02-23,66
2013-02-24 - 2013-03-02,68
2013-03-03 - 2013-03-09,68
2013-03-10 - 2013-03-16,67
2013-03-17 - 2013-03-23,68
2013-03-24 - 2013-03-30,66
2013-03-31 - 2013-04-06,66
2013-04-07 - 2013-04-13,67
2013-04-14 - 2013-04-20,67
2013-04-21 - 2013-04-27,68
2013-04-28 - 2013-05-04,68
2013-05-05 - 2013-05-11,66
2013-05-12 - 2013-05-18,65
2013-05-19 - 2013-05-25,63
2013-05-26 - 2013-06-01,63
2013-06-02 - 2013-06-08,65
2013-06-09 - 2013-06-15,66
2013-06-16 - 2013-06-22,65
2013-06-23 - 2013-06-29,64
2013-06-30 - 2013-07-06,63
2013-07-07 - 2013-07-13,62
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,63
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,62
2013-08-18 - 2013-08-24,63
2013-08-25 - 2013-08-31,63
2013-09-01 - 2013-09-07,65
2013-09-08 - 2013-09-14,67
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,67
2013-09-29 - 2013-10-05,67
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,67
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,67
2013-11-03 - 2013-11-09,68
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,68
2013-11-24 - 2013-11-30,62
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,62
2013-12-22 - 2013-12-28,59
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,66
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,66
2014-01-26 - 2014-02-01,68
2014-02-02 - 2014-02-08,67
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,68
2014-02-23 - 2014-03-01,70
2014-03-02 - 2014-03-08,71
2014-03-09 - 2014-03-15,68
2014-03-16 - 2014-03-22,68
2014-03-23 - 2014-03-29,68
2014-03-30 - 2014-04-05,67
2014-04-06 - 2014-04-12,70
2014-04-13 - 2014-04-19,70
2014-04-20 - 2014-04-26,68
2014-04-27 - 2014-05-03,70
2014-05-04 - 2014-05-10,68
2014-05-11 - 2014-05-17,69
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,67
2014-06-01 - 2014-06-07,68
2014-06-08 - 2014-06-14,66
2014-06-15 - 2014-06-21,65
2014-06-22 - 2014-06-28,65
2014-06-29 - 2014-07-05,65
2014-07-06 - 2014-07-12,63
2014-07-13 - 2014-07-19,64
2014-07-20 - 2014-07-26,66
2014-07-27 - 2014-08-02,66
2014-08-03 - 2014-08-09,66
2014-08-10 - 2014-08-16,65
2014-08-17 - 2014-08-23,67
2014-08-24 - 2014-08-30,66
2014-08-31 - 2014-09-06,67
2014-09-07 - 2014-09-13,70
2014-09-14 - 2014-09-20,70
2014-09-21 - 2014-09-27,70
2014-09-28 - 2014-10-04,70
2014-10-05 - 2014-10-11,69
2014-10-12 - 2014-10-18,70
2014-10-19 - 2014-10-25,69
2014-10-26 - 2014-11-01,70
2014-11-02 - 2014-11-08,72
2014-11-09 - 2014-11-15,70
2014-11-16 - 2014-11-22,70
2014-11-23 - 2014-11-29,65
2014-11-30 - 2014-12-06,69
2014-12-07 - 2014-12-13,70
2014-12-14 - 2014-12-20,65
2014-12-21 - 2014-12-27,60
2014-12-28 - 2015-01-03,63
2015-01-04 - 2015-01-10,67
2015-01-11 - 2015-01-17,69
2015-01-18 - 2015-01-24,67
2015-01-25 - 2015-01-31,69
2015-02-01 - 2015-02-07,69
2015-02-08 - 2015-02-14,72
2015-02-15 - 2015-02-21,71
2015-02-22 - 2015-02-28,72
2015-03-01 - 2015-03-07,70
2015-03-08 - 2015-03-14,69
2015-03-15 - 2015-03-21,69
2015-03-22 - 2015-03-28,68
2015-03-29 - 2015-04-04,68
2015-04-05 - 2015-04-11,68
2015-04-12 - 2015-04-18,70
2015-04-19 - 2015-04-25,70
2015-04-26 - 2015-05-02,71
2015-05-03 - 2015-05-09,68
2015-05-10 - 2015-05-16,69
2015-05-17 - 2015-05-23,68
2015-05-24 - 2015-05-30,66
2015-05-31 - 2015-06-06,68
2015-06-07 - 2015-06-13,66
2015-06-14 - 2015-06-20,68
2015-06-21 - 2015-06-27,64
2015-06-28 - 2015-07-04,65
2015-07-05 - 2015-07-11,64
2015-07-12 - 2015-07-18,64
2015-07-19 - 2015-07-25,63
2015-07-26 - 2015-08-01,62
2015-08-02 - 2015-08-08,64
2015-08-09 - 2015-08-15,63
2015-08-16 - 2015-08-22,64
2015-08-23 - 2015-08-29,65
2015-08-30 - 2015-09-05,66
2015-09-06 - 2015-09-12,67
2015-09-13 - 2015-09-19,69
2015-09-20 - 2015-09-26,68
2015-09-27 - 2015-10-03,68
2015-10-04 - 2015-10-10,68
2015-10-11 - 2015-10-17,68
2015-10-18 - 2015-10-24,68
2015-10-25 - 2015-10-31,68
2015-11-01 - 2015-11-07,69
2015-11-08 - 2015-11-14,67
2015-11-15 - 2015-11-21,68
2015-11-22 - 2015-11-28,62
2015-11-29 - 2015-12-05,67
2015-12-06 - 2015-12-12,69
2015-12-13 - 2015-12-19,65
2015-12-20 - 2015-12-26,60
2015-12-27 - 2016-01-02,62
2016-01-03 - 2016-01-09,68
2016-01-10 - 2016-01-16,67
2016-01-17 - 2016-01-23,68
2016-01-24 - 2016-01-30,69
2016-01-31 - 2016-02-06,69
2016-02-07 - 2016-02-13,68
2016-02-14 - 2016-02-20,67
2016-02-21 - 2016-02-27,68
2016-02-28 - 2016-03-05,69
2016-03-06 - 2016-03-12,68
2016-03-13 - 2016-03-19,67
2016-03-20 - 2016-03-26,66
2016-03-27 - 2016-04-02,67
2016-04-03 - 2016-04-09,68
2016-04-10 - 2016-04-16,68
2016-04-17 - 2016-04-23,69
2016-04-24 - 2016-04-30,70
2016-05-01 - 2016-05-07,69
2016-05-08 - 2016-05-14,68
2016-05-15 - 2016-05-21,68
2016-05-22 - 2016-05-28,68
2016-05-29 - 2016-06-04,65
2016-06-05 - 2016-06-11,65
2016-06-12 - 2016-06-18,64
2016-06-19 - 2016-06-25,66
2016-06-26 - 2016-07-02,64


Top regions for temporal+logic+of+actions
Region,temporal+logic+of+actions
Nigeria,100
Nepal,92
Ghana,92
Philippines,75
Kenya,74
Jamaica,73
India,55
Pakistan,53
South Africa,52
Bangladesh,48
United States,47
Australia,39
Singapore,39
Canada,38
Ireland,37
New Zealand,37
Sri Lanka,34
United Kingdom,34
United Arab Emirates,32
Bolivia,23
Malaysia,22
Hong Kong,19
Norway,13
Netherlands,11
Sweden,11
Greece,10
Denmark,10
Czech Republic,9
South Korea,9
Finland,9
Belgium,9
Saudi Arabia,9
Serbia,8
Egypt,8
Iran,8
Indonesia,8
Israel,8
Romania,8
Switzerland,8
Portugal,8
Hungary,7
Austria,7
Germany,7
Thailand,6
Poland,6
Chile,6
Mexico,5
France,5
Italy,5
Spain,5
Taiwan,5
Argentina,4
China,4
Brazil,4
Russia,4
Colombia,4
Ukraine,4
Turkey,4
Vietnam,4
Japan,2


Top cities for temporal+logic+of+actions
City,temporal+logic+of+actions
Lagos (Nigeria),100
Manila (Philippines),82
Makati City (Philippines),77
Quezon City (Philippines),74
Howrah (India),69
New Delhi (India),61
Mumbai (India),56
Bangalore (India),54
Washington (United States),50
Philadelphia (United States),49
Phoenix (United States),49
Chennai (India),48
Atlanta (United States),47
Pune (India),47
Hyderabad (India),47



Top searches for temporal+logic+of+actions
bank of america,100
definition,95
google,90
game of thrones,70
youtube,60
call of duty,55
league of legends,40
clash of clans,35
times of india,25
yahoo,25
weather,25
plenty of fish,25
world of warcraft,25
maps,20
amazon,20
wikipedia,20
gmail,15
god of war,15
sons of anarchy,15
dictionary,15
translate,15
ebay,10
secretary of state,10
world of tanks,10
craigslist,10
twitter,10
house of fraser,10
bank of scotland,10
house of cards,10
you tube,10
gears of war,10
prince of persia,10
fb,10
medal of honor,5
yahoo mail,5
google maps,5
facebook login,5
google translate,5
man of steel,5
chase,5
university of phoenix,5
kings of leon,5
legend of korra,5
person of interest,5
agents of shield,5
games of thrones,5
map of usa,5
forge of empires,5
mapquest,5
wheel of fortune,5



Rising searches for temporal+logic+of+actions
clash of clans,Breakout
game of thrones,Breakout
league of legends,Breakout
plenty of fish,Breakout
youtube,Breakout
wikipedia,+1,500%
google,+900%
times of india,+350%
bank of america,+170%
amazon,+140%



