Web Search interest: heart failure
Worldwide 2004 - present

Interest over time
Week,heart failure
2006-03-12 - 2006-03-18,77
2006-03-19 - 2006-03-25,73
2006-03-26 - 2006-04-01,77
2006-04-02 - 2006-04-08,77
2006-04-09 - 2006-04-15,78
2006-04-16 - 2006-04-22,77
2006-04-23 - 2006-04-29,73
2006-04-30 - 2006-05-06,75
2006-05-07 - 2006-05-13,71
2006-05-14 - 2006-05-20,65
2006-05-21 - 2006-05-27,69
2006-05-28 - 2006-06-03,66
2006-06-04 - 2006-06-10,65
2006-06-11 - 2006-06-17,67
2006-06-18 - 2006-06-24,65
2006-06-25 - 2006-07-01,65
2006-07-02 - 2006-07-08,62
2006-07-09 - 2006-07-15,63
2006-07-16 - 2006-07-22,63
2006-07-23 - 2006-07-29,70
2006-07-30 - 2006-08-05,59
2006-08-06 - 2006-08-12,58
2006-08-13 - 2006-08-19,64
2006-08-20 - 2006-08-26,63
2006-08-27 - 2006-09-02,58
2006-09-03 - 2006-09-09,62
2006-09-10 - 2006-09-16,66
2006-09-17 - 2006-09-23,69
2006-09-24 - 2006-09-30,69
2006-10-01 - 2006-10-07,73
2006-10-08 - 2006-10-14,63
2006-10-15 - 2006-10-21,71
2006-10-22 - 2006-10-28,69
2006-10-29 - 2006-11-04,72
2006-11-05 - 2006-11-11,66
2006-11-12 - 2006-11-18,65
2006-11-19 - 2006-11-25,56
2006-11-26 - 2006-12-02,64
2006-12-03 - 2006-12-09,59
2006-12-10 - 2006-12-16,56
2006-12-17 - 2006-12-23,54
2006-12-24 - 2006-12-30,63
2006-12-31 - 2007-01-06,69
2007-01-07 - 2007-01-13,62
2007-01-14 - 2007-01-20,59
2007-01-21 - 2007-01-27,69
2007-01-28 - 2007-02-03,71
2007-02-04 - 2007-02-10,68
2007-02-11 - 2007-02-17,64
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,69
2007-03-04 - 2007-03-10,67
2007-03-11 - 2007-03-17,63
2007-03-18 - 2007-03-24,67
2007-03-25 - 2007-03-31,67
2007-04-01 - 2007-04-07,66
2007-04-08 - 2007-04-14,67
2007-04-15 - 2007-04-21,64
2007-04-22 - 2007-04-28,64
2007-04-29 - 2007-05-05,63
2007-05-06 - 2007-05-12,64
2007-05-13 - 2007-05-19,61
2007-05-20 - 2007-05-26,60
2007-05-27 - 2007-06-02,59
2007-06-03 - 2007-06-09,61
2007-06-10 - 2007-06-16,56
2007-06-17 - 2007-06-23,61
2007-06-24 - 2007-06-30,56
2007-07-01 - 2007-07-07,54
2007-07-08 - 2007-07-14,59
2007-07-15 - 2007-07-21,59
2007-07-22 - 2007-07-28,58
2007-07-29 - 2007-08-04,55
2007-08-05 - 2007-08-11,61
2007-08-12 - 2007-08-18,55
2007-08-19 - 2007-08-25,54
2007-08-26 - 2007-09-01,56
2007-09-02 - 2007-09-08,51
2007-09-09 - 2007-09-15,61
2007-09-16 - 2007-09-22,59
2007-09-23 - 2007-09-29,64
2007-09-30 - 2007-10-06,64
2007-10-07 - 2007-10-13,60
2007-10-14 - 2007-10-20,63
2007-10-21 - 2007-10-27,60
2007-10-28 - 2007-11-03,63
2007-11-04 - 2007-11-10,63
2007-11-11 - 2007-11-17,60
2007-11-18 - 2007-11-24,57
2007-11-25 - 2007-12-01,64
2007-12-02 - 2007-12-08,63
2007-12-09 - 2007-12-15,56
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,45
2007-12-30 - 2008-01-05,57
2008-01-06 - 2008-01-12,60
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,60
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,67
2008-02-10 - 2008-02-16,64
2008-02-17 - 2008-02-23,64
2008-02-24 - 2008-03-01,67
2008-03-02 - 2008-03-08,64
2008-03-09 - 2008-03-15,63
2008-03-16 - 2008-03-22,59
2008-03-23 - 2008-03-29,62
2008-03-30 - 2008-04-05,62
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,60
2008-04-20 - 2008-04-26,62
2008-04-27 - 2008-05-03,64
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,58
2008-05-18 - 2008-05-24,55
2008-05-25 - 2008-05-31,54
2008-06-01 - 2008-06-07,63
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,50
2008-06-22 - 2008-06-28,60
2008-06-29 - 2008-07-05,52
2008-07-06 - 2008-07-12,55
2008-07-13 - 2008-07-19,56
2008-07-20 - 2008-07-26,56
2008-07-27 - 2008-08-02,53
2008-08-03 - 2008-08-09,53
2008-08-10 - 2008-08-16,53
2008-08-17 - 2008-08-23,47
2008-08-24 - 2008-08-30,52
2008-08-31 - 2008-09-06,51
2008-09-07 - 2008-09-13,56
2008-09-14 - 2008-09-20,56
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,63
2008-10-05 - 2008-10-11,57
2008-10-12 - 2008-10-18,57
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,58
2008-11-02 - 2008-11-08,58
2008-11-09 - 2008-11-15,61
2008-11-16 - 2008-11-22,58
2008-11-23 - 2008-11-29,49
2008-11-30 - 2008-12-06,56
2008-12-07 - 2008-12-13,51
2008-12-14 - 2008-12-20,51
2008-12-21 - 2008-12-27,38
2008-12-28 - 2009-01-03,50
2009-01-04 - 2009-01-10,54
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,57
2009-02-01 - 2009-02-07,60
2009-02-08 - 2009-02-14,62
2009-02-15 - 2009-02-21,64
2009-02-22 - 2009-02-28,63
2009-03-01 - 2009-03-07,61
2009-03-08 - 2009-03-14,62
2009-03-15 - 2009-03-21,60
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,64
2009-04-05 - 2009-04-11,63
2009-04-12 - 2009-04-18,63
2009-04-19 - 2009-04-25,62
2009-04-26 - 2009-05-02,61
2009-05-03 - 2009-05-09,57
2009-05-10 - 2009-05-16,55
2009-05-17 - 2009-05-23,55
2009-05-24 - 2009-05-30,52
2009-05-31 - 2009-06-06,52
2009-06-07 - 2009-06-13,53
2009-06-14 - 2009-06-20,50
2009-06-21 - 2009-06-27,51
2009-06-28 - 2009-07-04,47
2009-07-05 - 2009-07-11,51
2009-07-12 - 2009-07-18,53
2009-07-19 - 2009-07-25,53
2009-07-26 - 2009-08-01,52
2009-08-02 - 2009-08-08,51
2009-08-09 - 2009-08-15,50
2009-08-16 - 2009-08-22,50
2009-08-23 - 2009-08-29,49
2009-08-30 - 2009-09-05,48
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,55
2009-09-20 - 2009-09-26,56
2009-09-27 - 2009-10-03,53
2009-10-04 - 2009-10-10,58
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,56
2009-10-25 - 2009-10-31,59
2009-11-01 - 2009-11-07,57
2009-11-08 - 2009-11-14,56
2009-11-15 - 2009-11-21,58
2009-11-22 - 2009-11-28,48
2009-11-29 - 2009-12-05,58
2009-12-06 - 2009-12-12,53
2009-12-13 - 2009-12-19,48
2009-12-20 - 2009-12-26,40
2009-12-27 - 2010-01-02,43
2010-01-03 - 2010-01-09,51
2010-01-10 - 2010-01-16,53
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,59
2010-01-31 - 2010-02-06,58
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,60
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,60
2010-03-21 - 2010-03-27,59
2010-03-28 - 2010-04-03,59
2010-04-04 - 2010-04-10,58
2010-04-11 - 2010-04-17,59
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,58
2010-05-02 - 2010-05-08,56
2010-05-09 - 2010-05-15,54
2010-05-16 - 2010-05-22,52
2010-05-23 - 2010-05-29,54
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,51
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,46
2010-07-11 - 2010-07-17,56
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,50
2010-08-01 - 2010-08-07,51
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,50
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,52
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,54
2010-09-19 - 2010-09-25,55
2010-09-26 - 2010-10-02,55
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,56
2010-10-24 - 2010-10-30,59
2010-10-31 - 2010-11-06,56
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,46
2010-11-28 - 2010-12-04,54
2010-12-05 - 2010-12-11,50
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,44
2011-01-02 - 2011-01-08,53
2011-01-09 - 2011-01-15,51
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,53
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,66
2011-02-13 - 2011-02-19,68
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,59
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,98
2011-03-27 - 2011-04-02,70
2011-04-03 - 2011-04-09,63
2011-04-10 - 2011-04-16,61
2011-04-17 - 2011-04-23,59
2011-04-24 - 2011-04-30,59
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,52
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,51
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,49
2011-07-10 - 2011-07-16,53
2011-07-17 - 2011-07-23,51
2011-07-24 - 2011-07-30,47
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,49
2011-08-14 - 2011-08-20,48
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,48
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,54
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,56
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,56
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,48
2011-12-18 - 2011-12-24,41
2011-12-25 - 2011-12-31,43
2012-01-01 - 2012-01-07,48
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,55
2012-01-29 - 2012-02-04,55
2012-02-05 - 2012-02-11,58
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,59
2012-03-04 - 2012-03-10,61
2012-03-11 - 2012-03-17,56
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,55
2012-04-15 - 2012-04-21,58
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,57
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,52
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,51
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,50
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,51
2012-09-02 - 2012-09-08,51
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,57
2012-09-23 - 2012-09-29,60
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,57
2012-10-14 - 2012-10-20,59
2012-10-21 - 2012-10-27,59
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,57
2012-11-18 - 2012-11-24,51
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,53
2012-12-16 - 2012-12-22,45
2012-12-23 - 2012-12-29,40
2012-12-30 - 2013-01-05,47
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,53
2013-01-27 - 2013-02-02,60
2013-02-03 - 2013-02-09,59
2013-02-10 - 2013-02-16,59
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,58
2013-03-03 - 2013-03-09,62
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,61
2013-03-24 - 2013-03-30,58
2013-03-31 - 2013-04-06,58
2013-04-07 - 2013-04-13,60
2013-04-14 - 2013-04-20,60
2013-04-21 - 2013-04-27,60
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,55
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,55
2013-06-09 - 2013-06-15,52
2013-06-16 - 2013-06-22,54
2013-06-23 - 2013-06-29,50
2013-06-30 - 2013-07-06,48
2013-07-07 - 2013-07-13,59
2013-07-14 - 2013-07-20,53
2013-07-21 - 2013-07-27,53
2013-07-28 - 2013-08-03,52
2013-08-04 - 2013-08-10,51
2013-08-11 - 2013-08-17,50
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,54
2013-09-22 - 2013-09-28,57
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,59
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,58
2013-10-27 - 2013-11-02,58
2013-11-03 - 2013-11-09,57
2013-11-10 - 2013-11-16,56
2013-11-17 - 2013-11-23,58
2013-11-24 - 2013-11-30,48
2013-12-01 - 2013-12-07,54
2013-12-08 - 2013-12-14,53
2013-12-15 - 2013-12-21,47
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,53
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,56
2014-01-26 - 2014-02-01,57
2014-02-02 - 2014-02-08,58
2014-02-09 - 2014-02-15,59
2014-02-16 - 2014-02-22,61
2014-02-23 - 2014-03-01,62
2014-03-02 - 2014-03-08,61
2014-03-09 - 2014-03-15,63
2014-03-16 - 2014-03-22,61
2014-03-23 - 2014-03-29,61
2014-03-30 - 2014-04-05,62
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,62
2014-04-20 - 2014-04-26,63
2014-04-27 - 2014-05-03,61
2014-05-04 - 2014-05-10,59
2014-05-11 - 2014-05-17,57
2014-05-18 - 2014-05-24,56
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,50
2014-07-06 - 2014-07-12,53
2014-07-13 - 2014-07-19,52
2014-07-20 - 2014-07-26,52
2014-07-27 - 2014-08-02,50
2014-08-03 - 2014-08-09,50
2014-08-10 - 2014-08-16,51
2014-08-17 - 2014-08-23,52
2014-08-24 - 2014-08-30,53
2014-08-31 - 2014-09-06,64
2014-09-07 - 2014-09-13,57
2014-09-14 - 2014-09-20,58
2014-09-21 - 2014-09-27,63
2014-09-28 - 2014-10-04,61
2014-10-05 - 2014-10-11,61
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,60
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,59
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,59
2014-11-23 - 2014-11-29,52
2014-11-30 - 2014-12-06,56
2014-12-07 - 2014-12-13,58
2014-12-14 - 2014-12-20,52
2014-12-21 - 2014-12-27,45
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,56
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,60
2015-02-01 - 2015-02-07,62
2015-02-08 - 2015-02-14,66
2015-02-15 - 2015-02-21,63
2015-02-22 - 2015-02-28,71
2015-03-01 - 2015-03-07,67
2015-03-08 - 2015-03-14,68
2015-03-15 - 2015-03-21,64
2015-03-22 - 2015-03-28,64
2015-03-29 - 2015-04-04,62
2015-04-05 - 2015-04-11,64
2015-04-12 - 2015-04-18,64
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,64
2015-05-03 - 2015-05-09,63
2015-05-10 - 2015-05-16,59
2015-05-17 - 2015-05-23,58
2015-05-24 - 2015-05-30,57
2015-05-31 - 2015-06-06,59
2015-06-07 - 2015-06-13,59
2015-06-14 - 2015-06-20,57
2015-06-21 - 2015-06-27,57
2015-06-28 - 2015-07-04,53
2015-07-05 - 2015-07-11,59
2015-07-12 - 2015-07-18,56
2015-07-19 - 2015-07-25,57
2015-07-26 - 2015-08-01,55
2015-08-02 - 2015-08-08,54
2015-08-09 - 2015-08-15,55
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,55
2015-08-30 - 2015-09-05,57
2015-09-06 - 2015-09-12,57
2015-09-13 - 2015-09-19,61
2015-09-20 - 2015-09-26,62
2015-09-27 - 2015-10-03,62
2015-10-04 - 2015-10-10,66
2015-10-11 - 2015-10-17,65
2015-10-18 - 2015-10-24,66
2015-10-25 - 2015-10-31,65
2015-11-01 - 2015-11-07,66
2015-11-08 - 2015-11-14,65
2015-11-15 - 2015-11-21,62
2015-11-22 - 2015-11-28,54
2015-11-29 - 2015-12-05,60
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,59
2015-12-20 - 2015-12-26,49
2015-12-27 - 2016-01-02,63
2016-01-03 - 2016-01-09,63
2016-01-10 - 2016-01-16,64
2016-01-17 - 2016-01-23,65
2016-01-24 - 2016-01-30,68
2016-01-31 - 2016-02-06,70
2016-02-07 - 2016-02-13,68
2016-02-14 - 2016-02-20,70
2016-02-21 - 2016-02-27,72
2016-02-28 - 2016-03-05,72
2016-03-06 - 2016-03-12,88
2016-03-13 - 2016-03-19,72
2016-03-20 - 2016-03-26,69
2016-03-27 - 2016-04-02,70
2016-04-03 - 2016-04-09,74
2016-04-10 - 2016-04-16,71
2016-04-17 - 2016-04-23,70
2016-04-24 - 2016-04-30,69
2016-05-01 - 2016-05-07,66
2016-05-08 - 2016-05-14,65
2016-05-15 - 2016-05-21,67
2016-05-22 - 2016-05-28,66
2016-05-29 - 2016-06-04,64
2016-06-05 - 2016-06-11,76
2016-06-12 - 2016-06-18,64
2016-06-19 - 2016-06-25,61
2016-06-26 - 2016-07-02,60
2016-07-03 - 2016-07-09, 


Top regions for heart failure
Region,heart failure
Ethiopia,100
United States,68
Ghana,58
Philippines,46
New Zealand,45
Kenya,44
Nigeria,43
Canada,42
Australia,39
United Kingdom,37
South Africa,36
Ireland,35
Singapore,32
Sri Lanka,29
Malaysia,27
Jordan,24
Hong Kong,18
India,18
Pakistan,18
United Arab Emirates,16
Egypt,15
Saudi Arabia,15
South Korea,15
Taiwan,14
Thailand,13
Israel,9
Indonesia,8
Portugal,7
Norway,7
Greece,7
Switzerland,6
Iran,5
Sweden,5
Netherlands,5
China,4
Belgium,4
Romania,4
Italy,3
Colombia,3
Germany,2
Spain,2
Mexico,2
Poland,2
Japan,2
Russia,1
Brazil,1
France,1
Turkey,1


Top cities for heart failure
City,heart failure
Philadelphia (United States),100
Boston (United States),91
Minneapolis (United States),85
Phoenix (United States),77
Dallas (United States),74
Chicago (United States),74
Atlanta (United States),73
San Antonio (United States),72
Houston (United States),72
San Diego (United States),65
Washington (United States),65
Seattle (United States),63
Denver (United States),62
San Francisco (United States),57
New York (United States),57



Top searches for heart failure
congestive heart failure,100
symptoms heart failure,25
heart disease,10
right heart failure,10
heart failure treatment,10
left heart failure,10
chronic heart failure,5
heart failure causes,5
cardiac heart failure,5
acute heart failure,5
heart failure guidelines,5
chf,5
diastolic heart failure,5
kidney failure,5
systolic heart failure,5
heart failure definition,5
heart failure stages,5
renal failure,5
heart failure prognosis,5
dog heart failure,5
coronary heart failure,5
heart failure management,5
congenital,5
congenital heart failure,5
pathophysiology,0
heart failure pathophysiology,0
cardiomyopathy,0
liver failure,0
decompensated heart failure,0
bnp heart failure,0
ejection fraction,0
congestive cardiac failure,0
heart failure clinic,0
heart problems,0
myocardial infarction,0
heart failure classification,0
coronary heart disease,0
atrial fibrillation,0
left ventricular failure,0
respiratory failure,0
pulmonary edema,0
digoxin,0
congested heart failure,0
conjestive heart failure,0
congestion heart failure,0
beta blockers,0
nyha heart failure,0
heart failure medications,0
heart failure society,0
nice heart failure,0



Rising searches for heart failure
systolic heart failure,+300%
left heart failure,+170%
diastolic heart failure,+150%
right heart failure,+150%
acute heart failure,+140%
heart failure causes,+140%
symptoms heart failure,+110%
heart failure guidelines,+90%
kidney failure,+80%
chronic heart failure,+70%



