Web Search interest: lymph node
Worldwide 2004 - present

Interest over time
Week,lymph node
2007-07-08 - 2007-07-14,72
2007-07-15 - 2007-07-21,90
2007-07-22 - 2007-07-28,80
2007-07-29 - 2007-08-04,80
2007-08-05 - 2007-08-11,80
2007-08-12 - 2007-08-18,71
2007-08-19 - 2007-08-25,81
2007-08-26 - 2007-09-01,71
2007-09-02 - 2007-09-08,68
2007-09-09 - 2007-09-15,81
2007-09-16 - 2007-09-22,76
2007-09-23 - 2007-09-29,72
2007-09-30 - 2007-10-06,77
2007-10-07 - 2007-10-13,80
2007-10-14 - 2007-10-20,81
2007-10-21 - 2007-10-27,84
2007-10-28 - 2007-11-03,76
2007-11-04 - 2007-11-10,72
2007-11-11 - 2007-11-17,74
2007-11-18 - 2007-11-24,69
2007-11-25 - 2007-12-01,80
2007-12-02 - 2007-12-08,82
2007-12-09 - 2007-12-15,72
2007-12-16 - 2007-12-22,71
2007-12-23 - 2007-12-29,51
2007-12-30 - 2008-01-05,67
2008-01-06 - 2008-01-12,69
2008-01-13 - 2008-01-19,70
2008-01-20 - 2008-01-26,78
2008-01-27 - 2008-02-02,74
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,82
2008-02-17 - 2008-02-23,79
2008-02-24 - 2008-03-01,77
2008-03-02 - 2008-03-08,75
2008-03-09 - 2008-03-15,77
2008-03-16 - 2008-03-22,72
2008-03-23 - 2008-03-29,74
2008-03-30 - 2008-04-05,82
2008-04-06 - 2008-04-12,82
2008-04-13 - 2008-04-19,85
2008-04-20 - 2008-04-26,80
2008-04-27 - 2008-05-03,87
2008-05-04 - 2008-05-10,88
2008-05-11 - 2008-05-17,87
2008-05-18 - 2008-05-24,82
2008-05-25 - 2008-05-31,84
2008-06-01 - 2008-06-07,85
2008-06-08 - 2008-06-14,75
2008-06-15 - 2008-06-21,81
2008-06-22 - 2008-06-28,76
2008-06-29 - 2008-07-05,68
2008-07-06 - 2008-07-12,74
2008-07-13 - 2008-07-19,85
2008-07-20 - 2008-07-26,81
2008-07-27 - 2008-08-02,77
2008-08-03 - 2008-08-09,71
2008-08-10 - 2008-08-16,75
2008-08-17 - 2008-08-23,77
2008-08-24 - 2008-08-30,74
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,75
2008-09-14 - 2008-09-20,70
2008-09-21 - 2008-09-27,75
2008-09-28 - 2008-10-04,80
2008-10-05 - 2008-10-11,80
2008-10-12 - 2008-10-18,67
2008-10-19 - 2008-10-25,77
2008-10-26 - 2008-11-01,74
2008-11-02 - 2008-11-08,74
2008-11-09 - 2008-11-15,74
2008-11-16 - 2008-11-22,77
2008-11-23 - 2008-11-29,58
2008-11-30 - 2008-12-06,71
2008-12-07 - 2008-12-13,70
2008-12-14 - 2008-12-20,70
2008-12-21 - 2008-12-27,55
2008-12-28 - 2009-01-03,60
2009-01-04 - 2009-01-10,71
2009-01-11 - 2009-01-17,73
2009-01-18 - 2009-01-24,66
2009-01-25 - 2009-01-31,69
2009-02-01 - 2009-02-07,70
2009-02-08 - 2009-02-14,72
2009-02-15 - 2009-02-21,72
2009-02-22 - 2009-02-28,80
2009-03-01 - 2009-03-07,72
2009-03-08 - 2009-03-14,79
2009-03-15 - 2009-03-21,79
2009-03-22 - 2009-03-28,76
2009-03-29 - 2009-04-04,78
2009-04-05 - 2009-04-11,76
2009-04-12 - 2009-04-18,72
2009-04-19 - 2009-04-25,74
2009-04-26 - 2009-05-02,77
2009-05-03 - 2009-05-09,74
2009-05-10 - 2009-05-16,77
2009-05-17 - 2009-05-23,78
2009-05-24 - 2009-05-30,72
2009-05-31 - 2009-06-06,71
2009-06-07 - 2009-06-13,67
2009-06-14 - 2009-06-20,69
2009-06-21 - 2009-06-27,71
2009-06-28 - 2009-07-04,68
2009-07-05 - 2009-07-11,68
2009-07-12 - 2009-07-18,72
2009-07-19 - 2009-07-25,72
2009-07-26 - 2009-08-01,71
2009-08-02 - 2009-08-08,71
2009-08-09 - 2009-08-15,71
2009-08-16 - 2009-08-22,75
2009-08-23 - 2009-08-29,71
2009-08-30 - 2009-09-05,70
2009-09-06 - 2009-09-12,67
2009-09-13 - 2009-09-19,73
2009-09-20 - 2009-09-26,70
2009-09-27 - 2009-10-03,75
2009-10-04 - 2009-10-10,76
2009-10-11 - 2009-10-17,73
2009-10-18 - 2009-10-24,79
2009-10-25 - 2009-10-31,74
2009-11-01 - 2009-11-07,78
2009-11-08 - 2009-11-14,75
2009-11-15 - 2009-11-21,75
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,68
2009-12-06 - 2009-12-12,70
2009-12-13 - 2009-12-19,62
2009-12-20 - 2009-12-26,58
2009-12-27 - 2010-01-02,60
2010-01-03 - 2010-01-09,61
2010-01-10 - 2010-01-16,68
2010-01-17 - 2010-01-23,68
2010-01-24 - 2010-01-30,66
2010-01-31 - 2010-02-06,70
2010-02-07 - 2010-02-13,70
2010-02-14 - 2010-02-20,70
2010-02-21 - 2010-02-27,72
2010-02-28 - 2010-03-06,73
2010-03-07 - 2010-03-13,76
2010-03-14 - 2010-03-20,71
2010-03-21 - 2010-03-27,74
2010-03-28 - 2010-04-03,70
2010-04-04 - 2010-04-10,68
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,73
2010-04-25 - 2010-05-01,72
2010-05-02 - 2010-05-08,70
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,72
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,68
2010-06-06 - 2010-06-12,73
2010-06-13 - 2010-06-19,65
2010-06-20 - 2010-06-26,65
2010-06-27 - 2010-07-03,64
2010-07-04 - 2010-07-10,66
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,70
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,73
2010-08-08 - 2010-08-14,69
2010-08-15 - 2010-08-21,69
2010-08-22 - 2010-08-28,67
2010-08-29 - 2010-09-04,67
2010-09-05 - 2010-09-11,71
2010-09-12 - 2010-09-18,70
2010-09-19 - 2010-09-25,72
2010-09-26 - 2010-10-02,72
2010-10-03 - 2010-10-09,73
2010-10-10 - 2010-10-16,77
2010-10-17 - 2010-10-23,73
2010-10-24 - 2010-10-30,71
2010-10-31 - 2010-11-06,70
2010-11-07 - 2010-11-13,70
2010-11-14 - 2010-11-20,70
2010-11-21 - 2010-11-27,62
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,65
2010-12-12 - 2010-12-18,68
2010-12-19 - 2010-12-25,60
2010-12-26 - 2011-01-01,60
2011-01-02 - 2011-01-08,73
2011-01-09 - 2011-01-15,68
2011-01-16 - 2011-01-22,71
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,67
2011-02-06 - 2011-02-12,81
2011-02-13 - 2011-02-19,70
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,75
2011-03-13 - 2011-03-19,71
2011-03-20 - 2011-03-26,76
2011-03-27 - 2011-04-02,75
2011-04-03 - 2011-04-09,73
2011-04-10 - 2011-04-16,74
2011-04-17 - 2011-04-23,74
2011-04-24 - 2011-04-30,71
2011-05-01 - 2011-05-07,71
2011-05-08 - 2011-05-14,74
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,69
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,73
2011-06-12 - 2011-06-18,72
2011-06-19 - 2011-06-25,71
2011-06-26 - 2011-07-02,69
2011-07-03 - 2011-07-09,67
2011-07-10 - 2011-07-16,67
2011-07-17 - 2011-07-23,74
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,69
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,70
2011-09-18 - 2011-09-24,73
2011-09-25 - 2011-10-01,74
2011-10-02 - 2011-10-08,69
2011-10-09 - 2011-10-15,74
2011-10-16 - 2011-10-22,75
2011-10-23 - 2011-10-29,73
2011-10-30 - 2011-11-05,77
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,76
2011-11-20 - 2011-11-26,67
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,67
2012-01-15 - 2012-01-21,70
2012-01-22 - 2012-01-28,68
2012-01-29 - 2012-02-04,71
2012-02-05 - 2012-02-11,74
2012-02-12 - 2012-02-18,73
2012-02-19 - 2012-02-25,74
2012-02-26 - 2012-03-03,76
2012-03-04 - 2012-03-10,77
2012-03-11 - 2012-03-17,74
2012-03-18 - 2012-03-24,75
2012-03-25 - 2012-03-31,76
2012-04-01 - 2012-04-07,78
2012-04-08 - 2012-04-14,77
2012-04-15 - 2012-04-21,77
2012-04-22 - 2012-04-28,80
2012-04-29 - 2012-05-05,82
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,77
2012-05-20 - 2012-05-26,75
2012-05-27 - 2012-06-02,73
2012-06-03 - 2012-06-09,75
2012-06-10 - 2012-06-16,76
2012-06-17 - 2012-06-23,72
2012-06-24 - 2012-06-30,74
2012-07-01 - 2012-07-07,73
2012-07-08 - 2012-07-14,76
2012-07-15 - 2012-07-21,77
2012-07-22 - 2012-07-28,77
2012-07-29 - 2012-08-04,77
2012-08-05 - 2012-08-11,75
2012-08-12 - 2012-08-18,76
2012-08-19 - 2012-08-25,78
2012-08-26 - 2012-09-01,72
2012-09-02 - 2012-09-08,76
2012-09-09 - 2012-09-15,80
2012-09-16 - 2012-09-22,81
2012-09-23 - 2012-09-29,77
2012-09-30 - 2012-10-06,78
2012-10-07 - 2012-10-13,78
2012-10-14 - 2012-10-20,79
2012-10-21 - 2012-10-27,78
2012-10-28 - 2012-11-03,74
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,77
2012-12-02 - 2012-12-08,76
2012-12-09 - 2012-12-15,78
2012-12-16 - 2012-12-22,67
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,66
2013-01-06 - 2013-01-12,75
2013-01-13 - 2013-01-19,74
2013-01-20 - 2013-01-26,74
2013-01-27 - 2013-02-02,75
2013-02-03 - 2013-02-09,76
2013-02-10 - 2013-02-16,75
2013-02-17 - 2013-02-23,76
2013-02-24 - 2013-03-02,78
2013-03-03 - 2013-03-09,79
2013-03-10 - 2013-03-16,77
2013-03-17 - 2013-03-23,76
2013-03-24 - 2013-03-30,77
2013-03-31 - 2013-04-06,77
2013-04-07 - 2013-04-13,79
2013-04-14 - 2013-04-20,79
2013-04-21 - 2013-04-27,81
2013-04-28 - 2013-05-04,77
2013-05-05 - 2013-05-11,74
2013-05-12 - 2013-05-18,75
2013-05-19 - 2013-05-25,75
2013-05-26 - 2013-06-01,72
2013-06-02 - 2013-06-08,80
2013-06-09 - 2013-06-15,76
2013-06-16 - 2013-06-22,75
2013-06-23 - 2013-06-29,76
2013-06-30 - 2013-07-06,72
2013-07-07 - 2013-07-13,79
2013-07-14 - 2013-07-20,75
2013-07-21 - 2013-07-27,77
2013-07-28 - 2013-08-03,77
2013-08-04 - 2013-08-10,74
2013-08-11 - 2013-08-17,72
2013-08-18 - 2013-08-24,74
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,76
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,77
2013-09-29 - 2013-10-05,85
2013-10-06 - 2013-10-12,79
2013-10-13 - 2013-10-19,78
2013-10-20 - 2013-10-26,80
2013-10-27 - 2013-11-02,80
2013-11-03 - 2013-11-09,78
2013-11-10 - 2013-11-16,80
2013-11-17 - 2013-11-23,86
2013-11-24 - 2013-11-30,73
2013-12-01 - 2013-12-07,80
2013-12-08 - 2013-12-14,77
2013-12-15 - 2013-12-21,72
2013-12-22 - 2013-12-28,63
2013-12-29 - 2014-01-04,72
2014-01-05 - 2014-01-11,76
2014-01-12 - 2014-01-18,82
2014-01-19 - 2014-01-25,77
2014-01-26 - 2014-02-01,77
2014-02-02 - 2014-02-08,78
2014-02-09 - 2014-02-15,77
2014-02-16 - 2014-02-22,78
2014-02-23 - 2014-03-01,83
2014-03-02 - 2014-03-08,85
2014-03-09 - 2014-03-15,80
2014-03-16 - 2014-03-22,82
2014-03-23 - 2014-03-29,80
2014-03-30 - 2014-04-05,81
2014-04-06 - 2014-04-12,82
2014-04-13 - 2014-04-19,79
2014-04-20 - 2014-04-26,81
2014-04-27 - 2014-05-03,82
2014-05-04 - 2014-05-10,82
2014-05-11 - 2014-05-17,81
2014-05-18 - 2014-05-24,80
2014-05-25 - 2014-05-31,75
2014-06-01 - 2014-06-07,78
2014-06-08 - 2014-06-14,79
2014-06-15 - 2014-06-21,82
2014-06-22 - 2014-06-28,76
2014-06-29 - 2014-07-05,72
2014-07-06 - 2014-07-12,79
2014-07-13 - 2014-07-19,78
2014-07-20 - 2014-07-26,79
2014-07-27 - 2014-08-02,77
2014-08-03 - 2014-08-09,77
2014-08-10 - 2014-08-16,78
2014-08-17 - 2014-08-23,77
2014-08-24 - 2014-08-30,74
2014-08-31 - 2014-09-06,76
2014-09-07 - 2014-09-13,81
2014-09-14 - 2014-09-20,83
2014-09-21 - 2014-09-27,84
2014-09-28 - 2014-10-04,85
2014-10-05 - 2014-10-11,86
2014-10-12 - 2014-10-18,84
2014-10-19 - 2014-10-25,85
2014-10-26 - 2014-11-01,82
2014-11-02 - 2014-11-08,85
2014-11-09 - 2014-11-15,82
2014-11-16 - 2014-11-22,83
2014-11-23 - 2014-11-29,70
2014-11-30 - 2014-12-06,82
2014-12-07 - 2014-12-13,83
2014-12-14 - 2014-12-20,72
2014-12-21 - 2014-12-27,65
2014-12-28 - 2015-01-03,70
2015-01-04 - 2015-01-10,76
2015-01-11 - 2015-01-17,78
2015-01-18 - 2015-01-24,78
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,79
2015-02-08 - 2015-02-14,80
2015-02-15 - 2015-02-21,83
2015-02-22 - 2015-02-28,91
2015-03-01 - 2015-03-07,83
2015-03-08 - 2015-03-14,89
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,86
2015-03-29 - 2015-04-04,85
2015-04-05 - 2015-04-11,87
2015-04-12 - 2015-04-18,83
2015-04-19 - 2015-04-25,85
2015-04-26 - 2015-05-02,82
2015-05-03 - 2015-05-09,80
2015-05-10 - 2015-05-16,83
2015-05-17 - 2015-05-23,83
2015-05-24 - 2015-05-30,80
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,80
2015-06-14 - 2015-06-20,82
2015-06-21 - 2015-06-27,86
2015-06-28 - 2015-07-04,81
2015-07-05 - 2015-07-11,86
2015-07-12 - 2015-07-18,84
2015-07-19 - 2015-07-25,88
2015-07-26 - 2015-08-01,85
2015-08-02 - 2015-08-08,83
2015-08-09 - 2015-08-15,84
2015-08-16 - 2015-08-22,86
2015-08-23 - 2015-08-29,82
2015-08-30 - 2015-09-05,84
2015-09-06 - 2015-09-12,82
2015-09-13 - 2015-09-19,85
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,85
2015-10-04 - 2015-10-10,83
2015-10-11 - 2015-10-17,88
2015-10-18 - 2015-10-24,89
2015-10-25 - 2015-10-31,88
2015-11-01 - 2015-11-07,91
2015-11-08 - 2015-11-14,89
2015-11-15 - 2015-11-21,88
2015-11-22 - 2015-11-28,82
2015-11-29 - 2015-12-05,90
2015-12-06 - 2015-12-12,93
2015-12-13 - 2015-12-19,89
2015-12-20 - 2015-12-26,79
2015-12-27 - 2016-01-02,81
2016-01-03 - 2016-01-09,89
2016-01-10 - 2016-01-16,89
2016-01-17 - 2016-01-23,91
2016-01-24 - 2016-01-30,87
2016-01-31 - 2016-02-06,89
2016-02-07 - 2016-02-13,85
2016-02-14 - 2016-02-20,88
2016-02-21 - 2016-02-27,89
2016-02-28 - 2016-03-05,90
2016-03-06 - 2016-03-12,89
2016-03-13 - 2016-03-19,88
2016-03-20 - 2016-03-26,89
2016-03-27 - 2016-04-02,86
2016-04-03 - 2016-04-09,91
2016-04-10 - 2016-04-16,92
2016-04-17 - 2016-04-23,93
2016-04-24 - 2016-04-30,96
2016-05-01 - 2016-05-07,92
2016-05-08 - 2016-05-14,97
2016-05-15 - 2016-05-21,93
2016-05-22 - 2016-05-28,96
2016-05-29 - 2016-06-04,94
2016-06-05 - 2016-06-11,97
2016-06-12 - 2016-06-18,95
2016-06-19 - 2016-06-25,92
2016-06-26 - 2016-07-02,85
2016-07-03 - 2016-07-09,78


Top regions for lymph node
Region,lymph node
United States,100
Singapore,70
Canada,69
South Korea,68
Australia,65
Philippines,54
Ireland,51
United Kingdom,48
Malaysia,45
India,41
South Africa,41
Taiwan,23
Egypt,20
Thailand,14
Japan,3


Top cities for lymph node
City,lymph node
Atlanta (United States),100
Dallas (United States),99
Washington (United States),95
Chicago (United States),94
Houston (United States),93
New York (United States),87
Seattle (United States),0
San Francisco (United States),0
San Diego (United States),0
San Antonio (United States),0
Phoenix (United States),0
Denver (United States),0
St. Louis (United States),0
Philadelphia (United States),0
Boston (United States),0



Top searches for lymph node
lymph node swollen,100
lymph nodes,80
neck lymph node,60
lymph node cancer,50
swollen lymph nodes,35
lymph node pain,25
lymph nodes neck,20
lymph node ear,20
lymph node groin,20
lymph node swelling,15
lymph node biopsy,15
lymphoma,15
enlarged lymph node,15
lymph node armpit,15
lymph node locations,15
lymph node infection,10
cervical lymph node,10
painful lymph node,10
sentinel lymph node,10
axillary lymph node,10
lymph node dissection,10
lymph node removal,10
lymph node location,5
groin lymph nodes,5
occipital lymph node,5
inguinal lymph node,5
lymph node system,5
lymph node size,5
enlarged lymph nodes,5
swollen glands,5
lymph node enlargement,5
lymph node surgery,5
sentinel node biopsy,5
supraclavicular lymph node,5
cervical lymph nodes,5
lymph nodes locations,5
infected lymph node,5
lymphoma symptoms,5
painful lymph nodes,5
lymphadenopathy,5
lymph node anatomy,5
lymph node metastasis,5
lymph node diagram,5
reactive lymph node,5
lymph node drainage,5
lump in neck,5
submandibular lymph node,5
lymph nodes location,5
lymphnode,5
lymph node levels,5



Rising searches for lymph node
swollen lymph nodes,+250%
lymph node ear,+200%
lymph nodes neck,+200%
lymph node swollen,+150%
neck lymph node,+150%
lymph node armpit,+140%
lymph node locations,+130%
lymph nodes,+110%
lymphoma,+100%
lymph node groin,+90%



