Web Search interest: Economics
Worldwide 2004 - present

Interest over time
Week,Economics
2005-06-12 - 2005-06-18,77
2005-06-19 - 2005-06-25,73
2005-06-26 - 2005-07-02,66
2005-07-03 - 2005-07-09,61
2005-07-10 - 2005-07-16,60
2005-07-17 - 2005-07-23,58
2005-07-24 - 2005-07-30,57
2005-07-31 - 2005-08-06,58
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,64
2005-08-21 - 2005-08-27,71
2005-08-28 - 2005-09-03,76
2005-09-04 - 2005-09-10,79
2005-09-11 - 2005-09-17,80
2005-09-18 - 2005-09-24,83
2005-09-25 - 2005-10-01,81
2005-10-02 - 2005-10-08,83
2005-10-09 - 2005-10-15,83
2005-10-16 - 2005-10-22,81
2005-10-23 - 2005-10-29,81
2005-10-30 - 2005-11-05,78
2005-11-06 - 2005-11-12,82
2005-11-13 - 2005-11-19,82
2005-11-20 - 2005-11-26,77
2005-11-27 - 2005-12-03,75
2005-12-04 - 2005-12-10,68
2005-12-11 - 2005-12-17,62
2005-12-18 - 2005-12-24,47
2005-12-25 - 2005-12-31,41
2006-01-01 - 2006-01-07,50
2006-01-08 - 2006-01-14,63
2006-01-15 - 2006-01-21,62
2006-01-22 - 2006-01-28,64
2006-01-29 - 2006-02-04,67
2006-02-05 - 2006-02-11,70
2006-02-12 - 2006-02-18,69
2006-02-19 - 2006-02-25,70
2006-02-26 - 2006-03-04,69
2006-03-05 - 2006-03-11,73
2006-03-12 - 2006-03-18,75
2006-03-19 - 2006-03-25,75
2006-03-26 - 2006-04-01,74
2006-04-02 - 2006-04-08,72
2006-04-09 - 2006-04-15,59
2006-04-16 - 2006-04-22,70
2006-04-23 - 2006-04-29,75
2006-04-30 - 2006-05-06,73
2006-05-07 - 2006-05-13,76
2006-05-14 - 2006-05-20,74
2006-05-21 - 2006-05-27,76
2006-05-28 - 2006-06-03,74
2006-06-04 - 2006-06-10,72
2006-06-11 - 2006-06-17,65
2006-06-18 - 2006-06-24,62
2006-06-25 - 2006-07-01,52
2006-07-02 - 2006-07-08,51
2006-07-09 - 2006-07-15,49
2006-07-16 - 2006-07-22,48
2006-07-23 - 2006-07-29,47
2006-07-30 - 2006-08-05,47
2006-08-06 - 2006-08-12,49
2006-08-13 - 2006-08-19,53
2006-08-20 - 2006-08-26,59
2006-08-27 - 2006-09-02,61
2006-09-03 - 2006-09-09,63
2006-09-10 - 2006-09-16,66
2006-09-17 - 2006-09-23,66
2006-09-24 - 2006-09-30,68
2006-10-01 - 2006-10-07,67
2006-10-08 - 2006-10-14,68
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,67
2006-10-29 - 2006-11-04,63
2006-11-05 - 2006-11-11,67
2006-11-12 - 2006-11-18,68
2006-11-19 - 2006-11-25,64
2006-11-26 - 2006-12-02,63
2006-12-03 - 2006-12-09,59
2006-12-10 - 2006-12-16,54
2006-12-17 - 2006-12-23,42
2006-12-24 - 2006-12-30,33
2006-12-31 - 2007-01-06,39
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,54
2007-01-21 - 2007-01-27,56
2007-01-28 - 2007-02-03,56
2007-02-04 - 2007-02-10,58
2007-02-11 - 2007-02-17,59
2007-02-18 - 2007-02-24,57
2007-02-25 - 2007-03-03,62
2007-03-04 - 2007-03-10,61
2007-03-11 - 2007-03-17,63
2007-03-18 - 2007-03-24,61
2007-03-25 - 2007-03-31,62
2007-04-01 - 2007-04-07,48
2007-04-08 - 2007-04-14,59
2007-04-15 - 2007-04-21,63
2007-04-22 - 2007-04-28,62
2007-04-29 - 2007-05-05,60
2007-05-06 - 2007-05-12,66
2007-05-13 - 2007-05-19,65
2007-05-20 - 2007-05-26,66
2007-05-27 - 2007-06-02,65
2007-06-03 - 2007-06-09,63
2007-06-10 - 2007-06-16,61
2007-06-17 - 2007-06-23,57
2007-06-24 - 2007-06-30,52
2007-07-01 - 2007-07-07,50
2007-07-08 - 2007-07-14,48
2007-07-15 - 2007-07-21,48
2007-07-22 - 2007-07-28,46
2007-07-29 - 2007-08-04,46
2007-08-05 - 2007-08-11,50
2007-08-12 - 2007-08-18,52
2007-08-19 - 2007-08-25,57
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,64
2007-09-09 - 2007-09-15,67
2007-09-16 - 2007-09-22,66
2007-09-23 - 2007-09-29,68
2007-09-30 - 2007-10-06,67
2007-10-07 - 2007-10-13,64
2007-10-14 - 2007-10-20,66
2007-10-21 - 2007-10-27,65
2007-10-28 - 2007-11-03,63
2007-11-04 - 2007-11-10,65
2007-11-11 - 2007-11-17,67
2007-11-18 - 2007-11-24,64
2007-11-25 - 2007-12-01,63
2007-12-02 - 2007-12-08,58
2007-12-09 - 2007-12-15,55
2007-12-16 - 2007-12-22,43
2007-12-23 - 2007-12-29,32
2007-12-30 - 2008-01-05,38
2008-01-06 - 2008-01-12,53
2008-01-13 - 2008-01-19,57
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,59
2008-02-03 - 2008-02-09,59
2008-02-10 - 2008-02-16,64
2008-02-17 - 2008-02-23,64
2008-02-24 - 2008-03-01,64
2008-03-02 - 2008-03-08,64
2008-03-09 - 2008-03-15,65
2008-03-16 - 2008-03-22,52
2008-03-23 - 2008-03-29,61
2008-03-30 - 2008-04-05,65
2008-04-06 - 2008-04-12,67
2008-04-13 - 2008-04-19,67
2008-04-20 - 2008-04-26,64
2008-04-27 - 2008-05-03,60
2008-05-04 - 2008-05-10,66
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,65
2008-05-25 - 2008-05-31,64
2008-06-01 - 2008-06-07,64
2008-06-08 - 2008-06-14,63
2008-06-15 - 2008-06-21,59
2008-06-22 - 2008-06-28,55
2008-06-29 - 2008-07-05,51
2008-07-06 - 2008-07-12,50
2008-07-13 - 2008-07-19,50
2008-07-20 - 2008-07-26,48
2008-07-27 - 2008-08-02,46
2008-08-03 - 2008-08-09,48
2008-08-10 - 2008-08-16,51
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,61
2008-08-31 - 2008-09-06,63
2008-09-07 - 2008-09-13,65
2008-09-14 - 2008-09-20,68
2008-09-21 - 2008-09-27,70
2008-09-28 - 2008-10-04,72
2008-10-05 - 2008-10-11,77
2008-10-12 - 2008-10-18,75
2008-10-19 - 2008-10-25,71
2008-10-26 - 2008-11-01,70
2008-11-02 - 2008-11-08,67
2008-11-09 - 2008-11-15,69
2008-11-16 - 2008-11-22,66
2008-11-23 - 2008-11-29,65
2008-11-30 - 2008-12-06,61
2008-12-07 - 2008-12-13,58
2008-12-14 - 2008-12-20,50
2008-12-21 - 2008-12-27,33
2008-12-28 - 2009-01-03,35
2009-01-04 - 2009-01-10,49
2009-01-11 - 2009-01-17,56
2009-01-18 - 2009-01-24,57
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,63
2009-02-08 - 2009-02-14,65
2009-02-15 - 2009-02-21,66
2009-02-22 - 2009-02-28,64
2009-03-01 - 2009-03-07,68
2009-03-08 - 2009-03-14,68
2009-03-15 - 2009-03-21,67
2009-03-22 - 2009-03-28,68
2009-03-29 - 2009-04-04,65
2009-04-05 - 2009-04-11,53
2009-04-12 - 2009-04-18,61
2009-04-19 - 2009-04-25,65
2009-04-26 - 2009-05-02,60
2009-05-03 - 2009-05-09,62
2009-05-10 - 2009-05-16,65
2009-05-17 - 2009-05-23,67
2009-05-24 - 2009-05-30,65
2009-05-31 - 2009-06-06,64
2009-06-07 - 2009-06-13,59
2009-06-14 - 2009-06-20,59
2009-06-21 - 2009-06-27,55
2009-06-28 - 2009-07-04,51
2009-07-05 - 2009-07-11,50
2009-07-12 - 2009-07-18,48
2009-07-19 - 2009-07-25,47
2009-07-26 - 2009-08-01,47
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,50
2009-08-16 - 2009-08-22,53
2009-08-23 - 2009-08-29,59
2009-08-30 - 2009-09-05,64
2009-09-06 - 2009-09-12,66
2009-09-13 - 2009-09-19,67
2009-09-20 - 2009-09-26,68
2009-09-27 - 2009-10-03,66
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,66
2009-10-18 - 2009-10-24,64
2009-10-25 - 2009-10-31,62
2009-11-01 - 2009-11-07,62
2009-11-08 - 2009-11-14,64
2009-11-15 - 2009-11-21,63
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,59
2009-12-06 - 2009-12-12,53
2009-12-13 - 2009-12-19,49
2009-12-20 - 2009-12-26,33
2009-12-27 - 2010-01-02,32
2010-01-03 - 2010-01-09,45
2010-01-10 - 2010-01-16,52
2010-01-17 - 2010-01-23,53
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,59
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,61
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,61
2010-03-21 - 2010-03-27,61
2010-03-28 - 2010-04-03,48
2010-04-04 - 2010-04-10,58
2010-04-11 - 2010-04-17,63
2010-04-18 - 2010-04-24,61
2010-04-25 - 2010-05-01,63
2010-05-02 - 2010-05-08,62
2010-05-09 - 2010-05-15,63
2010-05-16 - 2010-05-22,63
2010-05-23 - 2010-05-29,63
2010-05-30 - 2010-06-05,61
2010-06-06 - 2010-06-12,60
2010-06-13 - 2010-06-19,57
2010-06-20 - 2010-06-26,54
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,46
2010-07-11 - 2010-07-17,46
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,44
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,56
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,61
2010-09-26 - 2010-10-02,60
2010-10-03 - 2010-10-09,61
2010-10-10 - 2010-10-16,59
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,56
2010-11-07 - 2010-11-13,59
2010-11-14 - 2010-11-20,57
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,54
2010-12-05 - 2010-12-11,50
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,30
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,47
2011-01-16 - 2011-01-22,50
2011-01-23 - 2011-01-29,51
2011-01-30 - 2011-02-05,52
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,57
2011-02-27 - 2011-03-05,56
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,58
2011-04-10 - 2011-04-16,57
2011-04-17 - 2011-04-23,44
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,55
2011-05-08 - 2011-05-14,55
2011-05-15 - 2011-05-21,57
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,55
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,46
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,47
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,51
2011-08-28 - 2011-09-03,54
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,60
2011-09-18 - 2011-09-24,62
2011-09-25 - 2011-10-01,62
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,56
2011-10-23 - 2011-10-29,56
2011-10-30 - 2011-11-05,54
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,59
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,54
2011-12-04 - 2011-12-10,49
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,33
2011-12-25 - 2011-12-31,31
2012-01-01 - 2012-01-07,37
2012-01-08 - 2012-01-14,46
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,50
2012-02-05 - 2012-02-11,54
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,55
2012-03-25 - 2012-03-31,54
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,50
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,54
2012-04-29 - 2012-05-05,49
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,55
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,40
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,51
2012-09-02 - 2012-09-08,56
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,53
2012-10-28 - 2012-11-03,48
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,49
2012-11-25 - 2012-12-01,50
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,35
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,51
2013-02-24 - 2013-03-02,52
2013-03-03 - 2013-03-09,52
2013-03-10 - 2013-03-16,52
2013-03-17 - 2013-03-23,52
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,52
2013-04-14 - 2013-04-20,52
2013-04-21 - 2013-04-27,53
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,50
2013-05-26 - 2013-06-01,49
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,46
2013-06-23 - 2013-06-29,42
2013-06-30 - 2013-07-06,41
2013-07-07 - 2013-07-13,40
2013-07-14 - 2013-07-20,39
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,38
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,40
2013-08-18 - 2013-08-24,45
2013-08-25 - 2013-08-31,48
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,55
2013-09-15 - 2013-09-21,55
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,55
2013-10-06 - 2013-10-12,53
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,53
2013-11-17 - 2013-11-23,52
2013-11-24 - 2013-11-30,48
2013-12-01 - 2013-12-07,47
2013-12-08 - 2013-12-14,44
2013-12-15 - 2013-12-21,36
2013-12-22 - 2013-12-28,24
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,46
2014-01-19 - 2014-01-25,47
2014-01-26 - 2014-02-01,49
2014-02-02 - 2014-02-08,50
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,51
2014-03-02 - 2014-03-08,49
2014-03-09 - 2014-03-15,52
2014-03-16 - 2014-03-22,52
2014-03-23 - 2014-03-29,52
2014-03-30 - 2014-04-05,51
2014-04-06 - 2014-04-12,51
2014-04-13 - 2014-04-19,41
2014-04-20 - 2014-04-26,47
2014-04-27 - 2014-05-03,47
2014-05-04 - 2014-05-10,52
2014-05-11 - 2014-05-17,53
2014-05-18 - 2014-05-24,54
2014-05-25 - 2014-05-31,51
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,48
2014-06-15 - 2014-06-21,44
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,40
2014-07-06 - 2014-07-12,41
2014-07-13 - 2014-07-19,40
2014-07-20 - 2014-07-26,40
2014-07-27 - 2014-08-02,40
2014-08-03 - 2014-08-09,41
2014-08-10 - 2014-08-16,43
2014-08-17 - 2014-08-23,48
2014-08-24 - 2014-08-30,53
2014-08-31 - 2014-09-06,56
2014-09-07 - 2014-09-13,56
2014-09-14 - 2014-09-20,57
2014-09-21 - 2014-09-27,57
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,53
2014-10-26 - 2014-11-01,53
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,54
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,50
2014-11-30 - 2014-12-06,49
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,39
2014-12-21 - 2014-12-27,25
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,39
2015-01-11 - 2015-01-17,46
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,49
2015-02-01 - 2015-02-07,50
2015-02-08 - 2015-02-14,52
2015-02-15 - 2015-02-21,49
2015-02-22 - 2015-02-28,53
2015-03-01 - 2015-03-07,53
2015-03-08 - 2015-03-14,55
2015-03-15 - 2015-03-21,53
2015-03-22 - 2015-03-28,51
2015-03-29 - 2015-04-04,41
2015-04-05 - 2015-04-11,49
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,52
2015-04-26 - 2015-05-02,50
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,51
2015-05-24 - 2015-05-30,50
2015-05-31 - 2015-06-06,49
2015-06-07 - 2015-06-13,48
2015-06-14 - 2015-06-20,50
2015-06-21 - 2015-06-27,47
2015-06-28 - 2015-07-04,45
2015-07-05 - 2015-07-11,42
2015-07-12 - 2015-07-18,40
2015-07-19 - 2015-07-25,39
2015-07-26 - 2015-08-01,39
2015-08-02 - 2015-08-08,41
2015-08-09 - 2015-08-15,43
2015-08-16 - 2015-08-22,46
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,54
2015-09-06 - 2015-09-12,55
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,56
2015-09-27 - 2015-10-03,56
2015-10-04 - 2015-10-10,55
2015-10-11 - 2015-10-17,54
2015-10-18 - 2015-10-24,54
2015-10-25 - 2015-10-31,52
2015-11-01 - 2015-11-07,53
2015-11-08 - 2015-11-14,54
2015-11-15 - 2015-11-21,51
2015-11-22 - 2015-11-28,49
2015-11-29 - 2015-12-05,48
2015-12-06 - 2015-12-12,45
2015-12-13 - 2015-12-19,42
2015-12-20 - 2015-12-26,27
2015-12-27 - 2016-01-02,27
2016-01-03 - 2016-01-09,40
2016-01-10 - 2016-01-16,47
2016-01-17 - 2016-01-23,49
2016-01-24 - 2016-01-30,49
2016-01-31 - 2016-02-06,49
2016-02-07 - 2016-02-13,49
2016-02-14 - 2016-02-20,53
2016-02-21 - 2016-02-27,53
2016-02-28 - 2016-03-05,54
2016-03-06 - 2016-03-12,53
2016-03-13 - 2016-03-19,52
2016-03-20 - 2016-03-26,42
2016-03-27 - 2016-04-02,49
2016-04-03 - 2016-04-09,52
2016-04-10 - 2016-04-16,53
2016-04-17 - 2016-04-23,52
2016-04-24 - 2016-04-30,51
2016-05-01 - 2016-05-07,51
2016-05-08 - 2016-05-14,52
2016-05-15 - 2016-05-21,52
2016-05-22 - 2016-05-28,50
2016-05-29 - 2016-06-04,50
2016-06-05 - 2016-06-11,47
2016-06-12 - 2016-06-18,47
2016-06-19 - 2016-06-25,45
2016-06-26 - 2016-07-02,40
2016-07-03 - 2016-07-09,34


Top regions for Economics
Region,Economics
Mozambique,100
Angola,97
Colombia,72
Guatemala,68
El Salvador,62
Ecuador,58
Venezuela,57
Nicaragua,55
Italy,53
Nigeria,51
Mexico,51
Panama,50
Peru,50
Honduras,47
Argentina,45
Paraguay,44
Dominican Republic,44
Chile,43
Bolivia,42
Uruguay,36
Ghana,34
Puerto Rico,34
Costa Rica,30
Spain,30
Kenya,28
Moldova,27
Brazil,23
Portugal,23
Romania,21
Philippines,18
South Africa,18
Malaysia,15
Pakistan,15
Bangladesh,13
Singapore,13
Greece,13
Israel,13
Ukraine,13
Hong Kong,12
Czech Republic,12
India,11
Lithuania,10
United States,9
Indonesia,9
United Kingdom,9
Croatia,9
Thailand,9
China,8
Serbia,8
New Zealand,8
Canada,8
Slovakia,8
Poland,8
Australia,8
South Korea,7
Netherlands,7
United Arab Emirates,7
Ireland,7
Hungary,6
Belgium,6
Denmark,5
Morocco,5
Switzerland,5
Sweden,4
Norway,4
Taiwan,4
Germany,4
Turkey,3
Austria,3
Japan,2
Vietnam,2
France,2
Russia,1


Top cities for Economics
City,Economics
Bogotá (Colombia),100
Guatemala City (Guatemala),91
Medellín (Colombia),88
Caracas (Venezuela),86
Naples (Italy),81
Rome (Italy),75
Mexico City (Mexico),75
Guadalajara (Mexico),68
Turin (Italy),64
Milan (Italy),63
Buenos Aires (Argentina),63
Santiago (Chile),60
Monterrey (Mexico),56
Milpitas (United States),51
Madrid (Spain),42



Top searches for Economics
economia,100
economics,75
economic,40
economicos,25
la economia,25
econ,10
que es economia,5
economía,5
ciencias economicas,5
economy,5
what is economics,5
economics definition,5
what is economic,5
business economics,5
economist,5
เศรษฐศาสตร์,5
vuelos economicos,5
经济学,0
ekonomika,0
indicadores economicos,0
definicion de economia,0
ministerio de economia,0
definition of economics,0
noticias economia,0
economic analysis,0
economic theory,0
globalizacion,0
avisos economicos,0
noticias economicas,0
wirtschaftswissenschaften,0
concepto de economia,0
pib,0
ilmu ekonomi,0
noticias de economia,0
ekonomia,0
економіка,0
define economics,0
ekonomija,0
economic issues,0
kegiatan ekonomi,0
economics books,0
uol economia,0
adam smith,0
macroeconomia,0
globalizacion economica,0
facoltà di economia,0
apoyo economico,0
viajes economicos,0
vuelos baratos,0
carros economicos,0



Rising searches for Economics
what is economic,+140%
what is economics,+140%
economics definition,+130%
definition of economics,+120%
econ,+90%
noticias economia,+80%
noticias economicas,+80%



