Web Search interest: discriminant
Worldwide 2004 - present

Interest over time
Week,discriminant
2008-02-24 - 2008-03-01,54
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,52
2008-03-16 - 2008-03-22,49
2008-03-23 - 2008-03-29,46
2008-03-30 - 2008-04-05,46
2008-04-06 - 2008-04-12,51
2008-04-13 - 2008-04-19,53
2008-04-20 - 2008-04-26,52
2008-04-27 - 2008-05-03,55
2008-05-04 - 2008-05-10,53
2008-05-11 - 2008-05-17,51
2008-05-18 - 2008-05-24,43
2008-05-25 - 2008-05-31,47
2008-06-01 - 2008-06-07,42
2008-06-08 - 2008-06-14,50
2008-06-15 - 2008-06-21,45
2008-06-22 - 2008-06-28,30
2008-06-29 - 2008-07-05,36
2008-07-06 - 2008-07-12,35
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,33
2008-07-27 - 2008-08-02,32
2008-08-03 - 2008-08-09,34
2008-08-10 - 2008-08-16,33
2008-08-17 - 2008-08-23,32
2008-08-24 - 2008-08-30,33
2008-08-31 - 2008-09-06,41
2008-09-07 - 2008-09-13,50
2008-09-14 - 2008-09-20,39
2008-09-21 - 2008-09-27,48
2008-09-28 - 2008-10-04,46
2008-10-05 - 2008-10-11,52
2008-10-12 - 2008-10-18,53
2008-10-19 - 2008-10-25,54
2008-10-26 - 2008-11-01,48
2008-11-02 - 2008-11-08,53
2008-11-09 - 2008-11-15,51
2008-11-16 - 2008-11-22,54
2008-11-23 - 2008-11-29,49
2008-11-30 - 2008-12-06,53
2008-12-07 - 2008-12-13,54
2008-12-14 - 2008-12-20,45
2008-12-21 - 2008-12-27,24
2008-12-28 - 2009-01-03,30
2009-01-04 - 2009-01-10,49
2009-01-11 - 2009-01-17,49
2009-01-18 - 2009-01-24,47
2009-01-25 - 2009-01-31,43
2009-02-01 - 2009-02-07,42
2009-02-08 - 2009-02-14,46
2009-02-15 - 2009-02-21,47
2009-02-22 - 2009-02-28,47
2009-03-01 - 2009-03-07,44
2009-03-08 - 2009-03-14,54
2009-03-15 - 2009-03-21,45
2009-03-22 - 2009-03-28,47
2009-03-29 - 2009-04-04,45
2009-04-05 - 2009-04-11,45
2009-04-12 - 2009-04-18,48
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,51
2009-05-03 - 2009-05-09,52
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,50
2009-05-31 - 2009-06-06,57
2009-06-07 - 2009-06-13,46
2009-06-14 - 2009-06-20,48
2009-06-21 - 2009-06-27,39
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,33
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,30
2009-08-02 - 2009-08-08,29
2009-08-09 - 2009-08-15,37
2009-08-16 - 2009-08-22,38
2009-08-23 - 2009-08-29,37
2009-08-30 - 2009-09-05,40
2009-09-06 - 2009-09-12,50
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,52
2009-09-27 - 2009-10-03,50
2009-10-04 - 2009-10-10,48
2009-10-11 - 2009-10-17,52
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,51
2009-11-01 - 2009-11-07,58
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,49
2009-11-29 - 2009-12-05,63
2009-12-06 - 2009-12-12,57
2009-12-13 - 2009-12-19,52
2009-12-20 - 2009-12-26,32
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,44
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,48
2010-01-24 - 2010-01-30,50
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,48
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,56
2010-03-28 - 2010-04-03,51
2010-04-04 - 2010-04-10,52
2010-04-11 - 2010-04-17,52
2010-04-18 - 2010-04-24,56
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,53
2010-05-16 - 2010-05-22,50
2010-05-23 - 2010-05-29,51
2010-05-30 - 2010-06-05,52
2010-06-06 - 2010-06-12,48
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,38
2010-06-27 - 2010-07-03,26
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,32
2010-07-18 - 2010-07-24,29
2010-07-25 - 2010-07-31,28
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,29
2010-08-22 - 2010-08-28,37
2010-08-29 - 2010-09-04,39
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,45
2010-09-19 - 2010-09-25,55
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,56
2010-10-17 - 2010-10-23,54
2010-10-24 - 2010-10-30,50
2010-10-31 - 2010-11-06,51
2010-11-07 - 2010-11-13,52
2010-11-14 - 2010-11-20,57
2010-11-21 - 2010-11-27,45
2010-11-28 - 2010-12-04,60
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,36
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,48
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,51
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,48
2011-02-06 - 2011-02-12,48
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,45
2011-02-27 - 2011-03-05,52
2011-03-06 - 2011-03-12,48
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,56
2011-04-10 - 2011-04-16,48
2011-04-17 - 2011-04-23,53
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,53
2011-05-08 - 2011-05-14,55
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,51
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,31
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,28
2011-07-24 - 2011-07-30,33
2011-07-31 - 2011-08-06,31
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,35
2011-08-28 - 2011-09-03,36
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,62
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,51
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,56
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,58
2011-11-06 - 2011-11-12,51
2011-11-13 - 2011-11-19,54
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,65
2011-12-11 - 2011-12-17,70
2011-12-18 - 2011-12-24,38
2011-12-25 - 2011-12-31,25
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,55
2012-01-15 - 2012-01-21,55
2012-01-22 - 2012-01-28,56
2012-01-29 - 2012-02-04,47
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,49
2012-02-26 - 2012-03-03,51
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,50
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,54
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,61
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,55
2012-05-13 - 2012-05-19,54
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,35
2012-07-15 - 2012-07-21,30
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,32
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,42
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,53
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,56
2012-10-14 - 2012-10-20,58
2012-10-21 - 2012-10-27,56
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,58
2012-11-11 - 2012-11-17,58
2012-11-18 - 2012-11-24,45
2012-11-25 - 2012-12-01,60
2012-12-02 - 2012-12-08,65
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,50
2013-01-13 - 2013-01-19,63
2013-01-20 - 2013-01-26,57
2013-01-27 - 2013-02-02,53
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,50
2013-03-03 - 2013-03-09,52
2013-03-10 - 2013-03-16,52
2013-03-17 - 2013-03-23,51
2013-03-24 - 2013-03-30,46
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,55
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,67
2013-05-12 - 2013-05-18,61
2013-05-19 - 2013-05-25,53
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,50
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,33
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,48
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,55
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,61
2013-10-13 - 2013-10-19,57
2013-10-20 - 2013-10-26,57
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,53
2013-11-17 - 2013-11-23,67
2013-11-24 - 2013-11-30,49
2013-12-01 - 2013-12-07,65
2013-12-08 - 2013-12-14,69
2013-12-15 - 2013-12-21,57
2013-12-22 - 2013-12-28,24
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,55
2014-01-12 - 2014-01-18,60
2014-01-19 - 2014-01-25,59
2014-01-26 - 2014-02-01,52
2014-02-02 - 2014-02-08,49
2014-02-09 - 2014-02-15,52
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,52
2014-03-02 - 2014-03-08,53
2014-03-09 - 2014-03-15,52
2014-03-16 - 2014-03-22,52
2014-03-23 - 2014-03-29,55
2014-03-30 - 2014-04-05,53
2014-04-06 - 2014-04-12,58
2014-04-13 - 2014-04-19,54
2014-04-20 - 2014-04-26,58
2014-04-27 - 2014-05-03,62
2014-05-04 - 2014-05-10,63
2014-05-11 - 2014-05-17,63
2014-05-18 - 2014-05-24,61
2014-05-25 - 2014-05-31,48
2014-06-01 - 2014-06-07,53
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,47
2014-06-22 - 2014-06-28,31
2014-06-29 - 2014-07-05,30
2014-07-06 - 2014-07-12,33
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,32
2014-07-27 - 2014-08-02,32
2014-08-03 - 2014-08-09,31
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,36
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,61
2014-09-14 - 2014-09-20,63
2014-09-21 - 2014-09-27,62
2014-09-28 - 2014-10-04,61
2014-10-05 - 2014-10-11,59
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,56
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,63
2014-11-09 - 2014-11-15,66
2014-11-16 - 2014-11-22,64
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,67
2014-12-07 - 2014-12-13,74
2014-12-14 - 2014-12-20,66
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,53
2015-01-11 - 2015-01-17,59
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,52
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,52
2015-02-15 - 2015-02-21,51
2015-02-22 - 2015-02-28,56
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,56
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,54
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,54
2015-04-12 - 2015-04-18,56
2015-04-19 - 2015-04-25,62
2015-04-26 - 2015-05-02,65
2015-05-03 - 2015-05-09,63
2015-05-10 - 2015-05-16,70
2015-05-17 - 2015-05-23,55
2015-05-24 - 2015-05-30,53
2015-05-31 - 2015-06-06,52
2015-06-07 - 2015-06-13,51
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,30
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,30
2015-07-19 - 2015-07-25,31
2015-07-26 - 2015-08-01,27
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,30
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,40
2015-08-30 - 2015-09-05,47
2015-09-06 - 2015-09-12,57
2015-09-13 - 2015-09-19,63
2015-09-20 - 2015-09-26,59
2015-09-27 - 2015-10-03,60
2015-10-04 - 2015-10-10,66
2015-10-11 - 2015-10-17,62
2015-10-18 - 2015-10-24,62
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,68
2015-11-08 - 2015-11-14,65
2015-11-15 - 2015-11-21,67
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,66
2015-12-06 - 2015-12-12,76
2015-12-13 - 2015-12-19,74
2015-12-20 - 2015-12-26,29
2015-12-27 - 2016-01-02,25
2016-01-03 - 2016-01-09,48
2016-01-10 - 2016-01-16,53
2016-01-17 - 2016-01-23,61
2016-01-24 - 2016-01-30,59
2016-01-31 - 2016-02-06,50
2016-02-07 - 2016-02-13,53
2016-02-14 - 2016-02-20,48
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,60
2016-03-06 - 2016-03-12,57
2016-03-13 - 2016-03-19,55
2016-03-20 - 2016-03-26,54
2016-03-27 - 2016-04-02,52
2016-04-03 - 2016-04-09,57
2016-04-10 - 2016-04-16,62
2016-04-17 - 2016-04-23,63
2016-04-24 - 2016-04-30,68
2016-05-01 - 2016-05-07,69
2016-05-08 - 2016-05-14,70
2016-05-15 - 2016-05-21,66
2016-05-22 - 2016-05-28,60
2016-05-29 - 2016-06-04,52
2016-06-05 - 2016-06-11,53
2016-06-12 - 2016-06-18,50
2016-06-19 - 2016-06-25,40
2016-06-26 - 2016-07-02,30
2016-07-03 - 2016-07-09,27


Top regions for discriminant
Region,discriminant
Singapore,100
Belgium,91
Philippines,72
Hong Kong,68
United States,64
South Korea,57
France,52
Australia,40
Canada,39
Taiwan,39
India,39
Netherlands,37
China,33
United Kingdom,30
Malaysia,29
Switzerland,27
Thailand,15
Indonesia,10
Germany,9
Spain,7
Turkey,7
Italy,6
Japan,6


Top cities for discriminant
City,discriminant
Singapore (Singapore),100
Quezon City (Philippines),81
Boston (United States),80
San Diego (United States),63
Brussels (Belgium),63
Seattle (United States),61
Seoul (South Korea),61
New York (United States),60
Houston (United States),58
Melbourne (Australia),56
Beijing (China),56
Paris (France),54
Atlanta (United States),53
Los Angeles (United States),52
Washington (United States),49



Top searches for discriminant
discriminant analysis,100
the discriminant,90
discriminant quadratic,60
discriminant equation,40
discriminant function,40
discriminant formula,35
what is discriminant,30
discriminant of quadratic,30
find discriminant,25
discriminant quadratic equation,25
quadratic equation,25
linear discriminant analysis,25
quadratic formula discriminant,25
quadratic formula,25
find the discriminant,20
the discriminant formula,20
discriminant roots,15
discriminant calculator,15
discriminant math,15
discriminant validity,15
the quadratic formula,15
discriminant solutions,15
discriminant definition,10
discriminant factor,10
discriminant function analysis,10
fisher discriminant,10
discriminant analysis spss,10
value of discriminant,10
using the discriminant,10
negative discriminant,5
finding discriminant,5
discriminant maths,5
discriminant in math,5
discriminate,5
finding the discriminant,5
fisher discriminant analysis,5
multiple discriminant analysis,5
le discriminant,5
fisher linear discriminant,5
discriminant score,5
convergent validity,5
formula for discriminant,5
discriminant formule,5
discriminant real roots,5
definition of discriminant,5
discriminant function calculator,5



Rising searches for discriminant
find discriminant,+1,400%
discriminant quadratic equation,+1,250%
the discriminant formula,+1,200%
quadratic equation,+1,050%
find the discriminant,+900%
discriminant of quadratic,+800%
what is discriminant,+600%
quadratic formula discriminant,+450%
the discriminant,+450%
discriminant equation,+400%



