Web Search interest: cloud computing
Worldwide 2004 - present

Interest over time
Week,cloud computing
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,57
2010-07-11 - 2010-07-17,65
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,55
2010-08-15 - 2010-08-21,59
2010-08-22 - 2010-08-28,68
2010-08-29 - 2010-09-04,63
2010-09-05 - 2010-09-11,62
2010-09-12 - 2010-09-18,69
2010-09-19 - 2010-09-25,77
2010-09-26 - 2010-10-02,74
2010-10-03 - 2010-10-09,85
2010-10-10 - 2010-10-16,76
2010-10-17 - 2010-10-23,85
2010-10-24 - 2010-10-30,86
2010-10-31 - 2010-11-06,76
2010-11-07 - 2010-11-13,78
2010-11-14 - 2010-11-20,82
2010-11-21 - 2010-11-27,76
2010-11-28 - 2010-12-04,82
2010-12-05 - 2010-12-11,90
2010-12-12 - 2010-12-18,87
2010-12-19 - 2010-12-25,70
2010-12-26 - 2011-01-01,62
2011-01-02 - 2011-01-08,81
2011-01-09 - 2011-01-15,81
2011-01-16 - 2011-01-22,78
2011-01-23 - 2011-01-29,81
2011-01-30 - 2011-02-05,78
2011-02-06 - 2011-02-12,82
2011-02-13 - 2011-02-19,85
2011-02-20 - 2011-02-26,81
2011-02-27 - 2011-03-05,91
2011-03-06 - 2011-03-12,83
2011-03-13 - 2011-03-19,81
2011-03-20 - 2011-03-26,81
2011-03-27 - 2011-04-02,85
2011-04-03 - 2011-04-09,84
2011-04-10 - 2011-04-16,82
2011-04-17 - 2011-04-23,86
2011-04-24 - 2011-04-30,81
2011-05-01 - 2011-05-07,75
2011-05-08 - 2011-05-14,79
2011-05-15 - 2011-05-21,80
2011-05-22 - 2011-05-28,77
2011-05-29 - 2011-06-04,83
2011-06-05 - 2011-06-11,100
2011-06-12 - 2011-06-18,82
2011-06-19 - 2011-06-25,80
2011-06-26 - 2011-07-02,79
2011-07-03 - 2011-07-09,72
2011-07-10 - 2011-07-16,69
2011-07-17 - 2011-07-23,80
2011-07-24 - 2011-07-30,75
2011-07-31 - 2011-08-06,71
2011-08-07 - 2011-08-13,66
2011-08-14 - 2011-08-20,67
2011-08-21 - 2011-08-27,71
2011-08-28 - 2011-09-03,75
2011-09-04 - 2011-09-10,81
2011-09-11 - 2011-09-17,79
2011-09-18 - 2011-09-24,82
2011-09-25 - 2011-10-01,81
2011-10-02 - 2011-10-08,80
2011-10-09 - 2011-10-15,86
2011-10-16 - 2011-10-22,85
2011-10-23 - 2011-10-29,75
2011-10-30 - 2011-11-05,78
2011-11-06 - 2011-11-12,76
2011-11-13 - 2011-11-19,83
2011-11-20 - 2011-11-26,78
2011-11-27 - 2011-12-03,82
2011-12-04 - 2011-12-10,81
2011-12-11 - 2011-12-17,76
2011-12-18 - 2011-12-24,65
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,72
2012-01-15 - 2012-01-21,73
2012-01-22 - 2012-01-28,72
2012-01-29 - 2012-02-04,70
2012-02-05 - 2012-02-11,71
2012-02-12 - 2012-02-18,69
2012-02-19 - 2012-02-25,71
2012-02-26 - 2012-03-03,72
2012-03-04 - 2012-03-10,78
2012-03-11 - 2012-03-17,74
2012-03-18 - 2012-03-24,72
2012-03-25 - 2012-03-31,66
2012-04-01 - 2012-04-07,57
2012-04-08 - 2012-04-14,60
2012-04-15 - 2012-04-21,62
2012-04-22 - 2012-04-28,62
2012-04-29 - 2012-05-05,57
2012-05-06 - 2012-05-12,59
2012-05-13 - 2012-05-19,58
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,54
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,55
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,53
2012-07-01 - 2012-07-07,53
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,53
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,57
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,56
2012-09-23 - 2012-09-29,59
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,57
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,49
2012-10-28 - 2012-11-03,49
2012-11-04 - 2012-11-10,50
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,48
2012-11-25 - 2012-12-01,50
2012-12-02 - 2012-12-08,50
2012-12-09 - 2012-12-15,47
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,33
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,47
2013-02-03 - 2013-02-09,47
2013-02-10 - 2013-02-16,45
2013-02-17 - 2013-02-23,49
2013-02-24 - 2013-03-02,50
2013-03-03 - 2013-03-09,50
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,47
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,44
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,42
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,43
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,42
2013-06-09 - 2013-06-15,42
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,42
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,40
2013-07-14 - 2013-07-20,40
2013-07-21 - 2013-07-27,40
2013-07-28 - 2013-08-03,40
2013-08-04 - 2013-08-10,37
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,41
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,46
2013-09-29 - 2013-10-05,43
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,40
2013-10-20 - 2013-10-26,44
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,42
2013-12-01 - 2013-12-07,41
2013-12-08 - 2013-12-14,38
2013-12-15 - 2013-12-21,36
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,39
2014-01-12 - 2014-01-18,36
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,41
2014-02-02 - 2014-02-08,45
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,42
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,39
2014-04-13 - 2014-04-19,36
2014-04-20 - 2014-04-26,38
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,36
2014-05-11 - 2014-05-17,37
2014-05-18 - 2014-05-24,34
2014-05-25 - 2014-05-31,35
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,34
2014-06-15 - 2014-06-21,35
2014-06-22 - 2014-06-28,35
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,33
2014-07-13 - 2014-07-19,37
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,34
2014-08-03 - 2014-08-09,37
2014-08-10 - 2014-08-16,33
2014-08-17 - 2014-08-23,37
2014-08-24 - 2014-08-30,38
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,41
2014-09-14 - 2014-09-20,43
2014-09-21 - 2014-09-27,41
2014-09-28 - 2014-10-04,37
2014-10-05 - 2014-10-11,39
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,34
2014-10-26 - 2014-11-01,38
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,39
2014-11-16 - 2014-11-22,38
2014-11-23 - 2014-11-29,36
2014-11-30 - 2014-12-06,38
2014-12-07 - 2014-12-13,36
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,32
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,34
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,38
2015-03-01 - 2015-03-07,35
2015-03-08 - 2015-03-14,38
2015-03-15 - 2015-03-21,36
2015-03-22 - 2015-03-28,36
2015-03-29 - 2015-04-04,32
2015-04-05 - 2015-04-11,33
2015-04-12 - 2015-04-18,33
2015-04-19 - 2015-04-25,35
2015-04-26 - 2015-05-02,35
2015-05-03 - 2015-05-09,32
2015-05-10 - 2015-05-16,32
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,31
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,31
2015-06-21 - 2015-06-27,30
2015-06-28 - 2015-07-04,29
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,31
2015-07-26 - 2015-08-01,30
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,30
2015-08-16 - 2015-08-22,33
2015-08-23 - 2015-08-29,31
2015-08-30 - 2015-09-05,33
2015-09-06 - 2015-09-12,35
2015-09-13 - 2015-09-19,35
2015-09-20 - 2015-09-26,34
2015-09-27 - 2015-10-03,36
2015-10-04 - 2015-10-10,37
2015-10-11 - 2015-10-17,35
2015-10-18 - 2015-10-24,32
2015-10-25 - 2015-10-31,35
2015-11-01 - 2015-11-07,34
2015-11-08 - 2015-11-14,28
2015-11-15 - 2015-11-21,33
2015-11-22 - 2015-11-28,31
2015-11-29 - 2015-12-05,33
2015-12-06 - 2015-12-12,32
2015-12-13 - 2015-12-19,30
2015-12-20 - 2015-12-26,22
2015-12-27 - 2016-01-02,20
2016-01-03 - 2016-01-09,27
2016-01-10 - 2016-01-16,29
2016-01-17 - 2016-01-23,32
2016-01-24 - 2016-01-30,32
2016-01-31 - 2016-02-06,32
2016-02-07 - 2016-02-13,33
2016-02-14 - 2016-02-20,31
2016-02-21 - 2016-02-27,32
2016-02-28 - 2016-03-05,32
2016-03-06 - 2016-03-12,32
2016-03-13 - 2016-03-19,34
2016-03-20 - 2016-03-26,30
2016-03-27 - 2016-04-02,30
2016-04-03 - 2016-04-09,30
2016-04-10 - 2016-04-16,29
2016-04-17 - 2016-04-23,31
2016-04-24 - 2016-04-30,31
2016-05-01 - 2016-05-07,30
2016-05-08 - 2016-05-14,31
2016-05-15 - 2016-05-21,28
2016-05-22 - 2016-05-28,29
2016-05-29 - 2016-06-04,27
2016-06-05 - 2016-06-11,27
2016-06-12 - 2016-06-18,28
2016-06-19 - 2016-06-25,31
2016-06-26 - 2016-07-02,28
2016-07-03 - 2016-07-09, 


Top regions for cloud computing
Region,cloud computing
India,100
Kenya,62
Singapore,41
Ghana,39
Sri Lanka,38
Nigeria,35
Ireland,30
Pakistan,26
Tunisia,26
South Africa,26
Hong Kong,26
Bangladesh,23
United Arab Emirates,20
Malaysia,19
Philippines,18
United States,16
New Zealand,16
Australia,15
Iran,15
South Korea,13
United Kingdom,13
Bolivia,12
Canada,11
Jordan,11
Morocco,10
Indonesia,10
Switzerland,10
Taiwan,10
Netherlands,9
Egypt,9
Belgium,9
Germany,8
Austria,8
Thailand,8
Peru,8
Czech Republic,8
Ecuador,8
Greece,8
Colombia,7
Portugal,7
Saudi Arabia,7
China,7
France,6
Italy,6
Romania,6
Norway,6
Denmark,6
Spain,6
Algeria,6
Slovakia,6
Israel,6
Finland,5
Brazil,5
Serbia,5
Sweden,5
Chile,5
Mexico,4
Poland,3
Vietnam,3
Hungary,3
Argentina,3
Japan,1
Turkey,1
Russia,1


Top cities for cloud computing
City,cloud computing
Coimbatore (India),100
New Okhla Industrial Development Area (India),65
Bangalore (India),54
Chennai (India),51
Gurgaon (India),51
Hyderabad (India),50
Pune (India),24
Mumbai (India),22
Ahmedabad (India),21
Nairobi (Kenya),20
New Delhi (India),17
Singapore (Singapore),14
Howrah (India),12
Dublin (Ireland),10
Washington (United States),8



Top searches for cloud computing
what is cloud,100
the cloud,70
google cloud,45
google cloud computing,45
cloud computing pdf,40
cloud computing ppt,35
cloud security,35
cloud computing security,35
cloud services,30
cloud computing software,30
cloud computing services,25
cloud computing technology,25
cloud technology,25
free cloud computing,25
cloud computing amazon,25
amazon cloud,25
definition cloud computing,25
cloud computer,25
microsoft cloud,20
microsoft cloud computing,20
cloud storage,20
cloud computing companies,20
wiki cloud computing,20
mobile cloud computing,15
mobile computing,15
cloud computing architecture,15
virtualization,15
saas cloud computing,15
grid computing,10
cloud based computing,10
cloud computing advantages,10
ibm cloud computing,10
cloud computing applications,10
cloud computing meaning,10
cloud computing jobs,10
wikipedia cloud computing,10
cloud computing tutorial,10
cloud computing benefits,10
why cloud computing,10
about cloud computing,10
private cloud computing,10
cloud computing training,10
cloud computing certification,10
cloud computing examples,10
cloud computing future,10
cloud computing technologies,10
cloud computing basics,10
cloud computing providers,10



Rising searches for cloud computing
cloud computing pdf,Breakout
cloud computing ppt,Breakout
cloud computing security,Breakout
cloud computing services,Breakout
cloud computing software,Breakout
cloud computing technology,Breakout
cloud security,Breakout
cloud services,Breakout
cloud technology,Breakout
google cloud,Breakout



