Web Search interest: metal
Worldwide 2004 - present

Interest over time
Week,metal
2005-08-07 - 2005-08-13,84
2005-08-14 - 2005-08-20,83
2005-08-21 - 2005-08-27,85
2005-08-28 - 2005-09-03,82
2005-09-04 - 2005-09-10,80
2005-09-11 - 2005-09-17,81
2005-09-18 - 2005-09-24,87
2005-09-25 - 2005-10-01,85
2005-10-02 - 2005-10-08,84
2005-10-09 - 2005-10-15,83
2005-10-16 - 2005-10-22,81
2005-10-23 - 2005-10-29,81
2005-10-30 - 2005-11-05,80
2005-11-06 - 2005-11-12,80
2005-11-13 - 2005-11-19,79
2005-11-20 - 2005-11-26,77
2005-11-27 - 2005-12-03,80
2005-12-04 - 2005-12-10,76
2005-12-11 - 2005-12-17,76
2005-12-18 - 2005-12-24,79
2005-12-25 - 2005-12-31,79
2006-01-01 - 2006-01-07,76
2006-01-08 - 2006-01-14,76
2006-01-15 - 2006-01-21,77
2006-01-22 - 2006-01-28,79
2006-01-29 - 2006-02-04,79
2006-02-05 - 2006-02-11,77
2006-02-12 - 2006-02-18,77
2006-02-19 - 2006-02-25,80
2006-02-26 - 2006-03-04,81
2006-03-05 - 2006-03-11,78
2006-03-12 - 2006-03-18,80
2006-03-19 - 2006-03-25,79
2006-03-26 - 2006-04-01,77
2006-04-02 - 2006-04-08,78
2006-04-09 - 2006-04-15,79
2006-04-16 - 2006-04-22,76
2006-04-23 - 2006-04-29,78
2006-04-30 - 2006-05-06,81
2006-05-07 - 2006-05-13,84
2006-05-14 - 2006-05-20,82
2006-05-21 - 2006-05-27,81
2006-05-28 - 2006-06-03,79
2006-06-04 - 2006-06-10,78
2006-06-11 - 2006-06-17,75
2006-06-18 - 2006-06-24,76
2006-06-25 - 2006-07-01,73
2006-07-02 - 2006-07-08,72
2006-07-09 - 2006-07-15,73
2006-07-16 - 2006-07-22,74
2006-07-23 - 2006-07-29,75
2006-07-30 - 2006-08-05,74
2006-08-06 - 2006-08-12,74
2006-08-13 - 2006-08-19,76
2006-08-20 - 2006-08-26,74
2006-08-27 - 2006-09-02,73
2006-09-03 - 2006-09-09,71
2006-09-10 - 2006-09-16,75
2006-09-17 - 2006-09-23,73
2006-09-24 - 2006-09-30,74
2006-10-01 - 2006-10-07,74
2006-10-08 - 2006-10-14,72
2006-10-15 - 2006-10-21,72
2006-10-22 - 2006-10-28,70
2006-10-29 - 2006-11-04,70
2006-11-05 - 2006-11-11,70
2006-11-12 - 2006-11-18,71
2006-11-19 - 2006-11-25,69
2006-11-26 - 2006-12-02,69
2006-12-03 - 2006-12-09,72
2006-12-10 - 2006-12-16,71
2006-12-17 - 2006-12-23,69
2006-12-24 - 2006-12-30,71
2006-12-31 - 2007-01-06,71
2007-01-07 - 2007-01-13,68
2007-01-14 - 2007-01-20,68
2007-01-21 - 2007-01-27,68
2007-01-28 - 2007-02-03,69
2007-02-04 - 2007-02-10,68
2007-02-11 - 2007-02-17,68
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,68
2007-03-04 - 2007-03-10,67
2007-03-11 - 2007-03-17,68
2007-03-18 - 2007-03-24,66
2007-03-25 - 2007-03-31,69
2007-04-01 - 2007-04-07,69
2007-04-08 - 2007-04-14,69
2007-04-15 - 2007-04-21,68
2007-04-22 - 2007-04-28,68
2007-04-29 - 2007-05-05,70
2007-05-06 - 2007-05-12,69
2007-05-13 - 2007-05-19,69
2007-05-20 - 2007-05-26,68
2007-05-27 - 2007-06-02,70
2007-06-03 - 2007-06-09,70
2007-06-10 - 2007-06-16,69
2007-06-17 - 2007-06-23,68
2007-06-24 - 2007-06-30,68
2007-07-01 - 2007-07-07,68
2007-07-08 - 2007-07-14,71
2007-07-15 - 2007-07-21,71
2007-07-22 - 2007-07-28,72
2007-07-29 - 2007-08-04,70
2007-08-05 - 2007-08-11,69
2007-08-12 - 2007-08-18,68
2007-08-19 - 2007-08-25,69
2007-08-26 - 2007-09-01,68
2007-09-02 - 2007-09-08,66
2007-09-09 - 2007-09-15,68
2007-09-16 - 2007-09-22,67
2007-09-23 - 2007-09-29,67
2007-09-30 - 2007-10-06,66
2007-10-07 - 2007-10-13,67
2007-10-14 - 2007-10-20,66
2007-10-21 - 2007-10-27,66
2007-10-28 - 2007-11-03,67
2007-11-04 - 2007-11-10,64
2007-11-11 - 2007-11-17,65
2007-11-18 - 2007-11-24,71
2007-11-25 - 2007-12-01,75
2007-12-02 - 2007-12-08,75
2007-12-09 - 2007-12-15,67
2007-12-16 - 2007-12-22,64
2007-12-23 - 2007-12-29,67
2007-12-30 - 2008-01-05,67
2008-01-06 - 2008-01-12,66
2008-01-13 - 2008-01-19,66
2008-01-20 - 2008-01-26,66
2008-01-27 - 2008-02-02,68
2008-02-03 - 2008-02-09,69
2008-02-10 - 2008-02-16,68
2008-02-17 - 2008-02-23,68
2008-02-24 - 2008-03-01,70
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,68
2008-03-16 - 2008-03-22,69
2008-03-23 - 2008-03-29,73
2008-03-30 - 2008-04-05,72
2008-04-06 - 2008-04-12,71
2008-04-13 - 2008-04-19,72
2008-04-20 - 2008-04-26,75
2008-04-27 - 2008-05-03,72
2008-05-04 - 2008-05-10,70
2008-05-11 - 2008-05-17,73
2008-05-18 - 2008-05-24,73
2008-05-25 - 2008-05-31,73
2008-06-01 - 2008-06-07,74
2008-06-08 - 2008-06-14,89
2008-06-15 - 2008-06-21,97
2008-06-22 - 2008-06-28,88
2008-06-29 - 2008-07-05,81
2008-07-06 - 2008-07-12,81
2008-07-13 - 2008-07-19,80
2008-07-20 - 2008-07-26,76
2008-07-27 - 2008-08-02,75
2008-08-03 - 2008-08-09,74
2008-08-10 - 2008-08-16,77
2008-08-17 - 2008-08-23,75
2008-08-24 - 2008-08-30,72
2008-08-31 - 2008-09-06,69
2008-09-07 - 2008-09-13,69
2008-09-14 - 2008-09-20,69
2008-09-21 - 2008-09-27,68
2008-09-28 - 2008-10-04,68
2008-10-05 - 2008-10-11,69
2008-10-12 - 2008-10-18,69
2008-10-19 - 2008-10-25,69
2008-10-26 - 2008-11-01,65
2008-11-02 - 2008-11-08,65
2008-11-09 - 2008-11-15,67
2008-11-16 - 2008-11-22,66
2008-11-23 - 2008-11-29,65
2008-11-30 - 2008-12-06,68
2008-12-07 - 2008-12-13,67
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,66
2008-12-28 - 2009-01-03,67
2009-01-04 - 2009-01-10,66
2009-01-11 - 2009-01-17,66
2009-01-18 - 2009-01-24,65
2009-01-25 - 2009-01-31,65
2009-02-01 - 2009-02-07,64
2009-02-08 - 2009-02-14,67
2009-02-15 - 2009-02-21,66
2009-02-22 - 2009-02-28,66
2009-03-01 - 2009-03-07,64
2009-03-08 - 2009-03-14,65
2009-03-15 - 2009-03-21,66
2009-03-22 - 2009-03-28,66
2009-03-29 - 2009-04-04,67
2009-04-05 - 2009-04-11,72
2009-04-12 - 2009-04-18,68
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,68
2009-05-03 - 2009-05-09,66
2009-05-10 - 2009-05-16,67
2009-05-17 - 2009-05-23,68
2009-05-24 - 2009-05-30,67
2009-05-31 - 2009-06-06,73
2009-06-07 - 2009-06-13,69
2009-06-14 - 2009-06-20,69
2009-06-21 - 2009-06-27,68
2009-06-28 - 2009-07-04,65
2009-07-05 - 2009-07-11,67
2009-07-12 - 2009-07-18,67
2009-07-19 - 2009-07-25,67
2009-07-26 - 2009-08-01,67
2009-08-02 - 2009-08-08,67
2009-08-09 - 2009-08-15,67
2009-08-16 - 2009-08-22,67
2009-08-23 - 2009-08-29,68
2009-08-30 - 2009-09-05,64
2009-09-06 - 2009-09-12,66
2009-09-13 - 2009-09-19,66
2009-09-20 - 2009-09-26,66
2009-09-27 - 2009-10-03,64
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,66
2009-10-18 - 2009-10-24,64
2009-10-25 - 2009-10-31,63
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,63
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,63
2009-12-06 - 2009-12-12,63
2009-12-13 - 2009-12-19,64
2009-12-20 - 2009-12-26,61
2009-12-27 - 2010-01-02,64
2010-01-03 - 2010-01-09,62
2010-01-10 - 2010-01-16,63
2010-01-17 - 2010-01-23,63
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,64
2010-02-07 - 2010-02-13,62
2010-02-14 - 2010-02-20,65
2010-02-21 - 2010-02-27,64
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,64
2010-03-14 - 2010-03-20,64
2010-03-21 - 2010-03-27,65
2010-03-28 - 2010-04-03,65
2010-04-04 - 2010-04-10,64
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,66
2010-05-02 - 2010-05-08,66
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,65
2010-05-23 - 2010-05-29,65
2010-05-30 - 2010-06-05,65
2010-06-06 - 2010-06-12,67
2010-06-13 - 2010-06-19,69
2010-06-20 - 2010-06-26,66
2010-06-27 - 2010-07-03,64
2010-07-04 - 2010-07-10,61
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,63
2010-07-25 - 2010-07-31,63
2010-08-01 - 2010-08-07,62
2010-08-08 - 2010-08-14,61
2010-08-15 - 2010-08-21,62
2010-08-22 - 2010-08-28,61
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,60
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,60
2010-09-26 - 2010-10-02,59
2010-10-03 - 2010-10-09,60
2010-10-10 - 2010-10-16,61
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,61
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,62
2010-11-14 - 2010-11-20,65
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,62
2010-12-26 - 2011-01-01,62
2011-01-02 - 2011-01-08,62
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,63
2011-01-23 - 2011-01-29,61
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,61
2011-02-13 - 2011-02-19,62
2011-02-20 - 2011-02-26,60
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,62
2011-03-27 - 2011-04-02,62
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,62
2011-04-17 - 2011-04-23,62
2011-04-24 - 2011-04-30,60
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,60
2011-05-29 - 2011-06-04,61
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,62
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,58
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,60
2011-07-17 - 2011-07-23,60
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,59
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,60
2011-09-18 - 2011-09-24,59
2011-09-25 - 2011-10-01,60
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,60
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,61
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,62
2011-11-20 - 2011-11-26,60
2011-11-27 - 2011-12-03,61
2011-12-04 - 2011-12-10,61
2011-12-11 - 2011-12-17,63
2011-12-18 - 2011-12-24,59
2011-12-25 - 2011-12-31,58
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,59
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,60
2012-02-05 - 2012-02-11,62
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,62
2012-02-26 - 2012-03-03,61
2012-03-04 - 2012-03-10,59
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,58
2012-04-01 - 2012-04-07,59
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,59
2012-04-22 - 2012-04-28,60
2012-04-29 - 2012-05-05,57
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,57
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,56
2012-07-08 - 2012-07-14,58
2012-07-15 - 2012-07-21,59
2012-07-22 - 2012-07-28,58
2012-07-29 - 2012-08-04,61
2012-08-05 - 2012-08-11,61
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,62
2012-09-09 - 2012-09-15,58
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,54
2012-10-21 - 2012-10-27,55
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,53
2012-11-11 - 2012-11-17,53
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,54
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,56
2012-12-16 - 2012-12-22,52
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,56
2013-02-17 - 2013-02-23,62
2013-02-24 - 2013-03-02,60
2013-03-03 - 2013-03-09,58
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,56
2013-03-24 - 2013-03-30,59
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,56
2013-04-21 - 2013-04-27,55
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,55
2013-05-12 - 2013-05-18,54
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,54
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,58
2013-06-16 - 2013-06-22,55
2013-06-23 - 2013-06-29,55
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,55
2013-07-14 - 2013-07-20,56
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,53
2013-08-11 - 2013-08-17,53
2013-08-18 - 2013-08-24,53
2013-08-25 - 2013-08-31,52
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,52
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,51
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,52
2013-10-27 - 2013-11-02,51
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,54
2013-11-17 - 2013-11-23,53
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,53
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,48
2013-12-29 - 2014-01-04,51
2014-01-05 - 2014-01-11,55
2014-01-12 - 2014-01-18,58
2014-01-19 - 2014-01-25,55
2014-01-26 - 2014-02-01,56
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,57
2014-03-02 - 2014-03-08,56
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,63
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,56
2014-04-06 - 2014-04-12,55
2014-04-13 - 2014-04-19,55
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,55
2014-05-04 - 2014-05-10,54
2014-05-11 - 2014-05-17,53
2014-05-18 - 2014-05-24,54
2014-05-25 - 2014-05-31,53
2014-06-01 - 2014-06-07,54
2014-06-08 - 2014-06-14,54
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,52
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,54
2014-07-20 - 2014-07-26,54
2014-07-27 - 2014-08-02,54
2014-08-03 - 2014-08-09,54
2014-08-10 - 2014-08-16,54
2014-08-17 - 2014-08-23,53
2014-08-24 - 2014-08-30,53
2014-08-31 - 2014-09-06,51
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,55
2014-09-21 - 2014-09-27,53
2014-09-28 - 2014-10-04,53
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,52
2014-10-19 - 2014-10-25,52
2014-10-26 - 2014-11-01,52
2014-11-02 - 2014-11-08,52
2014-11-09 - 2014-11-15,53
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,50
2014-11-30 - 2014-12-06,52
2014-12-07 - 2014-12-13,54
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,50
2014-12-28 - 2015-01-03,51
2015-01-04 - 2015-01-10,52
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,53
2015-01-25 - 2015-01-31,52
2015-02-01 - 2015-02-07,52
2015-02-08 - 2015-02-14,53
2015-02-15 - 2015-02-21,51
2015-02-22 - 2015-02-28,52
2015-03-01 - 2015-03-07,54
2015-03-08 - 2015-03-14,52
2015-03-15 - 2015-03-21,52
2015-03-22 - 2015-03-28,53
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,53
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,53
2015-04-26 - 2015-05-02,53
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,52
2015-05-24 - 2015-05-30,52
2015-05-31 - 2015-06-06,53
2015-06-07 - 2015-06-13,55
2015-06-14 - 2015-06-20,55
2015-06-21 - 2015-06-27,54
2015-06-28 - 2015-07-04,52
2015-07-05 - 2015-07-11,53
2015-07-12 - 2015-07-18,53
2015-07-19 - 2015-07-25,53
2015-07-26 - 2015-08-01,54
2015-08-02 - 2015-08-08,56
2015-08-09 - 2015-08-15,57
2015-08-16 - 2015-08-22,57
2015-08-23 - 2015-08-29,66
2015-08-30 - 2015-09-05,93
2015-09-06 - 2015-09-12,89
2015-09-13 - 2015-09-19,78
2015-09-20 - 2015-09-26,71
2015-09-27 - 2015-10-03,66
2015-10-04 - 2015-10-10,67
2015-10-11 - 2015-10-17,62
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,58
2015-11-01 - 2015-11-07,57
2015-11-08 - 2015-11-14,85
2015-11-15 - 2015-11-21,76
2015-11-22 - 2015-11-28,59
2015-11-29 - 2015-12-05,58
2015-12-06 - 2015-12-12,58
2015-12-13 - 2015-12-19,56
2015-12-20 - 2015-12-26,54
2015-12-27 - 2016-01-02,57
2016-01-03 - 2016-01-09,57
2016-01-10 - 2016-01-16,55
2016-01-17 - 2016-01-23,56
2016-01-24 - 2016-01-30,56
2016-01-31 - 2016-02-06,54
2016-02-07 - 2016-02-13,55
2016-02-14 - 2016-02-20,56
2016-02-21 - 2016-02-27,56
2016-02-28 - 2016-03-05,54
2016-03-06 - 2016-03-12,56
2016-03-13 - 2016-03-19,54
2016-03-20 - 2016-03-26,54
2016-03-27 - 2016-04-02,55
2016-04-03 - 2016-04-09,56
2016-04-10 - 2016-04-16,56
2016-04-17 - 2016-04-23,55
2016-04-24 - 2016-04-30,54
2016-05-01 - 2016-05-07,53
2016-05-08 - 2016-05-14,53
2016-05-15 - 2016-05-21,54
2016-05-22 - 2016-05-28,53
2016-05-29 - 2016-06-04,54
2016-06-05 - 2016-06-11,53
2016-06-12 - 2016-06-18,52
2016-06-19 - 2016-06-25,51
2016-06-26 - 2016-07-02,51
2016-07-03 - 2016-07-09,49


Top regions for metal
Region,metal
United States,100
El Salvador,96
Guatemala,95
Australia,94
Canada,94
Chile,93
Costa Rica,87
United Kingdom,84
Mexico,81
New Zealand,78
Singapore,78
Philippines,76
Peru,71
Indonesia,69
Denmark,64
Bolivia,64
Argentina,62
South Africa,62
Colombia,58
Ecuador,58
Ireland,57
Spain,55
France,54
Malaysia,53
Brazil,53
Portugal,52
Czech Republic,51
Finland,51
Croatia,51
Turkey,50
Greece,50
Serbia,48
Slovenia,48
Italy,47
Hong Kong,46
Norway,44
Venezuela,43
Sweden,43
Poland,43
Belgium,43
United Arab Emirates,43
Bulgaria,41
India,40
Romania,40
Germany,39
Pakistan,37
Slovakia,37
Switzerland,37
Hungary,37
Austria,34
Netherlands,31
Morocco,27
South Korea,25
Thailand,20
Israel,20
Iran,18
Russia,18
Ukraine,15
Egypt,14
Taiwan,14
Saudi Arabia,13
China,11
Japan,9
Vietnam,8


Top cities for metal
City,metal
Houston (United States),100
Dallas (United States),99
Santiago (Chile),97
Los Angeles (United States),94
Chicago (United States),90
Atlanta (United States),90
Sydney (Australia),89
Mexico City (Mexico),85
Toronto (Canada),85
Singapore (Singapore),81
New York (United States),79
London (United Kingdom),76
Bogotá (Colombia),66
Jakarta (Indonesia),65
São Paulo (Brazil),64



Top searches for metal
metal gear,100
metal gear solid,65
full metal,60
heavy metal,45
metal slug,35
black metal,30
full metal alchemist,25
sheet metal,25
death metal,25
scrap metal,20
beyblade,20
rock metal,20
full metal jacket,15
metal bands,15
metal detector,15
metal gear 4,15
metal music,10
metal gear rising,10
beyblade metal fusion,10
twisted metal,10
metal art,10
metal prices,10
power metal,5
metal detectors,5
metal roofing,5
full metal panic,5
white metal,5
metal archives,5
radio metal,5
gun metal,5
metal mulisha,5
metal work,5
liquid metal,5
scrap metal prices,5
metal hammer,5
metal slug 3,5
metal buildings,5
industrial metal,5
bandas de metal,5
thrash metal,5
beyblade metal masters,5
metal halide,5
metallica,5
metal detecting,5
metal news,5
metal fabrication,5
metal slug 2,5
speed metal,5
baby metal,5
metal slug 4,5



Rising searches for metal
beyblade,Breakout
beyblade metal fusion,Breakout
metal gear rising,Breakout
metal gear 4,+450%
metal archives,+200%
scrap metal,+200%
metal prices,+70%
white metal,+40%



