Web Search interest: main sequence
Worldwide 2004 - present

Interest over time
Week,main sequence
2006-09-24 - 2006-09-30,8
2006-10-01 - 2006-10-07,33
2006-10-08 - 2006-10-14,30
2006-10-15 - 2006-10-21,49
2006-10-22 - 2006-10-28,40
2006-10-29 - 2006-11-04,42
2006-11-05 - 2006-11-11,61
2006-11-12 - 2006-11-18,48
2006-11-19 - 2006-11-25,34
2006-11-26 - 2006-12-02,59
2006-12-03 - 2006-12-09,61
2006-12-10 - 2006-12-16,45
2006-12-17 - 2006-12-23,21
2006-12-24 - 2006-12-30,9
2006-12-31 - 2007-01-06,20
2007-01-07 - 2007-01-13,37
2007-01-14 - 2007-01-20,28
2007-01-21 - 2007-01-27,18
2007-01-28 - 2007-02-03,34
2007-02-04 - 2007-02-10,34
2007-02-11 - 2007-02-17,36
2007-02-18 - 2007-02-24,30
2007-02-25 - 2007-03-03,33
2007-03-04 - 2007-03-10,36
2007-03-11 - 2007-03-17,29
2007-03-18 - 2007-03-24,40
2007-03-25 - 2007-03-31,43
2007-04-01 - 2007-04-07,42
2007-04-08 - 2007-04-14,44
2007-04-15 - 2007-04-21,39
2007-04-22 - 2007-04-28,46
2007-04-29 - 2007-05-05,44
2007-05-06 - 2007-05-12,48
2007-05-13 - 2007-05-19,35
2007-05-20 - 2007-05-26,35
2007-05-27 - 2007-06-02,37
2007-06-03 - 2007-06-09,27
2007-06-10 - 2007-06-16,26
2007-06-17 - 2007-06-23,15
2007-06-24 - 2007-06-30,17
2007-07-01 - 2007-07-07,18
2007-07-08 - 2007-07-14,21
2007-07-15 - 2007-07-21,20
2007-07-22 - 2007-07-28,7
2007-07-29 - 2007-08-04,18
2007-08-05 - 2007-08-11,12
2007-08-12 - 2007-08-18,13
2007-08-19 - 2007-08-25,21
2007-08-26 - 2007-09-01,11
2007-09-02 - 2007-09-08,18
2007-09-09 - 2007-09-15,18
2007-09-16 - 2007-09-22,23
2007-09-23 - 2007-09-29,26
2007-09-30 - 2007-10-06,35
2007-10-07 - 2007-10-13,45
2007-10-14 - 2007-10-20,28
2007-10-21 - 2007-10-27,50
2007-10-28 - 2007-11-03,55
2007-11-04 - 2007-11-10,49
2007-11-11 - 2007-11-17,40
2007-11-18 - 2007-11-24,36
2007-11-25 - 2007-12-01,43
2007-12-02 - 2007-12-08,50
2007-12-09 - 2007-12-15,43
2007-12-16 - 2007-12-22,29
2007-12-23 - 2007-12-29,8
2007-12-30 - 2008-01-05,14
2008-01-06 - 2008-01-12,27
2008-01-13 - 2008-01-19,25
2008-01-20 - 2008-01-26,21
2008-01-27 - 2008-02-02,29
2008-02-03 - 2008-02-09,28
2008-02-10 - 2008-02-16,27
2008-02-17 - 2008-02-23,36
2008-02-24 - 2008-03-01,40
2008-03-02 - 2008-03-08,43
2008-03-09 - 2008-03-15,35
2008-03-16 - 2008-03-22,31
2008-03-23 - 2008-03-29,37
2008-03-30 - 2008-04-05,36
2008-04-06 - 2008-04-12,37
2008-04-13 - 2008-04-19,47
2008-04-20 - 2008-04-26,44
2008-04-27 - 2008-05-03,39
2008-05-04 - 2008-05-10,40
2008-05-11 - 2008-05-17,38
2008-05-18 - 2008-05-24,41
2008-05-25 - 2008-05-31,29
2008-06-01 - 2008-06-07,32
2008-06-08 - 2008-06-14,22
2008-06-15 - 2008-06-21,13
2008-06-22 - 2008-06-28,13
2008-06-29 - 2008-07-05,17
2008-07-06 - 2008-07-12,13
2008-07-13 - 2008-07-19,19
2008-07-20 - 2008-07-26,19
2008-07-27 - 2008-08-02,17
2008-08-03 - 2008-08-09,16
2008-08-10 - 2008-08-16,8
2008-08-17 - 2008-08-23,12
2008-08-24 - 2008-08-30,18
2008-08-31 - 2008-09-06,18
2008-09-07 - 2008-09-13,25
2008-09-14 - 2008-09-20,25
2008-09-21 - 2008-09-27,24
2008-09-28 - 2008-10-04,29
2008-10-05 - 2008-10-11,24
2008-10-12 - 2008-10-18,37
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,49
2008-11-02 - 2008-11-08,47
2008-11-09 - 2008-11-15,49
2008-11-16 - 2008-11-22,42
2008-11-23 - 2008-11-29,24
2008-11-30 - 2008-12-06,54
2008-12-07 - 2008-12-13,53
2008-12-14 - 2008-12-20,31
2008-12-21 - 2008-12-27,6
2008-12-28 - 2009-01-03,7
2009-01-04 - 2009-01-10,27
2009-01-11 - 2009-01-17,21
2009-01-18 - 2009-01-24,20
2009-01-25 - 2009-01-31,30
2009-02-01 - 2009-02-07,29
2009-02-08 - 2009-02-14,36
2009-02-15 - 2009-02-21,35
2009-02-22 - 2009-02-28,31
2009-03-01 - 2009-03-07,40
2009-03-08 - 2009-03-14,39
2009-03-15 - 2009-03-21,64
2009-03-22 - 2009-03-28,43
2009-03-29 - 2009-04-04,33
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,34
2009-04-19 - 2009-04-25,48
2009-04-26 - 2009-05-02,42
2009-05-03 - 2009-05-09,55
2009-05-10 - 2009-05-16,45
2009-05-17 - 2009-05-23,37
2009-05-24 - 2009-05-30,30
2009-05-31 - 2009-06-06,29
2009-06-07 - 2009-06-13,25
2009-06-14 - 2009-06-20,19
2009-06-21 - 2009-06-27,19
2009-06-28 - 2009-07-04,12
2009-07-05 - 2009-07-11,15
2009-07-12 - 2009-07-18,9
2009-07-19 - 2009-07-25,20
2009-07-26 - 2009-08-01,13
2009-08-02 - 2009-08-08,12
2009-08-09 - 2009-08-15,14
2009-08-16 - 2009-08-22,16
2009-08-23 - 2009-08-29,12
2009-08-30 - 2009-09-05,20
2009-09-06 - 2009-09-12,18
2009-09-13 - 2009-09-19,18
2009-09-20 - 2009-09-26,23
2009-09-27 - 2009-10-03,24
2009-10-04 - 2009-10-10,30
2009-10-11 - 2009-10-17,33
2009-10-18 - 2009-10-24,42
2009-10-25 - 2009-10-31,48
2009-11-01 - 2009-11-07,67
2009-11-08 - 2009-11-14,38
2009-11-15 - 2009-11-21,47
2009-11-22 - 2009-11-28,34
2009-11-29 - 2009-12-05,48
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,44
2009-12-20 - 2009-12-26,14
2009-12-27 - 2010-01-02,7
2010-01-03 - 2010-01-09,23
2010-01-10 - 2010-01-16,29
2010-01-17 - 2010-01-23,27
2010-01-24 - 2010-01-30,30
2010-01-31 - 2010-02-06,32
2010-02-07 - 2010-02-13,33
2010-02-14 - 2010-02-20,38
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,33
2010-03-07 - 2010-03-13,46
2010-03-14 - 2010-03-20,41
2010-03-21 - 2010-03-27,48
2010-03-28 - 2010-04-03,43
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,55
2010-04-18 - 2010-04-24,47
2010-04-25 - 2010-05-01,56
2010-05-02 - 2010-05-08,53
2010-05-09 - 2010-05-15,45
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,37
2010-05-30 - 2010-06-05,27
2010-06-06 - 2010-06-12,23
2010-06-13 - 2010-06-19,21
2010-06-20 - 2010-06-26,16
2010-06-27 - 2010-07-03,17
2010-07-04 - 2010-07-10,14
2010-07-11 - 2010-07-17,24
2010-07-18 - 2010-07-24,18
2010-07-25 - 2010-07-31,20
2010-08-01 - 2010-08-07,19
2010-08-08 - 2010-08-14,17
2010-08-15 - 2010-08-21,11
2010-08-22 - 2010-08-28,16
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,21
2010-09-12 - 2010-09-18,25
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,31
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,37
2010-10-24 - 2010-10-30,42
2010-10-31 - 2010-11-06,54
2010-11-07 - 2010-11-13,49
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,39
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,14
2010-12-26 - 2011-01-01,10
2011-01-02 - 2011-01-08,19
2011-01-09 - 2011-01-15,27
2011-01-16 - 2011-01-22,25
2011-01-23 - 2011-01-29,27
2011-01-30 - 2011-02-05,29
2011-02-06 - 2011-02-12,37
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,44
2011-03-06 - 2011-03-12,39
2011-03-13 - 2011-03-19,29
2011-03-20 - 2011-03-26,47
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,48
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,46
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,32
2011-06-05 - 2011-06-11,26
2011-06-12 - 2011-06-18,24
2011-06-19 - 2011-06-25,17
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,18
2011-07-17 - 2011-07-23,16
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,14
2011-08-07 - 2011-08-13,13
2011-08-14 - 2011-08-20,12
2011-08-21 - 2011-08-27,15
2011-08-28 - 2011-09-03,16
2011-09-04 - 2011-09-10,21
2011-09-11 - 2011-09-17,24
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,42
2011-10-23 - 2011-10-29,41
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,30
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,23
2011-12-25 - 2011-12-31,8
2012-01-01 - 2012-01-07,20
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,45
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,50
2012-03-11 - 2012-03-17,46
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,52
2012-04-15 - 2012-04-21,57
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,54
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,18
2012-06-24 - 2012-06-30,18
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,22
2012-07-22 - 2012-07-28,19
2012-07-29 - 2012-08-04,16
2012-08-05 - 2012-08-11,16
2012-08-12 - 2012-08-18,16
2012-08-19 - 2012-08-25,21
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,36
2012-09-23 - 2012-09-29,34
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,40
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,51
2012-10-28 - 2012-11-03,48
2012-11-04 - 2012-11-10,48
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,60
2012-12-09 - 2012-12-15,57
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,13
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,59
2013-03-03 - 2013-03-09,59
2013-03-10 - 2013-03-16,53
2013-03-17 - 2013-03-23,57
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,53
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,56
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,59
2013-05-12 - 2013-05-18,49
2013-05-19 - 2013-05-25,45
2013-05-26 - 2013-06-01,31
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,15
2013-07-07 - 2013-07-13,14
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,17
2013-08-04 - 2013-08-10,16
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,15
2013-08-25 - 2013-08-31,19
2013-09-01 - 2013-09-07,23
2013-09-08 - 2013-09-14,29
2013-09-15 - 2013-09-21,31
2013-09-22 - 2013-09-28,36
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,57
2013-10-27 - 2013-11-02,63
2013-11-03 - 2013-11-09,63
2013-11-10 - 2013-11-16,60
2013-11-17 - 2013-11-23,59
2013-11-24 - 2013-11-30,34
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,50
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,13
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,38
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,38
2014-02-09 - 2014-02-15,50
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,66
2014-03-02 - 2014-03-08,54
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,58
2014-03-23 - 2014-03-29,58
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,60
2014-04-13 - 2014-04-19,52
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,63
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,56
2014-05-18 - 2014-05-24,54
2014-05-25 - 2014-05-31,40
2014-06-01 - 2014-06-07,38
2014-06-08 - 2014-06-14,24
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,12
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,12
2014-08-17 - 2014-08-23,20
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,34
2014-09-21 - 2014-09-27,40
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,41
2014-10-19 - 2014-10-25,54
2014-10-26 - 2014-11-01,64
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,61
2014-11-23 - 2014-11-29,37
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,64
2014-12-14 - 2014-12-20,41
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,37
2015-01-18 - 2015-01-24,42
2015-01-25 - 2015-01-31,47
2015-02-01 - 2015-02-07,42
2015-02-08 - 2015-02-14,45
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,55
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,53
2015-03-15 - 2015-03-21,44
2015-03-22 - 2015-03-28,56
2015-03-29 - 2015-04-04,54
2015-04-05 - 2015-04-11,53
2015-04-12 - 2015-04-18,66
2015-04-19 - 2015-04-25,60
2015-04-26 - 2015-05-02,65
2015-05-03 - 2015-05-09,60
2015-05-10 - 2015-05-16,60
2015-05-17 - 2015-05-23,58
2015-05-24 - 2015-05-30,40
2015-05-31 - 2015-06-06,34
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,19
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,16
2015-08-02 - 2015-08-08,18
2015-08-09 - 2015-08-15,16
2015-08-16 - 2015-08-22,18
2015-08-23 - 2015-08-29,19
2015-08-30 - 2015-09-05,22
2015-09-06 - 2015-09-12,28
2015-09-13 - 2015-09-19,32
2015-09-20 - 2015-09-26,39
2015-09-27 - 2015-10-03,44
2015-10-04 - 2015-10-10,44
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,55
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,59
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,65
2015-12-06 - 2015-12-12,59
2015-12-13 - 2015-12-19,50
2015-12-20 - 2015-12-26,11
2015-12-27 - 2016-01-02,12
2016-01-03 - 2016-01-09,33
2016-01-10 - 2016-01-16,41
2016-01-17 - 2016-01-23,43
2016-01-24 - 2016-01-30,48
2016-01-31 - 2016-02-06,51
2016-02-07 - 2016-02-13,50
2016-02-14 - 2016-02-20,48
2016-02-21 - 2016-02-27,65
2016-02-28 - 2016-03-05,61
2016-03-06 - 2016-03-12,65
2016-03-13 - 2016-03-19,56
2016-03-20 - 2016-03-26,51
2016-03-27 - 2016-04-02,45
2016-04-03 - 2016-04-09,58
2016-04-10 - 2016-04-16,61
2016-04-17 - 2016-04-23,68
2016-04-24 - 2016-04-30,65
2016-05-01 - 2016-05-07,68
2016-05-08 - 2016-05-14,59
2016-05-15 - 2016-05-21,59
2016-05-22 - 2016-05-28,49
2016-05-29 - 2016-06-04,35
2016-06-05 - 2016-06-11,29
2016-06-12 - 2016-06-18,28
2016-06-19 - 2016-06-25,31
2016-06-26 - 2016-07-02,21
2016-07-03 - 2016-07-09, 


Top regions for main sequence
Region,main sequence
United States,100
Canada,37
United Kingdom,36


Top cities for main sequence
City,main sequence
Los Angeles (United States),100
Houston (United States),95
Dallas (United States),67
Seattle (United States),0
Sydney (Australia),0
San Francisco (United States),0
San Diego (United States),0
Austin (United States),0
San Antonio (United States),0
Tucson (United States),0
Chicago (United States),0
Atlanta (United States),0
Washington (United States),0
New York (United States),0
Toronto (Canada),0



Top searches for main sequence
main sequence star,100
main sequence stars,80
sequence diagram,25
giant star,20
red giant,20
white dwarf,15
red giant star,15
main sequence definition,15
protostar,15
white dwarf star,15
nebula star,15
neutron star,10
star cycle,10
star life cycle,10
hr diagram,10
black dwarf,5
mass of sun,5
massive star,5
supergiant,5
sequence of events,5
h-r diagram,5
supergiant star,5
solar mass,5
neutron stars,5
planetary nebula,5
absolute magnitude,5
what is luminosity,5
types of stars,5
apparent magnitude,5
define main sequence,5
low mass star,5
red supergiant,5
red giants,5
star formation,5
hertzsprung-russell diagram,5
nebula definition,5
white dwarf definition,5
red giant definition,5



Rising searches for main sequence
white dwarf,+400%
giant star,+130%
sequence diagram,+130%
main sequence star,+120%
red giant,+110%
main sequence stars,+100%



