Web Search interest: monetary+economics
Worldwide 2004 - present

Interest over time
Week,monetary+economics
2008-05-25 - 2008-05-31,42
2008-06-01 - 2008-06-07,44
2008-06-08 - 2008-06-14,44
2008-06-15 - 2008-06-21,43
2008-06-22 - 2008-06-28,40
2008-06-29 - 2008-07-05,37
2008-07-06 - 2008-07-12,39
2008-07-13 - 2008-07-19,39
2008-07-20 - 2008-07-26,38
2008-07-27 - 2008-08-02,39
2008-08-03 - 2008-08-09,38
2008-08-10 - 2008-08-16,38
2008-08-17 - 2008-08-23,40
2008-08-24 - 2008-08-30,44
2008-08-31 - 2008-09-06,47
2008-09-07 - 2008-09-13,51
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,55
2008-09-28 - 2008-10-04,54
2008-10-05 - 2008-10-11,60
2008-10-12 - 2008-10-18,61
2008-10-19 - 2008-10-25,56
2008-10-26 - 2008-11-01,55
2008-11-02 - 2008-11-08,55
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,55
2008-11-23 - 2008-11-29,50
2008-11-30 - 2008-12-06,54
2008-12-07 - 2008-12-13,53
2008-12-14 - 2008-12-20,47
2008-12-21 - 2008-12-27,32
2008-12-28 - 2009-01-03,33
2009-01-04 - 2009-01-10,47
2009-01-11 - 2009-01-17,51
2009-01-18 - 2009-01-24,50
2009-01-25 - 2009-01-31,52
2009-02-01 - 2009-02-07,52
2009-02-08 - 2009-02-14,52
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,53
2009-03-01 - 2009-03-07,52
2009-03-08 - 2009-03-14,51
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,51
2009-04-05 - 2009-04-11,47
2009-04-12 - 2009-04-18,48
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,50
2009-05-03 - 2009-05-09,49
2009-05-10 - 2009-05-16,46
2009-05-17 - 2009-05-23,44
2009-05-24 - 2009-05-30,41
2009-05-31 - 2009-06-06,44
2009-06-07 - 2009-06-13,42
2009-06-14 - 2009-06-20,41
2009-06-21 - 2009-06-27,38
2009-06-28 - 2009-07-04,35
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,37
2009-07-19 - 2009-07-25,37
2009-07-26 - 2009-08-01,36
2009-08-02 - 2009-08-08,38
2009-08-09 - 2009-08-15,38
2009-08-16 - 2009-08-22,40
2009-08-23 - 2009-08-29,43
2009-08-30 - 2009-09-05,45
2009-09-06 - 2009-09-12,47
2009-09-13 - 2009-09-19,50
2009-09-20 - 2009-09-26,47
2009-09-27 - 2009-10-03,46
2009-10-04 - 2009-10-10,52
2009-10-11 - 2009-10-17,54
2009-10-18 - 2009-10-24,49
2009-10-25 - 2009-10-31,48
2009-11-01 - 2009-11-07,50
2009-11-08 - 2009-11-14,49
2009-11-15 - 2009-11-21,51
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,48
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,30
2009-12-27 - 2010-01-02,29
2010-01-03 - 2010-01-09,42
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,46
2010-01-24 - 2010-01-30,48
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,45
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,47
2010-03-07 - 2010-03-13,47
2010-03-14 - 2010-03-20,44
2010-03-21 - 2010-03-27,46
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,46
2010-04-18 - 2010-04-24,47
2010-04-25 - 2010-05-01,46
2010-05-02 - 2010-05-08,48
2010-05-09 - 2010-05-15,47
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,39
2010-06-06 - 2010-06-12,40
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,41
2010-06-27 - 2010-07-03,36
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,35
2010-07-25 - 2010-07-31,34
2010-08-01 - 2010-08-07,34
2010-08-08 - 2010-08-14,35
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,41
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,46
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,46
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,51
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,45
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,43
2010-11-28 - 2010-12-04,46
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,44
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,28
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,44
2011-01-30 - 2011-02-05,43
2011-02-06 - 2011-02-12,44
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,45
2011-03-06 - 2011-03-12,44
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,42
2011-03-27 - 2011-04-02,43
2011-04-03 - 2011-04-09,43
2011-04-10 - 2011-04-16,44
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,44
2011-05-08 - 2011-05-14,44
2011-05-15 - 2011-05-21,45
2011-05-22 - 2011-05-28,41
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,40
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,39
2011-06-26 - 2011-07-02,36
2011-07-03 - 2011-07-09,35
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,35
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,37
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,40
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,44
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,50
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,32
2011-12-25 - 2011-12-31,28
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,43
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,45
2012-02-05 - 2012-02-11,44
2012-02-12 - 2012-02-18,44
2012-02-19 - 2012-02-25,44
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,43
2012-03-18 - 2012-03-24,44
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,41
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,47
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,44
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,37
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,40
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,36
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,34
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,32
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,37
2012-08-26 - 2012-09-01,41
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,49
2012-09-23 - 2012-09-29,47
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,48
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,46
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,42
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,42
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,45
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,45
2013-05-05 - 2013-05-11,44
2013-05-12 - 2013-05-18,43
2013-05-19 - 2013-05-25,37
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,40
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,37
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,32
2013-08-18 - 2013-08-24,35
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,41
2013-09-08 - 2013-09-14,44
2013-09-15 - 2013-09-21,45
2013-09-22 - 2013-09-28,44
2013-09-29 - 2013-10-05,44
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,46
2013-10-20 - 2013-10-26,43
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,43
2013-11-10 - 2013-11-16,45
2013-11-17 - 2013-11-23,44
2013-11-24 - 2013-11-30,38
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,44
2013-12-15 - 2013-12-21,37
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,27
2014-01-05 - 2014-01-11,40
2014-01-12 - 2014-01-18,43
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,42
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,42
2014-03-16 - 2014-03-22,42
2014-03-23 - 2014-03-29,43
2014-03-30 - 2014-04-05,41
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,40
2014-04-20 - 2014-04-26,42
2014-04-27 - 2014-05-03,44
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,43
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,37
2014-06-01 - 2014-06-07,40
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,36
2014-06-22 - 2014-06-28,33
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,30
2014-08-03 - 2014-08-09,32
2014-08-10 - 2014-08-16,33
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,39
2014-08-31 - 2014-09-06,43
2014-09-07 - 2014-09-13,44
2014-09-14 - 2014-09-20,45
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,43
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,41
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,45
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,46
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,44
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,38
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,39
2015-01-11 - 2015-01-17,43
2015-01-18 - 2015-01-24,43
2015-01-25 - 2015-01-31,45
2015-02-01 - 2015-02-07,44
2015-02-08 - 2015-02-14,43
2015-02-15 - 2015-02-21,40
2015-02-22 - 2015-02-28,44
2015-03-01 - 2015-03-07,45
2015-03-08 - 2015-03-14,44
2015-03-15 - 2015-03-21,44
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,38
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,43
2015-04-19 - 2015-04-25,46
2015-04-26 - 2015-05-02,45
2015-05-03 - 2015-05-09,46
2015-05-10 - 2015-05-16,44
2015-05-17 - 2015-05-23,40
2015-05-24 - 2015-05-30,37
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,38
2015-06-14 - 2015-06-20,37
2015-06-21 - 2015-06-27,34
2015-06-28 - 2015-07-04,33
2015-07-05 - 2015-07-11,33
2015-07-12 - 2015-07-18,31
2015-07-19 - 2015-07-25,32
2015-07-26 - 2015-08-01,31
2015-08-02 - 2015-08-08,32
2015-08-09 - 2015-08-15,35
2015-08-16 - 2015-08-22,37
2015-08-23 - 2015-08-29,39
2015-08-30 - 2015-09-05,44
2015-09-06 - 2015-09-12,44
2015-09-13 - 2015-09-19,46
2015-09-20 - 2015-09-26,44
2015-09-27 - 2015-10-03,46
2015-10-04 - 2015-10-10,47
2015-10-11 - 2015-10-17,46
2015-10-18 - 2015-10-24,42
2015-10-25 - 2015-10-31,42
2015-11-01 - 2015-11-07,45
2015-11-08 - 2015-11-14,43
2015-11-15 - 2015-11-21,44
2015-11-22 - 2015-11-28,37
2015-11-29 - 2015-12-05,43
2015-12-06 - 2015-12-12,45
2015-12-13 - 2015-12-19,42
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,24
2016-01-03 - 2016-01-09,39
2016-01-10 - 2016-01-16,43
2016-01-17 - 2016-01-23,44
2016-01-24 - 2016-01-30,45
2016-01-31 - 2016-02-06,45
2016-02-07 - 2016-02-13,43
2016-02-14 - 2016-02-20,41
2016-02-21 - 2016-02-27,44
2016-02-28 - 2016-03-05,45
2016-03-06 - 2016-03-12,44
2016-03-13 - 2016-03-19,43
2016-03-20 - 2016-03-26,38
2016-03-27 - 2016-04-02,41
2016-04-03 - 2016-04-09,43
2016-04-10 - 2016-04-16,44
2016-04-17 - 2016-04-23,45
2016-04-24 - 2016-04-30,44
2016-05-01 - 2016-05-07,45
2016-05-08 - 2016-05-14,44
2016-05-15 - 2016-05-21,41
2016-05-22 - 2016-05-28,39
2016-05-29 - 2016-06-04,35
2016-06-05 - 2016-06-11,36
2016-06-12 - 2016-06-18,37
2016-06-19 - 2016-06-25,37
2016-06-26 - 2016-07-02,32


Top regions for monetary+economics
Region,monetary+economics
Nigeria,100
Zimbabwe,93
Ethiopia,90
Ghana,83
Mauritius,66
Uganda,64
Kenya,62
Nepal,54
Pakistan,49
Tanzania,48
Jamaica,42
Philippines,40
Bangladesh,38
Singapore,34
South Africa,32
India,30
Sri Lanka,26
Hong Kong,24
United Kingdom,18
Ireland,17
United States,17
Australia,16
New Zealand,16
United Arab Emirates,14
Canada,14
Malaysia,14
South Korea,9
Switzerland,7
Denmark,7
Greece,6
Norway,6
Netherlands,6
Sweden,5
Finland,5
Belgium,4
Portugal,4
Taiwan,4
Austria,4
Iran,4
Germany,4
Egypt,4
Italy,3
Saudi Arabia,3
Indonesia,3
Thailand,3
Spain,3
Vietnam,2
Turkey,2
Colombia,2
France,2
Russia,2
Poland,1
Mexico,1
Japan,1
Brazil,1


Top cities for monetary+economics
City,monetary+economics
Lagos (Nigeria),100
Nairobi (Kenya),74
Lahore (Pakistan),58
Karachi (Pakistan),57
Manila (Philippines),53
Dhaka (Bangladesh),49
Makati City (Philippines),46
New Delhi (India),45
Quezon City (Philippines),44
Singapore (Singapore),43
Mumbai (India),37
Washington (United States),36
Howrah (India),33
Bangalore (India),29
Chennai (India),28



Top searches for monetary+economics
the economics,100
monetary policy,45
business economics,40
what is economics,40
economics definition,30
london school economics,30
economy,20
international economics,20
definition of economics,15
development economics,15
economics times,15
financial economics,15
health economics,10
home economics,10
fiscal policy,10
economics degree,10
social economics,10
managerial economics,10
economics major,10
international monetary fund,10
inflation,10
define economics,10
keynesian economics,10
economics notes,10
macro economics,10
economics news,10
principles of economics,5
capital economics,5
economist,5
law and economics,5
micro economics,5
monetary definition,5
economics time,5
environmental economics,5
engineering economics,5
macroeconomics,5
monetary system,5
agricultural economics,5
applied economics,5
oxford economics,5
lse,5
harvard economics,5
microeconomics,5
basic economics,5
history of economics,5
energy economics,5
behavioral economics,5
nobel prize economics,5
edexcel,5
edexcel economics,5



Rising searches for monetary+economics
define economics,+350%
economics major,+250%
what is economics,+170%
economics definition,+150%
keynesian economics,+120%
definition of economics,+110%
economics degree,+100%
economics times,+80%
fiscal policy,+80%
principles of economics,+70%



