Web Search interest: geometric+measure+theory
Worldwide 2004 - present

Interest over time
Week,geometric+measure+theory
2005-05-15 - 2005-05-21,79
2005-05-22 - 2005-05-28,77
2005-05-29 - 2005-06-04,71
2005-06-05 - 2005-06-11,71
2005-06-12 - 2005-06-18,70
2005-06-19 - 2005-06-25,66
2005-06-26 - 2005-07-02,64
2005-07-03 - 2005-07-09,61
2005-07-10 - 2005-07-16,62
2005-07-17 - 2005-07-23,62
2005-07-24 - 2005-07-30,61
2005-07-31 - 2005-08-06,61
2005-08-07 - 2005-08-13,63
2005-08-14 - 2005-08-20,62
2005-08-21 - 2005-08-27,63
2005-08-28 - 2005-09-03,65
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,75
2005-09-18 - 2005-09-24,81
2005-09-25 - 2005-10-01,82
2005-10-02 - 2005-10-08,83
2005-10-09 - 2005-10-15,87
2005-10-16 - 2005-10-22,84
2005-10-23 - 2005-10-29,79
2005-10-30 - 2005-11-05,81
2005-11-06 - 2005-11-12,83
2005-11-13 - 2005-11-19,83
2005-11-20 - 2005-11-26,75
2005-11-27 - 2005-12-03,80
2005-12-04 - 2005-12-10,83
2005-12-11 - 2005-12-17,76
2005-12-18 - 2005-12-24,59
2005-12-25 - 2005-12-31,48
2006-01-01 - 2006-01-07,60
2006-01-08 - 2006-01-14,69
2006-01-15 - 2006-01-21,70
2006-01-22 - 2006-01-28,71
2006-01-29 - 2006-02-04,72
2006-02-05 - 2006-02-11,72
2006-02-12 - 2006-02-18,71
2006-02-19 - 2006-02-25,74
2006-02-26 - 2006-03-04,75
2006-03-05 - 2006-03-11,74
2006-03-12 - 2006-03-18,71
2006-03-19 - 2006-03-25,72
2006-03-26 - 2006-04-01,69
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,67
2006-04-16 - 2006-04-22,69
2006-04-23 - 2006-04-29,70
2006-04-30 - 2006-05-06,74
2006-05-07 - 2006-05-13,70
2006-05-14 - 2006-05-20,64
2006-05-21 - 2006-05-27,61
2006-05-28 - 2006-06-03,58
2006-06-04 - 2006-06-10,57
2006-06-11 - 2006-06-17,57
2006-06-18 - 2006-06-24,53
2006-06-25 - 2006-07-01,49
2006-07-02 - 2006-07-08,47
2006-07-09 - 2006-07-15,51
2006-07-16 - 2006-07-22,51
2006-07-23 - 2006-07-29,51
2006-07-30 - 2006-08-05,50
2006-08-06 - 2006-08-12,49
2006-08-13 - 2006-08-19,51
2006-08-20 - 2006-08-26,51
2006-08-27 - 2006-09-02,53
2006-09-03 - 2006-09-09,56
2006-09-10 - 2006-09-16,65
2006-09-17 - 2006-09-23,64
2006-09-24 - 2006-09-30,64
2006-10-01 - 2006-10-07,65
2006-10-08 - 2006-10-14,66
2006-10-15 - 2006-10-21,65
2006-10-22 - 2006-10-28,65
2006-10-29 - 2006-11-04,68
2006-11-05 - 2006-11-11,69
2006-11-12 - 2006-11-18,65
2006-11-19 - 2006-11-25,57
2006-11-26 - 2006-12-02,62
2006-12-03 - 2006-12-09,65
2006-12-10 - 2006-12-16,61
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,35
2006-12-31 - 2007-01-06,46
2007-01-07 - 2007-01-13,54
2007-01-14 - 2007-01-20,54
2007-01-21 - 2007-01-27,56
2007-01-28 - 2007-02-03,57
2007-02-04 - 2007-02-10,56
2007-02-11 - 2007-02-17,55
2007-02-18 - 2007-02-24,58
2007-02-25 - 2007-03-03,58
2007-03-04 - 2007-03-10,58
2007-03-11 - 2007-03-17,58
2007-03-18 - 2007-03-24,58
2007-03-25 - 2007-03-31,57
2007-04-01 - 2007-04-07,53
2007-04-08 - 2007-04-14,54
2007-04-15 - 2007-04-21,57
2007-04-22 - 2007-04-28,59
2007-04-29 - 2007-05-05,60
2007-05-06 - 2007-05-12,59
2007-05-13 - 2007-05-19,56
2007-05-20 - 2007-05-26,52
2007-05-27 - 2007-06-02,49
2007-06-03 - 2007-06-09,51
2007-06-10 - 2007-06-16,49
2007-06-17 - 2007-06-23,47
2007-06-24 - 2007-06-30,44
2007-07-01 - 2007-07-07,43
2007-07-08 - 2007-07-14,45
2007-07-15 - 2007-07-21,45
2007-07-22 - 2007-07-28,45
2007-07-29 - 2007-08-04,44
2007-08-05 - 2007-08-11,45
2007-08-12 - 2007-08-18,45
2007-08-19 - 2007-08-25,45
2007-08-26 - 2007-09-01,47
2007-09-02 - 2007-09-08,50
2007-09-09 - 2007-09-15,56
2007-09-16 - 2007-09-22,56
2007-09-23 - 2007-09-29,58
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,61
2007-10-14 - 2007-10-20,61
2007-10-21 - 2007-10-27,60
2007-10-28 - 2007-11-03,61
2007-11-04 - 2007-11-10,60
2007-11-11 - 2007-11-17,61
2007-11-18 - 2007-11-24,59
2007-11-25 - 2007-12-01,64
2007-12-02 - 2007-12-08,67
2007-12-09 - 2007-12-15,59
2007-12-16 - 2007-12-22,44
2007-12-23 - 2007-12-29,33
2007-12-30 - 2008-01-05,41
2008-01-06 - 2008-01-12,51
2008-01-13 - 2008-01-19,53
2008-01-20 - 2008-01-26,53
2008-01-27 - 2008-02-02,54
2008-02-03 - 2008-02-09,56
2008-02-10 - 2008-02-16,55
2008-02-17 - 2008-02-23,56
2008-02-24 - 2008-03-01,59
2008-03-02 - 2008-03-08,59
2008-03-09 - 2008-03-15,58
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,55
2008-03-30 - 2008-04-05,58
2008-04-06 - 2008-04-12,59
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,61
2008-05-04 - 2008-05-10,60
2008-05-11 - 2008-05-17,57
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,51
2008-06-01 - 2008-06-07,53
2008-06-08 - 2008-06-14,51
2008-06-15 - 2008-06-21,50
2008-06-22 - 2008-06-28,47
2008-06-29 - 2008-07-05,44
2008-07-06 - 2008-07-12,45
2008-07-13 - 2008-07-19,44
2008-07-20 - 2008-07-26,44
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,44
2008-08-10 - 2008-08-16,43
2008-08-17 - 2008-08-23,43
2008-08-24 - 2008-08-30,46
2008-08-31 - 2008-09-06,50
2008-09-07 - 2008-09-13,63
2008-09-14 - 2008-09-20,58
2008-09-21 - 2008-09-27,61
2008-09-28 - 2008-10-04,61
2008-10-05 - 2008-10-11,62
2008-10-12 - 2008-10-18,64
2008-10-19 - 2008-10-25,63
2008-10-26 - 2008-11-01,62
2008-11-02 - 2008-11-08,69
2008-11-09 - 2008-11-15,63
2008-11-16 - 2008-11-22,64
2008-11-23 - 2008-11-29,57
2008-11-30 - 2008-12-06,64
2008-12-07 - 2008-12-13,64
2008-12-14 - 2008-12-20,54
2008-12-21 - 2008-12-27,38
2008-12-28 - 2009-01-03,42
2009-01-04 - 2009-01-10,53
2009-01-11 - 2009-01-17,57
2009-01-18 - 2009-01-24,58
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,60
2009-02-08 - 2009-02-14,63
2009-02-15 - 2009-02-21,62
2009-02-22 - 2009-02-28,63
2009-03-01 - 2009-03-07,63
2009-03-08 - 2009-03-14,63
2009-03-15 - 2009-03-21,61
2009-03-22 - 2009-03-28,63
2009-03-29 - 2009-04-04,64
2009-04-05 - 2009-04-11,62
2009-04-12 - 2009-04-18,62
2009-04-19 - 2009-04-25,66
2009-04-26 - 2009-05-02,68
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,65
2009-05-17 - 2009-05-23,61
2009-05-24 - 2009-05-30,53
2009-05-31 - 2009-06-06,55
2009-06-07 - 2009-06-13,54
2009-06-14 - 2009-06-20,52
2009-06-21 - 2009-06-27,49
2009-06-28 - 2009-07-04,47
2009-07-05 - 2009-07-11,47
2009-07-12 - 2009-07-18,49
2009-07-19 - 2009-07-25,49
2009-07-26 - 2009-08-01,49
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,50
2009-08-16 - 2009-08-22,51
2009-08-23 - 2009-08-29,53
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,60
2009-09-13 - 2009-09-19,65
2009-09-20 - 2009-09-26,76
2009-09-27 - 2009-10-03,71
2009-10-04 - 2009-10-10,72
2009-10-11 - 2009-10-17,74
2009-10-18 - 2009-10-24,73
2009-10-25 - 2009-10-31,71
2009-11-01 - 2009-11-07,73
2009-11-08 - 2009-11-14,72
2009-11-15 - 2009-11-21,73
2009-11-22 - 2009-11-28,65
2009-11-29 - 2009-12-05,73
2009-12-06 - 2009-12-12,75
2009-12-13 - 2009-12-19,68
2009-12-20 - 2009-12-26,48
2009-12-27 - 2010-01-02,49
2010-01-03 - 2010-01-09,62
2010-01-10 - 2010-01-16,70
2010-01-17 - 2010-01-23,70
2010-01-24 - 2010-01-30,72
2010-01-31 - 2010-02-06,74
2010-02-07 - 2010-02-13,74
2010-02-14 - 2010-02-20,71
2010-02-21 - 2010-02-27,73
2010-02-28 - 2010-03-06,75
2010-03-07 - 2010-03-13,74
2010-03-14 - 2010-03-20,72
2010-03-21 - 2010-03-27,73
2010-03-28 - 2010-04-03,69
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,75
2010-04-18 - 2010-04-24,75
2010-04-25 - 2010-05-01,74
2010-05-02 - 2010-05-08,77
2010-05-09 - 2010-05-15,73
2010-05-16 - 2010-05-22,70
2010-05-23 - 2010-05-29,69
2010-05-30 - 2010-06-05,62
2010-06-06 - 2010-06-12,60
2010-06-13 - 2010-06-19,55
2010-06-20 - 2010-06-26,53
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,52
2010-07-18 - 2010-07-24,52
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,51
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,52
2010-08-22 - 2010-08-28,54
2010-08-29 - 2010-09-04,60
2010-09-05 - 2010-09-11,62
2010-09-12 - 2010-09-18,68
2010-09-19 - 2010-09-25,83
2010-09-26 - 2010-10-02,80
2010-10-03 - 2010-10-09,81
2010-10-10 - 2010-10-16,80
2010-10-17 - 2010-10-23,80
2010-10-24 - 2010-10-30,77
2010-10-31 - 2010-11-06,81
2010-11-07 - 2010-11-13,78
2010-11-14 - 2010-11-20,79
2010-11-21 - 2010-11-27,74
2010-11-28 - 2010-12-04,76
2010-12-05 - 2010-12-11,80
2010-12-12 - 2010-12-18,73
2010-12-19 - 2010-12-25,54
2010-12-26 - 2011-01-01,52
2011-01-02 - 2011-01-08,69
2011-01-09 - 2011-01-15,71
2011-01-16 - 2011-01-22,74
2011-01-23 - 2011-01-29,74
2011-01-30 - 2011-02-05,74
2011-02-06 - 2011-02-12,74
2011-02-13 - 2011-02-19,74
2011-02-20 - 2011-02-26,72
2011-02-27 - 2011-03-05,76
2011-03-06 - 2011-03-12,77
2011-03-13 - 2011-03-19,70
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,76
2011-04-10 - 2011-04-16,74
2011-04-17 - 2011-04-23,71
2011-04-24 - 2011-04-30,77
2011-05-01 - 2011-05-07,77
2011-05-08 - 2011-05-14,75
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,69
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,63
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,54
2011-07-10 - 2011-07-16,56
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,55
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,58
2011-08-28 - 2011-09-03,60
2011-09-04 - 2011-09-10,67
2011-09-11 - 2011-09-17,74
2011-09-18 - 2011-09-24,93
2011-09-25 - 2011-10-01,89
2011-10-02 - 2011-10-08,84
2011-10-09 - 2011-10-15,88
2011-10-16 - 2011-10-22,86
2011-10-23 - 2011-10-29,85
2011-10-30 - 2011-11-05,89
2011-11-06 - 2011-11-12,88
2011-11-13 - 2011-11-19,89
2011-11-20 - 2011-11-26,83
2011-11-27 - 2011-12-03,88
2011-12-04 - 2011-12-10,89
2011-12-11 - 2011-12-17,84
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,63
2012-01-01 - 2012-01-07,78
2012-01-08 - 2012-01-14,85
2012-01-15 - 2012-01-21,83
2012-01-22 - 2012-01-28,87
2012-01-29 - 2012-02-04,83
2012-02-05 - 2012-02-11,83
2012-02-12 - 2012-02-18,83
2012-02-19 - 2012-02-25,85
2012-02-26 - 2012-03-03,88
2012-03-04 - 2012-03-10,87
2012-03-11 - 2012-03-17,84
2012-03-18 - 2012-03-24,82
2012-03-25 - 2012-03-31,81
2012-04-01 - 2012-04-07,80
2012-04-08 - 2012-04-14,80
2012-04-15 - 2012-04-21,82
2012-04-22 - 2012-04-28,85
2012-04-29 - 2012-05-05,85
2012-05-06 - 2012-05-12,84
2012-05-13 - 2012-05-19,76
2012-05-20 - 2012-05-26,71
2012-05-27 - 2012-06-02,66
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,64
2012-06-17 - 2012-06-23,62
2012-06-24 - 2012-06-30,60
2012-07-01 - 2012-07-07,61
2012-07-08 - 2012-07-14,62
2012-07-15 - 2012-07-21,62
2012-07-22 - 2012-07-28,61
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,57
2012-08-12 - 2012-08-18,61
2012-08-19 - 2012-08-25,64
2012-08-26 - 2012-09-01,67
2012-09-02 - 2012-09-08,73
2012-09-09 - 2012-09-15,77
2012-09-16 - 2012-09-22,80
2012-09-23 - 2012-09-29,88
2012-09-30 - 2012-10-06,84
2012-10-07 - 2012-10-13,83
2012-10-14 - 2012-10-20,83
2012-10-21 - 2012-10-27,83
2012-10-28 - 2012-11-03,79
2012-11-04 - 2012-11-10,90
2012-11-11 - 2012-11-17,85
2012-11-18 - 2012-11-24,82
2012-11-25 - 2012-12-01,86
2012-12-02 - 2012-12-08,84
2012-12-09 - 2012-12-15,86
2012-12-16 - 2012-12-22,73
2012-12-23 - 2012-12-29,61
2012-12-30 - 2013-01-05,71
2013-01-06 - 2013-01-12,82
2013-01-13 - 2013-01-19,84
2013-01-20 - 2013-01-26,81
2013-01-27 - 2013-02-02,83
2013-02-03 - 2013-02-09,86
2013-02-10 - 2013-02-16,84
2013-02-17 - 2013-02-23,82
2013-02-24 - 2013-03-02,83
2013-03-03 - 2013-03-09,85
2013-03-10 - 2013-03-16,81
2013-03-17 - 2013-03-23,79
2013-03-24 - 2013-03-30,72
2013-03-31 - 2013-04-06,76
2013-04-07 - 2013-04-13,81
2013-04-14 - 2013-04-20,81
2013-04-21 - 2013-04-27,82
2013-04-28 - 2013-05-04,82
2013-05-05 - 2013-05-11,80
2013-05-12 - 2013-05-18,80
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,65
2013-06-02 - 2013-06-08,65
2013-06-09 - 2013-06-15,64
2013-06-16 - 2013-06-22,60
2013-06-23 - 2013-06-29,59
2013-06-30 - 2013-07-06,56
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,59
2013-07-21 - 2013-07-27,60
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,58
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,63
2013-09-01 - 2013-09-07,68
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,76
2013-09-22 - 2013-09-28,88
2013-09-29 - 2013-10-05,86
2013-10-06 - 2013-10-12,82
2013-10-13 - 2013-10-19,81
2013-10-20 - 2013-10-26,82
2013-10-27 - 2013-11-02,81
2013-11-03 - 2013-11-09,83
2013-11-10 - 2013-11-16,80
2013-11-17 - 2013-11-23,80
2013-11-24 - 2013-11-30,73
2013-12-01 - 2013-12-07,80
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,69
2013-12-22 - 2013-12-28,54
2013-12-29 - 2014-01-04,65
2014-01-05 - 2014-01-11,75
2014-01-12 - 2014-01-18,77
2014-01-19 - 2014-01-25,77
2014-01-26 - 2014-02-01,79
2014-02-02 - 2014-02-08,80
2014-02-09 - 2014-02-15,78
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,81
2014-03-02 - 2014-03-08,79
2014-03-09 - 2014-03-15,79
2014-03-16 - 2014-03-22,80
2014-03-23 - 2014-03-29,76
2014-03-30 - 2014-04-05,78
2014-04-06 - 2014-04-12,77
2014-04-13 - 2014-04-19,74
2014-04-20 - 2014-04-26,77
2014-04-27 - 2014-05-03,80
2014-05-04 - 2014-05-10,78
2014-05-11 - 2014-05-17,78
2014-05-18 - 2014-05-24,72
2014-05-25 - 2014-05-31,64
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,59
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,57
2014-06-29 - 2014-07-05,54
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,54
2014-07-20 - 2014-07-26,56
2014-07-27 - 2014-08-02,56
2014-08-03 - 2014-08-09,61
2014-08-10 - 2014-08-16,57
2014-08-17 - 2014-08-23,59
2014-08-24 - 2014-08-30,64
2014-08-31 - 2014-09-06,67
2014-09-07 - 2014-09-13,72
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,88
2014-09-28 - 2014-10-04,82
2014-10-05 - 2014-10-11,82
2014-10-12 - 2014-10-18,82
2014-10-19 - 2014-10-25,78
2014-10-26 - 2014-11-01,83
2014-11-02 - 2014-11-08,90
2014-11-09 - 2014-11-15,90
2014-11-16 - 2014-11-22,85
2014-11-23 - 2014-11-29,80
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,86
2014-12-14 - 2014-12-20,73
2014-12-21 - 2014-12-27,58
2014-12-28 - 2015-01-03,64
2015-01-04 - 2015-01-10,77
2015-01-11 - 2015-01-17,85
2015-01-18 - 2015-01-24,82
2015-01-25 - 2015-01-31,83
2015-02-01 - 2015-02-07,82
2015-02-08 - 2015-02-14,86
2015-02-15 - 2015-02-21,86
2015-02-22 - 2015-02-28,97
2015-03-01 - 2015-03-07,87
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,79
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,72
2015-04-05 - 2015-04-11,73
2015-04-12 - 2015-04-18,75
2015-04-19 - 2015-04-25,74
2015-04-26 - 2015-05-02,76
2015-05-03 - 2015-05-09,78
2015-05-10 - 2015-05-16,75
2015-05-17 - 2015-05-23,67
2015-05-24 - 2015-05-30,65
2015-05-31 - 2015-06-06,64
2015-06-07 - 2015-06-13,61
2015-06-14 - 2015-06-20,59
2015-06-21 - 2015-06-27,57
2015-06-28 - 2015-07-04,54
2015-07-05 - 2015-07-11,54
2015-07-12 - 2015-07-18,54
2015-07-19 - 2015-07-25,54
2015-07-26 - 2015-08-01,56
2015-08-02 - 2015-08-08,55
2015-08-09 - 2015-08-15,57
2015-08-16 - 2015-08-22,59
2015-08-23 - 2015-08-29,63
2015-08-30 - 2015-09-05,65
2015-09-06 - 2015-09-12,69
2015-09-13 - 2015-09-19,73
2015-09-20 - 2015-09-26,81
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,79
2015-10-11 - 2015-10-17,77
2015-10-18 - 2015-10-24,77
2015-10-25 - 2015-10-31,77
2015-11-01 - 2015-11-07,82
2015-11-08 - 2015-11-14,77
2015-11-15 - 2015-11-21,78
2015-11-22 - 2015-11-28,70
2015-11-29 - 2015-12-05,78
2015-12-06 - 2015-12-12,81
2015-12-13 - 2015-12-19,78
2015-12-20 - 2015-12-26,56
2015-12-27 - 2016-01-02,57
2016-01-03 - 2016-01-09,72
2016-01-10 - 2016-01-16,72
2016-01-17 - 2016-01-23,74
2016-01-24 - 2016-01-30,78
2016-01-31 - 2016-02-06,75
2016-02-07 - 2016-02-13,76
2016-02-14 - 2016-02-20,74
2016-02-21 - 2016-02-27,79
2016-02-28 - 2016-03-05,76
2016-03-06 - 2016-03-12,76
2016-03-13 - 2016-03-19,73
2016-03-20 - 2016-03-26,68
2016-03-27 - 2016-04-02,68
2016-04-03 - 2016-04-09,73
2016-04-10 - 2016-04-16,74
2016-04-17 - 2016-04-23,73
2016-04-24 - 2016-04-30,74
2016-05-01 - 2016-05-07,73
2016-05-08 - 2016-05-14,71
2016-05-15 - 2016-05-21,68
2016-05-22 - 2016-05-28,63
2016-05-29 - 2016-06-04,59
2016-06-05 - 2016-06-11,59
2016-06-12 - 2016-06-18,57
2016-06-19 - 2016-06-25,55
2016-06-26 - 2016-07-02,53


Top regions for geometric+measure+theory
Region,geometric+measure+theory
Jamaica,100
Kenya,99
Nigeria,96
Tanzania,84
Philippines,78
Ghana,76
United Kingdom,68
Singapore,63
Ireland,60
Australia,51
United States,50
South Africa,50
New Zealand,49
Canada,47
Sri Lanka,46
Pakistan,41
India,38
Bangladesh,36
Hong Kong,35
Malaysia,35
Czech Republic,34
United Arab Emirates,27
Norway,25
South Korea,21
Sweden,21
Italy,19
Greece,19
Denmark,18
Switzerland,17
Croatia,17
Austria,17
Netherlands,17
Belgium,15
Israel,15
Germany,15
Slovakia,15
Iran,15
Finland,14
Mexico,13
Portugal,12
Serbia,12
Spain,11
Chile,11
Taiwan,11
Indonesia,11
Romania,10
Hungary,10
France,10
Egypt,10
Argentina,9
China,9
Brazil,9
Peru,8
Colombia,8
Thailand,7
Saudi Arabia,7
Poland,7
Turkey,6
Venezuela,6
Russia,4
Vietnam,3
Japan,3


Top cities for geometric+measure+theory
City,geometric+measure+theory
Birmingham (United Kingdom),100
Quezon City (Philippines),99
Manchester (United Kingdom),91
Singapore (Singapore),85
Dublin (Ireland),77
London (United Kingdom),76
Melbourne (Australia),68
Sydney (Australia),68
Toronto (Canada),65
Los Angeles (United States),61
New York (United States),60
Washington (United States),58
Bangalore (India),57
San Francisco (United States),57
Houston (United States),56



Top searches for geometric+measure+theory
big bang theory,100
big bang,100
the big bang,45
theory test,15
measure for measure,10
theory definition,5
game theory,5
theory of everything,5
driving theory test,5
music theory,5
learning theory,5
kaley cuoco,5
cell theory,5
chaos theory,5
penny,5
conspiracy theory,5
tape measure,5
string theory,5
orange theory,0
number theory,0
theory of evolution,0
atomic theory,0
theory of relativity,0
systems theory,0
practice theory test,0
book theory test,0
quantum theory,0
scientific theory,0
set theory,0
online theory test,0
dvla,0
melissa rauch,0
geometric shapes,0
dvla theory test,0
graph theory,0
conflict theory,0
geometric series,0
critical theory,0
geometric mean,0
social learning theory,0
booking theory test,0
attachment theory,0
color theory,0
jim parsons,0
hybrid theory,0
read theory,0
dsa,0
geometric sequence,0
theory of mind,0
piaget theory,0



Rising searches for geometric+measure+theory
kaley cuoco,Breakout
penny,Breakout
big bang theory,+2,900%
big bang,+2,750%
the big bang,+2,650%
orange theory,+2,000%
theory of everything,+900%
practice theory test,+150%
book theory test,+130%
measure for measure,+60%



