Web Search interest: database
Worldwide 2004 - present

Interest over time
Week,database
2006-09-10 - 2006-09-16,58
2006-09-17 - 2006-09-23,57
2006-09-24 - 2006-09-30,57
2006-10-01 - 2006-10-07,56
2006-10-08 - 2006-10-14,58
2006-10-15 - 2006-10-21,55
2006-10-22 - 2006-10-28,56
2006-10-29 - 2006-11-04,57
2006-11-05 - 2006-11-11,57
2006-11-12 - 2006-11-18,57
2006-11-19 - 2006-11-25,52
2006-11-26 - 2006-12-02,55
2006-12-03 - 2006-12-09,55
2006-12-10 - 2006-12-16,53
2006-12-17 - 2006-12-23,50
2006-12-24 - 2006-12-30,42
2006-12-31 - 2007-01-06,49
2007-01-07 - 2007-01-13,54
2007-01-14 - 2007-01-20,54
2007-01-21 - 2007-01-27,55
2007-01-28 - 2007-02-03,55
2007-02-04 - 2007-02-10,55
2007-02-11 - 2007-02-17,53
2007-02-18 - 2007-02-24,54
2007-02-25 - 2007-03-03,54
2007-03-04 - 2007-03-10,54
2007-03-11 - 2007-03-17,54
2007-03-18 - 2007-03-24,53
2007-03-25 - 2007-03-31,54
2007-04-01 - 2007-04-07,52
2007-04-08 - 2007-04-14,51
2007-04-15 - 2007-04-21,52
2007-04-22 - 2007-04-28,52
2007-04-29 - 2007-05-05,51
2007-05-06 - 2007-05-12,52
2007-05-13 - 2007-05-19,53
2007-05-20 - 2007-05-26,52
2007-05-27 - 2007-06-02,50
2007-06-03 - 2007-06-09,52
2007-06-10 - 2007-06-16,52
2007-06-17 - 2007-06-23,51
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,49
2007-07-08 - 2007-07-14,52
2007-07-15 - 2007-07-21,51
2007-07-22 - 2007-07-28,51
2007-07-29 - 2007-08-04,50
2007-08-05 - 2007-08-11,50
2007-08-12 - 2007-08-18,49
2007-08-19 - 2007-08-25,49
2007-08-26 - 2007-09-01,48
2007-09-02 - 2007-09-08,47
2007-09-09 - 2007-09-15,50
2007-09-16 - 2007-09-22,50
2007-09-23 - 2007-09-29,49
2007-09-30 - 2007-10-06,49
2007-10-07 - 2007-10-13,50
2007-10-14 - 2007-10-20,49
2007-10-21 - 2007-10-27,48
2007-10-28 - 2007-11-03,49
2007-11-04 - 2007-11-10,47
2007-11-11 - 2007-11-17,49
2007-11-18 - 2007-11-24,50
2007-11-25 - 2007-12-01,52
2007-12-02 - 2007-12-08,53
2007-12-09 - 2007-12-15,48
2007-12-16 - 2007-12-22,44
2007-12-23 - 2007-12-29,37
2007-12-30 - 2008-01-05,41
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,48
2008-01-27 - 2008-02-02,49
2008-02-03 - 2008-02-09,48
2008-02-10 - 2008-02-16,48
2008-02-17 - 2008-02-23,48
2008-02-24 - 2008-03-01,49
2008-03-02 - 2008-03-08,48
2008-03-09 - 2008-03-15,48
2008-03-16 - 2008-03-22,46
2008-03-23 - 2008-03-29,47
2008-03-30 - 2008-04-05,47
2008-04-06 - 2008-04-12,47
2008-04-13 - 2008-04-19,47
2008-04-20 - 2008-04-26,47
2008-04-27 - 2008-05-03,45
2008-05-04 - 2008-05-10,45
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,45
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,45
2008-06-15 - 2008-06-21,46
2008-06-22 - 2008-06-28,46
2008-06-29 - 2008-07-05,43
2008-07-06 - 2008-07-12,46
2008-07-13 - 2008-07-19,46
2008-07-20 - 2008-07-26,47
2008-07-27 - 2008-08-02,45
2008-08-03 - 2008-08-09,45
2008-08-10 - 2008-08-16,43
2008-08-17 - 2008-08-23,44
2008-08-24 - 2008-08-30,43
2008-08-31 - 2008-09-06,42
2008-09-07 - 2008-09-13,45
2008-09-14 - 2008-09-20,45
2008-09-21 - 2008-09-27,45
2008-09-28 - 2008-10-04,43
2008-10-05 - 2008-10-11,44
2008-10-12 - 2008-10-18,46
2008-10-19 - 2008-10-25,46
2008-10-26 - 2008-11-01,44
2008-11-02 - 2008-11-08,44
2008-11-09 - 2008-11-15,45
2008-11-16 - 2008-11-22,46
2008-11-23 - 2008-11-29,42
2008-11-30 - 2008-12-06,45
2008-12-07 - 2008-12-13,44
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,34
2008-12-28 - 2009-01-03,35
2009-01-04 - 2009-01-10,43
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,44
2009-01-25 - 2009-01-31,44
2009-02-01 - 2009-02-07,44
2009-02-08 - 2009-02-14,44
2009-02-15 - 2009-02-21,45
2009-02-22 - 2009-02-28,45
2009-03-01 - 2009-03-07,45
2009-03-08 - 2009-03-14,44
2009-03-15 - 2009-03-21,45
2009-03-22 - 2009-03-28,45
2009-03-29 - 2009-04-04,45
2009-04-05 - 2009-04-11,44
2009-04-12 - 2009-04-18,43
2009-04-19 - 2009-04-25,45
2009-04-26 - 2009-05-02,43
2009-05-03 - 2009-05-09,43
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,42
2009-05-31 - 2009-06-06,42
2009-06-07 - 2009-06-13,42
2009-06-14 - 2009-06-20,42
2009-06-21 - 2009-06-27,42
2009-06-28 - 2009-07-04,40
2009-07-05 - 2009-07-11,42
2009-07-12 - 2009-07-18,42
2009-07-19 - 2009-07-25,42
2009-07-26 - 2009-08-01,42
2009-08-02 - 2009-08-08,42
2009-08-09 - 2009-08-15,41
2009-08-16 - 2009-08-22,42
2009-08-23 - 2009-08-29,41
2009-08-30 - 2009-09-05,40
2009-09-06 - 2009-09-12,41
2009-09-13 - 2009-09-19,42
2009-09-20 - 2009-09-26,41
2009-09-27 - 2009-10-03,40
2009-10-04 - 2009-10-10,43
2009-10-11 - 2009-10-17,42
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,43
2009-11-01 - 2009-11-07,43
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,44
2009-11-22 - 2009-11-28,40
2009-11-29 - 2009-12-05,42
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,40
2009-12-20 - 2009-12-26,34
2009-12-27 - 2010-01-02,33
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,42
2010-01-31 - 2010-02-06,43
2010-02-07 - 2010-02-13,42
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,42
2010-02-28 - 2010-03-06,43
2010-03-07 - 2010-03-13,44
2010-03-14 - 2010-03-20,42
2010-03-21 - 2010-03-27,43
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,41
2010-04-18 - 2010-04-24,42
2010-04-25 - 2010-05-01,42
2010-05-02 - 2010-05-08,41
2010-05-09 - 2010-05-15,41
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,39
2010-05-30 - 2010-06-05,38
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,39
2010-06-20 - 2010-06-26,39
2010-06-27 - 2010-07-03,37
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,37
2010-07-18 - 2010-07-24,38
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,37
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,36
2010-08-29 - 2010-09-04,35
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,36
2010-09-19 - 2010-09-25,37
2010-09-26 - 2010-10-02,37
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,37
2010-10-17 - 2010-10-23,37
2010-10-24 - 2010-10-30,36
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,36
2010-11-14 - 2010-11-20,36
2010-11-21 - 2010-11-27,34
2010-11-28 - 2010-12-04,35
2010-12-05 - 2010-12-11,35
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,30
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,33
2011-01-09 - 2011-01-15,35
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,36
2011-03-06 - 2011-03-12,35
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,36
2011-03-27 - 2011-04-02,35
2011-04-03 - 2011-04-09,35
2011-04-10 - 2011-04-16,35
2011-04-17 - 2011-04-23,35
2011-04-24 - 2011-04-30,34
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,35
2011-05-15 - 2011-05-21,34
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,32
2011-06-05 - 2011-06-11,33
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,34
2011-06-26 - 2011-07-02,33
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,33
2011-07-17 - 2011-07-23,34
2011-07-24 - 2011-07-30,33
2011-07-31 - 2011-08-06,33
2011-08-07 - 2011-08-13,32
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,31
2011-08-28 - 2011-09-03,30
2011-09-04 - 2011-09-10,31
2011-09-11 - 2011-09-17,32
2011-09-18 - 2011-09-24,33
2011-09-25 - 2011-10-01,34
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,33
2011-10-16 - 2011-10-22,33
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,33
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,31
2011-11-27 - 2011-12-03,33
2011-12-04 - 2011-12-10,32
2011-12-11 - 2011-12-17,31
2011-12-18 - 2011-12-24,28
2011-12-25 - 2011-12-31,24
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,31
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,33
2012-02-12 - 2012-02-18,33
2012-02-19 - 2012-02-25,33
2012-02-26 - 2012-03-03,34
2012-03-04 - 2012-03-10,33
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,34
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,32
2012-06-24 - 2012-06-30,31
2012-07-01 - 2012-07-07,30
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,32
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,31
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,31
2012-09-09 - 2012-09-15,32
2012-09-16 - 2012-09-22,32
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,32
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,30
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,29
2012-11-25 - 2012-12-01,31
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,30
2012-12-16 - 2012-12-22,27
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,30
2013-01-13 - 2013-01-19,30
2013-01-20 - 2013-01-26,30
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,31
2013-02-10 - 2013-02-16,30
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,31
2013-03-03 - 2013-03-09,32
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,29
2013-04-07 - 2013-04-13,31
2013-04-14 - 2013-04-20,31
2013-04-21 - 2013-04-27,31
2013-04-28 - 2013-05-04,29
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,28
2013-05-26 - 2013-06-01,27
2013-06-02 - 2013-06-08,28
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,27
2013-08-25 - 2013-08-31,27
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,28
2013-09-15 - 2013-09-21,29
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,29
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,28
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,29
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,26
2013-12-22 - 2013-12-28,20
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,28
2014-01-12 - 2014-01-18,28
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,29
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,29
2014-03-02 - 2014-03-08,30
2014-03-09 - 2014-03-15,30
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,30
2014-03-30 - 2014-04-05,29
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,28
2014-04-20 - 2014-04-26,27
2014-04-27 - 2014-05-03,27
2014-05-04 - 2014-05-10,28
2014-05-11 - 2014-05-17,28
2014-05-18 - 2014-05-24,28
2014-05-25 - 2014-05-31,26
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,27
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,26
2014-09-07 - 2014-09-13,27
2014-09-14 - 2014-09-20,28
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,28
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,28
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,29
2014-11-16 - 2014-11-22,29
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,27
2014-12-07 - 2014-12-13,27
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,27
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,27
2015-02-22 - 2015-02-28,28
2015-03-01 - 2015-03-07,27
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,28
2015-03-29 - 2015-04-04,27
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,26
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,26
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,24
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,24
2015-08-09 - 2015-08-15,24
2015-08-16 - 2015-08-22,28
2015-08-23 - 2015-08-29,26
2015-08-30 - 2015-09-05,25
2015-09-06 - 2015-09-12,25
2015-09-13 - 2015-09-19,26
2015-09-20 - 2015-09-26,25
2015-09-27 - 2015-10-03,26
2015-10-04 - 2015-10-10,27
2015-10-11 - 2015-10-17,26
2015-10-18 - 2015-10-24,25
2015-10-25 - 2015-10-31,26
2015-11-01 - 2015-11-07,26
2015-11-08 - 2015-11-14,25
2015-11-15 - 2015-11-21,27
2015-11-22 - 2015-11-28,24
2015-11-29 - 2015-12-05,25
2015-12-06 - 2015-12-12,25
2015-12-13 - 2015-12-19,24
2015-12-20 - 2015-12-26,19
2015-12-27 - 2016-01-02,17
2016-01-03 - 2016-01-09,24
2016-01-10 - 2016-01-16,25
2016-01-17 - 2016-01-23,26
2016-01-24 - 2016-01-30,26
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,25
2016-02-14 - 2016-02-20,26
2016-02-21 - 2016-02-27,27
2016-02-28 - 2016-03-05,26
2016-03-06 - 2016-03-12,26
2016-03-13 - 2016-03-19,27
2016-03-20 - 2016-03-26,24
2016-03-27 - 2016-04-02,25
2016-04-03 - 2016-04-09,27
2016-04-10 - 2016-04-16,27
2016-04-17 - 2016-04-23,27
2016-04-24 - 2016-04-30,26
2016-05-01 - 2016-05-07,25
2016-05-08 - 2016-05-14,26
2016-05-15 - 2016-05-21,25
2016-05-22 - 2016-05-28,24
2016-05-29 - 2016-06-04,24
2016-06-05 - 2016-06-11,24
2016-06-12 - 2016-06-18,24
2016-06-19 - 2016-06-25,23
2016-06-26 - 2016-07-02,14


Top regions for database
Region,database
India,100
Sri Lanka,89
Kenya,79
South Africa,74
Singapore,72
Philippines,69
Bangladesh,62
Pakistan,62
New Zealand,59
Nigeria,57
Hong Kong,56
Australia,52
United States,52
United Kingdom,47
Indonesia,47
Malaysia,46
Canada,45
Netherlands,44
Ireland,44
Denmark,39
United Arab Emirates,37
Norway,36
Czech Republic,35
Belgium,33
Sweden,30
Portugal,29
Switzerland,28
Finland,28
Slovenia,28
Italy,27
Romania,24
Israel,24
Greece,24
Iran,23
South Korea,23
Croatia,23
Hungary,22
Lithuania,22
Slovakia,21
Serbia,21
Austria,21
Egypt,20
Bulgaria,19
Germany,19
Thailand,17
Taiwan,16
China,15
Vietnam,15
Saudi Arabia,14
Poland,13
Spain,13
France,13
Brazil,12
Russia,12
Ukraine,11
Morocco,10
Chile,10
Mexico,9
Argentina,9
Turkey,8
Colombia,8
Japan,8
Peru,7


Top cities for database
City,database
Bangalore (India),100
Chennai (India),97
Hyderabad (India),95
Mumbai (India),62
Singapore (Singapore),48
Pune (India),44
Washington (United States),42
New Delhi (India),40
San Francisco (United States),36
Toronto (Canada),35
Amsterdam (Netherlands),32
London (United Kingdom),31
Houston (United States),30
New York (United States),30
Chicago (United States),28



Top searches for database
sql database,100
sql,100
oracle,60
mysql,55
oracle database,55
mysql database,55
access database,55
sql server,45
create database,45
free database,30
php,25
what is database,25
database management,20
movie database,20
online database,20
database software,20
microsoft database,20
database tutorial,15
google database,15
database design,15
excel database,15
database schema,10
create database mysql,10
relational database,10
microsoft access,10
sqlite,5
database management system,5
internet movie database,5
database administrator,5
xml database,5
database ragnarok,5
postgresql,5
phpmyadmin,5
music database,5
names database,5
oracle database download,5
pokemon database,5
free database software,5
free rider database,5
aion,5
aion database,5
database architecture,5
open source database,5
free rider 2,5
ultimate database,5
database normalization,5
normalization,5
pes database,5
database testing,5
coupon database,5



Rising searches for database
sqlite,+900%
google database,+650%
create database mysql,+60%
database management system,+60%
excel database,+60%
sql server,+60%
what is database,+60%
create database,+50%
database schema,+40%
sql,+40%



