Web Search interest: liver
Worldwide 2004 - present

Interest over time
Week,liver
2005-05-29 - 2005-06-04,81
2005-06-05 - 2005-06-11,87
2005-06-12 - 2005-06-18,85
2005-06-19 - 2005-06-25,86
2005-06-26 - 2005-07-02,84
2005-07-03 - 2005-07-09,81
2005-07-10 - 2005-07-16,84
2005-07-17 - 2005-07-23,86
2005-07-24 - 2005-07-30,88
2005-07-31 - 2005-08-06,86
2005-08-07 - 2005-08-13,88
2005-08-14 - 2005-08-20,92
2005-08-21 - 2005-08-27,86
2005-08-28 - 2005-09-03,82
2005-09-04 - 2005-09-10,76
2005-09-11 - 2005-09-17,84
2005-09-18 - 2005-09-24,83
2005-09-25 - 2005-10-01,87
2005-10-02 - 2005-10-08,90
2005-10-09 - 2005-10-15,88
2005-10-16 - 2005-10-22,87
2005-10-23 - 2005-10-29,87
2005-10-30 - 2005-11-05,89
2005-11-06 - 2005-11-12,86
2005-11-13 - 2005-11-19,88
2005-11-20 - 2005-11-26,80
2005-11-27 - 2005-12-03,89
2005-12-04 - 2005-12-10,88
2005-12-11 - 2005-12-17,80
2005-12-18 - 2005-12-24,77
2005-12-25 - 2005-12-31,79
2006-01-01 - 2006-01-07,89
2006-01-08 - 2006-01-14,89
2006-01-15 - 2006-01-21,88
2006-01-22 - 2006-01-28,84
2006-01-29 - 2006-02-04,87
2006-02-05 - 2006-02-11,85
2006-02-12 - 2006-02-18,84
2006-02-19 - 2006-02-25,83
2006-02-26 - 2006-03-04,90
2006-03-05 - 2006-03-11,86
2006-03-12 - 2006-03-18,87
2006-03-19 - 2006-03-25,87
2006-03-26 - 2006-04-01,85
2006-04-02 - 2006-04-08,85
2006-04-09 - 2006-04-15,85
2006-04-16 - 2006-04-22,87
2006-04-23 - 2006-04-29,88
2006-04-30 - 2006-05-06,87
2006-05-07 - 2006-05-13,86
2006-05-14 - 2006-05-20,83
2006-05-21 - 2006-05-27,81
2006-05-28 - 2006-06-03,75
2006-06-04 - 2006-06-10,82
2006-06-11 - 2006-06-17,81
2006-06-18 - 2006-06-24,80
2006-06-25 - 2006-07-01,76
2006-07-02 - 2006-07-08,75
2006-07-09 - 2006-07-15,80
2006-07-16 - 2006-07-22,79
2006-07-23 - 2006-07-29,82
2006-07-30 - 2006-08-05,81
2006-08-06 - 2006-08-12,78
2006-08-13 - 2006-08-19,79
2006-08-20 - 2006-08-26,78
2006-08-27 - 2006-09-02,75
2006-09-03 - 2006-09-09,75
2006-09-10 - 2006-09-16,79
2006-09-17 - 2006-09-23,78
2006-09-24 - 2006-09-30,81
2006-10-01 - 2006-10-07,78
2006-10-08 - 2006-10-14,79
2006-10-15 - 2006-10-21,80
2006-10-22 - 2006-10-28,79
2006-10-29 - 2006-11-04,81
2006-11-05 - 2006-11-11,78
2006-11-12 - 2006-11-18,81
2006-11-19 - 2006-11-25,74
2006-11-26 - 2006-12-02,76
2006-12-03 - 2006-12-09,75
2006-12-10 - 2006-12-16,75
2006-12-17 - 2006-12-23,71
2006-12-24 - 2006-12-30,64
2006-12-31 - 2007-01-06,76
2007-01-07 - 2007-01-13,78
2007-01-14 - 2007-01-20,77
2007-01-21 - 2007-01-27,79
2007-01-28 - 2007-02-03,77
2007-02-04 - 2007-02-10,75
2007-02-11 - 2007-02-17,75
2007-02-18 - 2007-02-24,75
2007-02-25 - 2007-03-03,76
2007-03-04 - 2007-03-10,76
2007-03-11 - 2007-03-17,77
2007-03-18 - 2007-03-24,79
2007-03-25 - 2007-03-31,82
2007-04-01 - 2007-04-07,79
2007-04-08 - 2007-04-14,76
2007-04-15 - 2007-04-21,75
2007-04-22 - 2007-04-28,77
2007-04-29 - 2007-05-05,78
2007-05-06 - 2007-05-12,75
2007-05-13 - 2007-05-19,78
2007-05-20 - 2007-05-26,76
2007-05-27 - 2007-06-02,73
2007-06-03 - 2007-06-09,77
2007-06-10 - 2007-06-16,74
2007-06-17 - 2007-06-23,74
2007-06-24 - 2007-06-30,72
2007-07-01 - 2007-07-07,69
2007-07-08 - 2007-07-14,74
2007-07-15 - 2007-07-21,73
2007-07-22 - 2007-07-28,73
2007-07-29 - 2007-08-04,72
2007-08-05 - 2007-08-11,73
2007-08-12 - 2007-08-18,73
2007-08-19 - 2007-08-25,72
2007-08-26 - 2007-09-01,71
2007-09-02 - 2007-09-08,69
2007-09-09 - 2007-09-15,74
2007-09-16 - 2007-09-22,76
2007-09-23 - 2007-09-29,76
2007-09-30 - 2007-10-06,76
2007-10-07 - 2007-10-13,75
2007-10-14 - 2007-10-20,74
2007-10-21 - 2007-10-27,75
2007-10-28 - 2007-11-03,80
2007-11-04 - 2007-11-10,76
2007-11-11 - 2007-11-17,75
2007-11-18 - 2007-11-24,72
2007-11-25 - 2007-12-01,78
2007-12-02 - 2007-12-08,78
2007-12-09 - 2007-12-15,70
2007-12-16 - 2007-12-22,66
2007-12-23 - 2007-12-29,61
2007-12-30 - 2008-01-05,74
2008-01-06 - 2008-01-12,77
2008-01-13 - 2008-01-19,76
2008-01-20 - 2008-01-26,78
2008-01-27 - 2008-02-02,77
2008-02-03 - 2008-02-09,77
2008-02-10 - 2008-02-16,75
2008-02-17 - 2008-02-23,77
2008-02-24 - 2008-03-01,77
2008-03-02 - 2008-03-08,77
2008-03-09 - 2008-03-15,76
2008-03-16 - 2008-03-22,72
2008-03-23 - 2008-03-29,78
2008-03-30 - 2008-04-05,76
2008-04-06 - 2008-04-12,77
2008-04-13 - 2008-04-19,79
2008-04-20 - 2008-04-26,77
2008-04-27 - 2008-05-03,80
2008-05-04 - 2008-05-10,77
2008-05-11 - 2008-05-17,74
2008-05-18 - 2008-05-24,72
2008-05-25 - 2008-05-31,69
2008-06-01 - 2008-06-07,71
2008-06-08 - 2008-06-14,70
2008-06-15 - 2008-06-21,70
2008-06-22 - 2008-06-28,69
2008-06-29 - 2008-07-05,66
2008-07-06 - 2008-07-12,70
2008-07-13 - 2008-07-19,71
2008-07-20 - 2008-07-26,71
2008-07-27 - 2008-08-02,72
2008-08-03 - 2008-08-09,71
2008-08-10 - 2008-08-16,71
2008-08-17 - 2008-08-23,70
2008-08-24 - 2008-08-30,68
2008-08-31 - 2008-09-06,66
2008-09-07 - 2008-09-13,73
2008-09-14 - 2008-09-20,75
2008-09-21 - 2008-09-27,72
2008-09-28 - 2008-10-04,73
2008-10-05 - 2008-10-11,71
2008-10-12 - 2008-10-18,74
2008-10-19 - 2008-10-25,72
2008-10-26 - 2008-11-01,72
2008-11-02 - 2008-11-08,72
2008-11-09 - 2008-11-15,75
2008-11-16 - 2008-11-22,75
2008-11-23 - 2008-11-29,67
2008-11-30 - 2008-12-06,71
2008-12-07 - 2008-12-13,71
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,57
2008-12-28 - 2009-01-03,65
2009-01-04 - 2009-01-10,75
2009-01-11 - 2009-01-17,72
2009-01-18 - 2009-01-24,71
2009-01-25 - 2009-01-31,72
2009-02-01 - 2009-02-07,74
2009-02-08 - 2009-02-14,73
2009-02-15 - 2009-02-21,72
2009-02-22 - 2009-02-28,75
2009-03-01 - 2009-03-07,75
2009-03-08 - 2009-03-14,76
2009-03-15 - 2009-03-21,75
2009-03-22 - 2009-03-28,75
2009-03-29 - 2009-04-04,75
2009-04-05 - 2009-04-11,76
2009-04-12 - 2009-04-18,73
2009-04-19 - 2009-04-25,73
2009-04-26 - 2009-05-02,75
2009-05-03 - 2009-05-09,73
2009-05-10 - 2009-05-16,73
2009-05-17 - 2009-05-23,73
2009-05-24 - 2009-05-30,66
2009-05-31 - 2009-06-06,68
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,71
2009-06-21 - 2009-06-27,74
2009-06-28 - 2009-07-04,69
2009-07-05 - 2009-07-11,68
2009-07-12 - 2009-07-18,71
2009-07-19 - 2009-07-25,72
2009-07-26 - 2009-08-01,70
2009-08-02 - 2009-08-08,71
2009-08-09 - 2009-08-15,71
2009-08-16 - 2009-08-22,71
2009-08-23 - 2009-08-29,72
2009-08-30 - 2009-09-05,68
2009-09-06 - 2009-09-12,69
2009-09-13 - 2009-09-19,73
2009-09-20 - 2009-09-26,71
2009-09-27 - 2009-10-03,70
2009-10-04 - 2009-10-10,73
2009-10-11 - 2009-10-17,74
2009-10-18 - 2009-10-24,72
2009-10-25 - 2009-10-31,71
2009-11-01 - 2009-11-07,71
2009-11-08 - 2009-11-14,73
2009-11-15 - 2009-11-21,73
2009-11-22 - 2009-11-28,65
2009-11-29 - 2009-12-05,69
2009-12-06 - 2009-12-12,68
2009-12-13 - 2009-12-19,64
2009-12-20 - 2009-12-26,56
2009-12-27 - 2010-01-02,62
2010-01-03 - 2010-01-09,68
2010-01-10 - 2010-01-16,70
2010-01-17 - 2010-01-23,70
2010-01-24 - 2010-01-30,70
2010-01-31 - 2010-02-06,70
2010-02-07 - 2010-02-13,68
2010-02-14 - 2010-02-20,71
2010-02-21 - 2010-02-27,72
2010-02-28 - 2010-03-06,72
2010-03-07 - 2010-03-13,72
2010-03-14 - 2010-03-20,72
2010-03-21 - 2010-03-27,73
2010-03-28 - 2010-04-03,71
2010-04-04 - 2010-04-10,70
2010-04-11 - 2010-04-17,70
2010-04-18 - 2010-04-24,72
2010-04-25 - 2010-05-01,73
2010-05-02 - 2010-05-08,71
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,69
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,63
2010-06-06 - 2010-06-12,65
2010-06-13 - 2010-06-19,64
2010-06-20 - 2010-06-26,63
2010-06-27 - 2010-07-03,63
2010-07-04 - 2010-07-10,64
2010-07-11 - 2010-07-17,68
2010-07-18 - 2010-07-24,68
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,68
2010-08-08 - 2010-08-14,69
2010-08-15 - 2010-08-21,70
2010-08-22 - 2010-08-28,69
2010-08-29 - 2010-09-04,66
2010-09-05 - 2010-09-11,68
2010-09-12 - 2010-09-18,71
2010-09-19 - 2010-09-25,72
2010-09-26 - 2010-10-02,73
2010-10-03 - 2010-10-09,72
2010-10-10 - 2010-10-16,71
2010-10-17 - 2010-10-23,72
2010-10-24 - 2010-10-30,70
2010-10-31 - 2010-11-06,72
2010-11-07 - 2010-11-13,71
2010-11-14 - 2010-11-20,73
2010-11-21 - 2010-11-27,66
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,69
2010-12-12 - 2010-12-18,66
2010-12-19 - 2010-12-25,60
2010-12-26 - 2011-01-01,61
2011-01-02 - 2011-01-08,71
2011-01-09 - 2011-01-15,72
2011-01-16 - 2011-01-22,75
2011-01-23 - 2011-01-29,73
2011-01-30 - 2011-02-05,70
2011-02-06 - 2011-02-12,74
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,72
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,75
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,75
2011-03-27 - 2011-04-02,73
2011-04-03 - 2011-04-09,73
2011-04-10 - 2011-04-16,74
2011-04-17 - 2011-04-23,74
2011-04-24 - 2011-04-30,69
2011-05-01 - 2011-05-07,71
2011-05-08 - 2011-05-14,74
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,67
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,69
2011-06-19 - 2011-06-25,68
2011-06-26 - 2011-07-02,65
2011-07-03 - 2011-07-09,65
2011-07-10 - 2011-07-16,68
2011-07-17 - 2011-07-23,69
2011-07-24 - 2011-07-30,67
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,68
2011-08-14 - 2011-08-20,68
2011-08-21 - 2011-08-27,68
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,69
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,72
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,74
2011-10-16 - 2011-10-22,72
2011-10-23 - 2011-10-29,70
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,77
2011-11-13 - 2011-11-19,75
2011-11-20 - 2011-11-26,70
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,68
2011-12-18 - 2011-12-24,64
2011-12-25 - 2011-12-31,62
2012-01-01 - 2012-01-07,71
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,74
2012-01-22 - 2012-01-28,74
2012-01-29 - 2012-02-04,73
2012-02-05 - 2012-02-11,74
2012-02-12 - 2012-02-18,73
2012-02-19 - 2012-02-25,77
2012-02-26 - 2012-03-03,77
2012-03-04 - 2012-03-10,73
2012-03-11 - 2012-03-17,73
2012-03-18 - 2012-03-24,73
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,71
2012-04-08 - 2012-04-14,73
2012-04-15 - 2012-04-21,74
2012-04-22 - 2012-04-28,75
2012-04-29 - 2012-05-05,76
2012-05-06 - 2012-05-12,73
2012-05-13 - 2012-05-19,74
2012-05-20 - 2012-05-26,71
2012-05-27 - 2012-06-02,68
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,69
2012-06-17 - 2012-06-23,70
2012-06-24 - 2012-06-30,69
2012-07-01 - 2012-07-07,66
2012-07-08 - 2012-07-14,70
2012-07-15 - 2012-07-21,73
2012-07-22 - 2012-07-28,71
2012-07-29 - 2012-08-04,69
2012-08-05 - 2012-08-11,70
2012-08-12 - 2012-08-18,73
2012-08-19 - 2012-08-25,71
2012-08-26 - 2012-09-01,71
2012-09-02 - 2012-09-08,71
2012-09-09 - 2012-09-15,75
2012-09-16 - 2012-09-22,75
2012-09-23 - 2012-09-29,80
2012-09-30 - 2012-10-06,76
2012-10-07 - 2012-10-13,73
2012-10-14 - 2012-10-20,73
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,70
2012-11-11 - 2012-11-17,71
2012-11-18 - 2012-11-24,68
2012-11-25 - 2012-12-01,72
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,69
2012-12-16 - 2012-12-22,65
2012-12-23 - 2012-12-29,61
2012-12-30 - 2013-01-05,70
2013-01-06 - 2013-01-12,73
2013-01-13 - 2013-01-19,72
2013-01-20 - 2013-01-26,73
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,74
2013-02-10 - 2013-02-16,73
2013-02-17 - 2013-02-23,75
2013-02-24 - 2013-03-02,75
2013-03-03 - 2013-03-09,75
2013-03-10 - 2013-03-16,74
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,73
2013-03-31 - 2013-04-06,72
2013-04-07 - 2013-04-13,76
2013-04-14 - 2013-04-20,75
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,77
2013-05-05 - 2013-05-11,74
2013-05-12 - 2013-05-18,72
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,70
2013-06-02 - 2013-06-08,72
2013-06-09 - 2013-06-15,70
2013-06-16 - 2013-06-22,69
2013-06-23 - 2013-06-29,68
2013-06-30 - 2013-07-06,67
2013-07-07 - 2013-07-13,71
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,71
2013-08-04 - 2013-08-10,70
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,71
2013-08-25 - 2013-08-31,70
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,73
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,74
2013-09-29 - 2013-10-05,74
2013-10-06 - 2013-10-12,75
2013-10-13 - 2013-10-19,74
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,74
2013-11-03 - 2013-11-09,75
2013-11-10 - 2013-11-16,78
2013-11-17 - 2013-11-23,76
2013-11-24 - 2013-11-30,67
2013-12-01 - 2013-12-07,73
2013-12-08 - 2013-12-14,71
2013-12-15 - 2013-12-21,68
2013-12-22 - 2013-12-28,64
2013-12-29 - 2014-01-04,70
2014-01-05 - 2014-01-11,75
2014-01-12 - 2014-01-18,77
2014-01-19 - 2014-01-25,76
2014-01-26 - 2014-02-01,75
2014-02-02 - 2014-02-08,77
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,80
2014-03-02 - 2014-03-08,79
2014-03-09 - 2014-03-15,77
2014-03-16 - 2014-03-22,76
2014-03-23 - 2014-03-29,80
2014-03-30 - 2014-04-05,76
2014-04-06 - 2014-04-12,79
2014-04-13 - 2014-04-19,78
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,81
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,75
2014-05-18 - 2014-05-24,75
2014-05-25 - 2014-05-31,71
2014-06-01 - 2014-06-07,73
2014-06-08 - 2014-06-14,71
2014-06-15 - 2014-06-21,72
2014-06-22 - 2014-06-28,73
2014-06-29 - 2014-07-05,69
2014-07-06 - 2014-07-12,72
2014-07-13 - 2014-07-19,72
2014-07-20 - 2014-07-26,74
2014-07-27 - 2014-08-02,73
2014-08-03 - 2014-08-09,75
2014-08-10 - 2014-08-16,72
2014-08-17 - 2014-08-23,74
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,75
2014-09-07 - 2014-09-13,76
2014-09-14 - 2014-09-20,79
2014-09-21 - 2014-09-27,77
2014-09-28 - 2014-10-04,77
2014-10-05 - 2014-10-11,76
2014-10-12 - 2014-10-18,78
2014-10-19 - 2014-10-25,80
2014-10-26 - 2014-11-01,78
2014-11-02 - 2014-11-08,78
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,79
2014-11-23 - 2014-11-29,71
2014-11-30 - 2014-12-06,76
2014-12-07 - 2014-12-13,76
2014-12-14 - 2014-12-20,70
2014-12-21 - 2014-12-27,64
2014-12-28 - 2015-01-03,72
2015-01-04 - 2015-01-10,76
2015-01-11 - 2015-01-17,78
2015-01-18 - 2015-01-24,78
2015-01-25 - 2015-01-31,78
2015-02-01 - 2015-02-07,77
2015-02-08 - 2015-02-14,78
2015-02-15 - 2015-02-21,78
2015-02-22 - 2015-02-28,80
2015-03-01 - 2015-03-07,79
2015-03-08 - 2015-03-14,80
2015-03-15 - 2015-03-21,79
2015-03-22 - 2015-03-28,80
2015-03-29 - 2015-04-04,79
2015-04-05 - 2015-04-11,80
2015-04-12 - 2015-04-18,80
2015-04-19 - 2015-04-25,81
2015-04-26 - 2015-05-02,80
2015-05-03 - 2015-05-09,79
2015-05-10 - 2015-05-16,81
2015-05-17 - 2015-05-23,77
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,78
2015-06-07 - 2015-06-13,76
2015-06-14 - 2015-06-20,76
2015-06-21 - 2015-06-27,73
2015-06-28 - 2015-07-04,71
2015-07-05 - 2015-07-11,74
2015-07-12 - 2015-07-18,75
2015-07-19 - 2015-07-25,76
2015-07-26 - 2015-08-01,76
2015-08-02 - 2015-08-08,76
2015-08-09 - 2015-08-15,76
2015-08-16 - 2015-08-22,78
2015-08-23 - 2015-08-29,75
2015-08-30 - 2015-09-05,76
2015-09-06 - 2015-09-12,78
2015-09-13 - 2015-09-19,78
2015-09-20 - 2015-09-26,78
2015-09-27 - 2015-10-03,79
2015-10-04 - 2015-10-10,81
2015-10-11 - 2015-10-17,80
2015-10-18 - 2015-10-24,80
2015-10-25 - 2015-10-31,82
2015-11-01 - 2015-11-07,81
2015-11-08 - 2015-11-14,80
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,75
2015-11-29 - 2015-12-05,79
2015-12-06 - 2015-12-12,80
2015-12-13 - 2015-12-19,78
2015-12-20 - 2015-12-26,73
2015-12-27 - 2016-01-02,76
2016-01-03 - 2016-01-09,84
2016-01-10 - 2016-01-16,94
2016-01-17 - 2016-01-23,86
2016-01-24 - 2016-01-30,87
2016-01-31 - 2016-02-06,84
2016-02-07 - 2016-02-13,83
2016-02-14 - 2016-02-20,83
2016-02-21 - 2016-02-27,87
2016-02-28 - 2016-03-05,85
2016-03-06 - 2016-03-12,89
2016-03-13 - 2016-03-19,85
2016-03-20 - 2016-03-26,84
2016-03-27 - 2016-04-02,82
2016-04-03 - 2016-04-09,86
2016-04-10 - 2016-04-16,89
2016-04-17 - 2016-04-23,86
2016-04-24 - 2016-04-30,87
2016-05-01 - 2016-05-07,84
2016-05-08 - 2016-05-14,83
2016-05-15 - 2016-05-21,85
2016-05-22 - 2016-05-28,81
2016-05-29 - 2016-06-04,78
2016-06-05 - 2016-06-11,79
2016-06-12 - 2016-06-18,79
2016-06-19 - 2016-06-25,76
2016-06-26 - 2016-07-02,75
2016-07-03 - 2016-07-09,81


Top regions for liver
Region,liver
Ghana,100
Nigeria,94
Australia,82
Kenya,82
United States,81
United Kingdom,78
Ireland,73
Canada,72
Philippines,72
Singapore,72
New Zealand,71
South Africa,70
India,55
Pakistan,51
United Arab Emirates,48
Sri Lanka,43
Malaysia,38
Bangladesh,37
Hong Kong,33
South Korea,25
Indonesia,23
Egypt,23
Saudi Arabia,16
Taiwan,14
Norway,12
Israel,12
Thailand,10
Greece,9
Iran,9
Denmark,8
Switzerland,8
Romania,8
Sweden,8
Netherlands,8
Portugal,7
China,7
Belgium,6
Brazil,5
Mexico,5
Vietnam,5
Germany,4
Spain,4
Italy,3
Poland,3
France,3
Japan,2
Turkey,2


Top cities for liver
City,liver
Philadelphia (United States),100
Boston (United States),99
Brisbane (Australia),99
Phoenix (United States),98
Houston (United States),95
Dallas (United States),93
Sydney (Australia),92
Melbourne (Australia),92
Seattle (United States),90
Atlanta (United States),90
Manchester (United Kingdom),89
Toronto (Canada),88
San Francisco (United States),87
Chicago (United States),87
New York (United States),86



Top searches for liver
the liver,100
liver disease,60
liver cancer,50
fatty liver,40
liver symptoms,40
liver function,30
liver cirrhosis,25
cirrhosis,25
liver enzymes,25
cod liver oil,25
liver pain,25
liver failure,20
liver test,20
kidney,20
liver damage,15
liver transplant,15
cirrhosis of liver,15
liver problems,15
liver cleanse,15
chicken liver,15
detox liver,10
liver disease symptoms,10
hepatitis,10
human liver,10
function of liver,10
liver enzymes elevated,10
liver function test,10
liver health,10
liver cancer symptoms,10
gallbladder,10
fatty liver disease,10
pancreas,5
liver spots,5
enlarged liver,5
liver blood test,5
liver pate,5
liver recipes,5
liver enzymes high,5
spleen,5
healthy liver,5
liver biopsy,5
liver anatomy,5
liver infection,5
liver location,5
liver diseases,5
liver ultrasound,5
liver cyst,5
liver failure symptoms,5
white liver,5
liver functions,5



Rising searches for liver
chicken liver,+110%
fatty liver disease,+110%
detox liver,+100%
gallbladder,+90%
cirrhosis of liver,+60%
liver pate,+60%
fatty liver,+50%
liver cleanse,+50%
cirrhosis,+40%
function of liver,+40%



