Web Search interest: patent
Worldwide 2004 - present

Interest over time
Week,patent
2006-09-10 - 2006-09-16,61
2006-09-17 - 2006-09-23,60
2006-09-24 - 2006-09-30,61
2006-10-01 - 2006-10-07,59
2006-10-08 - 2006-10-14,58
2006-10-15 - 2006-10-21,60
2006-10-22 - 2006-10-28,63
2006-10-29 - 2006-11-04,59
2006-11-05 - 2006-11-11,57
2006-11-12 - 2006-11-18,59
2006-11-19 - 2006-11-25,52
2006-11-26 - 2006-12-02,60
2006-12-03 - 2006-12-09,61
2006-12-10 - 2006-12-16,63
2006-12-17 - 2006-12-23,57
2006-12-24 - 2006-12-30,46
2006-12-31 - 2007-01-06,57
2007-01-07 - 2007-01-13,64
2007-01-14 - 2007-01-20,59
2007-01-21 - 2007-01-27,60
2007-01-28 - 2007-02-03,61
2007-02-04 - 2007-02-10,58
2007-02-11 - 2007-02-17,59
2007-02-18 - 2007-02-24,62
2007-02-25 - 2007-03-03,60
2007-03-04 - 2007-03-10,59
2007-03-11 - 2007-03-17,59
2007-03-18 - 2007-03-24,58
2007-03-25 - 2007-03-31,59
2007-04-01 - 2007-04-07,57
2007-04-08 - 2007-04-14,57
2007-04-15 - 2007-04-21,61
2007-04-22 - 2007-04-28,58
2007-04-29 - 2007-05-05,56
2007-05-06 - 2007-05-12,56
2007-05-13 - 2007-05-19,61
2007-05-20 - 2007-05-26,57
2007-05-27 - 2007-06-02,55
2007-06-03 - 2007-06-09,57
2007-06-10 - 2007-06-16,56
2007-06-17 - 2007-06-23,55
2007-06-24 - 2007-06-30,56
2007-07-01 - 2007-07-07,52
2007-07-08 - 2007-07-14,56
2007-07-15 - 2007-07-21,58
2007-07-22 - 2007-07-28,58
2007-07-29 - 2007-08-04,57
2007-08-05 - 2007-08-11,56
2007-08-12 - 2007-08-18,55
2007-08-19 - 2007-08-25,55
2007-08-26 - 2007-09-01,53
2007-09-02 - 2007-09-08,52
2007-09-09 - 2007-09-15,57
2007-09-16 - 2007-09-22,55
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,56
2007-10-07 - 2007-10-13,56
2007-10-14 - 2007-10-20,57
2007-10-21 - 2007-10-27,55
2007-10-28 - 2007-11-03,55
2007-11-04 - 2007-11-10,55
2007-11-11 - 2007-11-17,55
2007-11-18 - 2007-11-24,51
2007-11-25 - 2007-12-01,57
2007-12-02 - 2007-12-08,56
2007-12-09 - 2007-12-15,57
2007-12-16 - 2007-12-22,49
2007-12-23 - 2007-12-29,42
2007-12-30 - 2008-01-05,52
2008-01-06 - 2008-01-12,57
2008-01-13 - 2008-01-19,55
2008-01-20 - 2008-01-26,55
2008-01-27 - 2008-02-02,55
2008-02-03 - 2008-02-09,52
2008-02-10 - 2008-02-16,55
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,54
2008-03-09 - 2008-03-15,53
2008-03-16 - 2008-03-22,52
2008-03-23 - 2008-03-29,53
2008-03-30 - 2008-04-05,54
2008-04-06 - 2008-04-12,55
2008-04-13 - 2008-04-19,55
2008-04-20 - 2008-04-26,53
2008-04-27 - 2008-05-03,51
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,52
2008-05-18 - 2008-05-24,51
2008-05-25 - 2008-05-31,49
2008-06-01 - 2008-06-07,51
2008-06-08 - 2008-06-14,49
2008-06-15 - 2008-06-21,49
2008-06-22 - 2008-06-28,50
2008-06-29 - 2008-07-05,46
2008-07-06 - 2008-07-12,50
2008-07-13 - 2008-07-19,49
2008-07-20 - 2008-07-26,50
2008-07-27 - 2008-08-02,48
2008-08-03 - 2008-08-09,49
2008-08-10 - 2008-08-16,47
2008-08-17 - 2008-08-23,48
2008-08-24 - 2008-08-30,48
2008-08-31 - 2008-09-06,46
2008-09-07 - 2008-09-13,50
2008-09-14 - 2008-09-20,48
2008-09-21 - 2008-09-27,49
2008-09-28 - 2008-10-04,48
2008-10-05 - 2008-10-11,49
2008-10-12 - 2008-10-18,49
2008-10-19 - 2008-10-25,49
2008-10-26 - 2008-11-01,48
2008-11-02 - 2008-11-08,46
2008-11-09 - 2008-11-15,50
2008-11-16 - 2008-11-22,50
2008-11-23 - 2008-11-29,46
2008-11-30 - 2008-12-06,51
2008-12-07 - 2008-12-13,46
2008-12-14 - 2008-12-20,46
2008-12-21 - 2008-12-27,38
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,48
2009-01-11 - 2009-01-17,47
2009-01-18 - 2009-01-24,46
2009-01-25 - 2009-01-31,47
2009-02-01 - 2009-02-07,47
2009-02-08 - 2009-02-14,46
2009-02-15 - 2009-02-21,49
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,46
2009-03-08 - 2009-03-14,47
2009-03-15 - 2009-03-21,46
2009-03-22 - 2009-03-28,46
2009-03-29 - 2009-04-04,46
2009-04-05 - 2009-04-11,45
2009-04-12 - 2009-04-18,45
2009-04-19 - 2009-04-25,47
2009-04-26 - 2009-05-02,45
2009-05-03 - 2009-05-09,44
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,41
2009-05-31 - 2009-06-06,42
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,43
2009-06-21 - 2009-06-27,41
2009-06-28 - 2009-07-04,42
2009-07-05 - 2009-07-11,43
2009-07-12 - 2009-07-18,43
2009-07-19 - 2009-07-25,43
2009-07-26 - 2009-08-01,43
2009-08-02 - 2009-08-08,42
2009-08-09 - 2009-08-15,45
2009-08-16 - 2009-08-22,45
2009-08-23 - 2009-08-29,42
2009-08-30 - 2009-09-05,43
2009-09-06 - 2009-09-12,42
2009-09-13 - 2009-09-19,43
2009-09-20 - 2009-09-26,42
2009-09-27 - 2009-10-03,41
2009-10-04 - 2009-10-10,43
2009-10-11 - 2009-10-17,43
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,42
2009-11-01 - 2009-11-07,41
2009-11-08 - 2009-11-14,42
2009-11-15 - 2009-11-21,43
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,42
2009-12-06 - 2009-12-12,42
2009-12-13 - 2009-12-19,41
2009-12-20 - 2009-12-26,34
2009-12-27 - 2010-01-02,33
2010-01-03 - 2010-01-09,40
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,40
2010-01-24 - 2010-01-30,42
2010-01-31 - 2010-02-06,42
2010-02-07 - 2010-02-13,40
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,42
2010-03-07 - 2010-03-13,41
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,39
2010-04-04 - 2010-04-10,39
2010-04-11 - 2010-04-17,39
2010-04-18 - 2010-04-24,39
2010-04-25 - 2010-05-01,39
2010-05-02 - 2010-05-08,38
2010-05-09 - 2010-05-15,39
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,38
2010-05-30 - 2010-06-05,35
2010-06-06 - 2010-06-12,37
2010-06-13 - 2010-06-19,35
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,34
2010-07-11 - 2010-07-17,35
2010-07-18 - 2010-07-24,36
2010-07-25 - 2010-07-31,35
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,36
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,35
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,36
2010-09-19 - 2010-09-25,36
2010-09-26 - 2010-10-02,36
2010-10-03 - 2010-10-09,38
2010-10-10 - 2010-10-16,37
2010-10-17 - 2010-10-23,37
2010-10-24 - 2010-10-30,38
2010-10-31 - 2010-11-06,36
2010-11-07 - 2010-11-13,37
2010-11-14 - 2010-11-20,37
2010-11-21 - 2010-11-27,34
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,38
2010-12-12 - 2010-12-18,36
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,30
2011-01-02 - 2011-01-08,35
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,38
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,37
2011-03-06 - 2011-03-12,37
2011-03-13 - 2011-03-19,34
2011-03-20 - 2011-03-26,36
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,36
2011-04-10 - 2011-04-16,36
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,35
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,35
2011-05-29 - 2011-06-04,33
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,34
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,34
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,37
2011-07-31 - 2011-08-06,35
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,35
2011-08-21 - 2011-08-27,35
2011-08-28 - 2011-09-03,32
2011-09-04 - 2011-09-10,35
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,36
2011-10-16 - 2011-10-22,36
2011-10-23 - 2011-10-29,35
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,34
2011-11-13 - 2011-11-19,36
2011-11-20 - 2011-11-26,32
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,36
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,32
2011-12-25 - 2011-12-31,28
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,33
2012-01-15 - 2012-01-21,33
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,34
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,35
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,35
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,34
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,35
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,34
2012-04-15 - 2012-04-21,35
2012-04-22 - 2012-04-28,36
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,32
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,32
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,31
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,36
2012-09-16 - 2012-09-22,36
2012-09-23 - 2012-09-29,35
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,33
2012-10-21 - 2012-10-27,32
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,29
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,31
2013-01-20 - 2013-01-26,31
2013-01-27 - 2013-02-02,31
2013-02-03 - 2013-02-09,32
2013-02-10 - 2013-02-16,32
2013-02-17 - 2013-02-23,32
2013-02-24 - 2013-03-02,32
2013-03-03 - 2013-03-09,32
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,33
2013-03-24 - 2013-03-30,31
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,32
2013-04-28 - 2013-05-04,31
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,30
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,32
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,30
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,28
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,30
2013-10-06 - 2013-10-12,31
2013-10-13 - 2013-10-19,30
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,30
2013-11-03 - 2013-11-09,31
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,32
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,31
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,30
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,30
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,30
2014-02-16 - 2014-02-22,30
2014-02-23 - 2014-03-01,31
2014-03-02 - 2014-03-08,31
2014-03-09 - 2014-03-15,31
2014-03-16 - 2014-03-22,30
2014-03-23 - 2014-03-29,31
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,31
2014-04-13 - 2014-04-19,30
2014-04-20 - 2014-04-26,30
2014-04-27 - 2014-05-03,30
2014-05-04 - 2014-05-10,30
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,30
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,29
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,30
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,27
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,27
2014-07-27 - 2014-08-02,27
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,28
2014-08-24 - 2014-08-30,27
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,28
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,29
2014-09-28 - 2014-10-04,30
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,32
2014-10-26 - 2014-11-01,30
2014-11-02 - 2014-11-08,29
2014-11-09 - 2014-11-15,29
2014-11-16 - 2014-11-22,30
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,30
2014-12-07 - 2014-12-13,30
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,28
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,28
2015-02-15 - 2015-02-21,27
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,29
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,27
2015-04-05 - 2015-04-11,27
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,27
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,26
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,26
2015-08-02 - 2015-08-08,26
2015-08-09 - 2015-08-15,26
2015-08-16 - 2015-08-22,26
2015-08-23 - 2015-08-29,26
2015-08-30 - 2015-09-05,25
2015-09-06 - 2015-09-12,26
2015-09-13 - 2015-09-19,27
2015-09-20 - 2015-09-26,28
2015-09-27 - 2015-10-03,30
2015-10-04 - 2015-10-10,28
2015-10-11 - 2015-10-17,29
2015-10-18 - 2015-10-24,28
2015-10-25 - 2015-10-31,28
2015-11-01 - 2015-11-07,28
2015-11-08 - 2015-11-14,27
2015-11-15 - 2015-11-21,27
2015-11-22 - 2015-11-28,25
2015-11-29 - 2015-12-05,28
2015-12-06 - 2015-12-12,27
2015-12-13 - 2015-12-19,28
2015-12-20 - 2015-12-26,22
2015-12-27 - 2016-01-02,22
2016-01-03 - 2016-01-09,26
2016-01-10 - 2016-01-16,27
2016-01-17 - 2016-01-23,27
2016-01-24 - 2016-01-30,28
2016-01-31 - 2016-02-06,28
2016-02-07 - 2016-02-13,27
2016-02-14 - 2016-02-20,27
2016-02-21 - 2016-02-27,28
2016-02-28 - 2016-03-05,28
2016-03-06 - 2016-03-12,27
2016-03-13 - 2016-03-19,27
2016-03-20 - 2016-03-26,26
2016-03-27 - 2016-04-02,26
2016-04-03 - 2016-04-09,31
2016-04-10 - 2016-04-16,27
2016-04-17 - 2016-04-23,27
2016-04-24 - 2016-04-30,29
2016-05-01 - 2016-05-07,26
2016-05-08 - 2016-05-14,26
2016-05-15 - 2016-05-21,26
2016-05-22 - 2016-05-28,26
2016-05-29 - 2016-06-04,24
2016-06-05 - 2016-06-11,24
2016-06-12 - 2016-06-18,24
2016-06-19 - 2016-06-25,24
2016-06-26 - 2016-07-02,17


Top regions for patent
Region,patent
United States,100
Singapore,87
South Korea,75
Switzerland,74
India,69
Hong Kong,67
United Kingdom,66
Taiwan,64
Canada,55
Australia,53
Ireland,53
Turkey,52
Denmark,52
Sweden,50
New Zealand,50
Germany,47
Israel,44
South Africa,41
Netherlands,39
Austria,35
Philippines,35
Norway,35
China,33
Czech Republic,33
Malaysia,31
Belgium,29
Nigeria,29
Hungary,26
Iran,26
Finland,25
Poland,24
United Arab Emirates,22
Serbia,19
Pakistan,19
Slovakia,19
Greece,14
Japan,14
Italy,13
France,11
Romania,11
Portugal,11
Thailand,11
Indonesia,10
Saudi Arabia,9
Spain,8
Russia,7
Ukraine,6
Mexico,5
Vietnam,4
Argentina,4
Brazil,3


Top cities for patent
City,patent
Alexandria (United States),100
Washington (United States),61
Boston (United States),54
San Diego (United States),50
San Francisco (United States),48
Minneapolis (United States),43
Philadelphia (United States),41
New York (United States),41
Austin (United States),40
Seattle (United States),38
Chicago (United States),37
Seoul (South Korea),34
Los Angeles (United States),34
Houston (United States),34
Munich (Germany),33



Top searches for patent
patent office,100
us patent,95
patent search,80
patent leather,70
how to patent,60
google patent,50
patents,45
patent shoes,35
patent law,35
trademark,30
patent application,25
us patent office,25
patent attorney,25
what is patent,25
european patent,20
patent idea,20
patent leather shoes,15
uspto,15
design patent,15
copyright,15
free patent,15
patent definition,15
patent trademark office,15
patent pending,15
us patent search,15
united states patent,15
patent boots,15
patent an idea,15
patent ductus arteriosus,10
patent infringement,10
black patent shoes,10
patent act,10
provisional patent,10
türk patent,10
google patent search,10
patent expiration,10
intellectual property,10
patent agent,10
european patent office,10
canada patent,10
patent process,10
patent lawyer,10
software patent,10
patent bar,10
patent enstitüsü,10
usa patent,5
patent meaning,5
google patents,5
patent foramen ovale,5
patent database,5



Rising searches for patent
google patent,+1,250%
patent boots,+450%
patent leather,+350%
patent shoes,+350%
patent leather shoes,+200%
patent an idea,+190%
what is patent,+150%
patent ductus arteriosus,+130%
how to patent,+110%
patent definition,+110%



