Web Search interest: myth
Worldwide 2004 - present

Interest over time
Week,myth
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,72
2006-04-16 - 2006-04-22,68
2006-04-23 - 2006-04-29,75
2006-04-30 - 2006-05-06,76
2006-05-07 - 2006-05-13,72
2006-05-14 - 2006-05-20,71
2006-05-21 - 2006-05-27,67
2006-05-28 - 2006-06-03,59
2006-06-04 - 2006-06-10,62
2006-06-11 - 2006-06-17,55
2006-06-18 - 2006-06-24,53
2006-06-25 - 2006-07-01,52
2006-07-02 - 2006-07-08,52
2006-07-09 - 2006-07-15,54
2006-07-16 - 2006-07-22,56
2006-07-23 - 2006-07-29,57
2006-07-30 - 2006-08-05,56
2006-08-06 - 2006-08-12,65
2006-08-13 - 2006-08-19,62
2006-08-20 - 2006-08-26,62
2006-08-27 - 2006-09-02,65
2006-09-03 - 2006-09-09,73
2006-09-10 - 2006-09-16,75
2006-09-17 - 2006-09-23,74
2006-09-24 - 2006-09-30,76
2006-10-01 - 2006-10-07,73
2006-10-08 - 2006-10-14,71
2006-10-15 - 2006-10-21,72
2006-10-22 - 2006-10-28,74
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,67
2006-11-12 - 2006-11-18,68
2006-11-19 - 2006-11-25,61
2006-11-26 - 2006-12-02,68
2006-12-03 - 2006-12-09,72
2006-12-10 - 2006-12-16,68
2006-12-17 - 2006-12-23,57
2006-12-24 - 2006-12-30,54
2006-12-31 - 2007-01-06,60
2007-01-07 - 2007-01-13,61
2007-01-14 - 2007-01-20,63
2007-01-21 - 2007-01-27,64
2007-01-28 - 2007-02-03,64
2007-02-04 - 2007-02-10,63
2007-02-11 - 2007-02-17,65
2007-02-18 - 2007-02-24,62
2007-02-25 - 2007-03-03,65
2007-03-04 - 2007-03-10,65
2007-03-11 - 2007-03-17,63
2007-03-18 - 2007-03-24,63
2007-03-25 - 2007-03-31,60
2007-04-01 - 2007-04-07,58
2007-04-08 - 2007-04-14,56
2007-04-15 - 2007-04-21,60
2007-04-22 - 2007-04-28,59
2007-04-29 - 2007-05-05,61
2007-05-06 - 2007-05-12,58
2007-05-13 - 2007-05-19,57
2007-05-20 - 2007-05-26,56
2007-05-27 - 2007-06-02,54
2007-06-03 - 2007-06-09,51
2007-06-10 - 2007-06-16,51
2007-06-17 - 2007-06-23,48
2007-06-24 - 2007-06-30,48
2007-07-01 - 2007-07-07,46
2007-07-08 - 2007-07-14,50
2007-07-15 - 2007-07-21,47
2007-07-22 - 2007-07-28,45
2007-07-29 - 2007-08-04,43
2007-08-05 - 2007-08-11,44
2007-08-12 - 2007-08-18,46
2007-08-19 - 2007-08-25,48
2007-08-26 - 2007-09-01,49
2007-09-02 - 2007-09-08,50
2007-09-09 - 2007-09-15,57
2007-09-16 - 2007-09-22,57
2007-09-23 - 2007-09-29,59
2007-09-30 - 2007-10-06,58
2007-10-07 - 2007-10-13,56
2007-10-14 - 2007-10-20,55
2007-10-21 - 2007-10-27,56
2007-10-28 - 2007-11-03,60
2007-11-04 - 2007-11-10,58
2007-11-11 - 2007-11-17,55
2007-11-18 - 2007-11-24,55
2007-11-25 - 2007-12-01,60
2007-12-02 - 2007-12-08,59
2007-12-09 - 2007-12-15,53
2007-12-16 - 2007-12-22,50
2007-12-23 - 2007-12-29,45
2007-12-30 - 2008-01-05,51
2008-01-06 - 2008-01-12,54
2008-01-13 - 2008-01-19,55
2008-01-20 - 2008-01-26,53
2008-01-27 - 2008-02-02,54
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,53
2008-02-17 - 2008-02-23,53
2008-02-24 - 2008-03-01,52
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,50
2008-03-16 - 2008-03-22,48
2008-03-23 - 2008-03-29,49
2008-03-30 - 2008-04-05,52
2008-04-06 - 2008-04-12,50
2008-04-13 - 2008-04-19,50
2008-04-20 - 2008-04-26,52
2008-04-27 - 2008-05-03,54
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,49
2008-05-18 - 2008-05-24,47
2008-05-25 - 2008-05-31,47
2008-06-01 - 2008-06-07,45
2008-06-08 - 2008-06-14,43
2008-06-15 - 2008-06-21,41
2008-06-22 - 2008-06-28,40
2008-06-29 - 2008-07-05,39
2008-07-06 - 2008-07-12,39
2008-07-13 - 2008-07-19,39
2008-07-20 - 2008-07-26,39
2008-07-27 - 2008-08-02,43
2008-08-03 - 2008-08-09,40
2008-08-10 - 2008-08-16,42
2008-08-17 - 2008-08-23,41
2008-08-24 - 2008-08-30,42
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,48
2008-09-14 - 2008-09-20,48
2008-09-21 - 2008-09-27,47
2008-09-28 - 2008-10-04,50
2008-10-05 - 2008-10-11,49
2008-10-12 - 2008-10-18,48
2008-10-19 - 2008-10-25,48
2008-10-26 - 2008-11-01,45
2008-11-02 - 2008-11-08,50
2008-11-09 - 2008-11-15,48
2008-11-16 - 2008-11-22,51
2008-11-23 - 2008-11-29,46
2008-11-30 - 2008-12-06,47
2008-12-07 - 2008-12-13,49
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,36
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,42
2009-01-25 - 2009-01-31,44
2009-02-01 - 2009-02-07,46
2009-02-08 - 2009-02-14,45
2009-02-15 - 2009-02-21,42
2009-02-22 - 2009-02-28,46
2009-03-01 - 2009-03-07,44
2009-03-08 - 2009-03-14,45
2009-03-15 - 2009-03-21,43
2009-03-22 - 2009-03-28,44
2009-03-29 - 2009-04-04,44
2009-04-05 - 2009-04-11,44
2009-04-12 - 2009-04-18,45
2009-04-19 - 2009-04-25,47
2009-04-26 - 2009-05-02,45
2009-05-03 - 2009-05-09,43
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,41
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,37
2009-06-07 - 2009-06-13,36
2009-06-14 - 2009-06-20,37
2009-06-21 - 2009-06-27,33
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,39
2009-07-19 - 2009-07-25,36
2009-07-26 - 2009-08-01,35
2009-08-02 - 2009-08-08,34
2009-08-09 - 2009-08-15,35
2009-08-16 - 2009-08-22,35
2009-08-23 - 2009-08-29,38
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,40
2009-09-13 - 2009-09-19,42
2009-09-20 - 2009-09-26,44
2009-09-27 - 2009-10-03,42
2009-10-04 - 2009-10-10,43
2009-10-11 - 2009-10-17,43
2009-10-18 - 2009-10-24,42
2009-10-25 - 2009-10-31,43
2009-11-01 - 2009-11-07,42
2009-11-08 - 2009-11-14,44
2009-11-15 - 2009-11-21,43
2009-11-22 - 2009-11-28,40
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,40
2009-12-20 - 2009-12-26,32
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,40
2010-01-17 - 2010-01-23,40
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,43
2010-02-07 - 2010-02-13,43
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,43
2010-02-28 - 2010-03-06,42
2010-03-07 - 2010-03-13,40
2010-03-14 - 2010-03-20,39
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,40
2010-04-04 - 2010-04-10,40
2010-04-11 - 2010-04-17,39
2010-04-18 - 2010-04-24,41
2010-04-25 - 2010-05-01,41
2010-05-02 - 2010-05-08,41
2010-05-09 - 2010-05-15,39
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,35
2010-05-30 - 2010-06-05,32
2010-06-06 - 2010-06-12,30
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,28
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,31
2010-07-25 - 2010-07-31,31
2010-08-01 - 2010-08-07,31
2010-08-08 - 2010-08-14,31
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,33
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,35
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,37
2010-09-26 - 2010-10-02,39
2010-10-03 - 2010-10-09,38
2010-10-10 - 2010-10-16,40
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,40
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,36
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,34
2010-11-28 - 2010-12-04,39
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,36
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,30
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,35
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,37
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,36
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,36
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,35
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,35
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,35
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,33
2011-05-29 - 2011-06-04,31
2011-06-05 - 2011-06-11,30
2011-06-12 - 2011-06-18,30
2011-06-19 - 2011-06-25,29
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,31
2011-07-17 - 2011-07-23,30
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,31
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,33
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,33
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,37
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,36
2011-11-13 - 2011-11-19,37
2011-11-20 - 2011-11-26,33
2011-11-27 - 2011-12-03,37
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,29
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,31
2012-01-08 - 2012-01-14,35
2012-01-15 - 2012-01-21,33
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,35
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,37
2012-03-04 - 2012-03-10,38
2012-03-11 - 2012-03-17,36
2012-03-18 - 2012-03-24,36
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,36
2012-04-15 - 2012-04-21,37
2012-04-22 - 2012-04-28,36
2012-04-29 - 2012-05-05,37
2012-05-06 - 2012-05-12,36
2012-05-13 - 2012-05-19,35
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,30
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,30
2012-07-22 - 2012-07-28,30
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,29
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,33
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,36
2012-09-16 - 2012-09-22,37
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,37
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,35
2012-11-04 - 2012-11-10,34
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,35
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,35
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,35
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,33
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,34
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,33
2013-05-12 - 2013-05-18,32
2013-05-19 - 2013-05-25,30
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,27
2013-06-23 - 2013-06-29,27
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,27
2013-07-21 - 2013-07-27,28
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,33
2013-09-15 - 2013-09-21,34
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,35
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,35
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,32
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,30
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,27
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,33
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,33
2014-02-02 - 2014-02-08,34
2014-02-09 - 2014-02-15,33
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,34
2014-03-09 - 2014-03-15,32
2014-03-16 - 2014-03-22,33
2014-03-23 - 2014-03-29,33
2014-03-30 - 2014-04-05,33
2014-04-06 - 2014-04-12,33
2014-04-13 - 2014-04-19,32
2014-04-20 - 2014-04-26,33
2014-04-27 - 2014-05-03,34
2014-05-04 - 2014-05-10,34
2014-05-11 - 2014-05-17,32
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,29
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,26
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,27
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,29
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,30
2014-08-24 - 2014-08-30,30
2014-08-31 - 2014-09-06,31
2014-09-07 - 2014-09-13,35
2014-09-14 - 2014-09-20,33
2014-09-21 - 2014-09-27,33
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,34
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,32
2014-10-26 - 2014-11-01,33
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,31
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,28
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,32
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,29
2015-01-11 - 2015-01-17,30
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,32
2015-02-01 - 2015-02-07,32
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,32
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,31
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,31
2015-03-29 - 2015-04-04,31
2015-04-05 - 2015-04-11,30
2015-04-12 - 2015-04-18,31
2015-04-19 - 2015-04-25,32
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,31
2015-05-10 - 2015-05-16,32
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,30
2015-06-07 - 2015-06-13,27
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,26
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,25
2015-08-02 - 2015-08-08,25
2015-08-09 - 2015-08-15,27
2015-08-16 - 2015-08-22,27
2015-08-23 - 2015-08-29,29
2015-08-30 - 2015-09-05,30
2015-09-06 - 2015-09-12,31
2015-09-13 - 2015-09-19,32
2015-09-20 - 2015-09-26,32
2015-09-27 - 2015-10-03,32
2015-10-04 - 2015-10-10,32
2015-10-11 - 2015-10-17,32
2015-10-18 - 2015-10-24,31
2015-10-25 - 2015-10-31,32
2015-11-01 - 2015-11-07,33
2015-11-08 - 2015-11-14,30
2015-11-15 - 2015-11-21,31
2015-11-22 - 2015-11-28,27
2015-11-29 - 2015-12-05,31
2015-12-06 - 2015-12-12,32
2015-12-13 - 2015-12-19,30
2015-12-20 - 2015-12-26,24
2015-12-27 - 2016-01-02,25
2016-01-03 - 2016-01-09,30
2016-01-10 - 2016-01-16,30
2016-01-17 - 2016-01-23,30
2016-01-24 - 2016-01-30,31
2016-01-31 - 2016-02-06,30
2016-02-07 - 2016-02-13,30
2016-02-14 - 2016-02-20,29
2016-02-21 - 2016-02-27,31
2016-02-28 - 2016-03-05,31
2016-03-06 - 2016-03-12,31
2016-03-13 - 2016-03-19,30
2016-03-20 - 2016-03-26,28
2016-03-27 - 2016-04-02,28
2016-04-03 - 2016-04-09,30
2016-04-10 - 2016-04-16,31
2016-04-17 - 2016-04-23,30
2016-04-24 - 2016-04-30,31
2016-05-01 - 2016-05-07,30
2016-05-08 - 2016-05-14,30
2016-05-15 - 2016-05-21,29
2016-05-22 - 2016-05-28,28
2016-05-29 - 2016-06-04,26
2016-06-05 - 2016-06-11,25
2016-06-12 - 2016-06-18,26
2016-06-19 - 2016-06-25,25
2016-06-26 - 2016-07-02,24
2016-07-03 - 2016-07-09, 


Top regions for myth
Region,myth
Philippines,100
United States,75
New Zealand,72
Australia,67
Canada,66
Singapore,63
United Kingdom,46
South Africa,43
Nigeria,42
Kenya,38
Ireland,36
Hong Kong,31
Malaysia,31
United Arab Emirates,26
Pakistan,26
Norway,23
India,22
Portugal,22
Greece,21
Sweden,19
Denmark,19
Indonesia,18
South Korea,17
Finland,16
Netherlands,15
Belgium,14
Thailand,14
France,14
Croatia,13
Israel,13
Mexico,12
Czech Republic,12
Brazil,12
Romania,11
Switzerland,11
Egypt,10
Peru,9
Vietnam,9
Chile,9
Hungary,9
Austria,8
Italy,8
Taiwan,8
Germany,8
Spain,8
Poland,8
Argentina,6
Saudi Arabia,6
China,6
Colombia,5
Russia,5
Ukraine,4
Japan,4
Turkey,4


Top cities for myth
City,myth
Minneapolis (United States),100
Manila (Philippines),63
Quezon City (Philippines),56
San Francisco (United States),49
Seattle (United States),47
San Diego (United States),45
Philadelphia (United States),43
Toronto (Canada),43
Auckland (New Zealand),42
Los Angeles (United States),42
Chicago (United States),39
Washington (United States),39
New York (United States),38
Singapore (Singapore),37
Sydney (Australia),35



Top searches for myth
the myth,100
greek myth,20
myths,15
cloth myth,10
what is myth,10
myth busters,10
mythology,10
creation myth,10
myth definition,5
myth meaning,5
urban myth,5
myth 2,5
myth tv,5
greek mythology,5
myth war,5
sisyphus myth,5
sisyphus,5
myth of sisyphus,5
mythbusters,5
power of myth,5
myth game,5
e myth,5
greek myths,5
definition of myth,5
modern myth,5
mac myth,5
myth and legends,5
myth games,0
meaning of myth,0
big myth,0
beauty myth,0
myth nightclub,0
global warming myth,0
myth cloth ex,0
myth buster,0
prometheus myth,0
define myth,0
hercules myth,0
medusa myth,0
myths and legends,0
greek gods,0
persephone myth,0
the beauty myth,0
perseus,0
perseus myth,0
myth creatures,0
creation myths,0
icarus myth,0
joseph campbell,0
jesus myth,0



Rising searches for myth
mythbusters,+300%
myth meaning,+180%
cloth myth,+170%
what is myth,+170%
myth definition,+120%
definition of myth,+100%
modern myth,+100%
e myth,+90%
mac myth,+80%
myth war,+40%



