Web Search interest: Fama–French three-factor model
Worldwide 2004 - present

Interest over time
Week,Fama–French three-factor model
2007-03-11 - 2007-03-17,30
2007-03-18 - 2007-03-24,51
2007-03-25 - 2007-03-31,58
2007-04-01 - 2007-04-07,45
2007-04-08 - 2007-04-14,37
2007-04-15 - 2007-04-21,56
2007-04-22 - 2007-04-28,59
2007-04-29 - 2007-05-05,46
2007-05-06 - 2007-05-12,57
2007-05-13 - 2007-05-19,58
2007-05-20 - 2007-05-26,32
2007-05-27 - 2007-06-02,28
2007-06-03 - 2007-06-09,42
2007-06-10 - 2007-06-16,27
2007-06-17 - 2007-06-23,41
2007-06-24 - 2007-06-30,48
2007-07-01 - 2007-07-07,43
2007-07-08 - 2007-07-14,59
2007-07-15 - 2007-07-21,40
2007-07-22 - 2007-07-28,49
2007-07-29 - 2007-08-04,38
2007-08-05 - 2007-08-11,47
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,47
2007-08-26 - 2007-09-01,44
2007-09-02 - 2007-09-08,43
2007-09-09 - 2007-09-15,40
2007-09-16 - 2007-09-22,38
2007-09-23 - 2007-09-29,42
2007-09-30 - 2007-10-06,44
2007-10-07 - 2007-10-13,57
2007-10-14 - 2007-10-20,45
2007-10-21 - 2007-10-27,49
2007-10-28 - 2007-11-03,65
2007-11-04 - 2007-11-10,36
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,41
2007-11-25 - 2007-12-01,75
2007-12-02 - 2007-12-08,51
2007-12-09 - 2007-12-15,55
2007-12-16 - 2007-12-22,48
2007-12-23 - 2007-12-29,36
2007-12-30 - 2008-01-05,41
2008-01-06 - 2008-01-12,42
2008-01-13 - 2008-01-19,49
2008-01-20 - 2008-01-26,43
2008-01-27 - 2008-02-02,46
2008-02-03 - 2008-02-09,43
2008-02-10 - 2008-02-16,52
2008-02-17 - 2008-02-23,55
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,52
2008-03-09 - 2008-03-15,56
2008-03-16 - 2008-03-22,56
2008-03-23 - 2008-03-29,47
2008-03-30 - 2008-04-05,58
2008-04-06 - 2008-04-12,61
2008-04-13 - 2008-04-19,67
2008-04-20 - 2008-04-26,60
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,51
2008-05-11 - 2008-05-17,50
2008-05-18 - 2008-05-24,57
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,38
2008-06-08 - 2008-06-14,43
2008-06-15 - 2008-06-21,44
2008-06-22 - 2008-06-28,40
2008-06-29 - 2008-07-05,39
2008-07-06 - 2008-07-12,47
2008-07-13 - 2008-07-19,37
2008-07-20 - 2008-07-26,22
2008-07-27 - 2008-08-02,36
2008-08-03 - 2008-08-09,32
2008-08-10 - 2008-08-16,26
2008-08-17 - 2008-08-23,32
2008-08-24 - 2008-08-30,22
2008-08-31 - 2008-09-06,32
2008-09-07 - 2008-09-13,37
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,41
2008-09-28 - 2008-10-04,34
2008-10-05 - 2008-10-11,43
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,42
2008-11-02 - 2008-11-08,44
2008-11-09 - 2008-11-15,60
2008-11-16 - 2008-11-22,43
2008-11-23 - 2008-11-29,43
2008-11-30 - 2008-12-06,50
2008-12-07 - 2008-12-13,44
2008-12-14 - 2008-12-20,35
2008-12-21 - 2008-12-27,22
2008-12-28 - 2009-01-03,25
2009-01-04 - 2009-01-10,29
2009-01-11 - 2009-01-17,42
2009-01-18 - 2009-01-24,36
2009-01-25 - 2009-01-31,27
2009-02-01 - 2009-02-07,43
2009-02-08 - 2009-02-14,41
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,45
2009-03-01 - 2009-03-07,51
2009-03-08 - 2009-03-14,44
2009-03-15 - 2009-03-21,43
2009-03-22 - 2009-03-28,46
2009-03-29 - 2009-04-04,61
2009-04-05 - 2009-04-11,53
2009-04-12 - 2009-04-18,49
2009-04-19 - 2009-04-25,61
2009-04-26 - 2009-05-02,50
2009-05-03 - 2009-05-09,63
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,40
2009-06-07 - 2009-06-13,46
2009-06-14 - 2009-06-20,42
2009-06-21 - 2009-06-27,31
2009-06-28 - 2009-07-04,22
2009-07-05 - 2009-07-11,29
2009-07-12 - 2009-07-18,29
2009-07-19 - 2009-07-25,28
2009-07-26 - 2009-08-01,26
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,36
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,39
2009-08-30 - 2009-09-05,25
2009-09-06 - 2009-09-12,28
2009-09-13 - 2009-09-19,28
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,37
2009-10-04 - 2009-10-10,37
2009-10-11 - 2009-10-17,40
2009-10-18 - 2009-10-24,42
2009-10-25 - 2009-10-31,43
2009-11-01 - 2009-11-07,50
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,38
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,42
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,46
2009-12-20 - 2009-12-26,21
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,32
2010-01-10 - 2010-01-16,28
2010-01-17 - 2010-01-23,25
2010-01-24 - 2010-01-30,29
2010-01-31 - 2010-02-06,35
2010-02-07 - 2010-02-13,37
2010-02-14 - 2010-02-20,43
2010-02-21 - 2010-02-27,42
2010-02-28 - 2010-03-06,42
2010-03-07 - 2010-03-13,44
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,43
2010-03-28 - 2010-04-03,40
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,42
2010-04-18 - 2010-04-24,43
2010-04-25 - 2010-05-01,38
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,44
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,33
2010-05-30 - 2010-06-05,33
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,29
2010-06-20 - 2010-06-26,33
2010-06-27 - 2010-07-03,23
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,26
2010-07-25 - 2010-07-31,22
2010-08-01 - 2010-08-07,25
2010-08-08 - 2010-08-14,27
2010-08-15 - 2010-08-21,25
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,24
2010-09-12 - 2010-09-18,27
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,29
2010-10-03 - 2010-10-09,32
2010-10-10 - 2010-10-16,40
2010-10-17 - 2010-10-23,39
2010-10-24 - 2010-10-30,40
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,36
2010-11-14 - 2010-11-20,40
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,44
2010-12-05 - 2010-12-11,33
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,29
2010-12-26 - 2011-01-01,18
2011-01-02 - 2011-01-08,23
2011-01-09 - 2011-01-15,28
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,31
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,35
2011-02-13 - 2011-02-19,31
2011-02-20 - 2011-02-26,38
2011-02-27 - 2011-03-05,34
2011-03-06 - 2011-03-12,41
2011-03-13 - 2011-03-19,38
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,44
2011-04-03 - 2011-04-09,47
2011-04-10 - 2011-04-16,46
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,43
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,33
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,25
2011-07-03 - 2011-07-09,28
2011-07-10 - 2011-07-16,27
2011-07-17 - 2011-07-23,25
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,26
2011-08-14 - 2011-08-20,26
2011-08-21 - 2011-08-27,21
2011-08-28 - 2011-09-03,23
2011-09-04 - 2011-09-10,26
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,26
2011-09-25 - 2011-10-01,26
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,42
2011-10-16 - 2011-10-22,29
2011-10-23 - 2011-10-29,39
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,43
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,36
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,21
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,21
2012-01-29 - 2012-02-04,26
2012-02-05 - 2012-02-11,26
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,38
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,36
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,40
2012-04-15 - 2012-04-21,38
2012-04-22 - 2012-04-28,43
2012-04-29 - 2012-05-05,37
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,32
2012-05-20 - 2012-05-26,32
2012-05-27 - 2012-06-02,30
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,21
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,22
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,20
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,26
2012-09-23 - 2012-09-29,29
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,32
2012-10-28 - 2012-11-03,34
2012-11-04 - 2012-11-10,31
2012-11-11 - 2012-11-17,33
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,34
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,22
2013-01-13 - 2013-01-19,27
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,27
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,32
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,32
2013-05-19 - 2013-05-25,34
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,28
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,27
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,18
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,26
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,24
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,32
2013-10-06 - 2013-10-12,36
2013-10-13 - 2013-10-19,72
2013-10-20 - 2013-10-26,36
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,43
2013-11-17 - 2013-11-23,40
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,42
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,25
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,28
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,35
2014-03-09 - 2014-03-15,32
2014-03-16 - 2014-03-22,36
2014-03-23 - 2014-03-29,35
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,37
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,35
2014-04-27 - 2014-05-03,36
2014-05-04 - 2014-05-10,36
2014-05-11 - 2014-05-17,38
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,31
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,24
2014-06-29 - 2014-07-05,20
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,23
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,26
2014-08-03 - 2014-08-09,20
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,18
2014-09-07 - 2014-09-13,24
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,27
2014-10-05 - 2014-10-11,27
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,33
2014-10-26 - 2014-11-01,31
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,33
2014-11-23 - 2014-11-29,30
2014-11-30 - 2014-12-06,38
2014-12-07 - 2014-12-13,36
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,30
2015-02-15 - 2015-02-21,31
2015-02-22 - 2015-02-28,30
2015-03-01 - 2015-03-07,32
2015-03-08 - 2015-03-14,32
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,32
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,33
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,41
2015-04-26 - 2015-05-02,44
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,33
2015-05-31 - 2015-06-06,34
2015-06-07 - 2015-06-13,29
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,24
2015-06-28 - 2015-07-04,21
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,20
2015-08-09 - 2015-08-15,24
2015-08-16 - 2015-08-22,18
2015-08-23 - 2015-08-29,21
2015-08-30 - 2015-09-05,22
2015-09-06 - 2015-09-12,24
2015-09-13 - 2015-09-19,24
2015-09-20 - 2015-09-26,24
2015-09-27 - 2015-10-03,26
2015-10-04 - 2015-10-10,33
2015-10-11 - 2015-10-17,30
2015-10-18 - 2015-10-24,36
2015-10-25 - 2015-10-31,32
2015-11-01 - 2015-11-07,33
2015-11-08 - 2015-11-14,37
2015-11-15 - 2015-11-21,42
2015-11-22 - 2015-11-28,36
2015-11-29 - 2015-12-05,34
2015-12-06 - 2015-12-12,38
2015-12-13 - 2015-12-19,31
2015-12-20 - 2015-12-26,15
2015-12-27 - 2016-01-02,12
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,25
2016-01-17 - 2016-01-23,25
2016-01-24 - 2016-01-30,26
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,26
2016-02-14 - 2016-02-20,27
2016-02-21 - 2016-02-27,35
2016-02-28 - 2016-03-05,32
2016-03-06 - 2016-03-12,29
2016-03-13 - 2016-03-19,32
2016-03-20 - 2016-03-26,30
2016-03-27 - 2016-04-02,35
2016-04-03 - 2016-04-09,30
2016-04-10 - 2016-04-16,36
2016-04-17 - 2016-04-23,36
2016-04-24 - 2016-04-30,38
2016-05-01 - 2016-05-07,37
2016-05-08 - 2016-05-14,39
2016-05-15 - 2016-05-21,35
2016-05-22 - 2016-05-28,31
2016-05-29 - 2016-06-04,31
2016-06-05 - 2016-06-11,28
2016-06-12 - 2016-06-18,24
2016-06-19 - 2016-06-25,22
2016-06-26 - 2016-07-02,21
2016-07-03 - 2016-07-09,14


Top regions for Fama–French three-factor model
Region,Fama–French three-factor model
Australia,100
Netherlands,88
United Kingdom,79
United States,63
Canada,57
Germany,40
India,28
France,19


Top cities for Fama–French three-factor model
City,Fama–French three-factor model
Rotterdam (Netherlands),100
Singapore (Singapore),73
Seoul (South Korea),64
Boston (United States),60
Manchester (United Kingdom),53
New York (United States),52
Chicago (United States),46
Sydney (Australia),42
Montreal (Canada),39
Zurich (Switzerland),38
Toronto (Canada),34
Amsterdam (Netherlands),33
Washington (United States),33
London (United Kingdom),32
Melbourne (Australia),31



Top searches for Fama–French three-factor model
french fama,100
factor model,60
fama model,35
fama and french,25
three factor model,15
3 factor model,10
fama-french,10
fama french factors,10
capm model,5
fama french data,5
factor models,5
single factor model,5
multi factor model,5
fama french 1992,5
fama french 1993,5
ff-model,0
kenneth french,0
arbitrage pricing theory,0
four factor model,0
five factor model,0
eugene fama,0
multifactor model,0
三因子模型,0
two factor model,0



Rising searches for Fama–French three-factor model
fama model,+300%
3 factor model,+200%
three factor model,+130%
factor model,+120%
fama french factors,+100%
fama-french,+90%
french fama,+90%
fama and french,+50%



