Web Search interest: alkene
Worldwide 2004 - present

Interest over time
Week,alkene
2005-01-30 - 2005-02-05,57
2005-02-06 - 2005-02-12,51
2005-02-13 - 2005-02-19,42
2005-02-20 - 2005-02-26,63
2005-02-27 - 2005-03-05,49
2005-03-06 - 2005-03-12,56
2005-03-13 - 2005-03-19,61
2005-03-20 - 2005-03-26,49
2005-03-27 - 2005-04-02,49
2005-04-03 - 2005-04-09,65
2005-04-10 - 2005-04-16,62
2005-04-17 - 2005-04-23,54
2005-04-24 - 2005-04-30,58
2005-05-01 - 2005-05-07,46
2005-05-08 - 2005-05-14,42
2005-05-15 - 2005-05-21,61
2005-05-22 - 2005-05-28,46
2005-05-29 - 2005-06-04,51
2005-06-05 - 2005-06-11,43
2005-06-12 - 2005-06-18,41
2005-06-19 - 2005-06-25,52
2005-06-26 - 2005-07-02,29
2005-07-03 - 2005-07-09,32
2005-07-10 - 2005-07-16,27
2005-07-17 - 2005-07-23,27
2005-07-24 - 2005-07-30,16
2005-07-31 - 2005-08-06,12
2005-08-07 - 2005-08-13,26
2005-08-14 - 2005-08-20,29
2005-08-21 - 2005-08-27,18
2005-08-28 - 2005-09-03,41
2005-09-04 - 2005-09-10,31
2005-09-11 - 2005-09-17,46
2005-09-18 - 2005-09-24,50
2005-09-25 - 2005-10-01,51
2005-10-02 - 2005-10-08,47
2005-10-09 - 2005-10-15,63
2005-10-16 - 2005-10-22,79
2005-10-23 - 2005-10-29,75
2005-10-30 - 2005-11-05,64
2005-11-06 - 2005-11-12,77
2005-11-13 - 2005-11-19,76
2005-11-20 - 2005-11-26,63
2005-11-27 - 2005-12-03,90
2005-12-04 - 2005-12-10,65
2005-12-11 - 2005-12-17,59
2005-12-18 - 2005-12-24,28
2005-12-25 - 2005-12-31,10
2006-01-01 - 2006-01-07,23
2006-01-08 - 2006-01-14,44
2006-01-15 - 2006-01-21,50
2006-01-22 - 2006-01-28,59
2006-01-29 - 2006-02-04,50
2006-02-05 - 2006-02-11,60
2006-02-12 - 2006-02-18,49
2006-02-19 - 2006-02-25,61
2006-02-26 - 2006-03-04,64
2006-03-05 - 2006-03-11,52
2006-03-12 - 2006-03-18,36
2006-03-19 - 2006-03-25,55
2006-03-26 - 2006-04-01,50
2006-04-02 - 2006-04-08,47
2006-04-09 - 2006-04-15,38
2006-04-16 - 2006-04-22,36
2006-04-23 - 2006-04-29,58
2006-04-30 - 2006-05-06,69
2006-05-07 - 2006-05-13,60
2006-05-14 - 2006-05-20,45
2006-05-21 - 2006-05-27,39
2006-05-28 - 2006-06-03,32
2006-06-04 - 2006-06-10,48
2006-06-11 - 2006-06-17,33
2006-06-18 - 2006-06-24,44
2006-06-25 - 2006-07-01,18
2006-07-02 - 2006-07-08,24
2006-07-09 - 2006-07-15,21
2006-07-16 - 2006-07-22,25
2006-07-23 - 2006-07-29,16
2006-07-30 - 2006-08-05,19
2006-08-06 - 2006-08-12,19
2006-08-13 - 2006-08-19,13
2006-08-20 - 2006-08-26,20
2006-08-27 - 2006-09-02,27
2006-09-03 - 2006-09-09,28
2006-09-10 - 2006-09-16,30
2006-09-17 - 2006-09-23,33
2006-09-24 - 2006-09-30,40
2006-10-01 - 2006-10-07,40
2006-10-08 - 2006-10-14,54
2006-10-15 - 2006-10-21,57
2006-10-22 - 2006-10-28,53
2006-10-29 - 2006-11-04,58
2006-11-05 - 2006-11-11,66
2006-11-12 - 2006-11-18,69
2006-11-19 - 2006-11-25,45
2006-11-26 - 2006-12-02,69
2006-12-03 - 2006-12-09,67
2006-12-10 - 2006-12-16,53
2006-12-17 - 2006-12-23,30
2006-12-24 - 2006-12-30,14
2006-12-31 - 2007-01-06,30
2007-01-07 - 2007-01-13,43
2007-01-14 - 2007-01-20,48
2007-01-21 - 2007-01-27,41
2007-01-28 - 2007-02-03,47
2007-02-04 - 2007-02-10,48
2007-02-11 - 2007-02-17,50
2007-02-18 - 2007-02-24,48
2007-02-25 - 2007-03-03,60
2007-03-04 - 2007-03-10,44
2007-03-11 - 2007-03-17,46
2007-03-18 - 2007-03-24,52
2007-03-25 - 2007-03-31,38
2007-04-01 - 2007-04-07,34
2007-04-08 - 2007-04-14,36
2007-04-15 - 2007-04-21,54
2007-04-22 - 2007-04-28,38
2007-04-29 - 2007-05-05,41
2007-05-06 - 2007-05-12,42
2007-05-13 - 2007-05-19,51
2007-05-20 - 2007-05-26,43
2007-05-27 - 2007-06-02,36
2007-06-03 - 2007-06-09,46
2007-06-10 - 2007-06-16,47
2007-06-17 - 2007-06-23,45
2007-06-24 - 2007-06-30,36
2007-07-01 - 2007-07-07,26
2007-07-08 - 2007-07-14,22
2007-07-15 - 2007-07-21,27
2007-07-22 - 2007-07-28,19
2007-07-29 - 2007-08-04,17
2007-08-05 - 2007-08-11,14
2007-08-12 - 2007-08-18,18
2007-08-19 - 2007-08-25,21
2007-08-26 - 2007-09-01,29
2007-09-02 - 2007-09-08,32
2007-09-09 - 2007-09-15,36
2007-09-16 - 2007-09-22,39
2007-09-23 - 2007-09-29,38
2007-09-30 - 2007-10-06,36
2007-10-07 - 2007-10-13,53
2007-10-14 - 2007-10-20,83
2007-10-21 - 2007-10-27,59
2007-10-28 - 2007-11-03,65
2007-11-04 - 2007-11-10,70
2007-11-11 - 2007-11-17,77
2007-11-18 - 2007-11-24,67
2007-11-25 - 2007-12-01,83
2007-12-02 - 2007-12-08,75
2007-12-09 - 2007-12-15,57
2007-12-16 - 2007-12-22,30
2007-12-23 - 2007-12-29,13
2007-12-30 - 2008-01-05,18
2008-01-06 - 2008-01-12,39
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,49
2008-01-27 - 2008-02-02,56
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,55
2008-02-17 - 2008-02-23,46
2008-02-24 - 2008-03-01,59
2008-03-02 - 2008-03-08,47
2008-03-09 - 2008-03-15,54
2008-03-16 - 2008-03-22,34
2008-03-23 - 2008-03-29,39
2008-03-30 - 2008-04-05,52
2008-04-06 - 2008-04-12,50
2008-04-13 - 2008-04-19,55
2008-04-20 - 2008-04-26,53
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,46
2008-05-11 - 2008-05-17,42
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,40
2008-06-08 - 2008-06-14,36
2008-06-15 - 2008-06-21,37
2008-06-22 - 2008-06-28,35
2008-06-29 - 2008-07-05,21
2008-07-06 - 2008-07-12,25
2008-07-13 - 2008-07-19,28
2008-07-20 - 2008-07-26,21
2008-07-27 - 2008-08-02,22
2008-08-03 - 2008-08-09,25
2008-08-10 - 2008-08-16,20
2008-08-17 - 2008-08-23,43
2008-08-24 - 2008-08-30,16
2008-08-31 - 2008-09-06,26
2008-09-07 - 2008-09-13,41
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,43
2008-09-28 - 2008-10-04,51
2008-10-05 - 2008-10-11,45
2008-10-12 - 2008-10-18,51
2008-10-19 - 2008-10-25,57
2008-10-26 - 2008-11-01,60
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,73
2008-11-16 - 2008-11-22,82
2008-11-23 - 2008-11-29,67
2008-11-30 - 2008-12-06,71
2008-12-07 - 2008-12-13,74
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,9
2008-12-28 - 2009-01-03,18
2009-01-04 - 2009-01-10,35
2009-01-11 - 2009-01-17,44
2009-01-18 - 2009-01-24,52
2009-01-25 - 2009-01-31,44
2009-02-01 - 2009-02-07,45
2009-02-08 - 2009-02-14,58
2009-02-15 - 2009-02-21,53
2009-02-22 - 2009-02-28,54
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,43
2009-03-15 - 2009-03-21,46
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,49
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,45
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,60
2009-05-03 - 2009-05-09,57
2009-05-10 - 2009-05-16,52
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,48
2009-05-31 - 2009-06-06,36
2009-06-07 - 2009-06-13,48
2009-06-14 - 2009-06-20,40
2009-06-21 - 2009-06-27,29
2009-06-28 - 2009-07-04,24
2009-07-05 - 2009-07-11,27
2009-07-12 - 2009-07-18,26
2009-07-19 - 2009-07-25,25
2009-07-26 - 2009-08-01,21
2009-08-02 - 2009-08-08,17
2009-08-09 - 2009-08-15,15
2009-08-16 - 2009-08-22,21
2009-08-23 - 2009-08-29,26
2009-08-30 - 2009-09-05,25
2009-09-06 - 2009-09-12,37
2009-09-13 - 2009-09-19,43
2009-09-20 - 2009-09-26,51
2009-09-27 - 2009-10-03,50
2009-10-04 - 2009-10-10,53
2009-10-11 - 2009-10-17,50
2009-10-18 - 2009-10-24,60
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,65
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,72
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,83
2009-12-06 - 2009-12-12,77
2009-12-13 - 2009-12-19,67
2009-12-20 - 2009-12-26,35
2009-12-27 - 2010-01-02,13
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,45
2010-01-17 - 2010-01-23,49
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,56
2010-02-07 - 2010-02-13,49
2010-02-14 - 2010-02-20,49
2010-02-21 - 2010-02-27,56
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,45
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,45
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,69
2010-04-25 - 2010-05-01,68
2010-05-02 - 2010-05-08,61
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,46
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,29
2010-07-11 - 2010-07-17,23
2010-07-18 - 2010-07-24,22
2010-07-25 - 2010-07-31,24
2010-08-01 - 2010-08-07,22
2010-08-08 - 2010-08-14,25
2010-08-15 - 2010-08-21,23
2010-08-22 - 2010-08-28,25
2010-08-29 - 2010-09-04,31
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,48
2010-09-19 - 2010-09-25,47
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,61
2010-10-10 - 2010-10-16,51
2010-10-17 - 2010-10-23,69
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,71
2010-11-07 - 2010-11-13,75
2010-11-14 - 2010-11-20,82
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,75
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,23
2010-12-26 - 2011-01-01,15
2011-01-02 - 2011-01-08,28
2011-01-09 - 2011-01-15,43
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,54
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,57
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,52
2011-03-20 - 2011-03-26,58
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,64
2011-04-17 - 2011-04-23,49
2011-04-24 - 2011-04-30,48
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,57
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,45
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,37
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,36
2011-07-03 - 2011-07-09,28
2011-07-10 - 2011-07-16,28
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,24
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,23
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,28
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,53
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,66
2011-10-23 - 2011-10-29,68
2011-10-30 - 2011-11-05,71
2011-11-06 - 2011-11-12,75
2011-11-13 - 2011-11-19,86
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,83
2011-12-11 - 2011-12-17,74
2011-12-18 - 2011-12-24,26
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,30
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,49
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,57
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,64
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,55
2012-04-15 - 2012-04-21,67
2012-04-22 - 2012-04-28,75
2012-04-29 - 2012-05-05,64
2012-05-06 - 2012-05-12,59
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,41
2012-06-03 - 2012-06-09,47
2012-06-10 - 2012-06-16,50
2012-06-17 - 2012-06-23,36
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,37
2012-09-09 - 2012-09-15,47
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,54
2012-09-30 - 2012-10-06,58
2012-10-07 - 2012-10-13,63
2012-10-14 - 2012-10-20,68
2012-10-21 - 2012-10-27,72
2012-10-28 - 2012-11-03,72
2012-11-04 - 2012-11-10,83
2012-11-11 - 2012-11-17,82
2012-11-18 - 2012-11-24,67
2012-11-25 - 2012-12-01,85
2012-12-02 - 2012-12-08,80
2012-12-09 - 2012-12-15,79
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,26
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,50
2013-01-20 - 2013-01-26,57
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,62
2013-02-10 - 2013-02-16,61
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,67
2013-03-03 - 2013-03-09,57
2013-03-10 - 2013-03-16,62
2013-03-17 - 2013-03-23,63
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,54
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,72
2013-04-21 - 2013-04-27,72
2013-04-28 - 2013-05-04,67
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,54
2013-05-19 - 2013-05-25,46
2013-05-26 - 2013-06-01,42
2013-06-02 - 2013-06-08,55
2013-06-09 - 2013-06-15,46
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,29
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,35
2013-09-01 - 2013-09-07,33
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,53
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,61
2013-10-06 - 2013-10-12,62
2013-10-13 - 2013-10-19,68
2013-10-20 - 2013-10-26,76
2013-10-27 - 2013-11-02,75
2013-11-03 - 2013-11-09,91
2013-11-10 - 2013-11-16,100
2013-11-17 - 2013-11-23,98
2013-11-24 - 2013-11-30,68
2013-12-01 - 2013-12-07,90
2013-12-08 - 2013-12-14,81
2013-12-15 - 2013-12-21,54
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,25
2014-01-05 - 2014-01-11,42
2014-01-12 - 2014-01-18,54
2014-01-19 - 2014-01-25,56
2014-01-26 - 2014-02-01,65
2014-02-02 - 2014-02-08,66
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,73
2014-03-02 - 2014-03-08,68
2014-03-09 - 2014-03-15,70
2014-03-16 - 2014-03-22,67
2014-03-23 - 2014-03-29,70
2014-03-30 - 2014-04-05,72
2014-04-06 - 2014-04-12,67
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,75
2014-04-27 - 2014-05-03,69
2014-05-04 - 2014-05-10,72
2014-05-11 - 2014-05-17,63
2014-05-18 - 2014-05-24,57
2014-05-25 - 2014-05-31,47
2014-06-01 - 2014-06-07,54
2014-06-08 - 2014-06-14,47
2014-06-15 - 2014-06-21,43
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,34
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,30
2014-07-20 - 2014-07-26,29
2014-07-27 - 2014-08-02,26
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,26
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,35
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,55
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,66
2014-10-12 - 2014-10-18,73
2014-10-19 - 2014-10-25,79
2014-10-26 - 2014-11-01,76
2014-11-02 - 2014-11-08,88
2014-11-09 - 2014-11-15,96
2014-11-16 - 2014-11-22,97
2014-11-23 - 2014-11-29,70
2014-11-30 - 2014-12-06,90
2014-12-07 - 2014-12-13,85
2014-12-14 - 2014-12-20,58
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,40
2015-01-11 - 2015-01-17,50
2015-01-18 - 2015-01-24,55
2015-01-25 - 2015-01-31,68
2015-02-01 - 2015-02-07,74
2015-02-08 - 2015-02-14,71
2015-02-15 - 2015-02-21,59
2015-02-22 - 2015-02-28,79
2015-03-01 - 2015-03-07,72
2015-03-08 - 2015-03-14,70
2015-03-15 - 2015-03-21,67
2015-03-22 - 2015-03-28,66
2015-03-29 - 2015-04-04,58
2015-04-05 - 2015-04-11,58
2015-04-12 - 2015-04-18,72
2015-04-19 - 2015-04-25,76
2015-04-26 - 2015-05-02,78
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,61
2015-05-17 - 2015-05-23,56
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,54
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,41
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,34
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,28
2015-07-26 - 2015-08-01,28
2015-08-02 - 2015-08-08,26
2015-08-09 - 2015-08-15,26
2015-08-16 - 2015-08-22,29
2015-08-23 - 2015-08-29,25
2015-08-30 - 2015-09-05,39
2015-09-06 - 2015-09-12,45
2015-09-13 - 2015-09-19,51
2015-09-20 - 2015-09-26,55
2015-09-27 - 2015-10-03,59
2015-10-04 - 2015-10-10,69
2015-10-11 - 2015-10-17,72
2015-10-18 - 2015-10-24,78
2015-10-25 - 2015-10-31,81
2015-11-01 - 2015-11-07,89
2015-11-08 - 2015-11-14,88
2015-11-15 - 2015-11-21,94
2015-11-22 - 2015-11-28,69
2015-11-29 - 2015-12-05,90
2015-12-06 - 2015-12-12,95
2015-12-13 - 2015-12-19,73
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,23
2016-01-03 - 2016-01-09,44
2016-01-10 - 2016-01-16,52
2016-01-17 - 2016-01-23,60
2016-01-24 - 2016-01-30,62
2016-01-31 - 2016-02-06,73
2016-02-07 - 2016-02-13,73
2016-02-14 - 2016-02-20,67
2016-02-21 - 2016-02-27,77
2016-02-28 - 2016-03-05,75
2016-03-06 - 2016-03-12,66
2016-03-13 - 2016-03-19,66
2016-03-20 - 2016-03-26,61
2016-03-27 - 2016-04-02,57
2016-04-03 - 2016-04-09,71
2016-04-10 - 2016-04-16,77
2016-04-17 - 2016-04-23,81
2016-04-24 - 2016-04-30,81
2016-05-01 - 2016-05-07,84
2016-05-08 - 2016-05-14,70
2016-05-15 - 2016-05-21,65
2016-05-22 - 2016-05-28,54
2016-05-29 - 2016-06-04,47
2016-06-05 - 2016-06-11,55
2016-06-12 - 2016-06-18,46
2016-06-19 - 2016-06-25,39
2016-06-26 - 2016-07-02,37
2016-07-03 - 2016-07-09,29


Top regions for alkene
Region,alkene
Singapore,100
Nigeria,67
Malaysia,63
Germany,36
Hong Kong,36
Philippines,32
New Zealand,30
Pakistan,29
United Kingdom,29
United States,26
Canada,23
Austria,19
Australia,17
India,17
Thailand,9


Top cities for alkene
City,alkene
College Station (United States),100
Singapore (Singapore),29
Raleigh (United States),23
Lagos (Nigeria),20
Kuala Lumpur (Malaysia),16
Austin (United States),12
Boston (United States),12
Stuttgart (Germany),11
Berlin (Germany),10
Hamburg (Germany),10
San Diego (United States),9
Philadelphia (United States),9
Cologne (Germany),9
Auckland (New Zealand),9
Frankfurt (Germany),8



Top searches for alkene
alkane,100
alkane alkene,100
alkyne,45
alkenes,40
what is alkene,35
alkene addition,35
alkene formula,30
alkene reactions,30
alkene to alcohol,25
alkane and alkene,20
alkine,20
alkene to alkane,20
alkane alkene alkyne,20
alkene group,20
alkene structure,20
alkene oxidation,15
alkanes,15
alkane alkene alkine,15
alkyl,15
alkene synthesis,15
alkene to alkyne,15
aldehyde,10
formula for alkene,10
alkene hydration,10
oxidation of alkene,10
carboxylic acid,10
hydrogenation,10
alkane formula,10
alkene naming,10
alkene definition,10
ethene,10
hydration of alkene,10
bromination,10
hydrogenation of alkene,10
alkene functional group,10
alkene general formula,5
bromine water,5
ketone to alkene,5
alkene ir,5
bromination of alkene,5
alkene nomenclature,5
test for alkene,5



Rising searches for alkene
what is alkene,+700%
alkene to alkane,+650%
alkane and alkene,+550%
alkene to alcohol,+550%
alkane alkene alkyne,+350%
alkene formula,+350%
alkyne,+300%
alkene group,+250%
alkene addition,+120%
alkane alkene,+110%



