Web Search interest: neu
Worldwide 2004 - present

Interest over time
Week,neu
2007-08-12 - 2007-08-18,76
2007-08-19 - 2007-08-25,76
2007-08-26 - 2007-09-01,78
2007-09-02 - 2007-09-08,78
2007-09-09 - 2007-09-15,79
2007-09-16 - 2007-09-22,75
2007-09-23 - 2007-09-29,76
2007-09-30 - 2007-10-06,75
2007-10-07 - 2007-10-13,76
2007-10-14 - 2007-10-20,77
2007-10-21 - 2007-10-27,76
2007-10-28 - 2007-11-03,78
2007-11-04 - 2007-11-10,77
2007-11-11 - 2007-11-17,79
2007-11-18 - 2007-11-24,87
2007-11-25 - 2007-12-01,85
2007-12-02 - 2007-12-08,83
2007-12-09 - 2007-12-15,79
2007-12-16 - 2007-12-22,79
2007-12-23 - 2007-12-29,83
2007-12-30 - 2008-01-05,94
2008-01-06 - 2008-01-12,85
2008-01-13 - 2008-01-19,81
2008-01-20 - 2008-01-26,81
2008-01-27 - 2008-02-02,79
2008-02-03 - 2008-02-09,79
2008-02-10 - 2008-02-16,75
2008-02-17 - 2008-02-23,75
2008-02-24 - 2008-03-01,75
2008-03-02 - 2008-03-08,75
2008-03-09 - 2008-03-15,73
2008-03-16 - 2008-03-22,77
2008-03-23 - 2008-03-29,74
2008-03-30 - 2008-04-05,73
2008-04-06 - 2008-04-12,73
2008-04-13 - 2008-04-19,72
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,64
2008-05-11 - 2008-05-17,66
2008-05-18 - 2008-05-24,68
2008-05-25 - 2008-05-31,70
2008-06-01 - 2008-06-07,69
2008-06-08 - 2008-06-14,72
2008-06-15 - 2008-06-21,71
2008-06-22 - 2008-06-28,71
2008-06-29 - 2008-07-05,75
2008-07-06 - 2008-07-12,76
2008-07-13 - 2008-07-19,78
2008-07-20 - 2008-07-26,77
2008-07-27 - 2008-08-02,74
2008-08-03 - 2008-08-09,77
2008-08-10 - 2008-08-16,77
2008-08-17 - 2008-08-23,78
2008-08-24 - 2008-08-30,78
2008-08-31 - 2008-09-06,81
2008-09-07 - 2008-09-13,86
2008-09-14 - 2008-09-20,81
2008-09-21 - 2008-09-27,79
2008-09-28 - 2008-10-04,82
2008-10-05 - 2008-10-11,77
2008-10-12 - 2008-10-18,80
2008-10-19 - 2008-10-25,80
2008-10-26 - 2008-11-01,79
2008-11-02 - 2008-11-08,75
2008-11-09 - 2008-11-15,81
2008-11-16 - 2008-11-22,79
2008-11-23 - 2008-11-29,79
2008-11-30 - 2008-12-06,78
2008-12-07 - 2008-12-13,78
2008-12-14 - 2008-12-20,78
2008-12-21 - 2008-12-27,78
2008-12-28 - 2009-01-03,87
2009-01-04 - 2009-01-10,83
2009-01-11 - 2009-01-17,84
2009-01-18 - 2009-01-24,84
2009-01-25 - 2009-01-31,89
2009-02-01 - 2009-02-07,86
2009-02-08 - 2009-02-14,84
2009-02-15 - 2009-02-21,80
2009-02-22 - 2009-02-28,80
2009-03-01 - 2009-03-07,83
2009-03-08 - 2009-03-14,83
2009-03-15 - 2009-03-21,82
2009-03-22 - 2009-03-28,83
2009-03-29 - 2009-04-04,76
2009-04-05 - 2009-04-11,72
2009-04-12 - 2009-04-18,73
2009-04-19 - 2009-04-25,72
2009-04-26 - 2009-05-02,73
2009-05-03 - 2009-05-09,74
2009-05-10 - 2009-05-16,73
2009-05-17 - 2009-05-23,69
2009-05-24 - 2009-05-30,71
2009-05-31 - 2009-06-06,73
2009-06-07 - 2009-06-13,74
2009-06-14 - 2009-06-20,76
2009-06-21 - 2009-06-27,79
2009-06-28 - 2009-07-04,78
2009-07-05 - 2009-07-11,77
2009-07-12 - 2009-07-18,78
2009-07-19 - 2009-07-25,76
2009-07-26 - 2009-08-01,73
2009-08-02 - 2009-08-08,77
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,76
2009-08-23 - 2009-08-29,78
2009-08-30 - 2009-09-05,80
2009-09-06 - 2009-09-12,82
2009-09-13 - 2009-09-19,85
2009-09-20 - 2009-09-26,81
2009-09-27 - 2009-10-03,79
2009-10-04 - 2009-10-10,80
2009-10-11 - 2009-10-17,82
2009-10-18 - 2009-10-24,82
2009-10-25 - 2009-10-31,81
2009-11-01 - 2009-11-07,83
2009-11-08 - 2009-11-14,82
2009-11-15 - 2009-11-21,83
2009-11-22 - 2009-11-28,83
2009-11-29 - 2009-12-05,82
2009-12-06 - 2009-12-12,82
2009-12-13 - 2009-12-19,81
2009-12-20 - 2009-12-26,80
2009-12-27 - 2010-01-02,89
2010-01-03 - 2010-01-09,86
2010-01-10 - 2010-01-16,83
2010-01-17 - 2010-01-23,84
2010-01-24 - 2010-01-30,84
2010-01-31 - 2010-02-06,81
2010-02-07 - 2010-02-13,80
2010-02-14 - 2010-02-20,80
2010-02-21 - 2010-02-27,81
2010-02-28 - 2010-03-06,84
2010-03-07 - 2010-03-13,90
2010-03-14 - 2010-03-20,84
2010-03-21 - 2010-03-27,83
2010-03-28 - 2010-04-03,82
2010-04-04 - 2010-04-10,78
2010-04-11 - 2010-04-17,81
2010-04-18 - 2010-04-24,76
2010-04-25 - 2010-05-01,76
2010-05-02 - 2010-05-08,79
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,74
2010-05-23 - 2010-05-29,72
2010-05-30 - 2010-06-05,75
2010-06-06 - 2010-06-12,74
2010-06-13 - 2010-06-19,73
2010-06-20 - 2010-06-26,74
2010-06-27 - 2010-07-03,69
2010-07-04 - 2010-07-10,71
2010-07-11 - 2010-07-17,74
2010-07-18 - 2010-07-24,77
2010-07-25 - 2010-07-31,77
2010-08-01 - 2010-08-07,80
2010-08-08 - 2010-08-14,80
2010-08-15 - 2010-08-21,78
2010-08-22 - 2010-08-28,81
2010-08-29 - 2010-09-04,78
2010-09-05 - 2010-09-11,80
2010-09-12 - 2010-09-18,80
2010-09-19 - 2010-09-25,77
2010-09-26 - 2010-10-02,80
2010-10-03 - 2010-10-09,78
2010-10-10 - 2010-10-16,80
2010-10-17 - 2010-10-23,77
2010-10-24 - 2010-10-30,77
2010-10-31 - 2010-11-06,79
2010-11-07 - 2010-11-13,79
2010-11-14 - 2010-11-20,82
2010-11-21 - 2010-11-27,81
2010-11-28 - 2010-12-04,84
2010-12-05 - 2010-12-11,90
2010-12-12 - 2010-12-18,88
2010-12-19 - 2010-12-25,83
2010-12-26 - 2011-01-01,90
2011-01-02 - 2011-01-08,88
2011-01-09 - 2011-01-15,86
2011-01-16 - 2011-01-22,85
2011-01-23 - 2011-01-29,81
2011-01-30 - 2011-02-05,80
2011-02-06 - 2011-02-12,79
2011-02-13 - 2011-02-19,81
2011-02-20 - 2011-02-26,81
2011-02-27 - 2011-03-05,80
2011-03-06 - 2011-03-12,79
2011-03-13 - 2011-03-19,80
2011-03-20 - 2011-03-26,79
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,79
2011-04-17 - 2011-04-23,77
2011-04-24 - 2011-04-30,76
2011-05-01 - 2011-05-07,75
2011-05-08 - 2011-05-14,76
2011-05-15 - 2011-05-21,74
2011-05-22 - 2011-05-28,73
2011-05-29 - 2011-06-04,73
2011-06-05 - 2011-06-11,75
2011-06-12 - 2011-06-18,72
2011-06-19 - 2011-06-25,76
2011-06-26 - 2011-07-02,70
2011-07-03 - 2011-07-09,72
2011-07-10 - 2011-07-16,72
2011-07-17 - 2011-07-23,75
2011-07-24 - 2011-07-30,71
2011-07-31 - 2011-08-06,72
2011-08-07 - 2011-08-13,79
2011-08-14 - 2011-08-20,80
2011-08-21 - 2011-08-27,81
2011-08-28 - 2011-09-03,81
2011-09-04 - 2011-09-10,86
2011-09-11 - 2011-09-17,88
2011-09-18 - 2011-09-24,87
2011-09-25 - 2011-10-01,87
2011-10-02 - 2011-10-08,89
2011-10-09 - 2011-10-15,92
2011-10-16 - 2011-10-22,91
2011-10-23 - 2011-10-29,89
2011-10-30 - 2011-11-05,91
2011-11-06 - 2011-11-12,91
2011-11-13 - 2011-11-19,92
2011-11-20 - 2011-11-26,89
2011-11-27 - 2011-12-03,87
2011-12-04 - 2011-12-10,89
2011-12-11 - 2011-12-17,91
2011-12-18 - 2011-12-24,87
2011-12-25 - 2011-12-31,91
2012-01-01 - 2012-01-07,90
2012-01-08 - 2012-01-14,86
2012-01-15 - 2012-01-21,82
2012-01-22 - 2012-01-28,78
2012-01-29 - 2012-02-04,87
2012-02-05 - 2012-02-11,83
2012-02-12 - 2012-02-18,81
2012-02-19 - 2012-02-25,83
2012-02-26 - 2012-03-03,88
2012-03-04 - 2012-03-10,87
2012-03-11 - 2012-03-17,86
2012-03-18 - 2012-03-24,86
2012-03-25 - 2012-03-31,82
2012-04-01 - 2012-04-07,86
2012-04-08 - 2012-04-14,84
2012-04-15 - 2012-04-21,85
2012-04-22 - 2012-04-28,82
2012-04-29 - 2012-05-05,87
2012-05-06 - 2012-05-12,82
2012-05-13 - 2012-05-19,75
2012-05-20 - 2012-05-26,73
2012-05-27 - 2012-06-02,73
2012-06-03 - 2012-06-09,74
2012-06-10 - 2012-06-16,72
2012-06-17 - 2012-06-23,70
2012-06-24 - 2012-06-30,71
2012-07-01 - 2012-07-07,73
2012-07-08 - 2012-07-14,75
2012-07-15 - 2012-07-21,76
2012-07-22 - 2012-07-28,73
2012-07-29 - 2012-08-04,74
2012-08-05 - 2012-08-11,75
2012-08-12 - 2012-08-18,73
2012-08-19 - 2012-08-25,75
2012-08-26 - 2012-09-01,77
2012-09-02 - 2012-09-08,78
2012-09-09 - 2012-09-15,80
2012-09-16 - 2012-09-22,83
2012-09-23 - 2012-09-29,83
2012-09-30 - 2012-10-06,80
2012-10-07 - 2012-10-13,78
2012-10-14 - 2012-10-20,76
2012-10-21 - 2012-10-27,78
2012-10-28 - 2012-11-03,78
2012-11-04 - 2012-11-10,76
2012-11-11 - 2012-11-17,77
2012-11-18 - 2012-11-24,74
2012-11-25 - 2012-12-01,74
2012-12-02 - 2012-12-08,73
2012-12-09 - 2012-12-15,77
2012-12-16 - 2012-12-22,79
2012-12-23 - 2012-12-29,77
2012-12-30 - 2013-01-05,79
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,76
2013-01-20 - 2013-01-26,76
2013-01-27 - 2013-02-02,76
2013-02-03 - 2013-02-09,70
2013-02-10 - 2013-02-16,68
2013-02-17 - 2013-02-23,75
2013-02-24 - 2013-03-02,77
2013-03-03 - 2013-03-09,76
2013-03-10 - 2013-03-16,80
2013-03-17 - 2013-03-23,79
2013-03-24 - 2013-03-30,78
2013-03-31 - 2013-04-06,85
2013-04-07 - 2013-04-13,76
2013-04-14 - 2013-04-20,73
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,75
2013-05-05 - 2013-05-11,79
2013-05-12 - 2013-05-18,74
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,71
2013-06-02 - 2013-06-08,68
2013-06-09 - 2013-06-15,71
2013-06-16 - 2013-06-22,68
2013-06-23 - 2013-06-29,71
2013-06-30 - 2013-07-06,70
2013-07-07 - 2013-07-13,67
2013-07-14 - 2013-07-20,66
2013-07-21 - 2013-07-27,67
2013-07-28 - 2013-08-03,69
2013-08-04 - 2013-08-10,71
2013-08-11 - 2013-08-17,70
2013-08-18 - 2013-08-24,74
2013-08-25 - 2013-08-31,77
2013-09-01 - 2013-09-07,80
2013-09-08 - 2013-09-14,89
2013-09-15 - 2013-09-21,86
2013-09-22 - 2013-09-28,85
2013-09-29 - 2013-10-05,85
2013-10-06 - 2013-10-12,87
2013-10-13 - 2013-10-19,85
2013-10-20 - 2013-10-26,86
2013-10-27 - 2013-11-02,85
2013-11-03 - 2013-11-09,86
2013-11-10 - 2013-11-16,83
2013-11-17 - 2013-11-23,81
2013-11-24 - 2013-11-30,79
2013-12-01 - 2013-12-07,79
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,79
2013-12-22 - 2013-12-28,80
2013-12-29 - 2014-01-04,83
2014-01-05 - 2014-01-11,80
2014-01-12 - 2014-01-18,81
2014-01-19 - 2014-01-25,78
2014-01-26 - 2014-02-01,71
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,76
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,77
2014-03-02 - 2014-03-08,77
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,78
2014-03-23 - 2014-03-29,76
2014-03-30 - 2014-04-05,75
2014-04-06 - 2014-04-12,76
2014-04-13 - 2014-04-19,84
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,78
2014-05-18 - 2014-05-24,73
2014-05-25 - 2014-05-31,74
2014-06-01 - 2014-06-07,71
2014-06-08 - 2014-06-14,69
2014-06-15 - 2014-06-21,70
2014-06-22 - 2014-06-28,71
2014-06-29 - 2014-07-05,72
2014-07-06 - 2014-07-12,74
2014-07-13 - 2014-07-19,70
2014-07-20 - 2014-07-26,73
2014-07-27 - 2014-08-02,75
2014-08-03 - 2014-08-09,75
2014-08-10 - 2014-08-16,75
2014-08-17 - 2014-08-23,77
2014-08-24 - 2014-08-30,77
2014-08-31 - 2014-09-06,77
2014-09-07 - 2014-09-13,81
2014-09-14 - 2014-09-20,82
2014-09-21 - 2014-09-27,82
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,80
2014-10-12 - 2014-10-18,79
2014-10-19 - 2014-10-25,81
2014-10-26 - 2014-11-01,82
2014-11-02 - 2014-11-08,80
2014-11-09 - 2014-11-15,78
2014-11-16 - 2014-11-22,78
2014-11-23 - 2014-11-29,77
2014-11-30 - 2014-12-06,78
2014-12-07 - 2014-12-13,81
2014-12-14 - 2014-12-20,80
2014-12-21 - 2014-12-27,83
2014-12-28 - 2015-01-03,86
2015-01-04 - 2015-01-10,84
2015-01-11 - 2015-01-17,85
2015-01-18 - 2015-01-24,85
2015-01-25 - 2015-01-31,82
2015-02-01 - 2015-02-07,80
2015-02-08 - 2015-02-14,77
2015-02-15 - 2015-02-21,74
2015-02-22 - 2015-02-28,77
2015-03-01 - 2015-03-07,82
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,83
2015-03-22 - 2015-03-28,80
2015-03-29 - 2015-04-04,82
2015-04-05 - 2015-04-11,80
2015-04-12 - 2015-04-18,80
2015-04-19 - 2015-04-25,79
2015-04-26 - 2015-05-02,77
2015-05-03 - 2015-05-09,79
2015-05-10 - 2015-05-16,75
2015-05-17 - 2015-05-23,73
2015-05-24 - 2015-05-30,73
2015-05-31 - 2015-06-06,70
2015-06-07 - 2015-06-13,80
2015-06-14 - 2015-06-20,77
2015-06-21 - 2015-06-27,78
2015-06-28 - 2015-07-04,71
2015-07-05 - 2015-07-11,74
2015-07-12 - 2015-07-18,75
2015-07-19 - 2015-07-25,75
2015-07-26 - 2015-08-01,77
2015-08-02 - 2015-08-08,75
2015-08-09 - 2015-08-15,77
2015-08-16 - 2015-08-22,78
2015-08-23 - 2015-08-29,75
2015-08-30 - 2015-09-05,77
2015-09-06 - 2015-09-12,80
2015-09-13 - 2015-09-19,81
2015-09-20 - 2015-09-26,80
2015-09-27 - 2015-10-03,77
2015-10-04 - 2015-10-10,80
2015-10-11 - 2015-10-17,79
2015-10-18 - 2015-10-24,79
2015-10-25 - 2015-10-31,78
2015-11-01 - 2015-11-07,78
2015-11-08 - 2015-11-14,81
2015-11-15 - 2015-11-21,80
2015-11-22 - 2015-11-28,83
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,87
2015-12-13 - 2015-12-19,88
2015-12-20 - 2015-12-26,89
2015-12-27 - 2016-01-02,91
2016-01-03 - 2016-01-09,91
2016-01-10 - 2016-01-16,88
2016-01-17 - 2016-01-23,86
2016-01-24 - 2016-01-30,86
2016-01-31 - 2016-02-06,82
2016-02-07 - 2016-02-13,81
2016-02-14 - 2016-02-20,85
2016-02-21 - 2016-02-27,88
2016-02-28 - 2016-03-05,89
2016-03-06 - 2016-03-12,89
2016-03-13 - 2016-03-19,86
2016-03-20 - 2016-03-26,87
2016-03-27 - 2016-04-02,85
2016-04-03 - 2016-04-09,85
2016-04-10 - 2016-04-16,87
2016-04-17 - 2016-04-23,85
2016-04-24 - 2016-04-30,86
2016-05-01 - 2016-05-07,79
2016-05-08 - 2016-05-14,80
2016-05-15 - 2016-05-21,76
2016-05-22 - 2016-05-28,75
2016-05-29 - 2016-06-04,77
2016-06-05 - 2016-06-11,73
2016-06-12 - 2016-06-18,73
2016-06-19 - 2016-06-25,70
2016-06-26 - 2016-07-02,71
2016-07-03 - 2016-07-09,88


Top regions for neu
Region,neu
Vietnam,100
Austria,91
Germany,86
Switzerland,35
Cyprus,26
Luxembourg,24
Israel,3
Spain,3
Hungary,3
Poland,2
India,2
Czech Republic,2
Netherlands,2
Belgium,2
Turkey,2
Philippines,1
United States,1
France,1
Brazil,1
Sweden,1
Italy,1
Thailand,1
United Kingdom,1
Australia,1
Argentina,1
Japan,1


Top cities for neu
City,neu
Ulm (Germany),100
Hai Phong (Vietnam),38
Hanoi (Vietnam),36
Augsburg (Germany),36
Da Nang (Vietnam),35
Hamburg (Germany),34
Darmstadt (Germany),34
Graz (Austria),32
Linz (Austria),31
Stuttgart (Germany),30
Ho Chi Minh City (Vietnam),29
Vienna (Austria),29
Soltau (Germany),28
Munich (Germany),28
Cologne (Germany),28



Top searches for neu
neu ulm,100
neu de,75
neu nhu,75
neu isenburg,70
neu la anh,45
neu wulmstorf,35
dvd neu,25
windows neu installieren,25
kino neu,25
neu song,25
viva neu,20
neu auf dvd,20
neu anspach,15
alles neu,15
my neu,15
rapunzel,15
rapunzel neu verföhnt,15
neu im kino,15
neu mot ngay,10
führerschein,10
führerschein neu,10
windows neu aufsetzen,10
neu delhi,5
neu login,5
dietrich neu ulm,5
neu seeland,5
temps de neu,5
pc neu aufsetzen,5
mtv neu,5
abfertigung neu,5
iphone 4s neu,5
sonsee neu,5
neu isenburg zentrum,5
tiguan neu,5
themen neu,5
führerschein neu beantragen,5
neu sis,5
vw polo neu,5



Rising searches for neu
neu la anh,Breakout
neu nhu,Breakout
neu song,+450%
viva neu,+400%
neu ulm,+40%



