Web Search interest: cobalt
Worldwide 2004 - present

Interest over time
Week,cobalt
2010-05-16 - 2010-05-22,52
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,50
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,48
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,55
2010-07-25 - 2010-07-31,53
2010-08-01 - 2010-08-07,53
2010-08-08 - 2010-08-14,51
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,49
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,50
2010-09-26 - 2010-10-02,50
2010-10-03 - 2010-10-09,50
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,48
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,48
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,44
2010-11-28 - 2010-12-04,45
2010-12-05 - 2010-12-11,48
2010-12-12 - 2010-12-18,43
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,45
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,47
2011-01-30 - 2011-02-05,47
2011-02-06 - 2011-02-12,51
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,52
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,50
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,54
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,51
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,49
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,53
2011-07-17 - 2011-07-23,51
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,51
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,50
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,60
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,61
2011-12-04 - 2011-12-10,77
2011-12-11 - 2011-12-17,85
2011-12-18 - 2011-12-24,76
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,71
2012-01-22 - 2012-01-28,71
2012-01-29 - 2012-02-04,68
2012-02-05 - 2012-02-11,65
2012-02-12 - 2012-02-18,66
2012-02-19 - 2012-02-25,66
2012-02-26 - 2012-03-03,67
2012-03-04 - 2012-03-10,63
2012-03-11 - 2012-03-17,63
2012-03-18 - 2012-03-24,65
2012-03-25 - 2012-03-31,63
2012-04-01 - 2012-04-07,59
2012-04-08 - 2012-04-14,61
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,58
2012-05-27 - 2012-06-02,60
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,55
2012-06-17 - 2012-06-23,55
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,56
2012-07-08 - 2012-07-14,56
2012-07-15 - 2012-07-21,57
2012-07-22 - 2012-07-28,57
2012-07-29 - 2012-08-04,56
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,60
2012-08-26 - 2012-09-01,57
2012-09-02 - 2012-09-08,58
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,58
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,55
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,51
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,50
2012-11-25 - 2012-12-01,54
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,52
2012-12-16 - 2012-12-22,46
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,52
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,54
2013-02-17 - 2013-02-23,55
2013-02-24 - 2013-03-02,55
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,57
2013-03-24 - 2013-03-30,55
2013-03-31 - 2013-04-06,57
2013-04-07 - 2013-04-13,57
2013-04-14 - 2013-04-20,59
2013-04-21 - 2013-04-27,59
2013-04-28 - 2013-05-04,60
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,58
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,55
2013-06-16 - 2013-06-22,55
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,57
2013-07-21 - 2013-07-27,57
2013-07-28 - 2013-08-03,57
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,58
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,54
2013-09-08 - 2013-09-14,56
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,56
2013-10-13 - 2013-10-19,57
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,53
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,52
2013-11-24 - 2013-11-30,51
2013-12-01 - 2013-12-07,73
2013-12-08 - 2013-12-14,55
2013-12-15 - 2013-12-21,49
2013-12-22 - 2013-12-28,46
2013-12-29 - 2014-01-04,48
2014-01-05 - 2014-01-11,53
2014-01-12 - 2014-01-18,53
2014-01-19 - 2014-01-25,54
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,55
2014-02-09 - 2014-02-15,61
2014-02-16 - 2014-02-22,60
2014-02-23 - 2014-03-01,64
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,66
2014-03-16 - 2014-03-22,61
2014-03-23 - 2014-03-29,62
2014-03-30 - 2014-04-05,74
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,58
2014-04-20 - 2014-04-26,58
2014-04-27 - 2014-05-03,57
2014-05-04 - 2014-05-10,56
2014-05-11 - 2014-05-17,56
2014-05-18 - 2014-05-24,57
2014-05-25 - 2014-05-31,54
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,53
2014-07-06 - 2014-07-12,56
2014-07-13 - 2014-07-19,56
2014-07-20 - 2014-07-26,59
2014-07-27 - 2014-08-02,58
2014-08-03 - 2014-08-09,56
2014-08-10 - 2014-08-16,55
2014-08-17 - 2014-08-23,56
2014-08-24 - 2014-08-30,55
2014-08-31 - 2014-09-06,54
2014-09-07 - 2014-09-13,56
2014-09-14 - 2014-09-20,58
2014-09-21 - 2014-09-27,57
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,55
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,55
2014-11-16 - 2014-11-22,56
2014-11-23 - 2014-11-29,52
2014-11-30 - 2014-12-06,57
2014-12-07 - 2014-12-13,57
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,48
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,56
2015-01-18 - 2015-01-24,56
2015-01-25 - 2015-01-31,54
2015-02-01 - 2015-02-07,54
2015-02-08 - 2015-02-14,56
2015-02-15 - 2015-02-21,56
2015-02-22 - 2015-02-28,57
2015-03-01 - 2015-03-07,56
2015-03-08 - 2015-03-14,58
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,57
2015-03-29 - 2015-04-04,56
2015-04-05 - 2015-04-11,55
2015-04-12 - 2015-04-18,56
2015-04-19 - 2015-04-25,55
2015-04-26 - 2015-05-02,56
2015-05-03 - 2015-05-09,55
2015-05-10 - 2015-05-16,54
2015-05-17 - 2015-05-23,60
2015-05-24 - 2015-05-30,55
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,53
2015-06-14 - 2015-06-20,55
2015-06-21 - 2015-06-27,54
2015-06-28 - 2015-07-04,55
2015-07-05 - 2015-07-11,56
2015-07-12 - 2015-07-18,57
2015-07-19 - 2015-07-25,57
2015-07-26 - 2015-08-01,59
2015-08-02 - 2015-08-08,57
2015-08-09 - 2015-08-15,58
2015-08-16 - 2015-08-22,56
2015-08-23 - 2015-08-29,54
2015-08-30 - 2015-09-05,54
2015-09-06 - 2015-09-12,54
2015-09-13 - 2015-09-19,56
2015-09-20 - 2015-09-26,57
2015-09-27 - 2015-10-03,60
2015-10-04 - 2015-10-10,57
2015-10-11 - 2015-10-17,55
2015-10-18 - 2015-10-24,55
2015-10-25 - 2015-10-31,55
2015-11-01 - 2015-11-07,55
2015-11-08 - 2015-11-14,57
2015-11-15 - 2015-11-21,58
2015-11-22 - 2015-11-28,52
2015-11-29 - 2015-12-05,66
2015-12-06 - 2015-12-12,62
2015-12-13 - 2015-12-19,58
2015-12-20 - 2015-12-26,51
2015-12-27 - 2016-01-02,51
2016-01-03 - 2016-01-09,58
2016-01-10 - 2016-01-16,58
2016-01-17 - 2016-01-23,80
2016-01-24 - 2016-01-30,68
2016-01-31 - 2016-02-06,67
2016-02-07 - 2016-02-13,62
2016-02-14 - 2016-02-20,66
2016-02-21 - 2016-02-27,68
2016-02-28 - 2016-03-05,62
2016-03-06 - 2016-03-12,60
2016-03-13 - 2016-03-19,58
2016-03-20 - 2016-03-26,58
2016-03-27 - 2016-04-02,62
2016-04-03 - 2016-04-09,58
2016-04-10 - 2016-04-16,62
2016-04-17 - 2016-04-23,60
2016-04-24 - 2016-04-30,57
2016-05-01 - 2016-05-07,57
2016-05-08 - 2016-05-14,56
2016-05-15 - 2016-05-21,58
2016-05-22 - 2016-05-28,57
2016-05-29 - 2016-06-04,61
2016-06-05 - 2016-06-11,57
2016-06-12 - 2016-06-18,61
2016-06-19 - 2016-06-25,60
2016-06-26 - 2016-07-02,62
2016-07-03 - 2016-07-09,69


Top regions for cobalt
Region,cobalt
Uzbekistan,100
Cyprus,30
Canada,27
United States,24
Brazil,18
United Kingdom,10
Australia,9
Singapore,9
Ireland,8
New Zealand,7
South Africa,7
Philippines,7
Switzerland,6
Argentina,5
Belgium,5
Hong Kong,5
South Korea,5
United Arab Emirates,5
France,5
India,5
Netherlands,5
Norway,4
Romania,4
Malaysia,4
Sweden,4
Finland,4
Czech Republic,4
Germany,3
Denmark,3
Pakistan,3
Mexico,3
Greece,3
Austria,3
Portugal,3
Hungary,3
Russia,3
Colombia,3
Poland,2
Indonesia,2
Israel,2
Taiwan,2
Chile,2
Spain,2
China,1
Ukraine,1
Turkey,1
Italy,1
Thailand,1
Japan,1
Vietnam,1


Top cities for cobalt
City,cobalt
Vancouver (Canada),100
Houston (United States),92
Seattle (United States),91
Calgary (Canada),89
Dallas (United States),83
San Antonio (United States),83
Phoenix (United States),82
Austin (United States),82
Chicago (United States),81
Washington (United States),80
Atlanta (United States),78
Montreal (Canada),78
Toronto (Canada),74
Philadelphia (United States),72
Los Angeles (United States),62



Top searches for cobalt
chevy cobalt,100
chevy,100
cobalt blue,60
chevrolet cobalt,50
ss cobalt,45
the cobalt,35
2006 cobalt,25
2007 cobalt,20
2008 cobalt,15
cobalt car,15
2005 cobalt,15
chevy cobalt 2006,10
what is cobalt,10
2009 cobalt,10
cobalt boats,10
2010 cobalt,10
chevy cobalt 2007,10
chevy cobalt ss,10
2008 chevy cobalt,10
cobalt chloride,10
2005 chevy cobalt,10
cobalt lt,10
cobalt 2012,10
cobalt ls,10
novo cobalt,5
cobalt 2016,5
cobalt 60,5
cobalt preço,5
cobalt price,5
cobalt 2013,5
cobalt color,5
cobalt glass,5
cobalt 2014,5
2009 chevy cobalt,5
cobalt gm,5
cobalt boat,5
cobalt 2015,5
2010 chevy cobalt,5
cobalt dress,5
cobalt air,5
cobalt metal,5
cobalt ltz,5
colbalt,5
cobalt recall,5
cobalt element,5
chevrolet cobalt ss,5
cobalt blue dress,5
cobalt oxide,5
cobalt 1.8,5
cobalt ore,5



Rising searches for cobalt
2007 cobalt,Breakout
2008 cobalt,Breakout
2009 cobalt,Breakout
2010 cobalt,Breakout
chevy cobalt 2006,+2,850%
2006 cobalt,+2,600%
ss cobalt,+250%
what is cobalt,+180%
cobalt car,+170%
chevy,+100%



