Web Search interest: b n pair
Worldwide 2004 - present

Interest over time
Week,b,n pair
Spain,46,0
Finland,39,0
France,58,0
United Kingdom,100,0
Greece,34,0
Guatemala,53,0
Hong Kong,63,0
Croatia,46,0
Hungary,42,0
Indonesia,49,0
Ireland,66,0
Israel,24,0
India,90,0
Iran,20,0
Italy,80,0
Japan,49,0
Kenya,60,0
South Korea,31,0
Lithuania,34,0
Morocco,35,0
Mexico,40,0
Malaysia,41,0
Nigeria,97,0
Netherlands,57,0
Norway,48,0
New Zealand,44,0
Peru,49,0
Philippines,45,0
Pakistan,87,0
Poland,61,0
Portugal,47,0
Romania,61,0
Serbia,81,0
Russia,28,0
Saudi Arabia,17,0
Sweden,46,0
Singapore,47,0
Slovenia,41,0
Slovakia,41,0
Thailand,27,0
Turkey,35,0
Taiwan,47,0
Ukraine,25,0
Venezuela,42,0
Vietnam,53,0
South Africa,51,0


Top cities for b
City,b
New Delhi (India),100
Pune (India),89
London (United Kingdom),83
Rome (Italy),82
Mumbai (India),78
Bangalore (India),77
Milan (Italy),75
New York (United States),69
Buenos Aires (Argentina),64
Paris (France),60
Berlin (Germany),58
Los Angeles (United States),58
Warsaw (Poland),56
Chicago (United States),55
Ho Chi Minh City (Vietnam),50




Top searches for b
b b,100
b and b,10
b q,5
plan b,5
b to b,5
b & b,5
serie b,0
b and q,0
f b,0
b of a,0
hepatitis,0
hepatitis b,0
vitamin b,0
b & q,0
b and you,0
mercedes,0
le b,0
mel b,0
b and m,0
big b,0
b tech,0
banda b,0
homebase,0
patente b,0
serie a,0
lil b,0
b boy,0
block b,0
nacional b,0
segunda b,0
max b,0
agnes b,0
vitamina b,0
argos,0
opel vectra b,0
matty b,0
classifica serie b,0
hepatite b,0
plan b pill,0
rer b,0
schedule b,0
arden b,0
bridgette b,0
hep b,0
face b,0
b braun,0
b chord,0
campeonato brasileiro,0
tabela serie b,0


Top searches for n pair
glitter n glue,100



Rising searches for b
b and you,+800%
plan b,+350%
mercedes,+300%
mel b,+250%
serie b,+170%
le b,+140%
f b,+90%
b and q,+80%
b to b,+70%
b of a,+50%





